simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.36485885528091977,1.072043343575071,0.7071844882941511,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif-le,(ha)-adif,(ha)-adif-le,(ha)-adif-le,adif pat,adif pat,(ha)-adif-le pat,(ha)-adif,(ha)-adif,(ha)-kate,(ha)-ao,(ha)-atatek,(ha)-atle,(ha)-kate,(ha)-atatek,(ha)-atatek,(ha)-atatek,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-atle,(ha)-kate,(ha)-atatek,(ha)-oʔke,(ha)-ao,(ha)-oʔke,(ha)-atatek,(ha)-kate
1,0.1124317281120133,1.036627968858607,0.9241962407465938,(ha)-adif-le pat,(ha)-adif-le,(ha)-adif-le,(ha)-adif,(ha)-adif-le,adif pat,(ha)-adif,(ha)-adif-le,adif pat,(ha)-adif-le pat,(ha)-adif,(ha)-kate,(ha)-atatek,(ha)-atatek,(ha)-atatek,(ha)-ao,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-kate,(ha)-kate,(ha)-oʔke,(ha)-atle,(ha)-oʔke,(ha)-atatek,(ha)-kate,(ha)-ao,(ha)-atle,(ha)-oʔke,(ha)-oʔke,(ha)-oʔke
2,0.1376554322632686,1.3801087571572688,1.2424533248940002,adif pat,(ha)-adif,(ha)-adif-le,(ha)-adif,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif-le pat,(ha)-adif-le,(ha)-adif-le,(ha)-adif,adif pat,(ha)-kate,(ha)-oʔke,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-atle,(ha)-atatek,(ha)-oʔke,(ha)-atle,(ha)-ao,(ha)-ao,(ha)-atatek,(ha)-oʔke,(ha)-kate,(ha)-oʔke,(ha)-atatek
3,0.12874412590228573,0.5908422462755826,0.46209812037329684,(ha)-adif-le,(ha)-adif-le,(ha)-adif,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif-le,adif pat,(ha)-adif,(ha)-adif-le pat,(ha)-adif,adif pat,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-ao,(ha)-oʔke,(ha)-ao,(ha)-oʔke,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-atle,(ha)-atle,(ha)-atatek,(ha)-kate,(ha)-oʔke,(ha)-kate
4,0.1817568071695681,1.3801087571572688,1.1983519499877007,(ha)-adif-le,(ha)-adif-le pat,adif pat,(ha)-adif,(ha)-adif-le,adif pat,(ha)-adif-le,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif,(ha)-adif,(ha)-kate,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-oʔke,(ha)-kate,(ha)-atle,(ha)-oʔke,(ha)-oʔke,(ha)-ao,(ha)-atatek,(ha)-oʔke,(ha)-atatek,(ha)-kate,(ha)-ao,(ha)-atle,(ha)-oʔke
5,0.06063907886771902,0.9950269901795212,0.9343879113118022,(ha)-adif-le pat,(ha)-adif-le,adif pat,(ha)-adif-le,(ha)-adif,(ha)-adif,(ha)-adif-le,(ha)-adif-le,adif pat,(ha)-adif-le pat,(ha)-adif,(ha)-atatek,(ha)-atatek,(ha)-ao,(ha)-kate,(ha)-atle,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-ao,(ha)-oʔke,(ha)-atle,(ha)-kate,(ha)-oʔke,(ha)-kate,(ha)-kate,(ha)-atatek,(ha)-oʔke,(ha)-atatek,(ha)-oʔke,(ha)-atatek,(ha)-oʔke,(ha)-kate
6,0.0967830850035225,1.036627968858607,0.9398448838550846,(ha)-adif-le,(ha)-adif-le,adif pat,(ha)-adif-le,(ha)-adif,(ha)-adif-le pat,(ha)-adif-le pat,adif pat,(ha)-adif-le,(ha)-adif,(ha)-adif,(ha)-oʔke,(ha)-kate,(ha)-atatek,(ha)-atle,(ha)-atatek,(ha)-oʔke,(ha)-atatek,(ha)-ao,(ha)-atatek,(ha)-oʔke,(ha)-kate,(ha)-ao,(ha)-kate,(ha)-oʔke,(ha)-kate,(ha)-atle,(ha)-oʔke,(ha)-kate,(ha)-atatek,(ha)-oʔke,(ha)-kate,(ha)-atatek
7,0.23739509358285948,1.0366279688586069,0.7992328752757474,(ha)-adif,(ha)-adif-le,(ha)-adif-le,(ha)-adif,adif pat,adif pat,(ha)-adif,(ha)-adif-le pat,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif-le,(ha)-oʔke,(ha)-ao,(ha)-atatek,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-oʔke,(ha)-atatek,(ha)-atle,(ha)-oʔke,(ha)-ao,(ha)-atatek,(ha)-kate,(ha)-kate,(ha)-atle,(ha)-kate
8,0.28300213886453185,0.9950269901795212,0.7120248513149894,(ha)-adif-le pat,adif pat,(ha)-adif-le,(ha)-adif,(ha)-adif-le pat,(ha)-adif,adif pat,(ha)-adif-le,(ha)-adif,(ha)-adif-le,(ha)-adif-le,(ha)-ao,(ha)-ao,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-kate,(ha)-atatek,(ha)-kate,(ha)-oʔke,(ha)-atle,(ha)-atatek,(ha)-oʔke,(ha)-kate,(ha)-atatek,(ha)-atatek,(ha)-atatek,(ha)-kate,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-atle,(ha)-atatek
9,0.38597082783067627,1.036627968858607,0.6506571410279308,(ha)-adif-le,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif-le,(ha)-adif-le,(ha)-adif-le pat,(ha)-adif,adif pat,adif pat,(ha)-adif,(ha)-adif,(ha)-atatek,(ha)-kate,(ha)-atatek,(ha)-ao,(ha)-oʔke,(ha)-oʔke,(ha)-ao,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-atatek,(ha)-atle,(ha)-kate,(ha)-oʔke,(ha)-oʔke,(ha)-kate,(ha)-kate,(ha)-atatek,(ha)-atle,(ha)-kate,(ha)-atatek,(ha)-atatek
