simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.37586479648247195,1.3423955354308434,0.9665307389483715,nggalele,nggalele,nattna,nggalele,vivine,nattna,mamalele,nattna,tas-,nggalele,vivine,nattna,mamalele,nggalele,nattna,nattna,mamalele,nattna,nattna,nattna,mamalele,nattna,nattna,nattna,nattna,mamalele,nggalele,nattna,nattna,mamalele,nggalele,nggalele,nggalele,mamalele,man-,mamalele,man-,nggalele,nattna,nattna,mamalele,nattna,nattna,nattna,mamalele,bimbi,nggalele,bimbi,nggalele,bimbi,nggalele,nggalele,mama,bimbi,mama,nggalu,nggalu
1,0.13808701113909994,1.3423955354308434,1.2043085242917435,mamalele,nattna,nggalele,nggalele,mamalele,mamalele,nattna,nggalele,mamalele,tas-,nggalele,nattna,nattna,nattna,nattna,mamalele,nggalele,mamalele,nggalele,nggalele,nattna,nattna,nattna,nggalele,nattna,nattna,nattna,nattna,nattna,mamalele,nattna,nattna,man-,nattna,mamalele,nattna,mamalele,nattna,vivine,vivine,nggalele,nattna,nggalele,mamalele,man-,bimbi,mama,bimbi,nggalele,nggalu,mama,nggalu,nggalele,bimbi,bimbi,nggalele,nggalele
2,0.23916703306314724,1.2930224700643995,1.0538554370012523,nattna,mamalele,nggalele,nggalele,nggalele,nattna,vivine,mamalele,nattna,nattna,nattna,mamalele,tas-,nggalele,nattna,nattna,nggalele,nggalele,nattna,nggalele,mamalele,nattna,mamalele,mamalele,mamalele,nattna,nattna,mamalele,vivine,nattna,nggalele,nattna,man-,nattna,nggalele,nattna,mamalele,nattna,man-,nggalele,nattna,nattna,nattna,mamalele,nattna,bimbi,nggalele,nggalu,nggalu,nggalele,mama,nggalele,bimbi,bimbi,bimbi,nggalele,mama
3,0.2323700305545573,1.3423955354308434,1.1100255048762862,nattna,nggalele,nattna,nggalele,nattna,mamalele,nattna,nattna,nggalele,nattna,mamalele,nattna,mamalele,vivine,nggalele,nattna,nattna,man-,nggalele,nggalele,nggalele,mamalele,nattna,nggalele,mamalele,nattna,nggalele,nattna,nattna,nattna,mamalele,mamalele,nggalele,nattna,nattna,nattna,nattna,nattna,man-,nattna,vivine,mamalele,mamalele,mamalele,tas-,bimbi,nggalu,nggalele,bimbi,bimbi,bimbi,mama,nggalele,mama,nggalu,nggalele,nggalele
4,0.22002828338233904,1.2930224700643995,1.0729941866820605,nggalele,nggalele,nattna,nattna,mamalele,mamalele,nggalele,nggalele,mamalele,tas-,nattna,nattna,nattna,nggalele,nattna,vivine,mamalele,nattna,nggalele,nattna,mamalele,man-,mamalele,mamalele,nggalele,vivine,nattna,nggalele,nattna,man-,mamalele,nattna,nattna,mamalele,nattna,nattna,nattna,nattna,nggalele,nattna,nggalele,nattna,mamalele,nattna,nattna,nggalele,nggalu,mama,mama,bimbi,nggalu,bimbi,nggalele,nggalele,bimbi,nggalele,bimbi
5,0.1808625990745767,1.3206701076815464,1.1398075086069697,nattna,nggalele,nattna,tas-,nggalele,nattna,man-,nggalele,nggalele,nattna,nattna,nattna,man-,nattna,mamalele,nattna,nggalele,mamalele,mamalele,nattna,nattna,vivine,nattna,mamalele,mamalele,mamalele,nggalele,nggalele,nattna,nattna,nattna,nggalele,nattna,nattna,nattna,mamalele,nggalele,nggalele,mamalele,mamalele,nattna,nattna,vivine,nattna,mamalele,mama,nggalu,bimbi,nggalu,bimbi,nggalele,bimbi,nggalele,bimbi,mama,nggalele,nggalele
6,0.15890852622215856,1.3206701076815464,1.1617615814593878,nggalele,nattna,mamalele,nattna,tas-,nattna,mamalele,nattna,mamalele,nattna,nggalele,mamalele,nggalele,nggalele,mamalele,nattna,nggalele,mamalele,nattna,nggalele,nattna,nattna,man-,nattna,nattna,nggalele,nattna,nattna,nattna,vivine,nggalele,mamalele,nattna,nattna,nattna,mamalele,mamalele,nattna,nggalele,nattna,mamalele,nggalele,nattna,vivine,man-,nggalu,mama,nggalu,bimbi,bimbi,mama,nggalele,nggalele,bimbi,bimbi,nggalele,nggalele
7,0.325838850445205,1.339718043494599,1.013879193049394,mamalele,nattna,nggalele,nggalele,nggalele,nattna,nattna,nattna,mamalele,vivine,nattna,nattna,vivine,mamalele,mamalele,mamalele,nattna,nattna,nattna,nattna,nattna,nggalele,man-,man-,nattna,mamalele,mamalele,nattna,nggalele,nattna,mamalele,nattna,tas-,nattna,nggalele,nattna,nattna,nggalele,nggalele,mamalele,nggalele,mamalele,nattna,nggalele,nattna,bimbi,bimbi,bimbi,bimbi,nggalele,mama,nggalu,nggalele,mama,nggalu,nggalele,nggalele
8,0.3582646449252028,1.339718043494599,0.9814533985693962,nattna,nattna,nattna,nattna,nggalele,nggalele,nattna,man-,nattna,nattna,mamalele,mamalele,nggalele,nattna,man-,nggalele,mamalele,nattna,mamalele,nattna,nggalele,mamalele,nattna,nattna,nggalele,mamalele,nattna,tas-,vivine,nggalele,mamalele,nattna,mamalele,vivine,nattna,nattna,nggalele,nggalele,nattna,nggalele,nattna,mamalele,nattna,mamalele,nattna,bimbi,mama,nggalele,nggalele,nggalele,bimbi,mama,bimbi,nggalu,bimbi,nggalu,nggalele
9,0.2822043219674868,1.3206701076815464,1.0384657857140596,mamalele,nggalele,nattna,vivine,mamalele,mamalele,nattna,tas-,nattna,nattna,nattna,nattna,vivine,mamalele,nattna,nattna,nggalele,nattna,nggalele,nggalele,nattna,mamalele,nattna,mamalele,nggalele,nggalele,nattna,nattna,mamalele,nattna,mamalele,nattna,man-,nattna,nggalele,mamalele,nattna,nggalele,nggalele,mamalele,nattna,man-,nggalele,nattna,nattna,nggalele,bimbi,nggalu,bimbi,mama,nggalu,bimbi,bimbi,nggalele,nggalele,nggalele,mama
