simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mB,mZ,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fM,mF,fF,mM,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mFeB,fFeB,mFyB,fFyB
0,0.5677100627179386,1.8235797709237085,1.25586970820577,māroṭu,sauṭo,puphāṭī,puphāṭī,dādī,bhāu,māsāti,puphāṭī,māroṭi,māsāti,masātu,puphāṭu,sauṭi,sauṭo,masātu,puphāṭu,puphāṭu,sauṭi,māroṭu,dādo,sauṭo,puphāṭu,māroṭi,māroṭu,māroṭu,puphāṭī,puphāṭī,sauṭo,masātu,puphāṭī,puphāṭī,masātu,māsāti,sauṭo,sauṭi,puphāṭu,māsāti,bheṇu,masātu,puphāṭu,sauṭo,puphāṭu,puphāṭī,dādo,bhāu,māroṭi,puphāṭu,māsāti,māsāti,māroṭu,sauṭi,masātu,sauṭi,māroṭi,masātu,masātu,māroṭi,māroṭu,sauṭo,masātu,bheṇu,māroṭu,māroṭu,puphāṭī,māroṭi,sauṭo,māroṭi,puphāṭu,māsāti,puphāṭu,dādī,māsāti,māroṭu,māroṭi,māroṭi,bheṇu,puphāṭī,māsāti,māroṭi,māsāti,sauṭi,bhāu,sauṭi,bheṇu,sauṭo,māroṭu,sauṭo,sauṭi,bhāu,sauṭi,phuphi,chācho,phuphi,phuphi,bābo,phuphi,māmo,māsī,chācho,māmo,māsī,phuphi,pīü,bābo,phuphi,pīü,mā,māmo,māsī,māsī,mā,māsī,māmo,māsī,māmo,māmo
1,0.3540445623331996,1.7864121088173168,1.4323675464841172,māsāti,dādo,masātu,māsāti,māroṭi,sauṭo,dādī,māroṭi,bhāu,bheṇu,puphāṭī,māsāti,sauṭo,māroṭu,puphāṭī,sauṭo,māsāti,masātu,dādo,māroṭu,māroṭi,puphāṭu,māsāti,māroṭi,bheṇu,sauṭo,sauṭi,māsāti,masātu,puphāṭu,puphāṭī,māroṭu,sauṭi,sauṭo,puphāṭī,puphāṭu,māsāti,māroṭi,bhāu,sauṭi,puphāṭī,sauṭi,puphāṭī,puphāṭī,māroṭi,sauṭi,sauṭi,puphāṭī,sauṭi,sauṭo,māsāti,masātu,māroṭu,puphāṭu,sauṭi,māroṭi,māsāti,puphāṭī,dādī,puphāṭu,māroṭi,māroṭi,māroṭi,sauṭo,masātu,bheṇu,sauṭo,bhāu,masātu,masātu,māroṭu,puphāṭī,bhāu,māroṭu,puphāṭu,māroṭu,masātu,māroṭu,sauṭo,puphāṭu,puphāṭu,sauṭi,sauṭo,puphāṭu,māsāti,masātu,bheṇu,puphāṭu,māroṭu,māroṭu,phuphi,māmo,phuphi,bābo,pīü,māmo,phuphi,māmo,māsī,phuphi,māsī,mā,māsī,mā,māsī,māsī,māmo,māsī,māmo,bābo,chācho,phuphi,pīü,phuphi,māmo,chācho
2,0.45731467916543855,1.8394014316516718,1.3820867524862332,dādī,māsāti,māroṭi,puphāṭī,puphāṭu,masātu,māroṭu,puphāṭī,māroṭi,dādo,sauṭi,sauṭi,māroṭu,sauṭi,bhāu,puphāṭu,sauṭi,māroṭi,puphāṭī,māroṭi,dādo,māsāti,bhāu,māroṭu,sauṭi,puphāṭu,puphāṭu,māroṭu,māsāti,sauṭo,sauṭo,sauṭo,māroṭu,puphāṭu,māsāti,puphāṭu,masātu,sauṭo,sauṭo,sauṭo,sauṭi,sauṭi,māroṭu,puphāṭī,puphāṭī,māroṭu,māroṭi,sauṭi,puphāṭī,sauṭi,puphāṭu,bhāu,bheṇu,masātu,masātu,māroṭi,puphāṭī,bheṇu,māroṭi,puphāṭu,sauṭo,sauṭo,māroṭi,puphāṭu,māroṭu,māroṭi,māsāti,māsāti,puphāṭu,masātu,sauṭo,puphāṭī,puphāṭī,māroṭu,māsāti,māroṭi,masātu,bheṇu,sauṭo,masātu,bhāu,māsāti,māsāti,māsāti,masātu,bheṇu,puphāṭī,māroṭu,dādī,masātu,phuphi,māmo,māsī,phuphi,chācho,bābo,māsī,mā,māsī,phuphi,māsī,phuphi,māmo,chācho,pīü,māmo,māsī,bābo,māmo,mā,phuphi,māmo,phuphi,māsī,pīü,māmo
3,0.5053393895319698,1.8012163706833866,1.2958769811514168,puphāṭu,masātu,puphāṭī,sauṭi,māroṭi,māroṭu,puphāṭu,masātu,māsāti,bhāu,māroṭu,māsāti,māroṭi,puphāṭu,puphāṭī,māroṭu,puphāṭī,sauṭo,sauṭo,puphāṭī,māsāti,puphāṭu,bhāu,sauṭi,māroṭi,bheṇu,māroṭu,masātu,masātu,dādo,māsāti,māsāti,masātu,dādī,puphāṭī,puphāṭu,māsāti,puphāṭī,puphāṭu,sauṭo,māroṭi,sauṭi,masātu,māroṭu,sauṭi,masātu,sauṭi,māroṭu,puphāṭī,sauṭi,bheṇu,māroṭu,puphāṭu,sauṭi,puphāṭu,sauṭo,bheṇu,māroṭi,māroṭi,sauṭo,māroṭi,māsāti,bheṇu,sauṭo,sauṭo,puphāṭī,bhāu,māroṭi,māroṭu,puphāṭu,sauṭo,māroṭi,masātu,māsāti,dādī,māsāti,bhāu,sauṭi,sauṭi,māroṭi,dādo,sauṭo,puphāṭu,puphāṭī,puphāṭī,masātu,māsāti,sauṭo,māroṭu,māroṭu,phuphi,māsī,māsī,māmo,māmo,māsī,māsī,phuphi,māmo,māsī,bābo,phuphi,chācho,pīü,pīü,mā,māmo,chācho,māmo,mā,phuphi,phuphi,māmo,phuphi,bābo,māsī
4,0.44556684095939136,1.8014415441538958,1.3558747031945044,māroṭi,puphāṭī,sauṭo,sauṭi,sauṭi,māroṭi,māroṭu,puphāṭu,sauṭo,dādo,sauṭi,puphāṭī,māroṭu,māroṭu,puphāṭī,puphāṭu,puphāṭī,masātu,puphāṭī,masātu,sauṭo,sauṭo,sauṭi,puphāṭī,māroṭu,māroṭi,puphāṭu,masātu,bhāu,māroṭu,dādī,sauṭi,sauṭo,sauṭo,bheṇu,puphāṭu,māroṭi,māsāti,sauṭo,māsāti,māroṭi,dādo,bheṇu,māsāti,bhāu,māsāti,puphāṭu,puphāṭī,puphāṭu,sauṭo,masātu,māsāti,puphāṭī,puphāṭu,dādī,bheṇu,sauṭo,masātu,māroṭu,māroṭi,bheṇu,masātu,māroṭi,māroṭi,māroṭi,masātu,bhāu,puphāṭu,māroṭu,māsāti,māroṭu,masātu,sauṭi,māsāti,puphāṭī,māsāti,puphāṭu,puphāṭu,sauṭi,sauṭi,māsāti,puphāṭī,māroṭi,sauṭo,māroṭu,sauṭi,māsāti,bhāu,masātu,māroṭu,phuphi,māsī,māmo,māsī,pīü,pīü,phuphi,māsī,māmo,bābo,phuphi,chācho,phuphi,māmo,chācho,māsī,phuphi,māsī,māmo,phuphi,māmo,mā,māsī,mā,bābo,māmo
5,0.448530623648824,1.7847197018657674,1.3361890782169434,sauṭi,māsāti,puphāṭī,bheṇu,sauṭo,māroṭi,sauṭo,masātu,sauṭi,bhāu,puphāṭu,māsāti,māroṭu,sauṭo,puphāṭu,māroṭu,māroṭu,masātu,masātu,sauṭi,māsāti,māroṭi,māroṭi,puphāṭu,puphāṭu,puphāṭī,puphāṭu,māroṭu,bheṇu,sauṭi,māroṭu,puphāṭu,sauṭi,sauṭo,māsāti,puphāṭu,sauṭo,sauṭo,puphāṭī,puphāṭī,māroṭu,dādo,māsāti,puphāṭī,sauṭo,māroṭi,puphāṭī,bhāu,māroṭi,sauṭi,masātu,bheṇu,māroṭi,māroṭu,dādī,masātu,puphāṭī,masātu,bhāu,puphāṭī,sauṭi,sauṭo,masātu,puphāṭī,māsāti,māroṭu,sauṭi,māsāti,māroṭu,māroṭi,dādo,māroṭi,māsāti,sauṭi,masātu,puphāṭu,puphāṭu,māroṭi,puphāṭu,puphāṭī,sauṭo,māroṭu,bheṇu,māsāti,māroṭi,bhāu,dādī,māsāti,sauṭo,masātu,māmo,phuphi,bābo,māsī,māsī,pīü,phuphi,māmo,māsī,mā,mā,phuphi,chācho,bābo,phuphi,māsī,phuphi,māmo,māmo,māsī,māsī,māmo,māmo,pīü,chācho,phuphi
6,0.4730507408632527,1.7932008195596771,1.3201500786964244,bhāu,māroṭu,māsāti,sauṭi,bhāu,puphāṭī,masātu,sauṭi,puphāṭu,māsāti,māroṭu,māroṭi,puphāṭu,dādo,sauṭi,masātu,puphāṭu,māroṭu,masātu,masātu,sauṭi,puphāṭī,māsāti,bheṇu,puphāṭī,puphāṭu,sauṭi,puphāṭī,māroṭi,puphāṭī,sauṭo,puphāṭī,māsāti,masātu,bheṇu,māroṭu,māroṭi,puphāṭu,sauṭo,māroṭi,sauṭo,māroṭi,bhāu,māroṭi,puphāṭu,puphāṭī,māroṭu,bheṇu,puphāṭī,puphāṭī,māroṭu,dādī,sauṭo,puphāṭu,sauṭo,bhāu,māroṭi,māsāti,masātu,puphāṭu,māsāti,māroṭi,māsāti,māroṭu,māroṭu,puphāṭu,sauṭi,māroṭu,sauṭo,masātu,dādo,māroṭi,sauṭi,sauṭo,sauṭo,dādī,māsāti,puphāṭī,bheṇu,sauṭo,māroṭu,māsāti,puphāṭu,māroṭi,sauṭi,masātu,masātu,sauṭo,māsāti,sauṭi,māsī,māsī,mā,phuphi,māsī,māsī,pīü,phuphi,bābo,chācho,māmo,phuphi,mā,māmo,chācho,māmo,māmo,māmo,phuphi,phuphi,pīü,phuphi,māsī,bābo,māmo,māsī
7,0.44830408753706763,1.8043871441056059,1.3560830565685382,masātu,puphāṭī,māroṭu,bheṇu,puphāṭī,māsāti,bhāu,masātu,bhāu,sauṭi,māroṭi,puphāṭī,sauṭo,māroṭi,dādī,māroṭi,puphāṭī,sauṭi,masātu,bhāu,bheṇu,sauṭi,sauṭo,māsāti,sauṭi,māroṭu,māsāti,māsāti,māroṭu,māroṭi,puphāṭī,māsāti,māroṭu,masātu,sauṭo,sauṭo,puphāṭu,māsāti,sauṭi,puphāṭī,sauṭi,puphāṭu,māroṭi,masātu,dādo,puphāṭu,sauṭo,sauṭo,puphāṭu,masātu,māroṭi,sauṭi,māroṭu,puphāṭu,bheṇu,māroṭu,māsāti,sauṭo,sauṭi,sauṭi,māsāti,masātu,sauṭo,māroṭu,māroṭu,sauṭo,puphāṭu,bhāu,māroṭi,puphāṭī,māroṭi,bheṇu,māroṭi,māroṭu,māsāti,puphāṭī,māsāti,dādī,masātu,sauṭo,dādo,puphāṭu,puphāṭu,māroṭi,puphāṭī,māroṭu,puphāṭī,masātu,puphāṭu,puphāṭu,phuphi,māmo,māsī,phuphi,phuphi,pīü,chācho,phuphi,māsī,phuphi,māsī,chācho,mā,māmo,māmo,bābo,bābo,māmo,māsī,māmo,pīü,mā,māmo,phuphi,māsī,māsī
8,0.50391385427321,1.797737245643566,1.293823391370356,sauṭi,māroṭu,māroṭu,māroṭu,puphāṭu,sauṭi,māroṭi,sauṭi,māsāti,bheṇu,masātu,puphāṭī,bhāu,māsāti,māroṭi,sauṭo,sauṭi,puphāṭī,masātu,dādo,māroṭi,masātu,bhāu,puphāṭu,bhāu,māroṭu,sauṭi,sauṭi,sauṭo,sauṭi,māsāti,puphāṭu,dādo,māroṭi,sauṭo,māroṭu,bhāu,māsāti,māroṭu,māsāti,masātu,māroṭi,masātu,puphāṭī,māsāti,māroṭu,puphāṭī,māroṭi,māsāti,puphāṭu,māroṭi,puphāṭu,sauṭi,masātu,sauṭo,masātu,māsāti,dādī,puphāṭu,puphāṭu,masātu,sauṭo,bheṇu,sauṭo,puphāṭī,māroṭi,puphāṭī,sauṭo,puphāṭu,māroṭu,puphāṭī,māsāti,sauṭo,puphāṭī,puphāṭu,dādī,puphāṭu,māsāti,māroṭi,māroṭi,māroṭu,puphāṭī,sauṭo,māroṭu,bheṇu,puphāṭī,sauṭi,bheṇu,sauṭo,masātu,pīü,phuphi,mā,pīü,phuphi,māsī,bābo,phuphi,māmo,phuphi,māmo,māsī,māmo,māmo,māsī,māsī,phuphi,māmo,chācho,māsī,phuphi,bābo,chācho,māsī,mā,māmo
9,0.4100959111756224,1.8173686011272383,1.407272689951616,puphāṭu,puphāṭu,māroṭu,māsāti,sauṭo,māsāti,puphāṭu,sauṭi,puphāṭu,bheṇu,māroṭu,dādo,māroṭi,māsāti,sauṭi,sauṭo,masātu,puphāṭu,masātu,bheṇu,puphāṭu,puphāṭī,sauṭo,sauṭo,sauṭo,bhāu,puphāṭu,sauṭo,sauṭi,sauṭo,māroṭu,māsāti,sauṭo,māroṭu,sauṭi,puphāṭī,sauṭi,sauṭi,māroṭu,masātu,sauṭo,dādo,masātu,puphāṭī,māroṭu,puphāṭī,māroṭu,māsāti,māroṭi,māroṭu,māroṭi,sauṭo,māroṭu,dādī,sauṭi,māsāti,māroṭi,māroṭi,māroṭi,puphāṭu,māsāti,bhāu,puphāṭī,bhāu,masātu,puphāṭī,sauṭi,māroṭu,bheṇu,sauṭi,puphāṭī,puphāṭī,masātu,māroṭi,māsāti,masātu,māsāti,bhāu,māsāti,puphāṭī,puphāṭu,māroṭi,dādī,māroṭi,puphāṭī,puphāṭu,masātu,masātu,bheṇu,māroṭi,phuphi,phuphi,māsī,māsī,phuphi,chācho,mā,māmo,māsī,māsī,māsī,māmo,māmo,bābo,māmo,bābo,māsī,phuphi,pīü,phuphi,māmo,phuphi,pīü,māmo,mā,chācho
