simulation_number,mutual_information,entropy,conditional_entropy,fFZeD,fFZyD,mMBeD,fMBeD,mMByD,fMByD,meB,mMZeS,myZ,mFByD,mMZyD,meZ,mFBeD,mMZeD,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,feZ,fFBeD,fMZeD,mFZyS,fFZeS,fFZyS,mMBeS,fMBeS,mMByS,fMByS,mFZeS,mFZeD,mFZyD,feB,mFBeS,fFBeS,fyZ,fFByD,fMZyD,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB
0,0.21576155433883565,0.5623351446188083,0.34657359027997264,be-sun̤ʼ-gä,eʼ-naw,be-cheʼ-do,be-jaʼ-ga,be-sheʼ-gä,be-choseʼ-kä,ah-seʼ-zhe-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-cheʼ-do,be-cheʼ-zho,be-cheʼ-zho,be-sun̤ʼ-gä,be-cheʼ-do,be-shoʼ-wa,be-zheʼ-yeh,be-jaʼ-ga,be-sun̤ʼ-gä,be-shoʼ-wa,be-sheʼ-gä,eʼ-naw,she-meʼ-she-gä,eʼ-naw,be-jaʼ-ga,be-jaʼ-ga,eʼ-naw,be-tun̤ʼ-gä-zhinʼ-gä,be-shoʼ-wa,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-zheʼ-thǎ,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-tun̤ʼ-ga,be-shoseʼ-kä,ah-seʼ-zhe-gä,she-meʼ-she-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,eʼ-naw,eʼ-naw,e-däʼ-je,be-jaʼ-ga,be-jaʼ-ga,e-däʼ-je,eʼ-naw,e-däʼ-je,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jaʼ-ga,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jaʼ-ga,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jeʼ-me
1,0.5198603854199589,1.3862943611198906,0.8664339756999316,be-shoʼ-wa,be-tun̤ʼ-gä-zhinʼ-gä,be-shoʼ-wa,be-sheʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-sheʼ-gä,be-jaʼ-ga,be-shoʼ-wa,be-jaʼ-ga,she-meʼ-she-gä,eʼ-naw,eʼ-naw,eʼ-naw,ah-seʼ-zhe-gä,be-cheʼ-zho,be-cheʼ-do,be-jaʼ-ga,be-tun̤ʼ-ga,be-zheʼ-yeh,be-choseʼ-kä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-cheʼ-do,be-sun̤ʼ-gä,be-tun̤ʼ-ga,ah-seʼ-zhe-gä,be-shoseʼ-kä,be-jaʼ-ga,be-cheʼ-do,be-tun̤ʼ-ga,be-cheʼ-zho,eʼ-naw,she-meʼ-she-gä,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,be-zheʼ-thǎ,be-jeʼ-me,e-däʼ-je,be-jeʼ-me,be-jaʼ-ga,be-jaʼ-ga,eʼ-naw,eʼ-naw,be-jaʼ-ga,eʼ-naw,eʼ-naw,be-jeʼ-me,e-däʼ-je,e-däʼ-je,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jaʼ-ga,e-däʼ-je,e-däʼ-je,eʼ-naw
2,0.5198603854199589,1.3862943611198906,0.8664339756999316,be-shoʼ-wa,she-meʼ-she-gä,be-sun̤ʼ-gä,be-cheʼ-do,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-jaʼ-ga,be-cheʼ-do,be-tun̤ʼ-gä-zhinʼ-gä,be-tun̤ʼ-ga,be-choseʼ-kä,be-tun̤ʼ-gä-zhinʼ-gä,eʼ-naw,eʼ-naw,be-sheʼ-gä,be-sun̤ʼ-gä,be-cheʼ-zho,she-meʼ-she-gä,be-jaʼ-ga,be-zheʼ-yeh,be-sheʼ-gä,ah-seʼ-zhe-gä,be-cheʼ-zho,ah-seʼ-zhe-gä,be-jaʼ-ga,be-sun̤ʼ-gä,be-shoʼ-wa,eʼ-naw,be-sun̤ʼ-gä,be-jaʼ-ga,be-tun̤ʼ-ga,be-cheʼ-do,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-shoseʼ-kä,eʼ-naw,be-zheʼ-thǎ,be-shoʼ-wa,ah-seʼ-zhe-gä,be-jeʼ-me,eʼ-naw,eʼ-naw,e-däʼ-je,e-däʼ-je,be-jaʼ-ga,be-jaʼ-ga,e-däʼ-je,e-däʼ-je,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,be-jeʼ-me,be-jeʼ-me,e-däʼ-je,be-jeʼ-me,eʼ-naw,e-däʼ-je,eʼ-naw,eʼ-naw
3,0.3465735902799726,1.0397207708399179,0.6931471805599453,eʼ-naw,be-zheʼ-yeh,be-cheʼ-do,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-shoʼ-wa,be-tun̤ʼ-gä-zhinʼ-gä,be-cheʼ-do,be-cheʼ-do,be-jaʼ-ga,be-choseʼ-kä,be-cheʼ-zho,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-sheʼ-gä,be-tun̤ʼ-ga,be-shoseʼ-kä,ah-seʼ-zhe-gä,she-meʼ-she-gä,be-jaʼ-ga,be-shoʼ-wa,ah-seʼ-zhe-gä,be-zheʼ-thǎ,be-tun̤ʼ-gä-zhin̤ʼ-gä,she-meʼ-she-gä,be-shoʼ-wa,be-jaʼ-ga,be-cheʼ-zho,eʼ-naw,be-sun̤ʼ-gä,eʼ-naw,eʼ-naw,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-jaʼ-ga,ah-seʼ-zhe-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-sheʼ-gä,eʼ-naw,be-jeʼ-me,be-jaʼ-ga,be-jaʼ-ga,be-jaʼ-ga,eʼ-naw,e-däʼ-je,eʼ-naw,e-däʼ-je,e-däʼ-je,be-jaʼ-ga,e-däʼ-je,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jeʼ-me,e-däʼ-je,eʼ-naw,be-jeʼ-me,eʼ-naw
4,0.2599301927099794,1.0397207708399179,0.7797905781299385,be-cheʼ-do,be-zheʼ-thǎ,eʼ-naw,be-sun̤ʼ-gä,be-cheʼ-zho,be-tun̤ʼ-ga,eʼ-naw,be-sheʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-shoʼ-wa,she-meʼ-she-gä,be-choseʼ-kä,be-jaʼ-ga,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,be-cheʼ-do,be-cheʼ-zho,be-jaʼ-ga,be-sun̤ʼ-gä,be-shoʼ-wa,be-tun̤ʼ-ga,be-tun̤ʼ-ga,ah-seʼ-zhe-gä,eʼ-naw,be-shoʼ-wa,be-jaʼ-ga,be-sun̤ʼ-gä,be-cheʼ-do,she-meʼ-she-gä,be-sun̤ʼ-gä,be-zheʼ-yeh,be-shoseʼ-kä,be-tun̤ʼ-gä-zhinʼ-gä,be-jaʼ-ga,ah-seʼ-zhe-gä,be-sheʼ-gä,eʼ-naw,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,eʼ-naw,eʼ-naw,e-däʼ-je,eʼ-naw,eʼ-naw,e-däʼ-je,be-jaʼ-ga,e-däʼ-je,be-jeʼ-me,be-jaʼ-ga,eʼ-naw,e-däʼ-je,be-jaʼ-ga,be-jeʼ-me,e-däʼ-je,eʼ-naw,be-jeʼ-me,be-jeʼ-me,be-jaʼ-ga,e-däʼ-je
5,0.34657359027997264,0.6931471805599453,0.34657359027997264,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-tun̤ʼ-ga,be-shoʼ-wa,eʼ-naw,be-shoseʼ-kä,be-shoʼ-wa,be-zheʼ-yeh,ah-seʼ-zhe-gä,she-meʼ-she-gä,be-cheʼ-do,eʼ-naw,be-jaʼ-ga,be-jaʼ-ga,be-sheʼ-gä,be-sheʼ-gä,be-cheʼ-do,be-cheʼ-do,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,be-jaʼ-ga,be-tun̤ʼ-ga,be-sun̤ʼ-gä,be-tun̤ʼ-ga,eʼ-naw,ah-seʼ-zhe-gä,be-jaʼ-ga,be-cheʼ-zho,be-cheʼ-zho,she-meʼ-she-gä,be-sun̤ʼ-gä,be-choseʼ-kä,be-shoʼ-wa,eʼ-naw,be-zheʼ-thǎ,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,eʼ-naw,be-jaʼ-ga,be-jeʼ-me,e-däʼ-je,eʼ-naw,be-jeʼ-me,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,eʼ-naw,be-jeʼ-me,e-däʼ-je,e-däʼ-je,e-däʼ-je,e-däʼ-je,e-däʼ-je,be-jeʼ-me,eʼ-naw,be-jaʼ-ga
6,0.6931471805599453,1.3862943611198906,0.6931471805599453,be-choseʼ-kä,she-meʼ-she-gä,be-jaʼ-ga,be-shoʼ-wa,be-sheʼ-gä,eʼ-naw,be-tun̤ʼ-ga,be-jaʼ-ga,be-zheʼ-thǎ,be-cheʼ-zho,be-jaʼ-ga,be-sheʼ-gä,be-sun̤ʼ-gä,be-cheʼ-do,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-sun̤ʼ-gä,be-tun̤ʼ-ga,be-cheʼ-do,be-shoʼ-wa,be-jaʼ-ga,be-cheʼ-zho,she-meʼ-she-gä,be-sun̤ʼ-gä,be-cheʼ-do,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,ah-seʼ-zhe-gä,be-shoseʼ-kä,be-sun̤ʼ-gä,eʼ-naw,be-sun̤ʼ-gä,eʼ-naw,eʼ-naw,be-shoʼ-wa,be-zheʼ-yeh,be-tun̤ʼ-gä-zhinʼ-gä,be-tun̤ʼ-ga,be-jeʼ-me,eʼ-naw,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jaʼ-ga,be-jaʼ-ga,e-däʼ-je,e-däʼ-je,eʼ-naw,be-jeʼ-me,e-däʼ-je,be-jaʼ-ga,be-jeʼ-me,eʼ-naw,eʼ-naw,e-däʼ-je,eʼ-naw,be-jaʼ-ga,e-däʼ-je
7,0.3465735902799726,1.0397207708399179,0.6931471805599453,eʼ-naw,be-jaʼ-ga,be-jaʼ-ga,be-cheʼ-do,be-cheʼ-zho,be-sun̤ʼ-gä,be-sheʼ-gä,be-sheʼ-gä,be-sun̤ʼ-gä,be-cheʼ-do,she-meʼ-she-gä,be-tun̤ʼ-ga,be-cheʼ-zho,be-tun̤ʼ-ga,be-sun̤ʼ-gä,be-shoʼ-wa,she-meʼ-she-gä,be-cheʼ-do,be-shoʼ-wa,be-jaʼ-ga,ah-seʼ-zhe-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-zheʼ-thǎ,eʼ-naw,ah-seʼ-zhe-gä,be-shoseʼ-kä,be-zheʼ-yeh,be-sun̤ʼ-gä,be-shoʼ-wa,ah-seʼ-zhe-gä,be-tun̤ʼ-gä-zhinʼ-gä,eʼ-naw,be-tun̤ʼ-gä-zhin̤ʼ-gä,be-choseʼ-kä,be-tun̤ʼ-ga,be-sun̤ʼ-gä,eʼ-naw,be-jaʼ-ga,be-sun̤ʼ-gä,e-däʼ-je,be-jeʼ-me,eʼ-naw,e-däʼ-je,e-däʼ-je,e-däʼ-je,eʼ-naw,eʼ-naw,be-jaʼ-ga,be-jaʼ-ga,be-jeʼ-me,e-däʼ-je,e-däʼ-je,be-jeʼ-me,eʼ-naw,be-jeʼ-me,be-jaʼ-ga,be-jaʼ-ga,eʼ-naw,eʼ-naw
8,0.3465735902799726,1.0397207708399179,0.6931471805599453,be-sun̤ʼ-gä,be-sheʼ-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-tun̤ʼ-gä-zhinʼ-gä,be-cheʼ-do,be-tun̤ʼ-gä-zhin̤ʼ-gä,she-meʼ-she-gä,she-meʼ-she-gä,be-sun̤ʼ-gä,be-cheʼ-zho,eʼ-naw,be-tun̤ʼ-ga,be-jaʼ-ga,be-sheʼ-gä,be-jaʼ-ga,be-cheʼ-do,eʼ-naw,be-tun̤ʼ-ga,be-choseʼ-kä,be-zheʼ-thǎ,ah-seʼ-zhe-gä,eʼ-naw,be-cheʼ-zho,be-shoʼ-wa,ah-seʼ-zhe-gä,be-jaʼ-ga,be-jaʼ-ga,eʼ-naw,be-sun̤ʼ-gä,be-shoʼ-wa,be-tun̤ʼ-gä-zhinʼ-gä,be-tun̤ʼ-ga,be-shoseʼ-kä,be-cheʼ-do,be-shoʼ-wa,be-zheʼ-yeh,ah-seʼ-zhe-gä,be-sun̤ʼ-gä,be-jeʼ-me,eʼ-naw,e-däʼ-je,be-jaʼ-ga,eʼ-naw,be-jaʼ-ga,e-däʼ-je,be-jeʼ-me,e-däʼ-je,eʼ-naw,eʼ-naw,e-däʼ-je,be-jeʼ-me,e-däʼ-je,eʼ-naw,be-jeʼ-me,eʼ-naw,be-jaʼ-ga,be-jaʼ-ga,e-däʼ-je
9,0.3465735902799726,1.0397207708399179,0.6931471805599453,be-cheʼ-do,be-sun̤ʼ-gä,ah-seʼ-zhe-gä,be-zheʼ-yeh,ah-seʼ-zhe-gä,be-sheʼ-gä,be-tun̤ʼ-ga,be-sun̤ʼ-gä,be-cheʼ-do,be-choseʼ-kä,eʼ-naw,be-sun̤ʼ-gä,be-shoʼ-wa,be-sun̤ʼ-gä,be-shoʼ-wa,she-meʼ-she-gä,be-tun̤ʼ-ga,be-tun̤ʼ-gä-zhinʼ-gä,be-shoʼ-wa,be-jaʼ-ga,be-zheʼ-thǎ,be-cheʼ-do,she-meʼ-she-gä,be-sun̤ʼ-gä,be-sun̤ʼ-gä,be-jaʼ-ga,eʼ-naw,ah-seʼ-zhe-gä,be-sheʼ-gä,be-jaʼ-ga,be-jaʼ-ga,be-tun̤ʼ-gä-zhinʼ-gä,be-tun̤ʼ-gä-zhin̤ʼ-gä,eʼ-naw,be-shoseʼ-kä,be-tun̤ʼ-ga,be-cheʼ-zho,be-cheʼ-zho,eʼ-naw,e-däʼ-je,eʼ-naw,be-jeʼ-me,eʼ-naw,be-jeʼ-me,eʼ-naw,be-jeʼ-me,be-jeʼ-me,be-jaʼ-ga,eʼ-naw,e-däʼ-je,e-däʼ-je,eʼ-naw,be-jaʼ-ga,e-däʼ-je,be-jaʼ-ga,eʼ-naw,e-däʼ-je,be-jaʼ-ga,e-däʼ-je
