simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kadakwa,kadakwa,kadakwa,kadakwa,kadakwa,kanab,kada,kanab,kadakwa,kadakwa,kanugwa,kadakwa,kanugwa,kanugwa,kananji,kanugwa,kananji,kananji,kadakwa,kanab,kananji,kanab,kada,kanugwa,kadakwa,kadakwa,kanab,kadakwa,kadakwa,kananji,kada,kadakwa,kanugwa,kada,kananji,kadakwa,kadakwa,kanab,kane,kanjima,kanjima,kane,kalji,kanjima,kame,kame,kane,kane,kanei,kanei,kane,kanjima,kane,kalji,kalji,kame,kalji,kame
1,0.2120742666998534,1.376055285260417,1.1639810185605637,kadakwa,kada,kadakwa,kadakwa,kananji,kananji,kada,kananji,kadakwa,kadakwa,kadakwa,kada,kanugwa,kanugwa,kadakwa,kanab,kada,kanugwa,kananji,kadakwa,kadakwa,kanugwa,kanugwa,kadakwa,kanab,kanugwa,kananji,kanab,kadakwa,kadakwa,kadakwa,kanab,kadakwa,kadakwa,kanab,kadakwa,kanab,kananji,kalji,kanjima,kane,kame,kanei,kame,kalji,kanjima,kanjima,kame,kane,kane,kalji,kane,kanei,kanjima,kame,kalji,kane,kane
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kadakwa,kadakwa,kadakwa,kananji,kanugwa,kanab,kanab,kada,kada,kadakwa,kadakwa,kananji,kanugwa,kadakwa,kadakwa,kanab,kanab,kada,kanugwa,kadakwa,kanugwa,kadakwa,kadakwa,kadakwa,kananji,kananji,kanugwa,kada,kadakwa,kanab,kadakwa,kadakwa,kadakwa,kanab,kananji,kananji,kadakwa,kanugwa,kane,kanjima,kanjima,kane,kanjima,kalji,kanei,kalji,kane,kame,kame,kame,kane,kane,kanjima,kane,kanei,kame,kalji,kalji
3,0.2050581591442049,1.0346012329101812,0.8295430737659764,kanab,kanugwa,kananji,kadakwa,kanab,kananji,kanab,kanugwa,kadakwa,kadakwa,kada,kadakwa,kada,kadakwa,kadakwa,kadakwa,kanab,kananji,kadakwa,kadakwa,kadakwa,kanab,kadakwa,kanugwa,kadakwa,kananji,kadakwa,kananji,kada,kanugwa,kanugwa,kanugwa,kadakwa,kananji,kadakwa,kada,kanab,kadakwa,kame,kane,kalji,kane,kane,kane,kanjima,kame,kame,kanjima,kalji,kanei,kane,kalji,kanei,kanjima,kame,kalji,kanjima,kane
4,0.10603713334992682,1.0346012329101812,0.9285640995602544,kada,kadakwa,kanugwa,kadakwa,kanugwa,kananji,kadakwa,kadakwa,kananji,kanab,kanab,kadakwa,kanab,kanab,kadakwa,kananji,kada,kananji,kadakwa,kadakwa,kanugwa,kadakwa,kadakwa,kanugwa,kadakwa,kanab,kanab,kanugwa,kananji,kada,kananji,kadakwa,kadakwa,kadakwa,kanugwa,kada,kadakwa,kadakwa,kanjima,kalji,kalji,kane,kame,kanei,kanjima,kanjima,kame,kame,kanjima,kane,kalji,kanei,kane,kame,kalji,kane,kane,kane
5,0.10603713334992693,1.0346012329101812,0.9285640995602543,kanab,kananji,kanugwa,kadakwa,kanugwa,kadakwa,kanugwa,kanugwa,kanab,kada,kananji,kadakwa,kanugwa,kadakwa,kadakwa,kadakwa,kadakwa,kadakwa,kadakwa,kadakwa,kada,kananji,kadakwa,kadakwa,kadakwa,kanab,kanab,kananji,kadakwa,kadakwa,kadakwa,kanab,kada,kananji,kada,kanugwa,kananji,kanab,kalji,kane,kanei,kalji,kame,kanjima,kane,kanjima,kanjima,kalji,kanei,kane,kane,kame,kalji,kame,kane,kane,kame,kanjima
6,0.08878194993480437,1.3760552852604169,1.2872733353256125,kadakwa,kadakwa,kanugwa,kadakwa,kananji,kananji,kadakwa,kadakwa,kanab,kada,kanab,kanugwa,kadakwa,kanugwa,kanab,kadakwa,kanugwa,kadakwa,kadakwa,kadakwa,kadakwa,kada,kada,kananji,kadakwa,kananji,kadakwa,kadakwa,kadakwa,kananji,kanugwa,kananji,kanugwa,kadakwa,kada,kanab,kanab,kanab,kanei,kalji,kanjima,kane,kanei,kanjima,kame,kalji,kane,kane,kanjima,kame,kane,kame,kalji,kame,kane,kane,kalji,kanjima
7,0.24243302655595822,1.0346012329101812,0.792168206354223,kadakwa,kadakwa,kanugwa,kanab,kanab,kananji,kananji,kadakwa,kanab,kadakwa,kanugwa,kadakwa,kanab,kadakwa,kadakwa,kanugwa,kanugwa,kanugwa,kananji,kada,kadakwa,kanab,kananji,kadakwa,kadakwa,kada,kadakwa,kananji,kada,kadakwa,kadakwa,kadakwa,kanab,kanugwa,kada,kadakwa,kananji,kadakwa,kanei,kane,kalji,kane,kane,kalji,kane,kame,kanjima,kame,kanjima,kane,kame,kanei,kame,kanjima,kalji,kanjima,kalji,kane
8,0.2050581591442049,1.0346012329101812,0.8295430737659764,kananji,kadakwa,kadakwa,kanugwa,kanugwa,kanab,kanugwa,kanab,kadakwa,kanab,kada,kanab,kadakwa,kadakwa,kadakwa,kanugwa,kadakwa,kanugwa,kadakwa,kanab,kadakwa,kadakwa,kadakwa,kananji,kadakwa,kadakwa,kananji,kada,kananji,kada,kada,kadakwa,kananji,kadakwa,kananji,kanugwa,kanab,kadakwa,kalji,kanjima,kalji,kame,kane,kane,kame,kane,kanjima,kalji,kanei,kane,kane,kame,kanjima,kanei,kanjima,kame,kane,kalji
9,0.2050581591442049,1.0346012329101812,0.8295430737659764,kadakwa,kanugwa,kananji,kadakwa,kanugwa,kanugwa,kada,kadakwa,kadakwa,kanab,kada,kananji,kanab,kananji,kanab,kadakwa,kananji,kadakwa,kanugwa,kada,kadakwa,kadakwa,kananji,kanugwa,kadakwa,kadakwa,kadakwa,kanab,kanab,kadakwa,kada,kadakwa,kadakwa,kananji,kanugwa,kadakwa,kanab,kadakwa,kanei,kane,kanjima,kane,kanjima,kane,kane,kanjima,kalji,kame,kalji,kame,kane,kame,kanei,kalji,kame,kanjima,kalji,kane
