simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,fB,fZ,feB,fyB,fyZ,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mM,fM
0,0.3968196678087932,1.0437570363314086,0.6469373685226154,chiä,che cuña,che rìbìr,che riquieir,chiä,che quìbìr,tamba,zenotar,quipiir,yezupar,yaiche,che ru,tutir,mianga,che ru,che ái,yezupar,che ru,mianga,mianga,che zììr,yaiche,yaiche,che ru,tutir,che zììr,che zììr,ahi,tutir,yaiche,che zììr,che ru,yaiche,che ru,ahi,yaiche,ahi
1,0.715510116669013,1.0851886129676505,0.36967849629863747,che cuña,che rìbìr,chiä,tamba,zenotar,chiä,che riquieir,quipiir,che quìbìr,che zììr,ahi,yaiche,che ru,yaiche,yezupar,che ru,che zììr,mianga,che ái,tutir,yaiche,tutir,yaiche,che ru,yaiche,tutir,che ru,che zììr,ahi,che ru,yezupar,che zììr,mianga,ahi,che ru,mianga,yaiche
2,0.715510116669013,1.0851886129676505,0.36967849629863747,zenotar,chiä,tamba,che riquieir,chiä,quipiir,che quìbìr,che rìbìr,che cuña,che ru,che ru,che ru,che zììr,che zììr,mianga,yaiche,yaiche,mianga,yaiche,yezupar,che ru,che ru,tutir,tutir,yaiche,ahi,ahi,che ru,che zììr,yaiche,che zììr,yaiche,che ái,ahi,mianga,yezupar,tutir
3,0.3968196678087932,1.0437570363314086,0.6469373685226154,che cuña,che quìbìr,tamba,quipiir,zenotar,che rìbìr,che riquieir,chiä,chiä,yaiche,yaiche,yezupar,che zììr,che ái,mianga,yaiche,che ru,che ru,che zììr,tutir,yaiche,che zììr,che ru,yaiche,ahi,che ru,yezupar,che ru,ahi,che zììr,mianga,ahi,yaiche,mianga,che ru,tutir,tutir
4,0.6730116670092565,0.9502705392332347,0.2772588722239781,zenotar,chiä,che cuña,quipiir,chiä,che riquieir,che quìbìr,che rìbìr,tamba,ahi,tutir,mianga,yaiche,yaiche,che zììr,mianga,che zììr,yezupar,yaiche,che zììr,tutir,ahi,yaiche,yaiche,che ru,mianga,tutir,che ru,che ái,che zììr,yezupar,che ru,yaiche,che ru,che ru,ahi,che ru
5,0.3626763896514229,1.0096137581740383,0.6469373685226154,che riquieir,che cuña,quipiir,chiä,chiä,che rìbìr,zenotar,tamba,che quìbìr,ahi,che ru,che zììr,che ru,mianga,ahi,yaiche,che ru,che zììr,yezupar,tutir,mianga,che ái,ahi,che ru,yaiche,yaiche,yaiche,yezupar,che zììr,che ru,tutir,mianga,yaiche,tutir,che ru,che zììr,yaiche
6,0.6730116670092565,0.9502705392332347,0.2772588722239781,che rìbìr,tamba,che riquieir,che cuña,zenotar,quipiir,chiä,chiä,che quìbìr,che zììr,che ái,ahi,che ru,tutir,mianga,che ru,che ru,ahi,yezupar,che ru,che ru,yaiche,tutir,yaiche,yaiche,mianga,yaiche,che zììr,yaiche,yaiche,yezupar,ahi,che ru,che zììr,tutir,che zììr,mianga
7,0.5306708685196944,1.3624474851916286,0.8317766166719343,quipiir,chiä,che cuña,che rìbìr,tamba,che riquieir,che quìbìr,zenotar,chiä,che zììr,yezupar,yaiche,ahi,tutir,che ru,che ru,yezupar,ahi,mianga,yaiche,mianga,che ru,tutir,tutir,yaiche,yaiche,che ru,yaiche,che zììr,che ru,che ái,che zììr,che zììr,mianga,ahi,che ru,yaiche
8,0.3968196678087932,1.0437570363314086,0.6469373685226154,quipiir,che rìbìr,che cuña,che riquieir,zenotar,chiä,che quìbìr,tamba,chiä,che zììr,mianga,che ru,che zììr,tutir,che ru,mianga,che ru,ahi,yaiche,mianga,che zììr,che ái,yaiche,yaiche,che ru,yaiche,yaiche,yezupar,tutir,tutir,yezupar,che ru,che zììr,ahi,ahi,yaiche,che ru
9,0.6730116670092565,0.9502705392332347,0.2772588722239781,che rìbìr,chiä,chiä,quipiir,tamba,che riquieir,zenotar,che quìbìr,che cuña,che ru,tutir,ahi,ahi,che ru,che zììr,yaiche,che zììr,yaiche,yezupar,che zììr,che zììr,tutir,tutir,ahi,mianga,che ru,che ru,che ru,mianga,mianga,che ái,yaiche,yaiche,yaiche,yezupar,che ru,yaiche
