simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.3075351768479142,1.6788678539584616,1.3713326771105474,malûmi,mutó wange,ma:wento,ma:wento,malûmi,omulúmuna,omwi:wa,malûmi,omulúmuna,ma:wento,omulúmuna,malûmi,mutó wange,omwi:wa,omwi:wa,omwi:wa,ma:wento,mutó wange,omulúmuna,omulúmuna,ma:wento,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omulúmuna,mukúlu wange,omwi:wa,malûmi,omulúmuna,muñâ:ña,omulúmuna,omwi:wa,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,mukúlu wange,omulúmuna,ma:wento,omulúmuna,malûmi,omulúmuna,omulúmuna,malûmi,ma:wento,omulúmuna,ma:wento,omwi:wa,omwi:wa,omulúmuna,omwi:wa,omulúmuna,ma:wento,muñâ:ña,mutó wange,mukúlu wange,omulúmuna,malûmi,ma:wento,omwi:wa,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,mukúlu wange,omulúmuna,omulúmuna,malûmi,omulúmuna,má:(w)'énto,má:(w)'énto,tá(:)t'énkåzi,malûmi,malûmi,tá:t'ento,má:(w)'énto,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,má:(w)'énto,mâ:we,tá(:)t'énkåzi,mâ:we,tá(:)t'énkåzi,tá(:)t'énkåzi,tá:t'ento,tâ:ta,tá:t'ento,malûmi,tá:t'ento,tá(:)t'énkåzi,tá:t'ento,má:(w)'énto,malûmi,malûmi,tâ:ta,malûmi
1,0.27480543968563564,1.644458660581,1.3696532208953645,mutó wange,omulúmuna,omulúmuna,muñâ:ña,omulúmuna,omwi:wa,omwi:wa,omwi:wa,ma:wento,omwi:wa,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,ma:wento,malûmi,omulúmuna,omulúmuna,omwi:wa,ma:wento,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,ma:wento,omulúmuna,mukúlu wange,omwi:wa,omulúmuna,omulúmuna,ma:wento,omulúmuna,malûmi,ma:wento,omulúmuna,omwi:wa,malûmi,omulúmuna,mutó wange,mutó wange,omulúmuna,omwi:wa,omwi:wa,omulúmuna,malûmi,omulúmuna,omulúmuna,omulúmuna,mutó wange,omwi:wa,omwi:wa,malûmi,omwi:wa,omulúmuna,malûmi,omulúmuna,omwi:wa,omwi:wa,omwi:wa,ma:wento,omulúmuna,mukúlu wange,omulúmuna,malûmi,ma:wento,ma:wento,ma:wento,malûmi,malûmi,muñâ:ña,omulúmuna,malûmi,omulúmuna,mukúlu wange,omulúmuna,omwi:wa,omulúmuna,omwi:wa,mukúlu wange,omulúmuna,má:(w)'énto,má:(w)'énto,tá(:)t'énkåzi,tá(:)t'énkåzi,malûmi,tá:t'ento,mâ:we,malûmi,tá:t'ento,tá:t'ento,má:(w)'énto,malûmi,malûmi,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,má:(w)'énto,malûmi,tá(:)t'énkåzi,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,tá:t'ento,mâ:we,tá(:)t'énkåzi,tâ:ta,malûmi,tâ:ta
2,0.17752303580668372,1.7136800118600313,1.5361569760533476,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omwi:wa,malûmi,mukúlu wange,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,mukúlu wange,ma:wento,omulúmuna,malûmi,omwi:wa,omulúmuna,omwi:wa,omulúmuna,ma:wento,omwi:wa,omwi:wa,malûmi,malûmi,omulúmuna,omwi:wa,omwi:wa,omulúmuna,ma:wento,omulúmuna,omulúmuna,omulúmuna,omulúmuna,ma:wento,omulúmuna,omulúmuna,omulúmuna,omwi:wa,mutó wange,ma:wento,omulúmuna,ma:wento,omulúmuna,omwi:wa,omulúmuna,omulúmuna,malûmi,omulúmuna,omulúmuna,malûmi,omulúmuna,mukúlu wange,mutó wange,omulúmuna,omulúmuna,malûmi,omulúmuna,muñâ:ña,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omwi:wa,mukúlu wange,omwi:wa,muñâ:ña,omulúmuna,omulúmuna,malûmi,ma:wento,omwi:wa,mutó wange,omulúmuna,ma:wento,omwi:wa,omulúmuna,mutó wange,malûmi,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omwi:wa,omwi:wa,malûmi,ma:wento,ma:wento,malûmi,malûmi,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,tá:t'ento,má:(w)'énto,má:(w)'énto,mâ:we,má:(w)'énto,tá(:)t'énkåzi,tá(:)t'énkåzi,tá:t'ento,tá:t'ento,tá(:)t'énkåzi,malûmi,malûmi,tâ:ta,mâ:we,má:(w)'énto,malûmi,má:(w)'énto,tá(:)t'énkåzi,tá(:)t'énkåzi,tâ:ta,tá:t'ento,tá:t'ento,malûmi
3,0.26437341403444514,1.6783043430101383,1.4139309289756932,omulúmuna,malûmi,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,malûmi,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,mutó wange,ma:wento,omwi:wa,omwi:wa,muñâ:ña,omulúmuna,omulúmuna,omulúmuna,mukúlu wange,omulúmuna,malûmi,mukúlu wange,ma:wento,omulúmuna,omulúmuna,omwi:wa,omulúmuna,ma:wento,ma:wento,mutó wange,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omwi:wa,malûmi,omulúmuna,omulúmuna,mukúlu wange,mukúlu wange,malûmi,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,ma:wento,omulúmuna,omulúmuna,ma:wento,omwi:wa,ma:wento,omwi:wa,omwi:wa,malûmi,omwi:wa,mutó wange,malûmi,ma:wento,omwi:wa,omulúmuna,ma:wento,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,muñâ:ña,omulúmuna,ma:wento,omulúmuna,omwi:wa,malûmi,mutó wange,omwi:wa,omulúmuna,omulúmuna,omwi:wa,tá(:)t'énkåzi,malûmi,malûmi,tá:t'ento,tá(:)t'énkåzi,malûmi,mâ:we,tá(:)t'énkåzi,tá:t'ento,tá(:)t'énkåzi,tá:t'ento,tá(:)t'énkåzi,malûmi,má:(w)'énto,má:(w)'énto,má:(w)'énto,malûmi,má:(w)'énto,tá:t'ento,mâ:we,tâ:ta,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,tá:t'ento,malûmi,tâ:ta,má:(w)'énto
4,0.16166093662901027,1.7057134518151482,1.544052515186138,omwi:wa,omulúmuna,malûmi,omulúmuna,omulúmuna,omulúmuna,omwi:wa,muñâ:ña,omulúmuna,omwi:wa,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,mukúlu wange,ma:wento,mutó wange,omwi:wa,omulúmuna,mutó wange,omulúmuna,malûmi,omulúmuna,omulúmuna,omulúmuna,omwi:wa,malûmi,omulúmuna,ma:wento,omulúmuna,omwi:wa,omulúmuna,malûmi,muñâ:ña,omulúmuna,ma:wento,omulúmuna,omwi:wa,ma:wento,omwi:wa,ma:wento,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,ma:wento,mukúlu wange,mutó wange,omwi:wa,malûmi,omulúmuna,ma:wento,malûmi,ma:wento,omulúmuna,malûmi,mukúlu wange,omulúmuna,omulúmuna,ma:wento,omulúmuna,omulúmuna,ma:wento,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omulúmuna,mutó wange,omulúmuna,omulúmuna,omulúmuna,omwi:wa,malûmi,omwi:wa,mukúlu wange,omwi:wa,omwi:wa,omwi:wa,tá(:)t'énkåzi,tâ:ta,tá:t'ento,mâ:we,tá(:)t'énkåzi,tá:t'ento,malûmi,tá:t'ento,tâ:ta,malûmi,malûmi,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,malûmi,má:(w)'énto,má:(w)'énto,malûmi,tá(:)t'énkåzi,má:(w)'énto,mâ:we,tá(:)t'énkåzi,tá(:)t'énkåzi,tá:t'ento,má:(w)'énto,tá:t'ento,malûmi,má:(w)'énto
5,0.14842707320084192,1.6470819211316852,1.4986548479308432,malûmi,omwi:wa,ma:wento,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omwi:wa,malûmi,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omwi:wa,ma:wento,mutó wange,omulúmuna,ma:wento,omulúmuna,omulúmuna,malûmi,malûmi,omulúmuna,mutó wange,omulúmuna,omwi:wa,omulúmuna,ma:wento,omulúmuna,omwi:wa,omulúmuna,omulúmuna,malûmi,malûmi,omulúmuna,ma:wento,omwi:wa,omulúmuna,omwi:wa,ma:wento,omwi:wa,mukúlu wange,omulúmuna,muñâ:ña,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,ma:wento,omwi:wa,malûmi,omulúmuna,muñâ:ña,omulúmuna,malûmi,mukúlu wange,mukúlu wange,omulúmuna,omwi:wa,omulúmuna,omulúmuna,mukúlu wange,omulúmuna,mutó wange,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,ma:wento,omwi:wa,omulúmuna,omwi:wa,ma:wento,omulúmuna,omulúmuna,omulúmuna,malûmi,malûmi,ma:wento,omulúmuna,mutó wange,omulúmuna,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,malûmi,tá:t'ento,malûmi,má:(w)'énto,tâ:ta,mâ:we,tá(:)t'énkåzi,tá(:)t'énkåzi,malûmi,tá(:)t'énkåzi,tâ:ta,malûmi,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,tá(:)t'énkåzi,malûmi,tá:t'ento,má:(w)'énto,tá:t'ento,tá:t'ento,malûmi,má:(w)'énto,mâ:we,má:(w)'énto
6,0.22460111985701126,1.7102210780733391,1.4856199582163279,ma:wento,omulúmuna,mutó wange,malûmi,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,omulúmuna,omwi:wa,omulúmuna,muñâ:ña,ma:wento,muñâ:ña,omulúmuna,malûmi,omulúmuna,omulúmuna,ma:wento,omulúmuna,mukúlu wange,omulúmuna,omulúmuna,omulúmuna,omwi:wa,ma:wento,omulúmuna,malûmi,omulúmuna,omulúmuna,omwi:wa,mukúlu wange,omulúmuna,omwi:wa,omulúmuna,mutó wange,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omulúmuna,malûmi,omulúmuna,mutó wange,omulúmuna,ma:wento,omwi:wa,mukúlu wange,omulúmuna,omwi:wa,ma:wento,omulúmuna,omwi:wa,omulúmuna,omwi:wa,omulúmuna,malûmi,omulúmuna,mutó wange,malûmi,omwi:wa,omwi:wa,mukúlu wange,ma:wento,omwi:wa,ma:wento,omulúmuna,malûmi,malûmi,omulúmuna,ma:wento,omulúmuna,ma:wento,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omulúmuna,tá(:)t'énkåzi,tá:t'ento,malûmi,tá(:)t'énkåzi,tá(:)t'énkåzi,malûmi,malûmi,malûmi,tá:t'ento,mâ:we,má:(w)'énto,tá:t'ento,tá:t'ento,má:(w)'énto,má:(w)'énto,tá(:)t'énkåzi,malûmi,tâ:ta,mâ:we,má:(w)'énto,tá:t'ento,malûmi,má:(w)'énto,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,tâ:ta,tá(:)t'énkåzi
7,0.1440953112259553,1.6539565959112266,1.5098612846852713,omulúmuna,omwi:wa,omulúmuna,omwi:wa,malûmi,omulúmuna,mukúlu wange,omulúmuna,mukúlu wange,mutó wange,omulúmuna,ma:wento,ma:wento,muñâ:ña,mukúlu wange,omulúmuna,malûmi,omulúmuna,omwi:wa,ma:wento,omulúmuna,malûmi,omwi:wa,omulúmuna,omwi:wa,omulúmuna,malûmi,malûmi,omulúmuna,ma:wento,omwi:wa,omulúmuna,omwi:wa,ma:wento,omulúmuna,omwi:wa,ma:wento,malûmi,ma:wento,omulúmuna,omulúmuna,omwi:wa,omulúmuna,malûmi,omulúmuna,omulúmuna,omulúmuna,malûmi,ma:wento,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,mutó wange,malûmi,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omulúmuna,mutó wange,omwi:wa,omulúmuna,muñâ:ña,mutó wange,mukúlu wange,omulúmuna,omwi:wa,ma:wento,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,ma:wento,omulúmuna,omulúmuna,omwi:wa,omwi:wa,má:(w)'énto,malûmi,má:(w)'énto,malûmi,tá(:)t'énkåzi,malûmi,tá(:)t'énkåzi,má:(w)'énto,tá(:)t'énkåzi,tá(:)t'énkåzi,tâ:ta,tá:t'ento,malûmi,tá:t'ento,malûmi,tá:t'ento,tá(:)t'énkåzi,má:(w)'énto,má:(w)'énto,mâ:we,tâ:ta,mâ:we,má:(w)'énto,tá:t'ento,tá(:)t'énkåzi,tá:t'ento,malûmi,tá:t'ento
8,0.15127519517617105,1.638561315499683,1.487286120323512,omwi:wa,omulúmuna,omulúmuna,malûmi,omulúmuna,omulúmuna,omwi:wa,mutó wange,omwi:wa,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omwi:wa,malûmi,omwi:wa,omulúmuna,ma:wento,omwi:wa,omulúmuna,ma:wento,ma:wento,omwi:wa,omulúmuna,omulúmuna,omulúmuna,mukúlu wange,omulúmuna,ma:wento,malûmi,malûmi,omulúmuna,omwi:wa,mutó wange,malûmi,malûmi,omulúmuna,omulúmuna,muñâ:ña,muñâ:ña,ma:wento,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,ma:wento,omulúmuna,mutó wange,malûmi,omwi:wa,mukúlu wange,ma:wento,malûmi,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omwi:wa,mukúlu wange,omulúmuna,omulúmuna,mutó wange,omwi:wa,ma:wento,omwi:wa,ma:wento,mukúlu wange,ma:wento,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,tá:t'ento,malûmi,tá:t'ento,tá:t'ento,tá(:)t'énkåzi,tá(:)t'énkåzi,tâ:ta,tâ:ta,tá(:)t'énkåzi,malûmi,malûmi,malûmi,mâ:we,tá(:)t'énkåzi,má:(w)'énto,tá(:)t'énkåzi,má:(w)'énto,má:(w)'énto,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,malûmi,mâ:we,tá:t'ento,má:(w)'énto,tá:t'ento,malûmi,má:(w)'énto
9,0.239020966882725,1.6852112604585092,1.4461902935757842,malûmi,ma:wento,omwi:wa,omulúmuna,omulúmuna,omulúmuna,mukúlu wange,ma:wento,malûmi,omwi:wa,omulúmuna,mukúlu wange,ma:wento,ma:wento,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omwi:wa,mutó wange,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omulúmuna,malûmi,omwi:wa,omulúmuna,ma:wento,omwi:wa,muñâ:ña,omulúmuna,malûmi,omulúmuna,omulúmuna,mutó wange,ma:wento,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omwi:wa,mutó wange,omulúmuna,omwi:wa,omwi:wa,omulúmuna,ma:wento,ma:wento,omwi:wa,omulúmuna,omwi:wa,omulúmuna,omulúmuna,omwi:wa,malûmi,mukúlu wange,omulúmuna,mutó wange,malûmi,muñâ:ña,malûmi,omwi:wa,omulúmuna,ma:wento,omulúmuna,ma:wento,omulúmuna,malûmi,omulúmuna,malûmi,malûmi,mukúlu wange,omulúmuna,omwi:wa,omulúmuna,mâ:we,malûmi,má:(w)'énto,má:(w)'énto,malûmi,má:(w)'énto,tá(:)t'énkåzi,tá:t'ento,tá:t'ento,tá(:)t'énkåzi,tá(:)t'énkåzi,tá:t'ento,tá(:)t'énkåzi,tá(:)t'énkåzi,tá:t'ento,má:(w)'énto,tâ:ta,malûmi,malûmi,tá:t'ento,má:(w)'énto,tá(:)t'énkåzi,mâ:we,tâ:ta,má:(w)'énto,tá:t'ento,malûmi,malûmi
