simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,fB,fZ,meB,myB,meZ,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mM,fF,fM,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.16329144791753092,1.673429857444066,1.510138409526535,util,util,util,yây,util,ʊkↄ:m,util,mutshimu,ʊkↄ:m,util,util,yây,util,util,util,util,util,yây,util,mutshimu,util,util,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,util,util,util,util,m'pange,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,ngwâs,ngwâs,mâm,târ,mâm,mâm,ngwâs,ta',târ,m'ma',târ,târ,târ ↄkånd,târ,mâm,târ ↄkånd,târ,ta',mâm,târ ↄkånd,târ ↄkånd,ngwâs,ngwâs,ngwâs,m'ma',mâm,târ ↄkånd,târ ↄkånd
1,0.11356732021644156,1.6759682919297654,1.5624009717133238,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,util,util,util,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,mutshimu,util,util,util,util,util,util,util,yây,ʊkↄ:m,util,util,util,util,util,util,m'pange,util,util,util,util,ʊkↄ:m,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,mutshimu,util,ʊkↄ:m,util,util,târ ↄkånd,târ,mâm,ngwâs,ngwâs,ngwâs,târ ↄkånd,târ ↄkånd,ngwâs,ta',târ ↄkånd,mâm,târ,ta',ngwâs,târ ↄkånd,m'ma',m'ma',mâm,târ,mâm,mâm,târ,târ,târ,mâm,târ ↄkånd,ngwâs
2,0.10611702702653392,1.6845007026308196,1.5783836756042857,util,mutshimu,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,mutshimu,util,util,util,util,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,m'pange,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,yây,util,util,util,ʊkↄ:m,util,util,yây,util,util,util,util,util,util,util,util,util,util,util,m'pange,yây,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,m'ma',ta',mâm,târ ↄkånd,ngwâs,ngwâs,târ ↄkånd,ngwâs,târ,târ,ngwâs,târ ↄkånd,mâm,târ,m'ma',ngwâs,târ,târ,ta',târ ↄkånd,târ,ngwâs,mâm,mâm,mâm,târ ↄkånd,târ ↄkånd,mâm
3,0.1595664193074473,1.6967617971582847,1.5371953778508374,util,util,util,util,yây,util,util,util,util,util,yây,ʊkↄ:m,util,util,util,util,util,m'pange,util,m'pange,util,util,util,util,util,util,util,util,util,mutshimu,mutshimu,util,yây,util,util,ʊkↄ:m,util,util,ʊkↄ:m,util,util,util,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,mâm,târ ↄkånd,târ,mâm,ngwâs,ngwâs,mâm,târ ↄkånd,mâm,târ,ngwâs,m'ma',ta',târ ↄkånd,târ ↄkånd,mâm,târ,ngwâs,târ,ngwâs,mâm,târ,ngwâs,târ ↄkånd,ta',târ ↄkånd,m'ma',târ
4,0.08991105460915128,1.722338527383312,1.6324274727741608,util,util,util,util,util,yây,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,m'pange,yây,util,util,mutshimu,util,util,util,util,util,util,ʊkↄ:m,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,m'pange,util,util,util,util,yây,util,util,util,util,util,ʊkↄ:m,util,util,mutshimu,util,util,util,util,util,util,util,util,util,util,ngwâs,târ,târ ↄkånd,mâm,m'ma',ngwâs,m'ma',târ,târ,ngwâs,târ,ngwâs,târ ↄkånd,târ,mâm,mâm,târ ↄkånd,ngwâs,târ,ta',ngwâs,ta',târ ↄkånd,mâm,târ ↄkånd,mâm,mâm,târ ↄkånd
5,0.13658823291432287,1.6605754274491369,1.523987194534814,util,yây,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,m'pange,util,util,ʊkↄ:m,util,util,util,util,util,util,util,mutshimu,util,util,mutshimu,util,util,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m,util,util,util,yây,util,util,util,util,util,util,util,m'pange,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,mâm,târ ↄkånd,târ ↄkånd,mâm,mâm,târ ↄkånd,ngwâs,târ,ngwâs,ngwâs,ngwâs,m'ma',mâm,târ,mâm,ta',ngwâs,târ ↄkånd,târ,târ ↄkånd,târ ↄkånd,mâm,ngwâs,târ,ta',târ,m'ma',târ
6,0.12468832424259113,1.673429857444066,1.548741533201475,m'pange,util,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,util,util,yây,util,mutshimu,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,mutshimu,ʊkↄ:m,util,yây,util,util,util,util,util,util,util,util,util,util,ngwâs,mâm,mâm,ngwâs,mâm,ngwâs,târ,târ,m'ma',ta',târ,mâm,târ,ngwâs,târ,ngwâs,târ ↄkånd,târ ↄkånd,târ ↄkånd,târ ↄkånd,ngwâs,mâm,mâm,târ ↄkånd,târ,ta',m'ma',târ ↄkånd
7,0.15127652624273868,1.6708508053345712,1.5195742790918325,util,util,util,util,yây,util,util,util,util,util,util,util,mutshimu,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,ʊkↄ:m,util,util,util,m'pange,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,mutshimu,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,m'pange,util,m'ma',târ,târ ↄkånd,ngwâs,târ,mâm,ngwâs,târ,târ ↄkånd,târ ↄkånd,mâm,târ,ngwâs,mâm,ngwâs,mâm,ngwâs,târ,târ ↄkånd,ngwâs,târ,târ ↄkånd,târ ↄkånd,mâm,ta',m'ma',mâm,ta'
8,0.11507932733525772,1.6707013055143323,1.5556219781790745,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,util,util,util,util,util,util,util,util,util,util,util,yây,yây,util,m'pange,util,util,util,util,util,mutshimu,util,util,util,util,util,util,mutshimu,util,util,util,util,util,util,ʊkↄ:m,util,util,yây,util,util,util,util,ʊkↄ:m,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,mâm,târ ↄkånd,târ ↄkånd,ngwâs,ngwâs,târ ↄkånd,târ,ngwâs,ngwâs,mâm,ta',ngwâs,târ,m'ma',mâm,m'ma',târ,târ ↄkånd,târ ↄkånd,ngwâs,mâm,mâm,târ,târ,mâm,târ,ta',târ ↄkånd
9,0.10133149390675578,1.6911799471184543,1.5898484532116985,ʊkↄ:m,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,util,util,util,util,util,util,util,util,util,util,util,yây,yây,util,util,util,util,util,yây,util,util,util,util,util,util,util,util,util,mutshimu,ʊkↄ:m,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,util,util,util,yây,util,mutshimu,util,util,util,util,util,util,util,m'pange,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,mâm,mâm,ta',ngwâs,târ,târ,târ,mâm,târ,ngwâs,târ,târ ↄkånd,mâm,mâm,ngwâs,mâm,ta',târ ↄkånd,târ ↄkånd,târ ↄkånd,târ ↄkånd,m'ma',târ,ngwâs,târ ↄkånd,ngwâs,ngwâs,m'ma'
