simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09440058009703112,1.429811454570592,1.3354108744735609,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,sisko,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,setæ,isæ,tæti,setæ,eno,eno,tæti,setæ,tæti,æiti,setæ,setæ,tæti,tæti,tæti,eno,eno,æiti,tæti,tæti,eno,tæti,eno,tæti,tæti,isæ,setæ,tæti
1,0.08107348307092321,1.3832984354821214,1.3022249524111982,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,tæti,æiti,tæti,eno,eno,tæti,eno,tæti,setæ,tæti,isæ,tæti,setæ,tæti,tæti,setæ,eno,setæ,tæti,eno,isæ,tæti,eno,tæti,tæti,æiti,setæ,setæ
2,0.11335180105159282,1.418493179283555,1.305141378231962,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,sisko,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,isæ,eno,eno,isæ,æiti,tæti,tæti,tæti,tæti,eno,eno,setæ,setæ,setæ,tæti,tæti,eno,tæti,setæ,tæti,eno,æiti,setæ,tæti,tæti,tæti,setæ,tæti
3,0.07309501789465078,1.3929674150890041,1.3198723971943533,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,nuor̃empi weli,tæti,æiti,tæti,setæ,tæti,setæ,setæ,tæti,tæti,setæ,eno,tæti,tæti,eno,eno,setæ,eno,tæti,eno,eno,æiti,tæti,tæti,isæ,tæti,isæ,tæti,setæ
4,0.13053237883065827,1.4589431166203304,1.3284107377896721,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,æiti,tæti,eno,tæti,tæti,isæ,setæ,tæti,tæti,setæ,tæti,tæti,tæti,tæti,setæ,setæ,isæ,eno,tæti,æiti,eno,eno,tæti,eno,tæti,setæ,eno,setæ
5,0.19413056746944668,1.4092941752841612,1.2151636078147146,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,æiti,setæ,æiti,tæti,tæti,setæ,tæti,setæ,setæ,tæti,eno,isæ,tæti,eno,tæti,setæ,tæti,eno,eno,tæti,tæti,tæti,tæti,eno,eno,tæti,isæ,setæ
6,0.06374289640495423,1.4181067568498773,1.354363860444923,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,nuor̃empi sisar̃,ser̃kku,weli,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,tæti,setæ,tæti,eno,tæti,setæ,tæti,setæ,setæ,isæ,setæ,tæti,tæti,tæti,tæti,setæ,eno,tæti,isæ,æiti,eno,eno,eno,tæti,tæti,tæti,eno,æiti
7,0.07809186938628021,1.319453922742023,1.2413620533557428,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,tæti,eno,tæti,setæ,setæ,eno,setæ,æiti,tæti,tæti,setæ,tæti,eno,isæ,tæti,tæti,eno,tæti,setæ,tæti,eno,isæ,eno,tæti,æiti,setæ,tæti,tæti
8,0.14533008995495833,1.4006757001013965,1.2553456101464382,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,nuor̃empi sisar̃,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,sisko,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,æiti,isæ,setæ,eno,tæti,tæti,eno,eno,eno,tæti,tæti,tæti,setæ,æiti,setæ,setæ,isæ,tæti,tæti,tæti,tæti,eno,tæti,tæti,eno,setæ,tæti,setæ
9,0.08805862598977598,1.346239457645568,1.258180831655792,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,ser̃kku,nuor̃empi weli,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi sisar̃,ser̃kku,sisko,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,setæ,æiti,tæti,tæti,tæti,eno,setæ,eno,tæti,setæ,tæti,setæ,tæti,æiti,isæ,eno,tæti,tæti,tæti,setæ,tæti,eno,tæti,setæ,tæti,eno,isæ,eno
