simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.023050043677617427,0.6892163745019184,0.666166330824301,tua'ane,tua'ana,tuahine,tua'ane,tuahine,tua'ane,tua'ane,tuahine,tuahine,tuahine,tuahine,tua'ana,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tua'ana,teina,teina,tua'ana,tua'ana,teina,tuahine,tua'ane,teina,tua'ane,tua'ane,tua'ana,teina,tuahine,tuahine,tua'ana,tua'ane,teina,tuahine,teina,tuahine,tua'ane,tuahine,tuahine,tua'ane,tua'ane,teina,tua'ane,tuahine,tuahine,tuahine,tua'ane,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tua'ana,tua'ana,tuahine,teina,tuahine,teina,tua'ana,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine
1,0.020687798666607526,0.6834216514972256,0.662733852830618,tua'ane,tuahine,teina,tua'ane,tua'ane,tua'ane,tuahine,tua'ana,tuahine,teina,tua'ane,tua'ana,tua'ane,tua'ana,tuahine,tua'ane,tuahine,tuahine,tua'ane,tuahine,tuahine,tuahine,tuahine,tua'ane,tuahine,tuahine,tuahine,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tua'ana,tua'ane,tua'ana,tua'ana,tua'ane,tua'ane,tua'ane,tua'ane,tuahine,teina,teina,tuahine,tuahine,teina,tua'ane,tua'ane,teina,tua'ane,tuahine,tua'ana,tua'ana,teina,tua'ane,tuahine,tuahine,teina,teina,teina,tua'ane,tuahine,tuahine,tua'ana,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua vahine
2,0.058190998270127414,0.6911429570779357,0.6329519588078083,tua'ane,tua'ane,tua'ane,tua'ana,tua'ane,tua'ane,tua'ana,tuahine,tua'ane,tua'ana,teina,teina,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tua'ana,tuahine,tuahine,tua'ane,tua'ane,tuahine,tua'ana,tua'ane,tuahine,tuahine,teina,teina,tuahine,teina,tuahine,tuahine,tuahine,tuahine,tua'ane,tua'ana,tuahine,tuahine,teina,tua'ane,teina,tuahine,tua'ana,teina,tua'ane,tuahine,tuahine,tua'ane,tua'ane,tua'ana,tua'ane,tuahine,tua'ane,tua'ane,tuahine,tua'ane,teina,tua'ana,tuahine,tuahine,tua'ana,teina,tua'ane,tuahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua tane
3,0.0218621019658487,0.6911429570779357,0.669280855112087,teina,teina,teina,tua'ana,tuahine,tuahine,teina,tua'ana,tua'ane,tua'ana,tuahine,tua'ane,teina,tuahine,tuahine,tuahine,teina,tua'ane,tua'ane,tua'ane,tua'ane,tuahine,tua'ane,tua'ane,tua'ana,tua'ana,teina,tua'ane,tuahine,teina,tuahine,tuahine,tua'ana,teina,tua'ane,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tuahine,tuahine,tuahine,tua'ana,tuahine,tua'ane,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tuahine,tuahine,teina,tua'ana,tua'ane,tua'ana,tua'ane,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tuahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane
4,0.035133146754484645,0.6930670630541902,0.6579339162997055,teina,tua'ane,tuahine,tua'ana,tuahine,tua'ane,tua'ane,tuahine,tuahine,tuahine,tuahine,teina,tua'ane,tuahine,tuahine,tua'ane,tua'ana,tuahine,teina,tua'ane,tua'ane,teina,tua'ane,tuahine,tua'ane,tua'ane,teina,tuahine,tua'ana,tua'ane,tua'ana,tua'ane,tuahine,teina,tua'ane,teina,tuahine,tuahine,tua'ane,tuahine,tuahine,teina,tua'ane,tua'ana,tuahine,tuahine,tua'ane,tua'ane,tua'ana,tuahine,tua'ane,tuahine,tuahine,tuahine,tua'ana,tua'ane,tua'ana,tua'ana,teina,tua'ane,tua'ane,tuahine,teina,tua'ana,tua'ane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine
5,0.024851744323023506,0.6911429570779357,0.6662912127549122,tuahine,tuahine,teina,tua'ane,tua'ane,tuahine,tua'ane,tua'ane,teina,tua'ana,tua'ana,tuahine,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tuahine,tua'ane,tua'ana,tua'ane,tua'ane,tua'ana,tua'ana,tua'ane,teina,tua'ane,tuahine,tua'ana,tuahine,teina,tuahine,teina,tuahine,tuahine,tua'ane,tua'ana,tua'ane,teina,tuahine,tua'ana,tuahine,tua'ane,teina,tua'ane,tua'ane,tuahine,teina,tuahine,tua'ane,teina,tua'ane,tuahine,tuahine,tuahine,tuahine,tua'ane,tuahine,tuahine,tua'ane,tua'ane,teina,tua'ana,tua'ane,tuahine,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua tane
6,0.1213081425621183,0.6501461619120047,0.5288380193498864,tua'ane,tua'ana,tua'ana,tuahine,tua'ane,tua'ana,tuahine,tuahine,tua'ane,tua'ane,teina,teina,tua'ana,tuahine,tua'ane,tuahine,tua'ane,tuahine,tua'ana,tua'ane,tuahine,tua'ane,tua'ana,tua'ana,tua'ane,tua'ane,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tuahine,tuahine,teina,tuahine,tuahine,tuahine,tua'ana,tua'ane,tua'ane,tua'ane,tuahine,teina,tuahine,teina,teina,tua'ane,tuahine,tua'ane,teina,teina,tua'ane,tua'ana,teina,tuahine,tuahine,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tuahine,tuahine,tua'ane,teina,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua tane
7,0.06581797297148073,0.6795459060506643,0.6137279330791836,teina,tuahine,tua'ane,tuahine,tua'ane,tua'ane,tua'ana,tua'ane,tua'ana,tuahine,tua'ana,tuahine,tua'ane,teina,tuahine,teina,tuahine,tuahine,tuahine,tua'ane,tuahine,tuahine,tua'ane,tuahine,tua'ana,tua'ana,teina,tuahine,tua'ane,teina,tua'ane,tua'ane,tua'ane,tuahine,tuahine,tua'ane,tua'ane,teina,tua'ane,tuahine,tua'ane,teina,tua'ane,tua'ana,tua'ana,tua'ane,tuahine,tuahine,tuahine,tuahine,tua'ane,tuahine,teina,tuahine,tua'ane,tuahine,teina,tuahine,tua'ana,tua'ana,tua'ana,tua'ane,teina,tua'ane,tua'ane,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua tane,metua vahine
8,0.016308376982534845,0.6750113186700089,0.658702941687474,tua'ane,tuahine,tua'ana,tuahine,tua'ana,tuahine,tua'ana,tua'ana,tua'ane,tuahine,tua'ane,tua'ana,tuahine,tuahine,tua'ane,tuahine,tua'ane,tua'ane,tua'ane,tua'ane,teina,tua'ane,tuahine,teina,teina,tuahine,tua'ana,tua'ane,teina,tuahine,tua'ane,teina,tuahine,tua'ane,tua'ane,tua'ana,tua'ana,teina,tua'ane,tua'ane,teina,tua'ana,tua'ane,tua'ane,teina,tuahine,tuahine,tua'ane,tuahine,tuahine,teina,tua'ane,tuahine,tuahine,tua'ane,tuahine,tua'ana,teina,tuahine,tuahine,tua'ane,tuahine,tuahine,tuahine,tua'ane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua tane,metua vahine
9,0.02301126105494533,0.6892163745019184,0.6662051134469731,teina,tua'ane,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tua'ane,tua'ana,tua'ana,tua'ana,tuahine,tua'ane,tua'ane,tuahine,tua'ane,tuahine,tuahine,teina,tuahine,teina,tua'ana,tua'ane,tuahine,tua'ane,tuahine,tuahine,tua'ana,tuahine,tua'ane,tua'ana,tua'ane,tua'ane,tuahine,tuahine,tua'ane,tua'ane,tua'ane,teina,tuahine,tua'ane,tuahine,tuahine,tuahine,teina,teina,tua'ane,tuahine,tua'ane,tua'ana,tuahine,tua'ane,tua'ane,teina,tuahine,tua'ane,tua'ana,teina,tuahine,tuahine,tua'ane,tuahine,tua'ana,teina,teina,metua tane,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine,metua tane,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua vahine,metua vahine,metua vahine,metua vahine,metua vahine,metua tane,metua tane,metua tane,metua tane,metua vahine
