simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.10018265835461304,1.1599182850989416,1.0597356267443285,panku,panku,tyatyarra,kapuku,papa,panku,panku,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,kawulu,panku,tyatyarra,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,kawulu,kapuku,panku,panku,panku,ngapa,panku,panku,ngapa,panku,panku,panku,ngatyi,ngatyi,ngamirni,mukul,ngamirni,mukul,ngama,ngatyi,ngamirni,ngatyi,ngatyi,mukul,ngatyi,ngamirni,ngatyi,mukul,mukul,ngamirni,ngatyi,ngama,mukul,ngamirni
1,0.1667728912518125,1.2981705597835147,1.1313976685317022,ngapa,panku,ngapa,panku,panku,panku,kawulu,kapuku,kawulu,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,kapuku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,tyatyarra,panku,papa,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,ngatyi,mukul,mukul,mukul,ngamirni,ngatyi,ngamirni,ngatyi,ngamirni,ngama,ngamirni,ngatyi,ngamirni,ngatyi,mukul,ngatyi,ngatyi,ngatyi,mukul,mukul,ngamirni,ngama
2,0.16615318564049297,1.217316080079294,1.051162894438801,panku,panku,panku,panku,panku,panku,panku,kawulu,panku,tyatyarra,tyatyarra,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,kapuku,panku,panku,panku,panku,kawulu,panku,papa,panku,ngapa,panku,panku,kapuku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,ngapa,panku,panku,panku,panku,ngamirni,ngamirni,ngamirni,ngatyi,ngatyi,mukul,ngama,ngatyi,mukul,ngamirni,ngamirni,ngatyi,mukul,mukul,ngatyi,ngama,mukul,ngatyi,ngatyi,ngamirni,mukul,ngatyi
3,0.15163923755530884,1.286933939716667,1.1352947021613582,panku,panku,panku,ngapa,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,ngapa,panku,tyatyarra,tyatyarra,panku,panku,panku,panku,kapuku,panku,kawulu,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,papa,panku,tyatyarra,kapuku,panku,panku,panku,panku,panku,panku,tyatyarra,panku,panku,kawulu,ngatyi,ngamirni,mukul,ngatyi,mukul,ngatyi,mukul,mukul,mukul,mukul,ngamirni,ngamirni,ngatyi,ngama,ngama,ngamirni,ngamirni,ngatyi,ngatyi,ngamirni,ngatyi,ngatyi
4,0.16875917949063957,1.3467409162460857,1.1779817367554462,panku,panku,kapuku,ngapa,panku,panku,panku,panku,panku,ngapa,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,kawulu,panku,panku,panku,panku,panku,tyatyarra,panku,panku,kawulu,panku,panku,kapuku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,papa,tyatyarra,panku,panku,tyatyarra,panku,panku,ngama,ngatyi,ngatyi,ngatyi,mukul,mukul,ngamirni,ngatyi,ngamirni,ngatyi,mukul,ngatyi,ngamirni,ngamirni,ngamirni,ngama,ngatyi,mukul,mukul,mukul,ngamirni,ngatyi
5,0.18706202132440453,1.275374564844003,1.0883125435195984,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,kawulu,panku,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,kawulu,panku,panku,panku,kapuku,ngapa,papa,ngapa,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,kapuku,panku,panku,ngatyi,mukul,ngamirni,mukul,ngamirni,ngamirni,ngamirni,mukul,ngamirni,ngatyi,mukul,ngatyi,ngama,mukul,ngatyi,ngatyi,ngatyi,ngatyi,ngatyi,ngamirni,ngama,mukul
6,0.15938681968652335,1.2488259475463785,1.0894391278598552,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,tyatyarra,ngapa,panku,panku,panku,panku,ngapa,panku,panku,papa,tyatyarra,panku,panku,tyatyarra,panku,panku,panku,kapuku,kawulu,panku,kapuku,panku,panku,panku,panku,panku,panku,panku,kawulu,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,mukul,ngatyi,ngamirni,mukul,mukul,ngatyi,ngatyi,ngatyi,ngamirni,ngatyi,mukul,mukul,ngamirni,ngamirni,ngamirni,mukul,ngatyi,ngatyi,ngamirni,ngama,ngama,ngatyi
7,0.18925875704370476,1.301136984487395,1.1118782274436902,panku,panku,panku,panku,panku,tyatyarra,panku,panku,kawulu,panku,panku,panku,ngapa,panku,panku,panku,panku,panku,panku,panku,ngapa,tyatyarra,papa,panku,tyatyarra,panku,panku,kawulu,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,tyatyarra,kapuku,kapuku,panku,panku,panku,panku,ngamirni,ngamirni,ngatyi,mukul,ngatyi,mukul,ngatyi,ngamirni,ngatyi,ngama,ngamirni,ngatyi,mukul,ngatyi,mukul,ngamirni,mukul,ngamirni,ngatyi,ngatyi,ngama,mukul
8,0.16567049007462287,1.2328609919785622,1.0671905019039394,panku,panku,panku,ngapa,panku,panku,panku,panku,panku,papa,panku,kawulu,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,kapuku,tyatyarra,panku,tyatyarra,panku,panku,panku,panku,panku,ngapa,panku,panku,panku,panku,panku,panku,panku,panku,tyatyarra,panku,panku,panku,kapuku,panku,kawulu,ngamirni,ngamirni,mukul,mukul,ngatyi,ngamirni,ngatyi,ngatyi,ngatyi,ngama,ngatyi,mukul,ngamirni,ngatyi,mukul,ngatyi,ngatyi,ngama,mukul,ngamirni,ngamirni,mukul
9,0.15702730422951694,1.311163195264807,1.1541358910352901,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,ngapa,panku,panku,ngapa,panku,panku,kapuku,panku,kawulu,panku,panku,panku,panku,panku,kapuku,panku,tyatyarra,panku,papa,panku,panku,panku,panku,tyatyarra,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,panku,kawulu,tyatyarra,ngama,ngamirni,ngamirni,ngatyi,ngamirni,ngatyi,ngatyi,mukul,ngatyi,mukul,ngatyi,ngatyi,ngama,mukul,ngamirni,ngatyi,ngamirni,mukul,mukul,ngatyi,ngamirni,mukul
