simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0460614763492917,1.1263821356691475,1.0803206593198558,neef,nicht,neef,neef,neef,neef,nicht,nicht,nicht,nicht,neef,nicht,nicht,neef,neef,nicht,neef,neef,nicht,zus,neef,neef,nicht,neef,broer,broer,neef,nicht,neef,nicht,nicht,zus,neef,neef,neef,broer,nicht,nicht,nicht,neef,neef,nicht,neef,nicht,nicht,nicht,zus,nicht,neef,nicht,neef,nicht,neef,neef,zus,neef,nicht,neef,neef,nicht,nicht,nicht,nicht,neef,neef,neef,neef,broer,neef,neef,zus,neef,nicht,zus,nicht,broer,neef,neef,nicht,nicht,nicht,neef,nicht,neef,nicht,nicht,broer,nicht,nicht,nicht,tante,oom,tante,moeder,oom,tante,oom,tante,tante,moeder,tante,vader,oom,tante,oom,tante,tante,oom,vader,tante,oom,oom,oom,tante,oom,tante,oom,oom
1,0.04896626203108889,1.0976477338834902,1.0486814718524013,neef,nicht,neef,nicht,neef,neef,neef,neef,broer,nicht,neef,zus,neef,nicht,neef,neef,nicht,neef,nicht,nicht,nicht,nicht,neef,nicht,nicht,nicht,neef,nicht,nicht,neef,neef,broer,neef,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,neef,neef,broer,neef,zus,broer,neef,neef,neef,nicht,zus,neef,nicht,nicht,nicht,nicht,neef,zus,neef,neef,nicht,nicht,nicht,neef,broer,zus,nicht,neef,nicht,nicht,neef,neef,nicht,nicht,nicht,zus,neef,neef,nicht,broer,neef,nicht,nicht,neef,nicht,neef,neef,nicht,nicht,tante,tante,tante,vader,moeder,oom,oom,oom,oom,tante,tante,oom,oom,tante,tante,oom,oom,oom,tante,oom,tante,vader,tante,oom,moeder,tante,tante,oom
2,0.0801519458072737,1.168554925967082,1.0884029801598083,neef,nicht,nicht,neef,neef,broer,neef,neef,neef,neef,neef,nicht,nicht,zus,nicht,nicht,nicht,neef,zus,neef,nicht,nicht,neef,broer,nicht,nicht,nicht,nicht,neef,neef,zus,neef,nicht,neef,nicht,nicht,neef,neef,broer,nicht,nicht,nicht,neef,broer,neef,nicht,nicht,nicht,neef,nicht,nicht,neef,broer,nicht,neef,nicht,nicht,nicht,neef,nicht,neef,neef,nicht,nicht,nicht,neef,neef,neef,neef,nicht,nicht,zus,neef,neef,neef,neef,nicht,nicht,zus,neef,nicht,nicht,neef,neef,nicht,broer,zus,neef,neef,neef,tante,tante,vader,moeder,tante,vader,oom,oom,tante,tante,tante,oom,tante,tante,tante,tante,oom,oom,oom,oom,oom,tante,moeder,oom,oom,tante,oom,oom
3,0.08787006130248365,1.113771263348911,1.0259012020464273,nicht,neef,neef,nicht,nicht,broer,nicht,neef,nicht,nicht,broer,nicht,nicht,nicht,nicht,broer,nicht,neef,nicht,neef,nicht,nicht,neef,broer,nicht,nicht,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,nicht,neef,neef,neef,neef,zus,zus,neef,zus,nicht,neef,broer,nicht,neef,neef,nicht,zus,nicht,nicht,neef,nicht,neef,neef,neef,neef,neef,neef,neef,nicht,neef,neef,neef,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,nicht,broer,nicht,neef,neef,nicht,nicht,neef,nicht,neef,neef,neef,neef,zus,zus,neef,vader,oom,tante,oom,vader,tante,moeder,tante,moeder,tante,tante,oom,oom,oom,tante,tante,oom,oom,oom,oom,tante,tante,tante,tante,oom,tante,oom,oom
4,0.08940972737439812,1.0947802405230918,1.0053705131486936,neef,nicht,neef,zus,broer,nicht,neef,nicht,neef,neef,zus,neef,neef,neef,nicht,nicht,nicht,neef,neef,neef,nicht,nicht,nicht,nicht,neef,nicht,nicht,nicht,neef,broer,neef,nicht,neef,nicht,nicht,neef,broer,neef,nicht,nicht,zus,neef,nicht,nicht,nicht,neef,nicht,zus,nicht,zus,broer,nicht,nicht,neef,neef,nicht,neef,neef,zus,neef,nicht,neef,neef,nicht,nicht,neef,nicht,neef,neef,broer,neef,neef,neef,neef,neef,nicht,nicht,nicht,nicht,nicht,neef,nicht,neef,nicht,neef,neef,broer,neef,nicht,nicht,oom,oom,oom,tante,vader,oom,tante,oom,tante,vader,oom,moeder,tante,tante,oom,moeder,tante,oom,tante,oom,oom,oom,tante,tante,tante,tante,tante,oom
5,0.05913096078918567,1.0777023635861172,1.0185714027969315,neef,nicht,nicht,neef,nicht,nicht,nicht,neef,neef,nicht,nicht,neef,neef,nicht,nicht,nicht,neef,nicht,zus,neef,nicht,zus,nicht,nicht,neef,nicht,neef,zus,neef,broer,neef,neef,neef,nicht,nicht,nicht,broer,neef,nicht,zus,nicht,neef,neef,neef,nicht,neef,nicht,neef,nicht,broer,zus,nicht,neef,nicht,neef,neef,zus,neef,nicht,nicht,neef,nicht,neef,nicht,nicht,nicht,neef,broer,nicht,neef,neef,nicht,broer,neef,neef,nicht,neef,neef,broer,neef,neef,neef,neef,nicht,nicht,nicht,nicht,nicht,neef,neef,vader,tante,tante,oom,tante,tante,oom,tante,tante,moeder,oom,oom,oom,tante,tante,tante,oom,tante,oom,oom,moeder,oom,oom,oom,tante,oom,vader,tante
6,0.07895395989835241,1.168932286005433,1.0899783261070806,neef,nicht,nicht,neef,nicht,nicht,neef,nicht,neef,nicht,broer,nicht,nicht,nicht,neef,nicht,neef,neef,neef,nicht,neef,nicht,neef,neef,neef,nicht,neef,neef,nicht,broer,nicht,neef,neef,nicht,neef,nicht,neef,neef,broer,neef,neef,neef,nicht,neef,neef,neef,nicht,nicht,zus,broer,neef,zus,nicht,neef,neef,neef,zus,zus,nicht,nicht,zus,neef,broer,neef,nicht,nicht,neef,nicht,nicht,nicht,neef,zus,broer,neef,nicht,nicht,nicht,nicht,nicht,neef,nicht,neef,nicht,neef,neef,neef,nicht,nicht,nicht,nicht,vader,oom,moeder,tante,tante,tante,tante,oom,tante,tante,oom,tante,tante,oom,tante,oom,oom,oom,vader,oom,tante,oom,oom,tante,oom,moeder,oom,tante
7,0.07218085697199617,1.0794762220443754,1.0072953650723793,nicht,neef,neef,neef,zus,neef,neef,neef,nicht,neef,neef,nicht,nicht,neef,neef,nicht,neef,nicht,nicht,nicht,nicht,neef,neef,zus,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,broer,zus,neef,neef,neef,neef,nicht,broer,nicht,neef,neef,nicht,neef,neef,nicht,neef,neef,nicht,zus,neef,nicht,nicht,nicht,nicht,zus,nicht,neef,nicht,nicht,neef,neef,nicht,nicht,zus,neef,neef,nicht,nicht,neef,neef,broer,neef,neef,nicht,neef,nicht,neef,broer,nicht,nicht,broer,nicht,broer,nicht,nicht,nicht,nicht,neef,oom,oom,oom,tante,tante,tante,oom,oom,oom,vader,tante,oom,oom,tante,tante,tante,oom,oom,tante,moeder,oom,tante,tante,tante,tante,vader,oom,moeder
8,0.04142881898684836,1.2060446581629847,1.1646158391761363,nicht,nicht,neef,neef,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,neef,neef,neef,nicht,neef,broer,neef,neef,neef,nicht,neef,nicht,nicht,neef,neef,neef,neef,nicht,nicht,neef,zus,broer,nicht,neef,nicht,neef,nicht,neef,nicht,neef,zus,nicht,neef,neef,nicht,broer,nicht,zus,zus,nicht,nicht,neef,broer,neef,zus,nicht,nicht,neef,nicht,nicht,nicht,neef,neef,neef,nicht,nicht,neef,neef,zus,neef,nicht,nicht,neef,nicht,neef,nicht,nicht,neef,nicht,broer,nicht,neef,nicht,broer,neef,nicht,nicht,neef,oom,oom,tante,oom,oom,tante,tante,tante,oom,tante,oom,oom,tante,oom,tante,tante,vader,vader,moeder,moeder,tante,tante,oom,oom,oom,oom,tante,tante
9,0.08519427844215977,1.1285783001317093,1.0433840216895496,nicht,zus,zus,neef,broer,neef,broer,nicht,neef,nicht,nicht,zus,nicht,nicht,neef,neef,nicht,neef,neef,neef,nicht,neef,neef,nicht,neef,neef,nicht,broer,nicht,broer,neef,neef,neef,neef,nicht,neef,nicht,neef,nicht,neef,neef,neef,nicht,nicht,zus,nicht,neef,zus,nicht,neef,nicht,nicht,neef,nicht,nicht,neef,neef,neef,nicht,nicht,nicht,neef,nicht,broer,neef,neef,neef,broer,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,neef,nicht,nicht,nicht,zus,neef,neef,neef,nicht,neef,nicht,nicht,nicht,nicht,oom,vader,tante,oom,tante,oom,tante,tante,tante,tante,oom,oom,tante,oom,oom,oom,moeder,oom,tante,tante,moeder,tante,tante,tante,oom,oom,oom,vader
