simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10927234575196787,1.102144502664999,0.9928721569130311,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,uš-kipa,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,ašouwa,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa,tapi,tanowa,tapwin,tanowa,tanowa-kipa,tapwin,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tapi,tanowa-kipa
1,0.047710332046276616,1.1231869893608522,1.0754766573145755,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,tanowa-kipa,tanowa-kipa,tapwin,tanowa-kipa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa-kipa,tapi,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tapwin,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa
2,0.10032895623698401,1.1671928311521216,1.0668638749151376,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,way-kipa,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,way-kipa,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,tapwin,tanowa-kipa,tanowa,tanowa-kipa,tanowa,tapwin,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa,tapi,tanowa,tapi,tanowa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa
3,0.10717895729809745,1.1246563795890212,1.0174774222909237,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,tanowa-kipa,tanowa-kipa,tanowa,tapi,tanowa-kipa,tanowa-kipa,tapwin,tanowa-kipa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tapwin,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tapi,tanowa-kipa,tanowa,tanowa,tanowa,tanowa
4,0.10133179459848063,1.1175031941474485,1.0161713995489678,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,waym,way-kipa,šamakuš,tapwin,tanowa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tapwin,tanowa-kipa,tanowa
5,0.08676950390491278,1.0764361287318653,0.9896666248269526,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,tanowa,tanowa,tapwin,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tapwin,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tapi,tanowa-kipa,tanowa-kipa
6,0.0627110478872639,1.1614731777789804,1.0987621298917165,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,waym,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,way-kipa,šamakuš,way-kipa,way-kipa,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,tanowa-kipa,tapwin,tapwin,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa-kipa,tanowa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tapi,tanowa,tanowa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa-kipa
7,0.08280911996997631,1.0819804479264077,0.9991713279564314,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,tapwin,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa,tapi,tanowa-kipa,tanowa-kipa,tapwin,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa
8,0.06841127774200384,1.081980447926408,1.013569170184404,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,tanowa,tanowa,tapwin,tanowa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa,tapwin,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa-kipa,tapi,tanowa,tanowa-kipa
9,0.056537995537152774,1.1367008450276477,1.080162849490495,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,uš-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,waym,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,way-kipa,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,ašouwa,šamakuš,šamakuš,šamakuš,šamakuš,tanowa-kipa,tanowa-kipa,tanowa-kipa,tanowa,tapi,tanowa,tanowa,tanowa,tanowa-kipa,tanowa,tanowa,tanowa,tanowa,tapwin,tapwin,tanowa,tanowa-kipa,tanowa-kipa,tapi,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa,tanowa-kipa,tanowa-kipa,tanowa
