simulation_number,mutual_information,entropy,conditional_entropy,mB,meB,myB,meZ,myZ,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,mMZeS,mMZyS,fB,feB,fyB,feZ,fyZ,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,fMZyS,mZ,fZ,mF,mM,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.26165440287838027,1.6685968070691808,1.4069424041908005,kaku,puyuru,puyuru,puyuru,kami,kami,puyuru,puyuru,kami,nhiyini,kami,ngathata,puyuru,ngathata,ngathata,kami,kami,ngathata,puyuru,kaku,kami,kami,kami,kaku,ngathata,kami,niyi,kaku,nhiyini,kami,kaku,kami,puyuru,kami,puyuru,puyuru,kardi,puyuru,kami,niyi,kardi,kami,kami,kami,puyuru,kardi,kami,kami,kaku,puyuru,kardi,kami,kami,puyuru,kami,kami,kardi,ngathata,kami,kami,kami,kami,kami,kami,kaku,puyuru,puyuru,puyuru,kami,puyuru,puyuru,will,will,kaka,ngandi,papa,yapa,kaka,will,will,ngapiṛi,kaka,kaka,kaka,yapa,papa,ngapiṛi,ngandi,yapa,kaka,papa,will,will
1,0.2448920453299075,1.696700851400696,1.4518088060707885,kami,kami,kaku,puyuru,puyuru,kami,kami,kardi,kami,puyuru,kami,kami,puyuru,kardi,puyuru,ngathata,kami,kami,kami,kami,nhiyini,puyuru,kami,puyuru,puyuru,kami,ngathata,kami,niyi,kardi,puyuru,kaku,nhiyini,niyi,kami,ngathata,kami,ngathata,kami,kami,puyuru,kami,kami,puyuru,kami,puyuru,kami,kami,kaku,puyuru,kami,puyuru,kami,kardi,ngathata,kami,puyuru,puyuru,kaku,kami,kaku,kami,ngathata,kaku,kami,puyuru,kami,puyuru,kaku,kardi,puyuru,will,kaka,yapa,kaka,kaka,will,ngandi,will,papa,ngapiṛi,papa,will,ngapiṛi,will,kaka,kaka,yapa,papa,kaka,ngandi,will,yapa
2,0.17916043131195947,1.7121857407859602,1.5330253094740007,kami,puyuru,kami,kaku,kami,kami,kaku,kaku,puyuru,kami,puyuru,kardi,puyuru,kami,kardi,kardi,kami,ngathata,ngathata,puyuru,ngathata,kami,kaku,niyi,kami,kardi,kami,kami,kami,kami,ngathata,kami,kami,puyuru,puyuru,kami,kami,nhiyini,kardi,puyuru,ngathata,kami,kaku,nhiyini,niyi,puyuru,kami,kami,puyuru,kami,puyuru,puyuru,kami,kami,puyuru,kami,puyuru,kaku,puyuru,puyuru,kami,kami,puyuru,puyuru,puyuru,kami,kami,ngathata,kami,kaku,kami,ngandi,ngandi,will,yapa,ngapiṛi,will,kaka,will,papa,yapa,yapa,papa,will,will,ngapiṛi,papa,kaka,kaka,kaka,kaka,kaka,will
3,0.2949161080653566,1.6673410765318493,1.3724249684664926,kaku,kami,puyuru,kami,kardi,ngathata,kami,puyuru,kaku,puyuru,puyuru,kami,niyi,puyuru,kami,kami,kaku,puyuru,kami,puyuru,niyi,kardi,puyuru,puyuru,kami,kami,kardi,puyuru,puyuru,kami,kami,kami,kami,kami,kami,ngathata,kaku,kaku,kami,nhiyini,kami,kami,puyuru,nhiyini,kaku,kami,puyuru,kami,kami,ngathata,puyuru,kami,kami,kami,ngathata,puyuru,puyuru,kami,ngathata,kami,kardi,puyuru,kami,kami,ngathata,kami,kami,puyuru,kaku,puyuru,kardi,kaka,will,kaka,kaka,will,papa,ngapiṛi,will,ngapiṛi,kaka,yapa,will,kaka,ngandi,papa,kaka,papa,will,yapa,ngandi,yapa,will
4,0.342773443699957,1.7123917857269852,1.3696183420270283,kami,kami,kaku,kaku,kami,puyuru,kami,puyuru,puyuru,kami,kardi,kami,ngathata,kami,puyuru,kami,kaku,kaku,kami,puyuru,kaku,kami,kami,kardi,puyuru,puyuru,puyuru,ngathata,nhiyini,kami,kami,ngathata,puyuru,kami,puyuru,kami,puyuru,kami,puyuru,puyuru,puyuru,niyi,kami,ngathata,kami,puyuru,kardi,kami,kami,kami,nhiyini,kaku,puyuru,kami,kami,kami,puyuru,niyi,ngathata,kami,kami,kami,puyuru,kardi,kami,kami,puyuru,kardi,kami,ngathata,kaku,will,papa,yapa,ngapiṛi,yapa,ngapiṛi,papa,will,kaka,will,yapa,will,will,ngandi,kaka,papa,kaka,will,kaka,ngandi,kaka,kaka
5,0.20713555153534435,1.6963338608688092,1.4891983093334649,puyuru,kardi,nhiyini,puyuru,kaku,kami,kami,puyuru,puyuru,kami,puyuru,kaku,puyuru,kami,kaku,ngathata,ngathata,kaku,ngathata,kami,kami,ngathata,kami,niyi,puyuru,nhiyini,kardi,kami,kami,puyuru,kardi,kami,kami,kardi,kami,puyuru,kami,kami,kami,kami,ngathata,ngathata,puyuru,kaku,kami,puyuru,kami,kami,puyuru,kami,kami,kami,niyi,kami,puyuru,kami,kami,puyuru,puyuru,puyuru,kami,kami,kardi,kami,kami,puyuru,kami,kaku,puyuru,puyuru,kaku,kaka,will,ngandi,kaka,will,will,will,kaka,papa,will,yapa,ngapiṛi,kaka,ngandi,kaka,ngapiṛi,will,papa,kaka,yapa,yapa,papa
6,0.27924974790590085,1.6989212597391734,1.4196715118332726,puyuru,niyi,kaku,kami,kami,puyuru,kami,ngathata,kami,nhiyini,puyuru,puyuru,kardi,ngathata,kami,kami,puyuru,kami,kami,puyuru,kaku,kami,kami,kardi,kami,kami,kami,kaku,kaku,puyuru,kami,puyuru,niyi,puyuru,kami,ngathata,puyuru,kardi,ngathata,puyuru,kami,puyuru,kami,kami,kami,puyuru,kami,kami,ngathata,ngathata,puyuru,puyuru,kardi,kami,kaku,kardi,puyuru,kami,kami,puyuru,kami,kami,kami,puyuru,nhiyini,kami,kaku,kami,kaku,kami,puyuru,ngandi,yapa,will,ngapiṛi,kaka,kaka,yapa,will,kaka,papa,will,papa,ngandi,papa,ngapiṛi,yapa,will,will,kaka,kaka,will,kaka
7,0.2487210499751611,1.6430252811586938,1.3943042311835327,puyuru,kami,kaku,kami,ngathata,kami,kami,kardi,nhiyini,kaku,puyuru,puyuru,kami,kami,puyuru,puyuru,puyuru,kaku,kami,puyuru,kaku,kami,ngathata,kami,kaku,ngathata,niyi,puyuru,kami,kami,puyuru,ngathata,ngathata,kaku,kami,kami,kami,kardi,kami,kami,puyuru,kami,puyuru,ngathata,puyuru,puyuru,kami,kardi,puyuru,kami,kami,kami,niyi,kami,puyuru,kardi,puyuru,puyuru,kardi,nhiyini,kami,puyuru,kami,puyuru,kami,kami,kami,kami,kami,kami,kaku,papa,kaka,papa,kaka,will,ngandi,yapa,ngapiṛi,kaka,kaka,will,ngandi,will,yapa,will,ngapiṛi,kaka,papa,will,will,kaka,yapa
8,0.20515522115639961,1.6383145020499346,1.433159280893535,niyi,puyuru,kami,nhiyini,puyuru,kami,niyi,kami,kaku,kami,kami,ngathata,kami,kardi,kami,kami,kami,puyuru,kaku,puyuru,kardi,kaku,kami,kami,puyuru,ngathata,kami,kaku,puyuru,kami,kami,puyuru,nhiyini,kardi,kami,kami,kami,puyuru,puyuru,kami,kami,kami,puyuru,kaku,kaku,kami,kaku,ngathata,puyuru,puyuru,kami,puyuru,puyuru,kami,puyuru,ngathata,puyuru,kami,ngathata,kami,kami,puyuru,kami,kami,puyuru,kami,kardi,ngathata,kami,kardi,puyuru,will,will,kaka,kaka,ngandi,ngapiṛi,will,papa,ngapiṛi,kaka,yapa,will,yapa,kaka,will,yapa,kaka,papa,papa,ngandi,will,kaka
9,0.22449967983783536,1.6248591800355923,1.400359500197757,puyuru,kami,kardi,ngathata,puyuru,puyuru,kami,kami,kami,kami,ngathata,kami,puyuru,puyuru,kaku,puyuru,kaku,puyuru,kami,kardi,kaku,kami,puyuru,ngathata,kami,nhiyini,puyuru,kami,kami,ngathata,kami,puyuru,niyi,puyuru,kami,ngathata,kami,kaku,kami,nhiyini,kami,kami,kami,kaku,puyuru,kardi,puyuru,kami,puyuru,kami,kami,niyi,kami,kami,kami,puyuru,kami,kami,kami,kaku,ngathata,puyuru,puyuru,kardi,puyuru,kami,kardi,kami,puyuru,kaku,kami,kaka,kaka,kaka,will,kaka,yapa,ngapiṛi,will,ngapiṛi,will,papa,kaka,ngandi,yapa,kaka,will,yapa,papa,ngandi,will,will,papa
