simulation_number,mutual_information,entropy,conditional_entropy,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB
0,NA,NA,NA,ngubala,ngubala,ngu,ngubala,ngu,ngu
1,NA,NA,NA,ngubala,ngu,ngu,ngu,ngubala,ngubala
2,NA,NA,NA,ngu,ngu,ngubala,ngu,ngubala,ngubala
3,NA,NA,NA,ngubala,ngu,ngubala,ngu,ngu,ngubala
4,NA,NA,NA,ngubala,ngubala,ngu,ngubala,ngu,ngu
5,NA,NA,NA,ngubala,ngu,ngu,ngubala,ngubala,ngu
6,NA,NA,NA,ngu,ngu,ngu,ngubala,ngubala,ngubala
7,NA,NA,NA,ngu,ngubala,ngu,ngubala,ngubala,ngu
8,NA,NA,NA,ngu,ngubala,ngu,ngubala,ngubala,ngu
9,NA,NA,NA,ngu,ngu,ngubala,ngu,ngubala,ngubala
