simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.287010892907269,1.3340295991155569,1.0470187062082879,manungk,netungk,naaruongk,tugangk,netungk,havungk,netungk,netungk,vave,vövönungk,tat uve,tat uve,tugangk,netungk,vövönungk,vave,tat uve,manungk,manungk,vövönungk,netungk,manungk,mame,netungk,vövönungk,vave,tat uve,netungk,vave,havungk,tate,vave,bimbi,nane,bimbi,vave,tate,bimbi,nane,bimbi,vave,vave
1,0.5120968620995395,1.3168020301280536,0.8047051680285141,vövönungk,tugangk,vövönungk,netungk,netungk,vövönungk,netungk,vave,netungk,tugangk,mame,netungk,tat uve,havungk,naaruongk,vave,manungk,netungk,tat uve,manungk,tat uve,vave,vövönungk,netungk,manungk,tat uve,manungk,vave,havungk,netungk,bimbi,nane,bimbi,vave,nane,tate,vave,bimbi,vave,bimbi,vave,tate
2,0.48799604635025273,1.314775737547273,0.8267796911970203,manungk,vave,tugangk,havungk,naaruongk,vave,manungk,netungk,havungk,tat uve,netungk,tat uve,vövönungk,vövönungk,netungk,netungk,netungk,mame,vövönungk,vave,vave,netungk,manungk,tat uve,vövönungk,netungk,netungk,tat uve,manungk,tugangk,vave,bimbi,bimbi,bimbi,vave,vave,nane,bimbi,tate,vave,nane,tate
3,0.4120713822447091,1.3340295991155566,0.9219582168708476,manungk,netungk,vave,tugangk,netungk,tugangk,tat uve,vövönungk,vave,manungk,manungk,netungk,vave,netungk,manungk,netungk,netungk,vave,mame,havungk,havungk,tat uve,vövönungk,tat uve,tat uve,naaruongk,netungk,vövönungk,vövönungk,netungk,nane,vave,vave,tate,vave,bimbi,nane,vave,bimbi,bimbi,bimbi,tate
4,0.37068737435179844,1.3340295991155569,0.9633422247637584,tat uve,vövönungk,manungk,manungk,netungk,tugangk,netungk,vave,tugangk,netungk,manungk,vave,havungk,vövönungk,vave,mame,netungk,netungk,netungk,manungk,vave,netungk,vövönungk,havungk,vövönungk,naaruongk,tat uve,netungk,tat uve,tat uve,vave,bimbi,bimbi,nane,tate,bimbi,bimbi,vave,vave,tate,vave,nane
5,0.4143959658452032,1.314775737547273,0.9003797717020698,tat uve,netungk,vave,vövönungk,netungk,tugangk,vave,vövönungk,manungk,vövönungk,vave,havungk,naaruongk,netungk,tugangk,havungk,tat uve,netungk,manungk,netungk,netungk,vövönungk,tat uve,manungk,vave,manungk,netungk,netungk,tat uve,mame,tate,vave,bimbi,bimbi,vave,vave,nane,bimbi,bimbi,vave,nane,tate
6,0.4617166876565618,1.3168020301280539,0.855085342471492,mame,havungk,netungk,netungk,manungk,netungk,netungk,tat uve,naaruongk,netungk,vave,manungk,tat uve,manungk,vövönungk,netungk,vövönungk,vave,havungk,netungk,tugangk,vövönungk,vave,tat uve,netungk,vövönungk,manungk,tat uve,tugangk,vave,vave,bimbi,vave,bimbi,bimbi,bimbi,vave,nane,vave,tate,nane,tate
7,0.5157400973122739,1.3168020301280536,0.8010619328157798,tugangk,netungk,vave,vave,vave,vave,netungk,netungk,netungk,vövönungk,mame,manungk,vövönungk,manungk,tugangk,tat uve,netungk,tat uve,naaruongk,manungk,vövönungk,netungk,netungk,vövönungk,tat uve,tat uve,manungk,havungk,havungk,netungk,tate,nane,vave,bimbi,bimbi,tate,bimbi,vave,vave,nane,bimbi,vave
8,0.4501897513573545,1.3168020301280539,0.8666122787706994,havungk,vave,havungk,vövönungk,tugangk,netungk,tat uve,vave,manungk,tat uve,netungk,vövönungk,tat uve,netungk,naaruongk,netungk,manungk,netungk,vövönungk,vave,manungk,netungk,mame,tat uve,vave,tugangk,netungk,manungk,vövönungk,netungk,vave,bimbi,vave,bimbi,tate,tate,nane,vave,bimbi,bimbi,nane,vave
9,0.4727161397003018,1.3340295991155569,0.8613134594152551,vave,netungk,vave,manungk,manungk,vövönungk,havungk,netungk,tat uve,tat uve,tat uve,tugangk,vövönungk,tat uve,netungk,manungk,netungk,havungk,mame,manungk,tugangk,vövönungk,netungk,netungk,vave,vave,naaruongk,netungk,vövönungk,netungk,vave,bimbi,vave,nane,tate,vave,bimbi,tate,nane,bimbi,bimbi,vave
