simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4489909620827611,1.443405323110573,0.9944143610278119,gaanhaal,gaanhaal,ngamu,gaarga,juway,mugur,ngamu,jin-gurr,gaanhaal,gaanhaal,mugur,yaba,juway,nguuthuurr,jin-gurr,gaarga,mugur,gaarga,gaanhaal,gaarga,juway,nguuthuurr,gaanhaal,jin-gurr,gaarga,nguuthuurr,mugur,jin-gurr,jin-gurr,yaba,ngamu,yaba,nguuthuurr,ngamu,juway,yaba,yaba,gaarga,mugur,"biiba, bobaa",mugagay,mugagay,mugur,mugagay,mugagay,mugagay,ngamu,"biiba, bobaa","biiba, bobaa",biimuur,ngamu,ngamu,mugagay,mugagay,mugagay,ngamu,"biiba, bobaa",biimuur
1,0.425252629090098,1.4813328615293826,1.0560802324392846,jin-gurr,jin-gurr,gaarga,yaba,jin-gurr,gaanhaal,gaarga,ngamu,nguuthuurr,gaanhaal,gaanhaal,jin-gurr,gaanhaal,ngamu,nguuthuurr,nguuthuurr,ngamu,mugur,nguuthuurr,yaba,gaanhaal,juway,juway,gaanhaal,gaarga,yaba,jin-gurr,gaarga,mugur,juway,ngamu,gaarga,yaba,juway,mugur,yaba,gaarga,mugur,mugagay,ngamu,"biiba, bobaa",mugagay,"biiba, bobaa",ngamu,mugagay,"biiba, bobaa",mugagay,mugagay,ngamu,mugur,"biiba, bobaa",mugagay,biimuur,mugur,biimuur,ngamu,mugagay,mugagay
2,0.45781074431761937,1.4898490619439466,1.0320383176263273,nguuthuurr,jin-gurr,nguuthuurr,gaarga,gaarga,jin-gurr,juway,gaarga,mugur,gaanhaal,ngamu,juway,nguuthuurr,gaarga,gaanhaal,gaarga,yaba,jin-gurr,ngamu,mugur,gaarga,mugur,yaba,juway,yaba,ngamu,gaanhaal,ngamu,gaanhaal,mugur,jin-gurr,nguuthuurr,gaanhaal,jin-gurr,gaanhaal,juway,yaba,yaba,mugagay,biimuur,"biiba, bobaa","biiba, bobaa",biimuur,mugagay,mugur,mugagay,mugagay,mugagay,ngamu,"biiba, bobaa",mugagay,mugagay,"biiba, bobaa",ngamu,ngamu,mugagay,ngamu,mugur
3,0.36996874977748506,1.477421022821323,1.1074522730438379,gaarga,nguuthuurr,mugur,jin-gurr,gaanhaal,jin-gurr,jin-gurr,gaanhaal,yaba,yaba,gaanhaal,gaarga,gaarga,mugur,ngamu,gaanhaal,yaba,mugur,jin-gurr,gaarga,juway,jin-gurr,yaba,juway,ngamu,ngamu,yaba,gaarga,nguuthuurr,nguuthuurr,nguuthuurr,gaanhaal,gaarga,ngamu,mugur,juway,juway,gaanhaal,biimuur,mugagay,ngamu,biimuur,mugagay,mugagay,"biiba, bobaa",ngamu,ngamu,mugagay,"biiba, bobaa",mugur,ngamu,"biiba, bobaa","biiba, bobaa",mugagay,mugagay,mugagay,mugagay,mugur
4,0.40075229487095076,1.4288303734552859,1.028078078584335,gaarga,ngamu,gaanhaal,gaanhaal,gaarga,juway,mugur,ngamu,jin-gurr,yaba,ngamu,nguuthuurr,gaarga,juway,yaba,gaarga,yaba,yaba,gaanhaal,juway,gaarga,jin-gurr,juway,gaanhaal,mugur,jin-gurr,nguuthuurr,nguuthuurr,nguuthuurr,ngamu,jin-gurr,jin-gurr,gaanhaal,gaanhaal,mugur,mugur,gaarga,yaba,ngamu,mugur,ngamu,mugagay,mugagay,mugagay,mugagay,mugagay,"biiba, bobaa",ngamu,mugur,ngamu,mugagay,biimuur,mugagay,mugagay,"biiba, bobaa","biiba, bobaa","biiba, bobaa",biimuur
5,0.40385267818961834,1.4708084763221112,1.0669557981324929,gaarga,mugur,jin-gurr,gaarga,gaanhaal,gaarga,jin-gurr,nguuthuurr,gaanhaal,gaanhaal,nguuthuurr,yaba,gaanhaal,nguuthuurr,yaba,gaanhaal,mugur,ngamu,yaba,gaarga,yaba,mugur,juway,ngamu,juway,gaarga,mugur,gaanhaal,jin-gurr,nguuthuurr,juway,jin-gurr,yaba,juway,gaarga,ngamu,jin-gurr,ngamu,mugagay,ngamu,mugagay,mugagay,mugagay,mugur,"biiba, bobaa",mugagay,biimuur,mugagay,mugur,biimuur,ngamu,mugagay,mugagay,ngamu,"biiba, bobaa","biiba, bobaa",ngamu,"biiba, bobaa"
6,0.42826009436018886,1.4813328615293826,1.0530727671691937,nguuthuurr,juway,gaarga,gaarga,juway,jin-gurr,jin-gurr,gaanhaal,yaba,juway,ngamu,gaarga,yaba,yaba,jin-gurr,gaarga,mugur,gaanhaal,yaba,ngamu,ngamu,gaanhaal,jin-gurr,mugur,nguuthuurr,nguuthuurr,gaarga,nguuthuurr,mugur,jin-gurr,gaanhaal,juway,ngamu,gaarga,gaanhaal,yaba,mugur,gaanhaal,mugur,mugagay,mugagay,ngamu,mugagay,"biiba, bobaa",mugagay,"biiba, bobaa",mugur,ngamu,mugagay,biimuur,biimuur,mugagay,ngamu,"biiba, bobaa",mugagay,mugagay,"biiba, bobaa",ngamu
7,0.3347864580848361,1.5020431742705265,1.1672567161856904,jin-gurr,gaanhaal,juway,yaba,gaanhaal,jin-gurr,gaanhaal,ngamu,mugur,gaarga,jin-gurr,yaba,gaarga,jin-gurr,ngamu,gaanhaal,gaanhaal,mugur,yaba,gaarga,juway,mugur,nguuthuurr,juway,yaba,gaarga,nguuthuurr,gaarga,ngamu,jin-gurr,juway,gaanhaal,gaarga,nguuthuurr,mugur,nguuthuurr,ngamu,yaba,mugagay,ngamu,mugur,"biiba, bobaa",mugagay,"biiba, bobaa",biimuur,mugagay,mugagay,ngamu,mugagay,ngamu,"biiba, bobaa",mugagay,"biiba, bobaa",mugagay,mugagay,mugur,ngamu,biimuur
8,0.4385881960889706,1.4813328615293826,1.042744665440412,mugur,juway,ngamu,nguuthuurr,gaanhaal,ngamu,yaba,gaarga,gaanhaal,jin-gurr,juway,gaanhaal,juway,yaba,yaba,nguuthuurr,gaarga,gaanhaal,nguuthuurr,nguuthuurr,gaarga,gaarga,jin-gurr,gaarga,gaanhaal,ngamu,jin-gurr,gaanhaal,mugur,jin-gurr,juway,jin-gurr,mugur,mugur,yaba,yaba,gaarga,ngamu,"biiba, bobaa",mugur,mugagay,ngamu,mugagay,mugagay,ngamu,"biiba, bobaa",ngamu,biimuur,mugagay,mugagay,biimuur,mugagay,mugagay,mugagay,ngamu,"biiba, bobaa",mugur,"biiba, bobaa"
9,0.4861808548572397,1.4922436552214677,1.006062800364228,ngamu,gaanhaal,mugur,gaarga,jin-gurr,juway,gaarga,yaba,gaarga,gaanhaal,mugur,nguuthuurr,mugur,juway,nguuthuurr,ngamu,yaba,gaarga,yaba,ngamu,gaanhaal,ngamu,juway,jin-gurr,jin-gurr,juway,jin-gurr,jin-gurr,gaanhaal,gaarga,yaba,yaba,mugur,gaanhaal,gaarga,nguuthuurr,nguuthuurr,gaanhaal,ngamu,mugagay,biimuur,mugagay,mugagay,ngamu,mugagay,ngamu,"biiba, bobaa",mugur,mugagay,"biiba, bobaa","biiba, bobaa",mugagay,mugur,mugagay,mugagay,"biiba, bobaa",ngamu,biimuur
