simulation_number,mutual_information,entropy,conditional_entropy,mFZeS,fFZeS,feB,mFBeS,fFBeS,mFZeD,mFZyD,fFZeD,fFZyD,fyB,fMZyS,fFByS,mMZeD,fMZeD,mFBeD,meZ,meB,myB,myZ,mMZyD,fMZyD,mFByD,mFByS,mMyB,fMeB,fMyB,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mM,fM
0,0.6365141682948128,0.8675632284814612,0.23104906018664842,päbʼ-chä,ub-so,cu-huʼ-bä,giʼ-ä,gu-lʼ-a,p-eu-i-hiʼ-hä,gu-i-ä,ri-cuʼ-i,päbʼ-chä,cu-huʼ-bä,sǎ-hä-o-ä,gu-iʼ-a,p-cu-i-hiʼ-bä,päbʼ-chä,päbʼ-chä,cu-hu-bä,ri-cuʼ-i,cu-huʼ-ba,gu-iʼ-ǎ,ri-euʼ-i,p-cu-i-hi-hä,cu-huʼ-bä,cu-huʼ-bä,ze-päʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-pa-ä-fu-chä,su-äʼ-i-ä,pǎʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-päʼ-bä,zu-eʼ-cha,ze-päʼ-bä,zu-eʼ-cha,zu-eʼ-cha,su-äʼ-i-ä,ze-päʼ-bä,gǎ-ǔ-iʼ-ä,pǎʼ-bä,gǎ-ǔ-iʼ-ä,ze-pa-ä-fu-chä
1,0.6365141682948128,1.0986122886681096,0.46209812037329684,päbʼ-chä,ri-cuʼ-i,cu-huʼ-bä,päbʼ-chä,gu-iʼ-a,cu-huʼ-bä,päbʼ-chä,cu-huʼ-bä,cu-huʼ-ba,p-cu-i-hi-hä,ri-cuʼ-i,cu-hu-bä,päbʼ-chä,ub-so,gu-lʼ-a,gu-iʼ-ǎ,p-cu-i-hiʼ-bä,p-eu-i-hiʼ-hä,giʼ-ä,gu-i-ä,cu-huʼ-bä,ri-euʼ-i,sǎ-hä-o-ä,zu-eʼ-cha,ze-päʼ-bä,zu-eʼ-cha,gǎ-ǔ-iʼ-ä,ze-pa-ä-fu-chä,ze-päʼ-bä,su-äʼ-i-ä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-pa-ä-fu-chä,ze-pa-ä-fu-chä,pǎʼ-bä,zu-eʼ-cha,gǎ-ǔ-iʼ-ä,ze-päʼ-bä,pǎʼ-bä,su-äʼ-i-ä,ze-päʼ-bä,su-äʼ-i-ä
2,0.6365141682948128,1.0986122886681096,0.46209812037329684,päbʼ-chä,päbʼ-chä,cu-hu-bä,cu-huʼ-bä,päbʼ-chä,ri-cuʼ-i,gu-lʼ-a,sǎ-hä-o-ä,cu-huʼ-bä,giʼ-ä,cu-huʼ-bä,gu-iʼ-ǎ,gu-i-ä,p-cu-i-hiʼ-bä,ri-euʼ-i,ri-cuʼ-i,cu-huʼ-bä,cu-huʼ-ba,gu-iʼ-a,p-cu-i-hi-hä,ub-so,päbʼ-chä,p-eu-i-hiʼ-hä,su-äʼ-i-ä,su-äʼ-i-ä,ze-pa-ä-fu-chä,pǎʼ-bä,su-äʼ-i-ä,gǎ-ǔ-iʼ-ä,ze-päʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-pa-ä-fu-chä,zu-eʼ-cha,gǎ-ǔ-iʼ-ä,pǎʼ-bä,ze-päʼ-bä,ze-päʼ-bä,ze-pa-ä-fu-chä,zu-eʼ-cha,ze-päʼ-bä,zu-eʼ-cha
3,0.17441604792151555,1.329661348854758,1.1552453009332424,cu-huʼ-bä,cu-huʼ-ba,päbʼ-chä,gu-iʼ-ǎ,gu-iʼ-a,cu-huʼ-bä,ri-cuʼ-i,päbʼ-chä,p-cu-i-hi-hä,cu-huʼ-bä,cu-hu-bä,p-cu-i-hiʼ-bä,ri-euʼ-i,gu-i-ä,ub-so,gu-lʼ-a,giʼ-ä,cu-huʼ-bä,päbʼ-chä,päbʼ-chä,sǎ-hä-o-ä,p-eu-i-hiʼ-hä,ri-cuʼ-i,ze-päʼ-bä,zu-eʼ-cha,ze-pa-ä-fu-chä,ze-pa-ä-fu-chä,zu-eʼ-cha,ze-päʼ-bä,ze-pa-ä-fu-chä,gǎ-ǔ-iʼ-ä,su-äʼ-i-ä,gǎ-ǔ-iʼ-ä,pǎʼ-bä,ze-päʼ-bä,su-äʼ-i-ä,su-äʼ-i-ä,pǎʼ-bä,ze-päʼ-bä,zu-eʼ-cha,su-äʼ-i-ä,ze-pa-ä-fu-chä
4,0.6365141682948128,0.8675632284814612,0.23104906018664842,ri-euʼ-i,cu-huʼ-ba,ri-cuʼ-i,ri-cuʼ-i,cu-huʼ-bä,päbʼ-chä,p-cu-i-hiʼ-bä,ub-so,cu-huʼ-bä,päbʼ-chä,p-eu-i-hiʼ-hä,cu-huʼ-bä,gu-lʼ-a,p-cu-i-hi-hä,päbʼ-chä,cu-hu-bä,sǎ-hä-o-ä,cu-huʼ-bä,gu-i-ä,päbʼ-chä,gu-iʼ-ǎ,giʼ-ä,gu-iʼ-a,gǎ-ǔ-iʼ-ä,ze-pa-ä-fu-chä,su-äʼ-i-ä,pǎʼ-bä,su-äʼ-i-ä,pǎʼ-bä,ze-päʼ-bä,su-äʼ-i-ä,zu-eʼ-cha,zu-eʼ-cha,ze-päʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-päʼ-bä,zu-eʼ-cha,ze-pa-ä-fu-chä,ze-päʼ-bä,ze-pa-ä-fu-chä,gǎ-ǔ-iʼ-ä
5,0.3182570841474064,1.0986122886681096,0.7803552045207032,cu-huʼ-ba,p-eu-i-hiʼ-hä,päbʼ-chä,gu-iʼ-ǎ,cu-huʼ-bä,ub-so,p-cu-i-hi-hä,ri-euʼ-i,cu-huʼ-bä,päbʼ-chä,gu-lʼ-a,ri-cuʼ-i,giʼ-ä,ri-cuʼ-i,gu-iʼ-a,p-cu-i-hiʼ-bä,päbʼ-chä,cu-huʼ-bä,gu-i-ä,sǎ-hä-o-ä,cu-huʼ-bä,cu-hu-bä,päbʼ-chä,su-äʼ-i-ä,gǎ-ǔ-iʼ-ä,gǎ-ǔ-iʼ-ä,su-äʼ-i-ä,ze-pa-ä-fu-chä,pǎʼ-bä,ze-päʼ-bä,ze-pa-ä-fu-chä,ze-pa-ä-fu-chä,su-äʼ-i-ä,zu-eʼ-cha,ze-pa-ä-fu-chä,ze-päʼ-bä,pǎʼ-bä,ze-päʼ-bä,su-äʼ-i-ä,zu-eʼ-cha,ze-päʼ-bä,zu-eʼ-cha
6,0.40546510810816405,1.329661348854758,0.9241962407465939,p-cu-i-hi-hä,cu-huʼ-ba,ri-cuʼ-i,gu-i-ä,päbʼ-chä,gu-iʼ-ǎ,giʼ-ä,päbʼ-chä,sǎ-hä-o-ä,p-eu-i-hiʼ-hä,cu-hu-bä,päbʼ-chä,gu-lʼ-a,ri-euʼ-i,cu-huʼ-bä,cu-huʼ-bä,ri-cuʼ-i,ub-so,päbʼ-chä,cu-huʼ-bä,p-cu-i-hiʼ-bä,gu-iʼ-a,cu-huʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,gǎ-ǔ-iʼ-ä,gǎ-ǔ-iʼ-ä,zu-eʼ-cha,pǎʼ-bä,ze-pa-ä-fu-chä,ze-päʼ-bä,ze-pa-ä-fu-chä,ze-pa-ä-fu-chä,su-äʼ-i-ä,su-äʼ-i-ä,zu-eʼ-cha,ze-päʼ-bä,ze-päʼ-bä,su-äʼ-i-ä,zu-eʼ-cha,ze-päʼ-bä,pǎʼ-bä
7,0.3182570841474064,1.0114042647073518,0.6931471805599454,cu-hu-bä,ri-cuʼ-i,p-cu-i-hiʼ-bä,ub-so,giʼ-ä,gu-iʼ-ǎ,päbʼ-chä,cu-huʼ-bä,gu-iʼ-a,ri-cuʼ-i,ri-euʼ-i,päbʼ-chä,gu-lʼ-a,päbʼ-chä,cu-huʼ-bä,cu-huʼ-ba,cu-huʼ-bä,päbʼ-chä,p-cu-i-hi-hä,cu-huʼ-bä,sǎ-hä-o-ä,gu-i-ä,p-eu-i-hiʼ-hä,su-äʼ-i-ä,su-äʼ-i-ä,pǎʼ-bä,gǎ-ǔ-iʼ-ä,su-äʼ-i-ä,ze-päʼ-bä,ze-päʼ-bä,ze-päʼ-bä,zu-eʼ-cha,ze-pa-ä-fu-chä,zu-eʼ-cha,su-äʼ-i-ä,ze-pa-ä-fu-chä,pǎʼ-bä,gǎ-ǔ-iʼ-ä,ze-pa-ä-fu-chä,ze-päʼ-bä,zu-eʼ-cha,ze-pa-ä-fu-chä
8,0.6365141682948128,0.8675632284814612,0.23104906018664842,päbʼ-chä,cu-huʼ-bä,cu-hu-bä,cu-huʼ-bä,päbʼ-chä,cu-huʼ-bä,ri-cuʼ-i,gu-iʼ-ǎ,gu-i-ä,sǎ-hä-o-ä,ub-so,gu-lʼ-a,cu-huʼ-ba,cu-huʼ-bä,päbʼ-chä,p-cu-i-hi-hä,päbʼ-chä,p-eu-i-hiʼ-hä,p-cu-i-hiʼ-bä,giʼ-ä,ri-euʼ-i,gu-iʼ-a,ri-cuʼ-i,zu-eʼ-cha,ze-pa-ä-fu-chä,ze-päʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,zu-eʼ-cha,gǎ-ǔ-iʼ-ä,pǎʼ-bä,su-äʼ-i-ä,ze-pa-ä-fu-chä,zu-eʼ-cha,ze-päʼ-bä,gǎ-ǔ-iʼ-ä,ze-päʼ-bä,ze-pa-ä-fu-chä,su-äʼ-i-ä,pǎʼ-bä,su-äʼ-i-ä,ze-päʼ-bä
9,0.3182570841474064,1.0114042647073518,0.6931471805599454,p-cu-i-hi-hä,ub-so,gu-iʼ-a,cu-huʼ-bä,gu-iʼ-ǎ,p-cu-i-hiʼ-bä,giʼ-ä,ri-cuʼ-i,ri-cuʼ-i,cu-huʼ-ba,päbʼ-chä,p-eu-i-hiʼ-hä,päbʼ-chä,sǎ-hä-o-ä,päbʼ-chä,päbʼ-chä,cu-huʼ-bä,cu-huʼ-bä,gu-lʼ-a,gu-i-ä,cu-huʼ-bä,ri-euʼ-i,cu-hu-bä,zu-eʼ-cha,su-äʼ-i-ä,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-pa-ä-fu-chä,zu-eʼ-cha,ze-pa-ä-fu-chä,su-äʼ-i-ä,ze-pa-ä-fu-chä,gǎ-ǔ-iʼ-ä,ze-päʼ-bä,pǎʼ-bä,su-äʼ-i-ä,zu-eʼ-cha,ze-päʼ-bä,ze-päʼ-bä,gǎ-ǔ-iʼ-ä,pǎʼ-bä,ze-päʼ-bä
