simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mMZ,mFeB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.12289676058914378,1.0179989579792577,0.8951021973901139,kaposing,wari,kaposing,kaposing,kaka,kaka,kaposing,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,wari,kaposing,kateysa,kateysa,kateysa,kaka,kaposing,kateysa,kateysa,kateysa,kateysa,wari,kateysa,kaposing,kateysa,kaposing,kaposing,kateysa,wari,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaka,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kaminan,kaminan,kaminan,kaminan,kaminan,ama,maran,maran,ama,kaminan,ina,maran,kaminan,kaminan,maran,kaminan,kaminan,ina,kaminan,kaminan,maran,maran,maran,maran
1,0.04914359848381711,1.0938741089695654,1.0447305104857483,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,wari,kateysa,kaposing,kateysa,kaposing,wari,kateysa,kateysa,kaka,kateysa,kaposing,kateysa,kaka,kateysa,kateysa,kateysa,kateysa,kaposing,wari,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,wari,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kaka,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaka,kaposing,kateysa,kaminan,maran,kaminan,kaminan,kaminan,ina,kaminan,kaminan,maran,kaminan,kaminan,kaminan,maran,kaminan,kaminan,ina,maran,maran,maran,ama,ama,maran,kaminan,maran
2,0.051700474835381094,1.113168840862005,1.061468366026624,kateysa,kateysa,kaposing,kaposing,kateysa,kateysa,wari,kaposing,kaposing,kaka,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,wari,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kaka,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,wari,kaposing,kateysa,kaposing,kaka,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kateysa,wari,kaposing,kaka,kaposing,kaposing,maran,kaminan,kaminan,kaminan,maran,kaminan,kaminan,maran,kaminan,kaminan,kaminan,ina,kaminan,maran,kaminan,ina,maran,maran,maran,kaminan,ama,ama,kaminan,maran
3,0.07482509698302464,1.1862879178646022,1.1114628208815776,kaposing,kateysa,kateysa,kaka,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kaposing,kaka,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaka,kaposing,wari,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kateysa,kateysa,wari,kateysa,kaposing,kaposing,kaposing,kaposing,wari,kateysa,kateysa,kaposing,kateysa,kaka,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,wari,kateysa,kateysa,kaposing,kateysa,kaposing,ama,maran,kaminan,maran,kaminan,kaminan,maran,maran,kaminan,kaminan,maran,kaminan,maran,kaminan,ama,kaminan,ina,maran,kaminan,maran,kaminan,kaminan,ina,kaminan
4,0.10591083921532585,1.158688458734337,1.052777619519011,kaposing,kaposing,kaposing,kateysa,kaka,wari,kateysa,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,wari,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,wari,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,wari,kateysa,kaposing,kaposing,kaposing,kaka,kaposing,kateysa,kaka,kateysa,kateysa,kaposing,kateysa,kaka,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kateysa,kaposing,kateysa,kaposing,maran,kaminan,ama,ina,kaminan,ama,ina,kaminan,kaminan,maran,kaminan,kaminan,kaminan,maran,kaminan,maran,kaminan,maran,kaminan,maran,maran,maran,kaminan,kaminan
5,0.10280843517668803,1.1028383548872327,1.0000299197105447,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,wari,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,wari,kateysa,kateysa,kaposing,kaposing,kaposing,kaka,kaposing,kateysa,wari,kaposing,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kaka,kateysa,kaposing,kaposing,kateysa,kateysa,kaka,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,wari,kaposing,kaposing,kateysa,kaka,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kateysa,maran,maran,kaminan,kaminan,kaminan,kaminan,maran,maran,ina,kaminan,maran,kaminan,ina,kaminan,ama,kaminan,kaminan,kaminan,kaminan,kaminan,ama,maran,maran,maran
6,0.08822565174732144,1.1261201135450378,1.0378944617977164,kaposing,kaposing,wari,kaposing,kateysa,kateysa,kaka,kateysa,kateysa,kaka,kateysa,kaposing,kateysa,kateysa,wari,kateysa,kateysa,kateysa,kaposing,kaposing,kateysa,kateysa,kateysa,wari,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,kaka,kaposing,kaposing,wari,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kateysa,kaposing,kaka,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,maran,kaminan,kaminan,ama,kaminan,maran,kaminan,kaminan,kaminan,kaminan,maran,maran,kaminan,ama,kaminan,maran,maran,maran,kaminan,kaminan,ina,maran,kaminan,ina
7,0.09134992863088098,1.153970809764681,1.0626208811338,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,wari,kaposing,kaka,kaposing,kateysa,wari,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kaka,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kaka,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kateysa,wari,kaposing,kaposing,kaposing,kateysa,kateysa,wari,kateysa,kateysa,kaposing,kaposing,kaka,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,ama,kaminan,kaminan,maran,ama,maran,kaminan,maran,maran,kaminan,kaminan,kaminan,ina,kaminan,kaminan,kaminan,maran,kaminan,ina,kaminan,maran,maran,maran,kaminan
8,0.04509745184414604,1.1419329021410007,1.0968354502968547,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kateysa,kaposing,wari,kateysa,kateysa,kaposing,kaposing,wari,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaka,wari,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kaka,kaposing,kaka,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kateysa,kaka,kaposing,kateysa,kateysa,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kaposing,kateysa,kaposing,kaposing,wari,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kaposing,kaminan,ina,maran,ama,maran,kaminan,ina,kaminan,kaminan,kaminan,maran,maran,kaminan,kaminan,kaminan,maran,maran,kaminan,kaminan,kaminan,maran,maran,ama,kaminan
9,0.07553663618255024,1.1161322928188837,1.0405956566363335,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kaposing,kaka,kaposing,kaposing,wari,kateysa,kaposing,kateysa,kateysa,wari,kaposing,kaposing,kaposing,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaka,kateysa,wari,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,kaposing,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kaposing,kateysa,wari,kaposing,kaka,kaposing,kateysa,kaposing,kateysa,kaposing,kaposing,kaposing,kaposing,kateysa,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kateysa,kateysa,kaposing,kateysa,kateysa,kaka,kaposing,kaposing,kateysa,kaposing,kateysa,ina,maran,kaminan,kaminan,ama,maran,maran,kaminan,ina,kaminan,kaminan,ama,kaminan,maran,kaminan,kaminan,kaminan,kaminan,maran,maran,maran,kaminan,kaminan,maran
