simulation_number,mutual_information,entropy,conditional_entropy,fyZ,mFByS,myB,mFByD,mFBeD,myZ,fFBeD,meB,mFBeS,fFBeS,fyB,fFByS,feB,fFByD,mFZeD,fFZeD,fFZyD,mFZyS,mFZeS,mMBeS,mFZyD,fFZeS,fMBeS,fFZyS,meZ,feZ,fFeB,fFyB,mFeB,mFyB,fF,mF,fM,mM,fFeZ,fFyZ,mFeZ,mFyZ
0,0.6931471805599453,1.3862943611198906,0.6931471805599453,ta´-ku te-i-na,ta-ku tu-a-ka-na,ta-ku te-i-na,ta´-ku tu-a-ka-na,ta´-ku te-t-na,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-na-te-i-na,ta´-ku tu-a-ka-na,ta´-ku tun-ga-ne,taku tu-a-hi-ne,ta-ku tun-go-ne,ta´-ku tu-o-hi-na-te-i-na,ta-ku tu-a-hi-ne,ta-ku tun-ga-ne,ta´-ku tun-ga-ne,taku tu-a-ka-na,ta´-ku te-a-ka-na,ta-ku tu-a-ka-na,ta-ku te-i-na,ta-ku-te-i-na,ta´-ku te-a-hi-ne,ta´-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-ne te-i-na,ta-ku te-i-na,ta-ku tu-a-ka-na,ta-ku tun-ga-ne te-i-na,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku wa-e-a,ta-ku papa,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta-ku papa,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke
1,0.3465735902799726,1.0397207708399179,0.6931471805599453,ta-ku te-i-na,ta-ku tu-a-hi-ne te-i-na,ta-ku tu-a-hi-ne,ta´-ku te-t-na,ta´-ku te-a-hi-ne,ta-ku tun-ga-ne,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta´-ku tun-ga-ne-te-i-na,ta-ku tun-go-ne,ta-ku tun-ga-ne te-i-na,taku tu-a-ka-na,ta´-ku te-i-na,ta´-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta-ku te-i-na,ta´-ku tu-a-ka-na,taku tu-a-hi-ne,ta-ku tu-a-hi-na-te-i-na,ta´-ku tu-o-hi-na-te-i-na,ta´-ku tun-ga-ne,ta-ku-te-i-na,ta-ku te-i-na,ta´-ku te-a-ka-na,ta´-ku tun-ga-ne,ta-ku pa-pa-ke-ke,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku papa,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku papa,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke
2,0.1618211657541267,0.5623351446188083,0.4005139788646816,taku tu-a-hi-ne,ta-ku tun-ga-ne te-i-na,ta-ku tun-go-ne,ta´-ku te-i-na,ta-ku te-i-na,ta´-ku te-a-hi-ne,ta´-ku te-t-na,ta´-ku tun-ga-ne,ta´-ku te-a-ka-na,ta-ku tu-a-ka-na,taku tu-a-ka-na,ta-ku te-i-na,ta´-ku tun-ga-ne,ta-ku tu-a-ka-na,ta´-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-na-te-i-na,ta-ku-te-i-na,ta´-ku tu-a-ka-na,ta-ku te-i-na,ta´-ku tu-o-hi-na-te-i-na,ta-ku tu-a-hi-ne te-i-na,ta-ku tu-a-ka-na,ta´-ku tu-a-ka-na,ta-ku tu-a-hi-ne,ta-ku tun-ga-ne,ta-ku tun-ga-ne-te-i-na,ta-ku wa-e-a,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku papa,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku wa-e-a,ta-ku papa
3,0.6931471805599452,1.0397207708399179,0.34657359027997264,taku tu-a-hi-ne,ta-ku tu-a-ka-na,ta´-ku te-i-na,ta-ku-te-i-na,ta´-ku tu-a-ka-na,ta´-ku te-t-na,ta-ku te-i-na,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-ne,ta´-ku tun-ga-ne,ta-ku tun-ga-ne,ta-ku tun-go-ne,taku tu-a-ka-na,ta-ku tu-a-ka-na,ta´-ku tu-o-hi-na-te-i-na,ta´-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta´-ku tun-ga-ne,ta´-ku te-a-ka-na,ta´-ku te-a-hi-ne,ta´-ku tun-ga-ne-te-i-na,ta-ku tun-ga-ne te-i-na,ta-ku te-i-na,ta-ku tu-a-hi-na-te-i-na,ta-ku te-i-na,ta-ku tu-a-hi-ne te-i-na,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku papa,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku wa-e-a,ta-ku papa,ta´-ku wa-e-a,ta-ku wa-e-a
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,ta-ku tu-a-ka-na,ta-ku te-i-na,ta-ku tun-ga-ne te-i-na,ta´-ku tun-ga-ne-te-i-na,ta´-ku tun-ga-ne,ta-ku te-i-na,ta-ku-te-i-na,ta´-ku te-i-na,ta-ku te-i-na,ta´-ku tu-o-hi-na-te-i-na,ta´-ku te-a-ka-na,ta-ku tun-ga-ne-te-i-na,ta´-ku tu-a-ka-na,taku tu-a-hi-ne,ta´-ku tun-ga-ne,ta-ku tun-go-ne,ta´-ku te-t-na,ta-ku tu-a-hi-ne te-i-na,ta´-ku tu-a-ka-na,ta-ku tu-a-hi-ne,ta-ku tu-a-ka-na,ta´-ku te-a-hi-ne,ta-ku tu-a-ka-na,taku tu-a-ka-na,ta-ku tu-a-hi-na-te-i-na,ta-ku tun-ga-ne,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku papa,ta-ku papa,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta´-ku wa-e-a
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,ta´-ku tu-o-hi-na-te-i-na,ta-ku te-i-na,ta-ku tun-go-ne,ta´-ku te-t-na,taku tu-a-hi-ne,ta´-ku tu-a-ka-na,ta-ku tu-a-hi-na-te-i-na,ta-ku te-i-na,ta-ku te-i-na,ta´-ku tun-ga-ne,ta´-ku tun-ga-ne,ta-ku tu-a-ka-na,ta-ku tu-a-hi-ne te-i-na,ta-ku-te-i-na,ta´-ku te-a-hi-ne,ta-ku tu-a-ka-na,taku tu-a-ka-na,ta-ku tu-a-ka-na,ta´-ku te-i-na,ta´-ku tu-a-ka-na,ta´-ku te-a-ka-na,ta-ku tun-ga-ne,ta´-ku tun-ga-ne-te-i-na,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-ne,ta-ku tun-ga-ne te-i-na,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta-ku wa-e-a,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku papa,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku papa,ta´-ku wa-e-a,ta´-ku wa-e-a
6,0.6931471805599453,1.3862943611198906,0.6931471805599453,ta-ku-te-i-na,taku tu-a-ka-na,ta´-ku tun-ga-ne,ta-ku tu-a-hi-ne,taku tu-a-hi-ne,ta-ku tu-a-ka-na,ta´-ku tu-a-ka-na,ta-ku tun-ga-ne,ta´-ku te-a-hi-ne,ta´-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-ne te-i-na,ta´-ku tun-ga-ne,ta´-ku tu-o-hi-na-te-i-na,ta-ku te-i-na,ta´-ku te-i-na,ta-ku tu-a-ka-na,ta-ku tu-a-hi-na-te-i-na,ta´-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta-ku tun-ga-ne-te-i-na,ta´-ku te-t-na,ta-ku tun-ga-ne te-i-na,ta-ku tun-go-ne,ta-ku te-i-na,ta-ku te-i-na,ta´-ku te-a-ka-na,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku papa,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku papa,ta-ku pa-pa-ke-ke
7,0.3465735902799726,1.0397207708399179,0.6931471805599453,ta-ku tun-ga-ne,ta´-ku tun-ga-ne,ta´-ku te-t-na,ta´-ku tu-o-hi-na-te-i-na,ta-ku tu-a-hi-na-te-i-na,ta´-ku te-a-ka-na,ta-ku tu-a-hi-ne,ta-ku tun-ga-ne te-i-na,ta-ku te-i-na,taku tu-a-hi-ne,ta´-ku tun-ga-ne-te-i-na,ta´-ku tu-a-ka-na,ta-ku tu-a-hi-ne te-i-na,taku tu-a-ka-na,ta-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta´-ku te-a-hi-ne,ta-ku tu-a-ka-na,ta-ku tun-go-ne,ta-ku te-i-na,ta-ku-te-i-na,ta-ku te-i-na,ta-ku tun-ga-ne-te-i-na,ta´-ku te-i-na,ta´-ku tu-a-ka-na,ta´-ku tun-ga-ne,ta-ku papa,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku papa,ta´-ku wa-e-a,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke
8,0.5198603854199589,1.0397207708399179,0.5198603854199589,ta-ku tu-a-ka-na,ta-ku tun-go-ne,ta´-ku tun-ga-ne-te-i-na,ta-ku te-i-na,ta-ku tun-ga-ne te-i-na,ta-ku tu-a-ka-na,taku tu-a-hi-ne,ta-ku-te-i-na,ta´-ku tun-ga-ne,ta´-ku tun-ga-ne,ta´-ku tu-o-hi-na-te-i-na,ta´-ku te-a-ka-na,taku tu-a-ka-na,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-hi-na-te-i-na,ta-ku tu-a-ka-na,ta´-ku te-a-hi-ne,ta´-ku te-t-na,ta´-ku tu-a-ka-na,ta´-ku te-i-na,ta-ku tun-ga-ne,ta-ku tu-a-hi-ne te-i-na,ta-ku tu-a-hi-ne,ta-ku te-i-na,ta-ku te-i-na,ta´-ku tu-a-ka-na,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta-ku wa-e-a,ta´-ku wa-e-a,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku papa,ta-ku pa-pa-ke-ke,ta-ku papa,ta´-ku wa-e-a
9,0.3465735902799726,1.0397207708399179,0.6931471805599453,ta´-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta-ku tun-ga-ne,ta-ku te-i-na,ta´-ku tu-o-hi-na-te-i-na,ta´-ku tun-ga-ne,ta-ku tun-ga-ne-te-i-na,ta-ku tu-a-ka-na,taku tu-a-ka-na,taku tu-a-hi-ne,ta´-ku tu-a-ka-na,ta-ku tu-a-ka-na,ta-ku te-i-na,ta´-ku tun-ga-ne,ta´-ku te-t-na,ta-ku te-i-na,ta´-ku te-a-hi-ne,ta´-ku te-i-na,ta´-ku tun-ga-ne-te-i-na,ta-ku-te-i-na,ta-ku tu-a-hi-ne,ta´-ku te-a-ka-na,ta-ku tu-a-hi-ne te-i-na,ta-ku tun-ga-ne te-i-na,ta-ku tun-go-ne,ta-ku tu-a-hi-na-te-i-na,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku pa-pa-ke-ke,ta-ku wa-e-a,ta-ku pa-pa-ke-ke,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku papa,ta´-ku wa-e-a,ta´-ku wa-e-a,ta-ku pa-pa-ke-ke,ta-ku papa
