simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mFyZS,fFZD,fMBD,fFZS,fMBS,fFeZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fFyZS,mFeB,mFyB,mMeZ,fFeB,fFyB,fMeZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMyZ,fMeB,fMyB
0,0.6971648187353592,2.2615018622236347,1.5643370434882755,massina,massina,massina,massina,malli,massina,malli,massina,næna,næna,massina,næna,næna,massina,naƞgi,naƞgi,næna,massina,aiya,næna,næna,næna,massina,akka,næna,akka,massina,næna,massina,næna,næna,massina,massina,næna,akka,aiya,massina,næna,massina,nangi,massina,aiya,næna,næna,malli,næna,ayya,akka,naƞgi,næna,næna,massina,akka,malli,akka,ayya,malli,malli,massina,massina,nangi,naƞgi,næna,loku nænda,kudappa,loku amma,appachchi,punchi maama,kudamma,punchi nænda,punchi maama,kudamma,kudappa,mahappa,nænda,maama,mahappa,amma,punchi maama,appachchi,amma,punchi maama,maama,punchi nænda,nænda,loku nænda,loku amma
1,0.6326089442046325,2.2147131951958166,1.582104250991184,ayya,massina,massina,næna,næna,nangi,massina,næna,næna,naƞgi,massina,massina,næna,akka,malli,akka,naƞgi,næna,nangi,næna,næna,næna,malli,aiya,akka,massina,ayya,næna,næna,næna,akka,naƞgi,næna,aiya,næna,malli,massina,massina,massina,massina,næna,massina,massina,massina,massina,næna,malli,massina,næna,massina,massina,akka,akka,malli,aiya,massina,næna,malli,massina,næna,næna,naƞgi,massina,punchi maama,kudappa,appachchi,loku nænda,amma,mahappa,kudamma,punchi nænda,maama,loku nænda,punchi maama,punchi maama,punchi maama,nænda,appachchi,kudamma,kudappa,loku amma,maama,loku amma,nænda,mahappa,punchi nænda,amma
2,0.5785117433836704,2.1919182413764005,1.61340649799273,massina,massina,massina,malli,massina,næna,ayya,akka,massina,massina,naƞgi,massina,massina,næna,næna,malli,næna,ayya,massina,malli,næna,massina,naƞgi,næna,næna,massina,næna,massina,akka,akka,massina,næna,næna,akka,massina,næna,næna,akka,aiya,massina,akka,nangi,næna,malli,næna,massina,massina,aiya,næna,næna,massina,massina,næna,naƞgi,aiya,malli,næna,naƞgi,nangi,massina,næna,malli,næna,kudamma,punchi maama,nænda,maama,kudappa,amma,loku nænda,punchi maama,punchi nænda,amma,kudappa,nænda,kudamma,maama,appachchi,punchi maama,loku nænda,punchi nænda,mahappa,appachchi,loku amma,mahappa,punchi maama,loku amma
3,0.7355630099823034,2.2373812089726623,1.501818198990359,nangi,næna,malli,næna,akka,malli,malli,naƞgi,massina,næna,massina,næna,næna,næna,ayya,næna,malli,aiya,næna,aiya,massina,massina,næna,massina,massina,akka,næna,næna,naƞgi,næna,massina,næna,næna,naƞgi,næna,malli,akka,massina,næna,massina,massina,akka,massina,massina,massina,massina,massina,næna,aiya,næna,massina,massina,næna,nangi,akka,akka,massina,næna,massina,malli,ayya,massina,naƞgi,kudamma,amma,loku amma,punchi maama,appachchi,kudappa,kudappa,mahappa,maama,loku nænda,punchi maama,punchi maama,mahappa,nænda,loku nænda,nænda,appachchi,punchi nænda,kudamma,loku amma,maama,amma,punchi maama,punchi nænda
4,0.6944576373956202,2.231534816574268,1.537077179178648,massina,massina,aiya,næna,massina,ayya,massina,næna,næna,malli,malli,naƞgi,massina,malli,næna,næna,akka,næna,massina,massina,massina,akka,ayya,akka,massina,næna,malli,massina,naƞgi,næna,næna,næna,næna,næna,akka,næna,massina,næna,næna,næna,massina,massina,aiya,aiya,næna,massina,naƞgi,malli,nangi,næna,massina,massina,massina,massina,akka,næna,akka,naƞgi,nangi,massina,næna,massina,malli,maama,kudamma,maama,loku amma,punchi maama,nænda,kudamma,appachchi,kudappa,amma,loku amma,loku nænda,mahappa,amma,punchi maama,mahappa,punchi nænda,appachchi,nænda,punchi maama,kudappa,punchi nænda,punchi maama,loku nænda
5,0.5081077251188211,2.124867527719193,1.6167598026003718,næna,massina,malli,naƞgi,akka,naƞgi,akka,næna,næna,næna,massina,ayya,næna,ayya,massina,massina,næna,akka,næna,massina,malli,næna,massina,massina,massina,massina,næna,massina,akka,massina,næna,malli,aiya,malli,massina,næna,akka,nangi,næna,næna,næna,næna,akka,næna,nangi,massina,næna,massina,næna,næna,aiya,massina,massina,malli,malli,naƞgi,næna,aiya,massina,massina,massina,massina,naƞgi,loku amma,punchi maama,mahappa,punchi maama,maama,maama,kudamma,punchi maama,punchi nænda,amma,appachchi,appachchi,nænda,kudamma,kudappa,loku nænda,loku amma,punchi nænda,punchi maama,kudappa,mahappa,nænda,loku nænda,amma
6,0.5475071705053052,2.3307561549249796,1.7832489844196744,massina,malli,massina,malli,nangi,massina,næna,massina,næna,massina,næna,massina,akka,massina,akka,malli,akka,næna,næna,næna,ayya,aiya,akka,massina,næna,akka,næna,malli,massina,næna,massina,næna,malli,aiya,naƞgi,næna,malli,ayya,massina,massina,næna,nangi,næna,næna,aiya,næna,næna,massina,massina,massina,massina,naƞgi,næna,massina,næna,næna,akka,naƞgi,massina,naƞgi,massina,næna,massina,amma,mahappa,kudamma,maama,punchi nænda,loku amma,punchi maama,loku amma,punchi nænda,loku nænda,nænda,loku nænda,appachchi,nænda,kudappa,amma,kudamma,maama,mahappa,kudappa,punchi maama,punchi maama,appachchi,punchi maama
7,0.6912670324838617,2.3098309519554454,1.6185639194715837,akka,ayya,akka,massina,naƞgi,næna,næna,næna,massina,malli,massina,næna,massina,massina,malli,massina,akka,næna,malli,massina,naƞgi,malli,nangi,næna,næna,massina,aiya,næna,ayya,næna,massina,akka,aiya,næna,næna,akka,næna,massina,massina,nangi,næna,massina,massina,massina,naƞgi,næna,aiya,malli,naƞgi,massina,massina,næna,massina,malli,næna,massina,næna,massina,massina,næna,akka,næna,næna,mahappa,appachchi,kudamma,punchi maama,loku amma,kudappa,punchi nænda,amma,punchi maama,loku nænda,amma,nænda,punchi nænda,maama,kudamma,loku amma,appachchi,kudappa,mahappa,punchi maama,loku nænda,maama,nænda,punchi maama
8,0.47947984471842964,1.986446569043794,1.5069667243253644,massina,ayya,næna,næna,massina,akka,næna,naƞgi,næna,aiya,akka,naƞgi,malli,næna,massina,akka,næna,næna,massina,akka,massina,næna,naƞgi,aiya,massina,ayya,nangi,aiya,malli,akka,næna,næna,massina,næna,næna,næna,massina,næna,massina,malli,massina,massina,malli,næna,massina,malli,massina,malli,nangi,næna,næna,massina,massina,massina,naƞgi,massina,massina,akka,næna,næna,massina,massina,næna,kudamma,nænda,appachchi,mahappa,appachchi,kudamma,loku nænda,punchi maama,amma,punchi nænda,loku nænda,loku amma,amma,kudappa,punchi maama,punchi nænda,loku amma,maama,punchi maama,maama,punchi maama,nænda,mahappa,kudappa
9,0.5382031133988259,2.2191221136558403,1.6809190002570145,malli,massina,næna,næna,næna,næna,massina,næna,næna,naƞgi,næna,massina,næna,massina,naƞgi,næna,akka,næna,næna,næna,aiya,aiya,massina,massina,massina,malli,ayya,næna,nangi,naƞgi,næna,næna,massina,massina,akka,massina,massina,næna,massina,akka,massina,nangi,massina,naƞgi,massina,malli,akka,malli,næna,næna,aiya,massina,akka,næna,ayya,massina,massina,akka,massina,malli,næna,massina,malli,punchi nænda,loku nænda,nænda,appachchi,maama,loku amma,punchi maama,appachchi,kudamma,kudappa,loku nænda,maama,punchi maama,punchi nænda,amma,nænda,kudappa,punchi maama,amma,loku amma,mahappa,mahappa,kudamma,punchi maama
