simulation_number,mutual_information,entropy,conditional_entropy,fMBeD,fMByD,mFBeS,fFBeS,fFByS,mFBeD,mFByD,fMZyS,mMZeD,mMZyD,mFZeS,mFZyS,mMBeS,mMByS,feB,meB,myB,fyB,myZ,fyZ,fFZeS,fFZyS,mFZeD,mFZyD,fMBeS,fMByS,mMBeD,mMByD,meZ,feZ,mFByS,mMZeS,mMZyS,fFZeD,fFZyD,fFBeD,fFByD,fMZeD,fMZyD,fF,mM,fM,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mFeB,mFyB,fFeB,fFyB
0,0.31825708414740617,1.0986122886681096,0.7803552045207034,ne-misʼ-sa,ne-douʼ-go-sha,ne-de-geʼ-ko,nin-donʼ-go-sha,ne-käʼ-na,nin-dä-waʼ-mä,nin-donʼ-go-sha,ne-sǐʼ-ya,ne-täʼ-wis,nin-dä-waʼ-mä,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-misʼ-sa,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-täʼ-wis,ne-käʼ-na,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-sheʼ-ma,ne-sǐ-ya,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-käʼ-na,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-sheʼ-ma,ne-de-geʼ-ko,ne-täʼ-wis,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-täʼ-wis,nin-dä-waʼ-mä,ne-sheʼ-ma,ninʼ-gah,ne-me-shoʼ-mǎ,ne-noʼ-sha,ninʼ-gah,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-ze-gǔsʼ,ne-noʼ-sha,noʼ-sa,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-noʼ-sha,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-noʼ-sha
1,0.47738562622110947,1.0986122886681096,0.6212266624470001,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-käʼ-na,nin-dä-waʼ-mä,ne-sǐʼ-ya,ne-sǐ-ya,nin-dä-waʼ-mä,nin-donʼ-go-sha,ne-sheʼ-ma,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-douʼ-go-sha,ne-käʼ-na,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-täʼ-wis,ne-de-geʼ-ko,ne-käʼ-na,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-sheʼ-ma,ne-täʼ-wis,ne-misʼ-sa,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-täʼ-wis,ne-ne-moʼ-sha,ne-misʼ-sa,ne-täʼ-wis,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-sheʼ-ma,nin-donʼ-go-sha,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ninʼ-gah,ne-noʼ-sha,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,noʼ-sa,ne-ze-gǔsʼ,ninʼ-gah
2,0.4280131584872344,1.0986122886681096,0.6705991301808751,ne-käʼ-na,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-de-geʼ-ko,ne-sheʼ-ma,nin-donʼ-go-sha,ne-ne-moʼ-sha,ne-ne-moʼ-sha,nin-donʼ-go-sha,nin-dä-waʼ-mä,ne-täʼ-wis,ne-de-geʼ-ko,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-täʼ-wis,ne-sǐ-ya,nin-dä-waʼ-mä,ne-käʼ-na,ne-sheʼ-ma,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-douʼ-go-sha,ne-misʼ-sa,ne-sheʼ-ma,ne-sǐʼ-ya,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-misʼ-sa,ne-ne-moʼ-sha,ne-käʼ-na,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-täʼ-wis,ne-täʼ-wis,nin-dä-waʼ-mä,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ninʼ-gah,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-ze-gǔsʼ,noʼ-sa,ninʼ-gah,ne-ze-gǔsʼ,ne-zhe-shaʼ
3,0.130812035941137,0.6365141682948128,0.5057021323536758,ne-sǐʼ-ya,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-käʼ-na,ne-ne-moʼ-sha,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-sheʼ-ma,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-de-geʼ-ko,nin-donʼ-go-sha,ne-misʼ-sa,ne-de-geʼ-ko,nin-donʼ-go-sha,ne-misʼ-sa,ne-sǐ-ya,ne-sheʼ-ma,ne-sheʼ-ma,ne-sheʼ-ma,ne-täʼ-wis,ne-ne-moʼ-sha,ne-douʼ-go-sha,ne-käʼ-na,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-käʼ-na,ne-täʼ-wis,ne-de-geʼ-ko,ne-täʼ-wis,ne-de-geʼ-ko,ne-ze-gǔsʼ,ne-ze-gǔsʼ,noʼ-sa,ninʼ-gah,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-zhe-shaʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ne-noʼ-sha,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,ninʼ-gah,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ
4,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-täʼ-wis,nin-dä-waʼ-mä,ne-sǐʼ-ya,ne-käʼ-na,ne-täʼ-wis,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-sheʼ-ma,ne-misʼ-sa,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-täʼ-wis,ne-sheʼ-ma,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-sheʼ-ma,nin-donʼ-go-sha,nin-donʼ-go-sha,ne-douʼ-go-sha,nin-dä-waʼ-mä,ne-sǐ-ya,ne-käʼ-na,ne-misʼ-sa,ne-käʼ-na,ne-täʼ-wis,ne-sheʼ-ma,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-noʼ-sha,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-ze-gǔsʼ,ne-noʼ-sha,ne-zhe-shaʼ,ninʼ-gah,ne-noʼ-sha,ne-zhe-shaʼ,ne-ze-gǔsʼ,ninʼ-gah,ne-zhe-shaʼ,noʼ-sa,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ
5,0.130812035941137,0.6365141682948128,0.5057021323536758,nin-dä-waʼ-mä,nin-donʼ-go-sha,ne-sheʼ-ma,nin-dä-waʼ-mä,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-käʼ-na,ne-ne-moʼ-sha,ne-käʼ-na,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-täʼ-wis,ne-misʼ-sa,nin-dä-waʼ-mä,ne-misʼ-sa,ne-douʼ-go-sha,ne-sheʼ-ma,ne-sheʼ-ma,ne-douʼ-go-sha,ne-täʼ-wis,ne-sheʼ-ma,ne-sǐʼ-ya,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-täʼ-wis,ne-ne-moʼ-sha,ne-käʼ-na,ne-de-geʼ-ko,ne-täʼ-wis,ne-sǐ-ya,nin-dä-waʼ-mä,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-de-geʼ-ko,nin-donʼ-go-sha,ne-ne-moʼ-sha,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-noʼ-sha,ninʼ-gah,ninʼ-gah,ne-noʼ-sha,ne-ze-gǔsʼ,ne-ze-gǔsʼ,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-noʼ-sha,noʼ-sa,ne-noʼ-sha
6,0.13081203594113688,0.6365141682948128,0.5057021323536759,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-käʼ-na,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-käʼ-na,ne-sǐʼ-ya,ne-täʼ-wis,ne-sheʼ-ma,ne-täʼ-wis,ne-ne-moʼ-sha,ne-douʼ-go-sha,nin-dä-waʼ-mä,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-täʼ-wis,ne-käʼ-na,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-sǐ-ya,nin-donʼ-go-sha,ne-misʼ-sa,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-sheʼ-ma,ne-sheʼ-ma,nin-dä-waʼ-mä,ne-täʼ-wis,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-misʼ-sa,nin-donʼ-go-sha,nin-dä-waʼ-mä,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-ze-gǔsʼ,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-zhe-shaʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ninʼ-gah,ne-ze-gǔsʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,ninʼ-gah,noʼ-sa,ne-me-shoʼ-mǎ
7,0.24633656603446097,1.0986122886681096,0.8522757226336486,nin-dä-waʼ-mä,ne-sǐ-ya,nin-dä-waʼ-mä,ne-misʼ-sa,ne-käʼ-na,nin-donʼ-go-sha,nin-dä-waʼ-mä,ne-sǐʼ-ya,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-douʼ-go-sha,nin-dä-waʼ-mä,nin-donʼ-go-sha,ne-douʼ-go-sha,ne-täʼ-wis,ne-ne-moʼ-sha,ne-täʼ-wis,ne-täʼ-wis,ne-sheʼ-ma,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-sheʼ-ma,ne-käʼ-na,ne-täʼ-wis,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-ne-moʼ-sha,ne-de-geʼ-ko,ne-misʼ-sa,nin-dä-waʼ-mä,ne-käʼ-na,ne-sheʼ-ma,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-sheʼ-ma,ne-ne-moʼ-sha,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,ne-me-shoʼ-mǎ,ninʼ-gah,noʼ-sa,ne-noʼ-sha,ne-ze-gǔsʼ,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-noʼ-sha,ne-zhe-shaʼ,ne-zhe-shaʼ,ninʼ-gah
8,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-sheʼ-ma,ne-de-geʼ-ko,nin-dä-waʼ-mä,nin-donʼ-go-sha,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-douʼ-go-sha,ne-täʼ-wis,ne-käʼ-na,ne-de-geʼ-ko,ne-de-geʼ-ko,ne-sǐʼ-ya,ne-sǐ-ya,ne-douʼ-go-sha,ne-misʼ-sa,nin-donʼ-go-sha,ne-täʼ-wis,ne-täʼ-wis,nin-dä-waʼ-mä,ne-täʼ-wis,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-sheʼ-ma,nin-dä-waʼ-mä,ne-käʼ-na,nin-dä-waʼ-mä,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-ne-moʼ-sha,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-käʼ-na,ne-sheʼ-ma,ne-de-geʼ-ko,ne-misʼ-sa,noʼ-sa,ne-me-shoʼ-mǎ,ne-noʼ-sha,ninʼ-gah,ne-noʼ-sha,ninʼ-gah,ne-ze-gǔsʼ,ne-noʼ-sha,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-zhe-shaʼ,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-noʼ-sha,ne-ze-gǔsʼ
9,0.4054651081081643,1.0986122886681096,0.6931471805599453,ne-käʼ-na,nin-dä-waʼ-mä,nin-donʼ-go-sha,ne-douʼ-go-sha,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-sheʼ-ma,nin-dä-waʼ-mä,ne-sheʼ-ma,ne-ne-moʼ-sha,ne-sǐʼ-ya,nin-donʼ-go-sha,ne-misʼ-sa,nin-dä-waʼ-mä,ne-sǐ-ya,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-käʼ-na,ne-de-geʼ-ko,nin-dä-waʼ-mä,ne-douʼ-go-sha,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,ne-ne-moʼ-sha,ne-täʼ-wis,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-ne-moʼ-sha,nin-dä-waʼ-mä,ne-käʼ-na,ne-täʼ-wis,ne-misʼ-sa,nin-dä-waʼ-mä,ne-de-geʼ-ko,ne-täʼ-wis,ne-sheʼ-ma,ne-sheʼ-ma,ninʼ-gah,ne-ze-gǔsʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-me-shoʼ-mǎ,ne-zhe-shaʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ,noʼ-sa,ne-ze-gǔsʼ,ninʼ-gah,ne-noʼ-sha,ne-noʼ-sha,ne-ze-gǔsʼ,ne-zhe-shaʼ,ne-me-shoʼ-mǎ
