simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11877776150822428,0.9950269901795212,0.876249228671297,ɔ̀knɔ b'ài,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,paŋgra,paŋgra,ɔ̀knɔ b'ài,bɛ̄ɳ,ma:m,ma:m,bʊi,ka:k,bʊi,ba:b,maɪ,ma:m,ka:k,bʊi,mamɪ,ka:k,ma:m,bʊi,bʊi,mamɪ,ka:k,bʊi,ka:k,ma:m,mamɪ,ma:m,mamɪ,maɪ,mamɪ,mamɪ,ba:b,ka:k
1,0.3434807882986617,0.9950269901795212,0.6515462018808595,bɛ̄ɳ,bɛ̄ɳ,ɔ̀knɔ b'ài,bɛ̄ɳ,ɔ̀knɔ b'ài,paŋgra,bɛ̄ɳ,paŋgra,paŋgra,bɛ̄ɳ,bɛ̄ɳ,ka:k,ka:k,ma:m,mamɪ,ka:k,ma:m,bʊi,bʊi,ma:m,ma:m,mamɪ,ma:m,ka:k,mamɪ,ba:b,mamɪ,bʊi,ma:m,mamɪ,bʊi,mamɪ,maɪ,ka:k,ba:b,bʊi,ka:k,maɪ,bʊi
2,0.262618797734115,1.3801087571572688,1.1174899594231538,bɛ̄ɳ,ɔ̀knɔ b'ài,paŋgra,ɔ̀knɔ b'ài,bɛ̄ɳ,bɛ̄ɳ,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,paŋgra,mamɪ,bʊi,bʊi,ma:m,mamɪ,mamɪ,maɪ,mamɪ,ka:k,bʊi,maɪ,mamɪ,ba:b,ka:k,ba:b,ka:k,ma:m,bʊi,bʊi,ka:k,ma:m,ma:m,ma:m,ka:k,bʊi,mamɪ,ma:m,ka:k
3,0.1690647403771457,1.0366279688586069,0.8675632284814612,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,ɔ̀knɔ b'ài,bɛ̄ɳ,bɛ̄ɳ,paŋgra,ɔ̀knɔ b'ài,paŋgra,paŋgra,bɛ̄ɳ,bʊi,mamɪ,ma:m,ma:m,ba:b,mamɪ,mamɪ,ka:k,ba:b,mamɪ,ma:m,ka:k,bʊi,ka:k,ka:k,bʊi,ma:m,maɪ,mamɪ,ma:m,bʊi,ka:k,ka:k,mamɪ,bʊi,ma:m,bʊi,maɪ
4,0.2626187977341148,0.9950269901795212,0.7324081924454064,ɔ̀knɔ b'ài,bɛ̄ɳ,paŋgra,bɛ̄ɳ,ɔ̀knɔ b'ài,paŋgra,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,ma:m,ma:m,mamɪ,mamɪ,maɪ,bʊi,ka:k,bʊi,ka:k,ma:m,ma:m,ka:k,ba:b,mamɪ,mamɪ,bʊi,ma:m,bʊi,ka:k,bʊi,maɪ,ka:k,ka:k,ba:b,bʊi,ma:m,mamɪ,mamɪ
5,0.2626187977341148,1.3801087571572686,1.1174899594231538,bɛ̄ɳ,bɛ̄ɳ,paŋgra,ɔ̀knɔ b'ài,ɔ̀knɔ b'ài,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,paŋgra,bɛ̄ɳ,maɪ,ba:b,bʊi,maɪ,mamɪ,mamɪ,bʊi,ka:k,ma:m,ka:k,mamɪ,ma:m,ka:k,ka:k,bʊi,mamɪ,mamɪ,ba:b,ka:k,ma:m,mamɪ,bʊi,bʊi,bʊi,ma:m,ma:m,ka:k,ma:m
6,0.06626062323326065,1.0366279688586069,0.9703673456253462,bɛ̄ɳ,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,ɔ̀knɔ b'ài,ɔ̀knɔ b'ài,paŋgra,bɛ̄ɳ,bɛ̄ɳ,paŋgra,ma:m,bʊi,ka:k,maɪ,ba:b,ba:b,ma:m,ma:m,bʊi,mamɪ,bʊi,bʊi,ka:k,ka:k,ka:k,ma:m,mamɪ,ka:k,mamɪ,maɪ,mamɪ,bʊi,ma:m,ma:m,bʊi,mamɪ,mamɪ,ka:k
7,0.08586278301897443,1.3801087571572688,1.2942459741382943,paŋgra,bɛ̄ɳ,bɛ̄ɳ,paŋgra,ɔ̀knɔ b'ài,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,paŋgra,ɔ̀knɔ b'ài,ka:k,bʊi,mamɪ,mamɪ,ka:k,ka:k,bʊi,ma:m,mamɪ,ma:m,bʊi,ma:m,ka:k,ma:m,maɪ,mamɪ,ba:b,bʊi,ma:m,ma:m,ka:k,maɪ,mamɪ,mamɪ,ka:k,ba:b,bʊi,bʊi
8,0.20698051132082318,1.3801087571572686,1.1731282458364454,paŋgra,ɔ̀knɔ b'ài,bɛ̄ɳ,paŋgra,bɛ̄ɳ,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,ɔ̀knɔ b'ài,ma:m,ba:b,bʊi,ka:k,mamɪ,ma:m,mamɪ,bʊi,ma:m,maɪ,mamɪ,bʊi,ma:m,ba:b,mamɪ,ka:k,ka:k,bʊi,mamɪ,mamɪ,bʊi,ka:k,ma:m,ma:m,ka:k,ka:k,maɪ,bʊi
9,0.0967830850035224,1.0366279688586069,0.9398448838550845,bɛ̄ɳ,ɔ̀knɔ b'ài,paŋgra,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,bɛ̄ɳ,ɔ̀knɔ b'ài,bɛ̄ɳ,paŋgra,paŋgra,mamɪ,ka:k,mamɪ,ma:m,bʊi,ma:m,ka:k,mamɪ,ba:b,bʊi,mamɪ,bʊi,ma:m,ma:m,ka:k,ba:b,ma:m,bʊi,ka:k,maɪ,ka:k,mamɪ,mamɪ,bʊi,bʊi,ma:m,maɪ,ka:k
