simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fMBeD,fMByD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMZeD,fMZyD,mFZD,mFeZD,mFyZD,mFZeD,mFZyD,fFZD,fFeZD,fFyZD,fFZeD,fFZyD,mMBeD,mMByD,mMB,mMeB,mMyB,fFZ,fMB,fMeB,fMyB,mF,mM,mFeB,mFyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ
0,0.8998658930089394,2.1870621925333396,1.2871962995244002,mutaanocia,muntuetû,muntuetû,mwonomware waaba,mwareocia mûkûrû,ndûgû,mwonomware waaba,mutaanocia,mutaanocia mwanake,mutaanocia mûkûrû,icia,mwareocia,mwareoba,mwareocia,mwareoba,mutaanocia,kana ka mware waaba,mwareocia mwanake,mwonomware waaba,ndûgû,mutaanocia,icia,muntuetû,mwareocia mwanake,kana ka mware waaba,ndûgû,kana ka mware waaba,ndûgû,icia,kana ka mware waaba,ndûgû,kana ka mware waaba,ndûgû,mutaanocia,mwareocia,muntuetû,muntuetû,mutaanocia mûkûrû,mutaanocia,ndûgû,mwonomware waaba,ndûgû,kaake,mutaanocia,mutaanocia,ndûgû,muntuetû,icia,mwonomware waaba,mwareocia,icia,muntuetû,nkoolo,muntuetû,ndûgû,mutaanocia,icia,kana ka mware waaba,mwareocia mûkûrû,ndûgû,mwareocia,mwareocia,ndûgû,mwareoba,muntuetû,kana ka mware waaba,mwareocia,kana ka mware waaba,muntuetû,ndûgû,mutaanocia,ndûgû,ndûgû,mwonomware waaba,mwareoba,kana ka mware waaba,kana ka mware waaba,mutaanocia mwanake,icia,mwonomware waaba,icia,ndûgû,ndûgû,mutaanocia,mwonomware waaba,ndûgû,mwonomware waaba,mwonomware waaba,mutaanocia,ndûgû,baaba mûkûrû,nkoolo,muntuetû,muntuetû,kaake,mwarewaaba,muntuetû,baaba mwanake,baaba mwanake,ciomûkûrû,mwarewaaba,baaba mûkûrû,baaba,ciomwanake,nkoolo,mwarewaaba,muntuetû,kaake,baaba,icia,muntuetû,muntuetû,ntee
1,0.7284319843733524,2.225528544777635,1.4970965604042827,icia,mutaanocia,mwareocia mûkûrû,mutaanocia,muntuetû,mwareocia,mwareocia,mwonomware waaba,icia,mutaanocia mwanake,nkoolo,muntuetû,muntuetû,ndûgû,kana ka mware waaba,muntuetû,ndûgû,kana ka mware waaba,ndûgû,mwareocia mwanake,ndûgû,mutaanocia,mutaanocia,icia,mutaanocia,ndûgû,icia,ndûgû,icia,mwonomware waaba,mutaanocia mûkûrû,mutaanocia,mutaanocia,mwareocia mûkûrû,mwareoba,mwareocia,kana ka mware waaba,mwareoba,mutaanocia,mwonomware waaba,mwareocia,muntuetû,mwonomware waaba,mwonomware waaba,mutaanocia mûkûrû,ndûgû,ndûgû,ndûgû,ndûgû,ndûgû,mwonomware waaba,mutaanocia,kana ka mware waaba,ndûgû,kana ka mware waaba,mwareocia,kaake,kana ka mware waaba,icia,mutaanocia mwanake,mwonomware waaba,muntuetû,icia,muntuetû,ndûgû,ndûgû,mutaanocia,kana ka mware waaba,kana ka mware waaba,muntuetû,mwareocia mwanake,mutaanocia,mwareocia,mutaanocia,mwareoba,ndûgû,mwonomware waaba,mwareoba,mwareocia,kana ka mware waaba,mwonomware waaba,kana ka mware waaba,icia,muntuetû,ndûgû,mwonomware waaba,muntuetû,ndûgû,ndûgû,ndûgû,kaake,muntuetû,muntuetû,baaba mwanake,baaba mûkûrû,baaba mûkûrû,ciomûkûrû,baaba mwanake,mwarewaaba,muntuetû,mwarewaaba,nkoolo,baaba,ntee,kaake,icia,baaba,muntuetû,mwarewaaba,muntuetû,ciomwanake,muntuetû,nkoolo
2,0.9064305951016494,2.2541235303905394,1.34769293528889,kaake,mwareoba,muntuetû,ndûgû,kana ka mware waaba,ndûgû,ndûgû,mwonomware waaba,kana ka mware waaba,mutaanocia,mutaanocia,mwareocia,ndûgû,ndûgû,ndûgû,mutaanocia,mwareocia,mwareocia mûkûrû,ndûgû,mutaanocia,ndûgû,muntuetû,ndûgû,mutaanocia,ndûgû,ndûgû,mutaanocia,ndûgû,mutaanocia mûkûrû,mutaanocia,mwonomware waaba,ndûgû,mwonomware waaba,muntuetû,muntuetû,mwareocia mûkûrû,mwonomware waaba,kana ka mware waaba,mwonomware waaba,kana ka mware waaba,icia,mutaanocia mwanake,icia,mutaanocia,mutaanocia mûkûrû,mwonomware waaba,muntuetû,muntuetû,ndûgû,mwareocia mwanake,icia,mutaanocia mwanake,mwareoba,muntuetû,mwareocia,ndûgû,nkoolo,mwareoba,icia,kana ka mware waaba,mutaanocia,kana ka mware waaba,ndûgû,kana ka mware waaba,muntuetû,ndûgû,mwareocia,mwonomware waaba,kana ka mware waaba,mwareocia,mutaanocia,mutaanocia,mwareocia,kana ka mware waaba,muntuetû,mwareocia,mwonomware waaba,icia,mwonomware waaba,icia,icia,kana ka mware waaba,ndûgû,mwareocia mwanake,ndûgû,mwareoba,mutaanocia,icia,mwonomware waaba,muntuetû,kaake,ntee,mwarewaaba,nkoolo,ciomûkûrû,mwarewaaba,muntuetû,icia,mwarewaaba,baaba,baaba mwanake,muntuetû,baaba mûkûrû,baaba mwanake,nkoolo,baaba,muntuetû,baaba mûkûrû,ciomwanake,muntuetû,kaake,muntuetû,muntuetû
3,0.6978549307164235,2.2416529415996758,1.5437980108832523,mwareoba,ndûgû,kana ka mware waaba,icia,kana ka mware waaba,kana ka mware waaba,muntuetû,mwareoba,icia,mutaanocia,mwareocia mûkûrû,mutaanocia,ndûgû,mwareoba,muntuetû,mutaanocia,mutaanocia mwanake,ndûgû,icia,kana ka mware waaba,muntuetû,mwonomware waaba,mwareoba,mwonomware waaba,mutaanocia,mwonomware waaba,ndûgû,muntuetû,mwonomware waaba,mwareocia mwanake,mutaanocia,mwonomware waaba,mwonomware waaba,ndûgû,ndûgû,muntuetû,mutaanocia,mutaanocia mûkûrû,ndûgû,icia,kana ka mware waaba,mwareocia,mwonomware waaba,mutaanocia,kana ka mware waaba,icia,ndûgû,muntuetû,kaake,mwareocia,ndûgû,muntuetû,nkoolo,ndûgû,ndûgû,icia,muntuetû,mutaanocia mwanake,ndûgû,kana ka mware waaba,ndûgû,muntuetû,icia,mwonomware waaba,mwareocia,kana ka mware waaba,mutaanocia mûkûrû,ndûgû,icia,mwareocia,mutaanocia,ndûgû,mwareocia mwanake,mutaanocia,muntuetû,mwareocia,ndûgû,ndûgû,mwareocia,kana ka mware waaba,mwareocia,mwonomware waaba,mwareocia mûkûrû,ndûgû,mutaanocia,mutaanocia,kana ka mware waaba,mwonomware waaba,ndûgû,mutaanocia,kaake,muntuetû,icia,baaba,baaba mûkûrû,muntuetû,muntuetû,nkoolo,kaake,mwarewaaba,ciomûkûrû,baaba mwanake,ntee,ciomwanake,baaba,mwarewaaba,muntuetû,muntuetû,muntuetû,baaba mwanake,nkoolo,mwarewaaba,baaba mûkûrû
4,0.841767729146651,2.2087078351481324,1.3669401060014814,mwareocia mûkûrû,kana ka mware waaba,mwonomware waaba,icia,ndûgû,mutaanocia mûkûrû,mwonomware waaba,muntuetû,mwareocia,muntuetû,mutaanocia mwanake,mwareoba,mwonomware waaba,mutaanocia,mutaanocia,icia,kana ka mware waaba,mutaanocia,mwareocia,ndûgû,ndûgû,muntuetû,icia,mwonomware waaba,ndûgû,mwonomware waaba,mwareocia,kana ka mware waaba,ndûgû,ndûgû,mwonomware waaba,ndûgû,ndûgû,kana ka mware waaba,ndûgû,mutaanocia mwanake,muntuetû,ndûgû,mutaanocia mûkûrû,icia,mutaanocia,kana ka mware waaba,kana ka mware waaba,mutaanocia,kana ka mware waaba,mutaanocia,mwareoba,ndûgû,ndûgû,muntuetû,mwareocia mwanake,icia,muntuetû,ndûgû,mutaanocia,mwareocia mwanake,mutaanocia,mwareoba,muntuetû,ndûgû,mwareocia,kana ka mware waaba,ndûgû,mutaanocia,mutaanocia,icia,mwareocia,icia,ndûgû,mutaanocia,mwareocia,mwareocia,mwonomware waaba,kana ka mware waaba,muntuetû,ndûgû,mwareocia mûkûrû,ndûgû,icia,mutaanocia,mwareoba,mwonomware waaba,ndûgû,kana ka mware waaba,muntuetû,nkoolo,kaake,mwonomware waaba,mwonomware waaba,muntuetû,ciomûkûrû,muntuetû,muntuetû,baaba,nkoolo,baaba mûkûrû,mwarewaaba,muntuetû,muntuetû,muntuetû,ciomwanake,ntee,mwarewaaba,kaake,mwarewaaba,muntuetû,baaba mûkûrû,icia,nkoolo,baaba mwanake,baaba,kaake,baaba mwanake
5,0.6614887888224763,2.243532468612863,1.5820436797903865,kana ka mware waaba,mwareocia,ndûgû,icia,ndûgû,mwareocia,mwareoba,muntuetû,mwonomware waaba,mutaanocia,ndûgû,mwareocia mûkûrû,mwonomware waaba,mutaanocia,kana ka mware waaba,ndûgû,mwareocia,icia,icia,kaake,mwareoba,ndûgû,kana ka mware waaba,ndûgû,muntuetû,muntuetû,mutaanocia,icia,icia,mutaanocia,muntuetû,mwareocia mûkûrû,ndûgû,muntuetû,muntuetû,mutaanocia,mwonomware waaba,mutaanocia mûkûrû,nkoolo,ndûgû,mwareoba,mwareocia mwanake,mutaanocia,ndûgû,mwareocia,mutaanocia,mwonomware waaba,ndûgû,mutaanocia,mwareocia,kana ka mware waaba,ndûgû,mutaanocia mwanake,icia,muntuetû,mwonomware waaba,mwareocia,mwareocia,mwonomware waaba,kana ka mware waaba,mutaanocia,ndûgû,icia,icia,mutaanocia,ndûgû,kana ka mware waaba,mutaanocia,ndûgû,mwonomware waaba,mwareoba,mutaanocia mwanake,mwonomware waaba,muntuetû,mwonomware waaba,kana ka mware waaba,muntuetû,mwareocia mwanake,mutaanocia mûkûrû,muntuetû,ndûgû,mwonomware waaba,kana ka mware waaba,kana ka mware waaba,ndûgû,ndûgû,ndûgû,ndûgû,kana ka mware waaba,mutaanocia,kaake,muntuetû,baaba,ciomûkûrû,baaba mwanake,nkoolo,ntee,kaake,mwarewaaba,baaba mwanake,muntuetû,muntuetû,mwarewaaba,baaba mûkûrû,muntuetû,muntuetû,ciomwanake,muntuetû,icia,baaba,nkoolo,mwarewaaba,baaba mûkûrû
6,0.7370525727992738,2.1700257592251244,1.4329731864258506,mutaanocia,mutaanocia,mutaanocia mwanake,mwareoba,kana ka mware waaba,ndûgû,icia,mutaanocia,muntuetû,ndûgû,mwonomware waaba,ndûgû,mwonomware waaba,icia,mwareoba,mutaanocia,mutaanocia,ndûgû,mutaanocia,icia,ndûgû,kana ka mware waaba,mwonomware waaba,mwareocia,muntuetû,mutaanocia,mutaanocia mûkûrû,ndûgû,mwareocia mwanake,ndûgû,ndûgû,icia,mutaanocia,mwareocia mûkûrû,mwareocia,mwareocia mûkûrû,kana ka mware waaba,muntuetû,mutaanocia,muntuetû,mwareocia,mwareocia,muntuetû,icia,mutaanocia mwanake,muntuetû,mutaanocia,mutaanocia mûkûrû,ndûgû,ndûgû,mwonomware waaba,mwareoba,mwonomware waaba,kana ka mware waaba,mutaanocia,mwonomware waaba,ndûgû,kana ka mware waaba,ndûgû,mwonomware waaba,muntuetû,mwareocia,kana ka mware waaba,muntuetû,ndûgû,nkoolo,mwonomware waaba,kana ka mware waaba,mwonomware waaba,mwareocia mwanake,mwareoba,mwonomware waaba,kana ka mware waaba,ndûgû,mwareocia,kana ka mware waaba,muntuetû,kaake,ndûgû,ndûgû,icia,mwareocia,ndûgû,ndûgû,icia,icia,ndûgû,muntuetû,mutaanocia,kana ka mware waaba,muntuetû,kaake,ciomwanake,baaba mwanake,baaba mwanake,baaba mûkûrû,ciomûkûrû,baaba,nkoolo,muntuetû,muntuetû,muntuetû,muntuetû,nkoolo,mwarewaaba,mwarewaaba,muntuetû,icia,mwarewaaba,baaba,baaba mûkûrû,ntee,kaake
7,0.7372179434484083,2.1874519638050915,1.4502340203566833,ndûgû,ndûgû,kana ka mware waaba,kana ka mware waaba,muntuetû,mwareoba,ndûgû,mutaanocia,mutaanocia mwanake,mwareocia mwanake,ndûgû,mwareocia mûkûrû,ndûgû,mwareocia mwanake,kana ka mware waaba,mutaanocia,mutaanocia mûkûrû,ndûgû,mwareocia,muntuetû,kana ka mware waaba,ndûgû,ndûgû,mwareocia,ndûgû,muntuetû,mwonomware waaba,muntuetû,mwareocia,ndûgû,mwonomware waaba,mutaanocia,mutaanocia,mutaanocia,mutaanocia,icia,mutaanocia,icia,mutaanocia,ndûgû,mutaanocia mûkûrû,kana ka mware waaba,icia,mwonomware waaba,ndûgû,icia,icia,muntuetû,icia,mwonomware waaba,ndûgû,ndûgû,muntuetû,kaake,mwonomware waaba,icia,mwareoba,mutaanocia,mwareocia,ndûgû,muntuetû,muntuetû,kana ka mware waaba,kana ka mware waaba,mwareoba,mwareocia,mutaanocia mwanake,mwonomware waaba,mwonomware waaba,nkoolo,mwareocia,mwonomware waaba,kana ka mware waaba,mwareoba,ndûgû,mwareocia,kana ka mware waaba,ndûgû,ndûgû,mwonomware waaba,mutaanocia,mwonomware waaba,kana ka mware waaba,icia,muntuetû,ndûgû,mutaanocia,muntuetû,mwareocia mûkûrû,mutaanocia,baaba,muntuetû,baaba mwanake,muntuetû,ntee,baaba,icia,muntuetû,baaba mûkûrû,muntuetû,nkoolo,nkoolo,muntuetû,mwarewaaba,mwarewaaba,mwarewaaba,muntuetû,ciomûkûrû,kaake,baaba mûkûrû,kaake,baaba mwanake,ciomwanake
8,0.7542769732274881,2.1749483686691056,1.4206713954416175,mutaanocia,ndûgû,mwareocia,icia,icia,mutaanocia,mutaanocia,mutaanocia mûkûrû,kana ka mware waaba,mutaanocia,mutaanocia,ndûgû,mwareoba,muntuetû,mwareoba,ndûgû,muntuetû,mutaanocia,mutaanocia,muntuetû,muntuetû,mwonomware waaba,mwonomware waaba,ndûgû,ndûgû,ndûgû,mwareocia,mwareocia mûkûrû,mutaanocia mûkûrû,ndûgû,muntuetû,kana ka mware waaba,icia,icia,mwonomware waaba,mwareocia,kana ka mware waaba,kana ka mware waaba,mwonomware waaba,mwonomware waaba,mwareocia,kana ka mware waaba,kaake,icia,mutaanocia,ndûgû,muntuetû,kana ka mware waaba,nkoolo,mutaanocia mwanake,muntuetû,mwonomware waaba,ndûgû,muntuetû,ndûgû,ndûgû,mwonomware waaba,ndûgû,mutaanocia,mwonomware waaba,muntuetû,ndûgû,icia,kana ka mware waaba,mwonomware waaba,mutaanocia mwanake,mwareocia mwanake,mwareoba,icia,kana ka mware waaba,mutaanocia,kana ka mware waaba,mutaanocia,mutaanocia,ndûgû,mwareocia,kana ka mware waaba,mwonomware waaba,mwareocia,ndûgû,muntuetû,mwareocia mûkûrû,mwareocia mwanake,icia,ndûgû,mwareoba,ndûgû,mwareocia,ndûgû,ndûgû,baaba mwanake,kaake,nkoolo,muntuetû,baaba mwanake,muntuetû,muntuetû,ntee,mwarewaaba,ciomûkûrû,ciomwanake,muntuetû,baaba,mwarewaaba,baaba mûkûrû,muntuetû,nkoolo,baaba mûkûrû,mwarewaaba,baaba,icia,kaake,muntuetû
9,0.9096186441050764,2.093712001183616,1.1840933570785395,mwareocia mûkûrû,muntuetû,icia,ndûgû,mwareocia mwanake,mutaanocia,ndûgû,kana ka mware waaba,mwareocia,muntuetû,ndûgû,muntuetû,kana ka mware waaba,ndûgû,kana ka mware waaba,mutaanocia,muntuetû,mutaanocia,muntuetû,mutaanocia mûkûrû,muntuetû,muntuetû,muntuetû,ndûgû,kana ka mware waaba,mwareocia,mutaanocia mwanake,ndûgû,muntuetû,kana ka mware waaba,ndûgû,icia,mutaanocia mwanake,mwareoba,ndûgû,mwareocia,mwonomware waaba,kana ka mware waaba,mwareocia,mwareoba,mutaanocia,mwonomware waaba,icia,kana ka mware waaba,mwonomware waaba,mwonomware waaba,kana ka mware waaba,kana ka mware waaba,mwareocia mûkûrû,ndûgû,mutaanocia,muntuetû,mwonomware waaba,icia,mutaanocia,mutaanocia,kana ka mware waaba,ndûgû,ndûgû,mwonomware waaba,mwareoba,ndûgû,icia,ndûgû,mwareocia,mutaanocia,mutaanocia,nkoolo,ndûgû,mwonomware waaba,ndûgû,ndûgû,mutaanocia mûkûrû,mutaanocia,mutaanocia,icia,icia,ndûgû,mwonomware waaba,mwareocia mwanake,mwareocia,mwareocia,mwareoba,ndûgû,kaake,ndûgû,mwonomware waaba,icia,mutaanocia,mwonomware waaba,muntuetû,baaba,nkoolo,muntuetû,muntuetû,ntee,baaba,baaba mwanake,mwarewaaba,muntuetû,kaake,muntuetû,icia,mwarewaaba,kaake,ciomwanake,mwarewaaba,nkoolo,baaba mûkûrû,muntuetû,ciomûkûrû,baaba mwanake,baaba mûkûrû
