simulation_number,mutual_information,entropy,conditional_entropy,fFBeS,fFZeS,fMBeS,meB,mFZeS,mMBeS,mFBeS,mMZeS,feZ,fFBeD,fFZeD,fMBeD,fMZeD,meZ,mFBeD,mFZeD,mMBeD,mMZeD,fFByD,fFZyD,fMByD,fMZyD,fyZ,mFByD,mFZyD,mMByD,mMZyD,myZ,fFZyS,fFByS,fMByS,fMZyS,fyB,mFByS,mFZyS,mMByS,mMZyS,myB,fFeB,mFeB,fMeB,fMyB,mMeB,mMyB,fFeZ,fFyZ,fMeZ,fMyZ,mFeZ,mFyZ,mMeZ,mMyZ,fM,mM,fF,mF,fFyB,mFyB
0,0.10603713334992704,1.0346012329101812,0.9285640995602542,o-to´-to,a´-nee,a´-nih,e-mo´-to,a´-nih,a´-nee,o-to´-to,e-mo´-to,a´-nee,e-mo´-to,o-to´-to,o-to´-to,e-mo´-to,a´-nih,o-to´-to,a´-nee,e-mo´-to,a´-nee,o-to´-to,e-mo´-to,e-mo´-to,e-mo´-to,a´-nih,a´-nee,o-to´-to,o-to´-to,a´-nih,e-to´-ko,a´-nih,a´-nee,a´-nih,e-mo´-to,e-mo´-to,o-to´-to,a´-nih,a´-nih,a´-nee,a´-nih,o-bä,"o-ka-tsan, hä-hä",nebän-mä-no-o-asee,nebän-mä-no-o-asee,nebän-mä-no-o-asee,nebän-mä-no-o-asee,so-ree-o-no-o-asee,o-bä,so-ree-o-no-o-asee,o-bä,"ne-bän-mǎ-no-o-asee, o-je",o-bä,o-bä,"o-to'tsang, tsee-tsee","o-to'tsang, tsee-tsee",o-bä,o-bä,"ne-bän-mǎ-no-o-asee, o-je","o-ka-tsan, hä-hä",o-bä
1,0.04646269187719709,0.5982695885852573,0.5518068967080602,a´-nee,e-mo´-to,o-to´-to,a´-nee,e-to´-ko,e-mo´-to,a´-nih,e-mo´-to,a´-nih,o-to´-to,e-mo´-to,e-mo´-to,a´-nih,o-to´-to,a´-nee,a´-nee,o-to´-to,a´-nee,e-mo´-to,a´-nih,a´-nih,e-mo´-to,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nih,o-to´-to,a´-nee,o-to´-to,e-mo´-to,o-to´-to,a´-nih,a´-nee,o-to´-to,e-mo´-to,e-mo´-to,a´-nih,nebän-mä-no-o-asee,nebän-mä-no-o-asee,"o-to'tsang, tsee-tsee",so-ree-o-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je","ne-bän-mǎ-no-o-asee, o-je",o-bä,"o-to'tsang, tsee-tsee",nebän-mä-no-o-asee,"o-ka-tsan, hä-hä",o-bä,"o-ka-tsan, hä-hä",so-ree-o-no-o-asee,o-bä,o-bä,o-bä,o-bä,nebän-mä-no-o-asee,o-bä,o-bä
2,0.4848660531119162,1.376055285260417,0.8911892321485009,e-mo´-to,a´-nee,a´-nee,a´-nee,a´-nih,o-to´-to,o-to´-to,a´-nih,o-to´-to,e-mo´-to,a´-nih,a´-nih,a´-nih,a´-nih,e-mo´-to,o-to´-to,o-to´-to,a´-nee,a´-nee,e-mo´-to,a´-nih,o-to´-to,e-mo´-to,a´-nih,e-mo´-to,o-to´-to,a´-nih,e-mo´-to,o-to´-to,a´-nee,e-to´-ko,a´-nee,o-to´-to,e-mo´-to,e-mo´-to,e-mo´-to,a´-nee,a´-nih,o-bä,o-bä,"o-to'tsang, tsee-tsee",so-ree-o-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je","o-to'tsang, tsee-tsee",o-bä,"ne-bän-mǎ-no-o-asee, o-je",o-bä,o-bä,nebän-mä-no-o-asee,o-bä,"o-ka-tsan, hä-hä",o-bä,"o-ka-tsan, hä-hä",nebän-mä-no-o-asee,so-ree-o-no-o-asee,o-bä,nebän-mä-no-o-asee,nebän-mä-no-o-asee
3,0.14341200076168004,1.034601232910181,0.891189232148501,a´-nih,e-mo´-to,a´-nih,a´-nee,o-to´-to,o-to´-to,a´-nih,e-mo´-to,e-mo´-to,e-mo´-to,a´-nih,a´-nih,o-to´-to,e-mo´-to,a´-nee,e-mo´-to,o-to´-to,a´-nee,e-mo´-to,a´-nih,o-to´-to,a´-nih,a´-nih,o-to´-to,a´-nih,o-to´-to,a´-nee,e-to´-ko,a´-nee,a´-nee,o-to´-to,e-mo´-to,e-mo´-to,a´-nee,o-to´-to,a´-nee,a´-nih,e-mo´-to,so-ree-o-no-o-asee,nebän-mä-no-o-asee,o-bä,"o-ka-tsan, hä-hä","ne-bän-mǎ-no-o-asee, o-je","o-ka-tsan, hä-hä",o-bä,nebän-mä-no-o-asee,so-ree-o-no-o-asee,o-bä,o-bä,o-bä,o-bä,o-bä,nebän-mä-no-o-asee,o-bä,"o-to'tsang, tsee-tsee","o-to'tsang, tsee-tsee","ne-bän-mǎ-no-o-asee, o-je",nebän-mä-no-o-asee
4,0.2868240015233605,1.376055285260417,1.0892312837370566,o-to´-to,e-mo´-to,a´-nih,a´-nee,o-to´-to,a´-nee,e-mo´-to,a´-nee,e-mo´-to,a´-nih,o-to´-to,e-mo´-to,o-to´-to,o-to´-to,a´-nee,e-to´-ko,e-mo´-to,a´-nee,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nih,o-to´-to,o-to´-to,a´-nih,a´-nee,a´-nih,e-mo´-to,a´-nih,e-mo´-to,e-mo´-to,a´-nee,e-mo´-to,e-mo´-to,a´-nih,a´-nih,o-to´-to,so-ree-o-no-o-asee,o-bä,o-bä,"o-to'tsang, tsee-tsee",nebän-mä-no-o-asee,nebän-mä-no-o-asee,o-bä,"o-ka-tsan, hä-hä",o-bä,o-bä,nebän-mä-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je",o-bä,"ne-bän-mǎ-no-o-asee, o-je","o-ka-tsan, hä-hä",o-bä,"o-to'tsang, tsee-tsee",so-ree-o-no-o-asee,o-bä,nebän-mä-no-o-asee
5,0.08878194993480437,0.6829081047004717,0.5941261547656673,o-to´-to,a´-nih,a´-nee,a´-nee,e-mo´-to,a´-nee,a´-nee,a´-nih,a´-nee,a´-nee,a´-nih,o-to´-to,e-mo´-to,o-to´-to,e-mo´-to,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nih,o-to´-to,e-mo´-to,o-to´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,e-mo´-to,a´-nih,e-mo´-to,o-to´-to,o-to´-to,e-mo´-to,e-mo´-to,a´-nih,a´-nih,e-mo´-to,e-to´-ko,"o-to'tsang, tsee-tsee",so-ree-o-no-o-asee,o-bä,o-bä,o-bä,"o-ka-tsan, hä-hä",nebän-mä-no-o-asee,o-bä,"o-to'tsang, tsee-tsee","ne-bän-mǎ-no-o-asee, o-je","ne-bän-mǎ-no-o-asee, o-je",nebän-mä-no-o-asee,o-bä,so-ree-o-no-o-asee,nebän-mä-no-o-asee,o-bä,nebän-mä-no-o-asee,o-bä,o-bä,"o-ka-tsan, hä-hä"
6,0.34145405235023607,1.0346012329101812,0.6931471805599452,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nee,o-to´-to,o-to´-to,a´-nih,o-to´-to,e-mo´-to,o-to´-to,a´-nee,a´-nee,e-mo´-to,e-mo´-to,e-mo´-to,a´-nee,a´-nih,e-mo´-to,a´-nee,e-mo´-to,a´-nih,o-to´-to,o-to´-to,e-to´-ko,a´-nih,o-to´-to,e-mo´-to,a´-nih,a´-nih,e-mo´-to,a´-nih,a´-nee,o-to´-to,a´-nee,e-mo´-to,e-mo´-to,a´-nih,o-bä,nebän-mä-no-o-asee,so-ree-o-no-o-asee,"o-ka-tsan, hä-hä","o-ka-tsan, hä-hä",so-ree-o-no-o-asee,nebän-mä-no-o-asee,o-bä,o-bä,o-bä,nebän-mä-no-o-asee,o-bä,o-bä,nebän-mä-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je","o-to'tsang, tsee-tsee",o-bä,"ne-bän-mǎ-no-o-asee, o-je",o-bä,"o-to'tsang, tsee-tsee"
7,0.03757828660010831,0.5195798391305154,0.4820015525304071,e-mo´-to,a´-nee,e-mo´-to,a´-nih,e-mo´-to,a´-nee,e-to´-ko,a´-nih,o-to´-to,o-to´-to,o-to´-to,a´-nih,a´-nee,e-mo´-to,a´-nih,a´-nee,a´-nih,a´-nee,a´-nih,o-to´-to,e-mo´-to,a´-nih,e-mo´-to,e-mo´-to,a´-nee,e-mo´-to,o-to´-to,o-to´-to,a´-nee,e-mo´-to,e-mo´-to,a´-nih,o-to´-to,a´-nee,o-to´-to,a´-nih,a´-nih,o-to´-to,"o-to'tsang, tsee-tsee",nebän-mä-no-o-asee,"o-ka-tsan, hä-hä",o-bä,nebän-mä-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je",o-bä,so-ree-o-no-o-asee,o-bä,"ne-bän-mǎ-no-o-asee, o-je",so-ree-o-no-o-asee,nebän-mä-no-o-asee,nebän-mä-no-o-asee,"o-to'tsang, tsee-tsee",o-bä,o-bä,"o-ka-tsan, hä-hä",o-bä,o-bä,o-bä
8,0.06578959220211433,0.5982695885852573,0.5324799963831429,o-to´-to,e-mo´-to,e-mo´-to,a´-nih,a´-nee,a´-nee,o-to´-to,a´-nih,a´-nee,a´-nee,a´-nih,o-to´-to,a´-nih,e-mo´-to,a´-nih,e-mo´-to,o-to´-to,e-mo´-to,e-to´-ko,a´-nih,e-mo´-to,o-to´-to,e-mo´-to,e-mo´-to,a´-nih,o-to´-to,o-to´-to,o-to´-to,a´-nee,a´-nee,o-to´-to,e-mo´-to,a´-nih,a´-nee,e-mo´-to,a´-nih,a´-nee,a´-nih,"o-to'tsang, tsee-tsee",nebän-mä-no-o-asee,o-bä,so-ree-o-no-o-asee,o-bä,"o-ka-tsan, hä-hä",so-ree-o-no-o-asee,o-bä,"ne-bän-mǎ-no-o-asee, o-je",o-bä,nebän-mä-no-o-asee,"o-to'tsang, tsee-tsee","o-ka-tsan, hä-hä",nebän-mä-no-o-asee,o-bä,o-bä,o-bä,"ne-bän-mǎ-no-o-asee, o-je",o-bä,nebän-mä-no-o-asee
9,0.014032215111297708,1.376055285260417,1.3620230701491194,e-mo´-to,a´-nih,a´-nih,a´-nee,e-mo´-to,a´-nih,a´-nee,e-mo´-to,a´-nih,e-to´-ko,e-mo´-to,e-mo´-to,e-mo´-to,o-to´-to,a´-nee,e-mo´-to,e-mo´-to,o-to´-to,e-mo´-to,o-to´-to,e-mo´-to,o-to´-to,a´-nee,o-to´-to,o-to´-to,a´-nee,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nih,a´-nee,o-to´-to,a´-nee,o-to´-to,a´-nih,a´-nih,a´-nih,o-bä,nebän-mä-no-o-asee,"ne-bän-mǎ-no-o-asee, o-je",o-bä,"o-to'tsang, tsee-tsee",o-bä,so-ree-o-no-o-asee,o-bä,so-ree-o-no-o-asee,"o-to'tsang, tsee-tsee",o-bä,o-bä,o-bä,"o-ka-tsan, hä-hä","ne-bän-mǎ-no-o-asee, o-je",o-bä,"o-ka-tsan, hä-hä",nebän-mä-no-o-asee,nebän-mä-no-o-asee,nebän-mä-no-o-asee
