simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.4555482687843111,1.9015130261196371,1.445964757335326,ndugu,mwana,mwenehu,mwenehu,mwenehu,ndugu,mwana,somo,ndugu,somo,mukulu,mukulu,ndugu,mwana,ts'awe,mwenehu,ndugu,ndugu,ndugu,ndugu,ndugu,mwenehu,ndugu,ndugu,ts'awe,somo,ts'awe,mwenehu,mwenehu,mwenehu,muvwaha,somo,mwana,ndugu,somo,ts'awe,somo,ts'awe,mwenehu,ndugu,ndugu,mwenehu,somo,ndugu,mwenehu,mwana,ts'awe,ndugu,mwana,ndugu,ndugu,ts'awe,mwenehu,ndugu,muvwaha,ts'awe,ndugu,ndugu,ndugu,ndugu,mwenehu,mwenehu,ndugu,mwenehu,ndugu,ndugu,mwana,mwenehu,ts'awe,somo,mwana,ts'awe,mwenehu,ndugu,somo,somo,mwenehu,mwana,mwenehu,ndugu,hmam'zhere,hmama,bam'hoho,tsangazimi,ahu,bam'zhere,hmam'zhere,bam'zhere,tsangazimi,tsangazimi,tsangazimi,ahu,hmama,tsangazimi,ahu,ahu,bam'hoho,hmam'hoho,tsangazimi,ahu,ahu,hmam'hoho,baba,baba
1,0.48890452012495,1.8376718013978879,1.3487672812729379,ndugu,ndugu,ndugu,mwenehu,ts'awe,mwenehu,ndugu,mwana,mukulu,mwenehu,somo,mwenehu,mwana,mwenehu,mwenehu,somo,ndugu,ts'awe,ndugu,ndugu,mukulu,ndugu,somo,mwana,ndugu,ndugu,somo,ndugu,ndugu,ndugu,ndugu,ndugu,somo,somo,mwenehu,ndugu,ts'awe,mwana,ndugu,muvwaha,ts'awe,somo,mwenehu,mwenehu,ts'awe,mwana,ndugu,ndugu,ndugu,mwana,mwana,mwenehu,mwenehu,mwenehu,ts'awe,mwenehu,mwana,mwenehu,ndugu,ndugu,muvwaha,somo,mwana,ndugu,mwenehu,somo,mwenehu,ts'awe,ts'awe,ts'awe,ndugu,mwenehu,ndugu,ts'awe,ndugu,mwenehu,somo,ndugu,ndugu,mwenehu,hmam'zhere,ahu,tsangazimi,hmam'zhere,tsangazimi,baba,bam'hoho,bam'zhere,hmam'hoho,hmama,ahu,tsangazimi,tsangazimi,ahu,hmam'hoho,bam'hoho,tsangazimi,baba,bam'zhere,tsangazimi,hmama,ahu,ahu,ahu
2,0.4892113483941263,1.8800583031922484,1.3908469547981221,ts'awe,ts'awe,mwenehu,ts'awe,ndugu,ts'awe,ndugu,ndugu,ndugu,mwenehu,ndugu,mwenehu,muvwaha,ndugu,somo,mwenehu,ndugu,mwenehu,mwenehu,ndugu,ndugu,somo,mwana,ndugu,mwana,mwenehu,somo,mwana,ts'awe,ts'awe,mukulu,mwenehu,ts'awe,mwana,muvwaha,mwenehu,ndugu,mwenehu,somo,ndugu,somo,somo,mwenehu,ndugu,mwana,mwana,ndugu,ndugu,ts'awe,ndugu,ndugu,mwenehu,mwenehu,ndugu,ts'awe,ndugu,ndugu,ts'awe,mwana,ndugu,ndugu,ndugu,somo,somo,somo,ndugu,ndugu,mwenehu,ndugu,mwenehu,mwenehu,ndugu,mwana,somo,mwenehu,ndugu,mukulu,mwenehu,mwana,mwenehu,bam'zhere,bam'zhere,bam'hoho,baba,tsangazimi,ahu,hmam'zhere,tsangazimi,ahu,ahu,tsangazimi,hmama,ahu,tsangazimi,tsangazimi,ahu,bam'hoho,hmam'hoho,hmam'zhere,tsangazimi,hmam'hoho,hmama,ahu,baba
3,0.3789331901045405,1.7808516392162383,1.4019184491116978,mwana,somo,mwenehu,ndugu,mwenehu,mwana,ndugu,muvwaha,mwenehu,mwana,mwenehu,ndugu,mwana,ndugu,ndugu,mwana,mwenehu,ts'awe,ndugu,somo,mwenehu,mwenehu,ndugu,somo,ndugu,muvwaha,mwenehu,ts'awe,mwenehu,ndugu,mwenehu,ndugu,ndugu,somo,ndugu,ndugu,somo,somo,ndugu,mwenehu,mwenehu,ts'awe,ts'awe,somo,somo,ts'awe,ndugu,mwenehu,mwenehu,mwana,ndugu,ndugu,ndugu,ts'awe,somo,mwenehu,ndugu,mukulu,ndugu,mwenehu,mwana,ts'awe,ndugu,somo,ndugu,ndugu,ndugu,ndugu,mwenehu,mwana,ndugu,mukulu,ndugu,ts'awe,ndugu,mwana,mwenehu,ts'awe,ts'awe,mwenehu,tsangazimi,tsangazimi,ahu,tsangazimi,tsangazimi,ahu,bam'hoho,bam'hoho,baba,tsangazimi,ahu,baba,hmam'zhere,bam'zhere,ahu,tsangazimi,hmam'zhere,hmam'hoho,hmama,ahu,hmama,bam'zhere,ahu,hmam'hoho
4,0.396999109946766,1.9278697328222139,1.5308706228754478,ndugu,mwana,ndugu,somo,ts'awe,ndugu,mwenehu,somo,mwana,mwana,ndugu,ndugu,ndugu,ts'awe,mwana,somo,mwenehu,ndugu,mwenehu,muvwaha,ndugu,somo,ndugu,ndugu,ndugu,mwenehu,mwenehu,somo,ndugu,somo,somo,ndugu,ndugu,ndugu,mwana,ts'awe,ndugu,mukulu,ts'awe,mwenehu,mwana,mwenehu,mwenehu,mwenehu,mwenehu,mwenehu,mwenehu,mwenehu,somo,ndugu,ndugu,muvwaha,mwenehu,ndugu,mwenehu,mwana,mwenehu,ts'awe,ts'awe,ndugu,ndugu,ts'awe,mwenehu,mwana,mukulu,ndugu,ts'awe,mwenehu,ndugu,ndugu,mwenehu,ndugu,ts'awe,somo,somo,ndugu,mwana,ts'awe,ndugu,ndugu,hmam'zhere,ahu,tsangazimi,baba,ahu,hmam'zhere,tsangazimi,ahu,hmama,ahu,tsangazimi,bam'hoho,bam'hoho,ahu,ahu,bam'zhere,tsangazimi,hmam'hoho,tsangazimi,tsangazimi,baba,bam'zhere,hmam'hoho,hmama
5,0.3388502242800262,1.9266837477792882,1.587833523499262,mwenehu,ndugu,somo,ts'awe,ndugu,ts'awe,mwana,mwenehu,ts'awe,mwenehu,muvwaha,ndugu,ndugu,mwenehu,ndugu,somo,ts'awe,mukulu,somo,mwana,somo,ndugu,ndugu,ts'awe,ndugu,ts'awe,ndugu,ts'awe,mwenehu,ndugu,mwenehu,ts'awe,ts'awe,mwenehu,mwenehu,mwenehu,mwenehu,ndugu,mwana,mukulu,ndugu,ndugu,mwana,mwana,ndugu,mwenehu,ndugu,somo,mwenehu,mwenehu,ndugu,ndugu,mwenehu,ndugu,mwana,somo,ndugu,mwenehu,ndugu,ndugu,mwenehu,ndugu,muvwaha,mwenehu,mwenehu,ts'awe,ndugu,somo,ndugu,somo,somo,ndugu,mwana,ndugu,mwenehu,mwana,mwana,somo,ndugu,ndugu,hmam'hoho,ahu,hmam'hoho,tsangazimi,ahu,tsangazimi,tsangazimi,hmam'zhere,hmam'zhere,ahu,bam'zhere,ahu,tsangazimi,baba,ahu,hmama,bam'zhere,tsangazimi,hmama,ahu,tsangazimi,bam'hoho,baba,bam'hoho
6,0.3593967810854437,1.8340681741939469,1.4746713931085031,ndugu,ndugu,somo,mukulu,ndugu,mwenehu,somo,ndugu,mwenehu,somo,mwenehu,somo,mwana,muvwaha,ndugu,mwana,ndugu,ndugu,mwana,mwenehu,somo,ts'awe,ndugu,ts'awe,mwenehu,somo,muvwaha,ndugu,mwenehu,ndugu,mwana,ts'awe,ts'awe,mwana,ndugu,ndugu,somo,mwana,somo,mwenehu,mwana,mwenehu,ndugu,ndugu,ts'awe,mwenehu,mwenehu,mwenehu,ndugu,ts'awe,ndugu,ndugu,ndugu,ts'awe,ndugu,mwenehu,ndugu,ndugu,mukulu,mwana,ndugu,ndugu,ndugu,ndugu,ts'awe,mwana,ndugu,mwenehu,mwenehu,ndugu,mwenehu,mwenehu,mwenehu,ts'awe,mwenehu,mwenehu,somo,ts'awe,somo,ndugu,ahu,hmam'zhere,ahu,tsangazimi,hmama,bam'hoho,baba,tsangazimi,baba,hmama,hmam'hoho,bam'zhere,ahu,ahu,tsangazimi,hmam'zhere,hmam'hoho,bam'hoho,tsangazimi,tsangazimi,tsangazimi,bam'zhere,ahu,ahu
7,0.44563629184443965,1.7620972049232728,1.3164609130788332,mwenehu,ndugu,mwenehu,somo,ndugu,ndugu,mukulu,ndugu,ts'awe,ndugu,mwana,mwenehu,ndugu,somo,mwenehu,mwana,muvwaha,ndugu,ndugu,ndugu,ndugu,somo,ndugu,somo,ndugu,ts'awe,ndugu,ndugu,ndugu,mwenehu,ndugu,somo,mwana,mukulu,ndugu,mwenehu,mwenehu,mwenehu,ts'awe,ndugu,ts'awe,mwana,ts'awe,ts'awe,ndugu,mwenehu,mwenehu,somo,ndugu,muvwaha,ndugu,ndugu,mwenehu,ndugu,mwenehu,mwana,ndugu,ts'awe,mwana,somo,mwana,mwenehu,somo,mwenehu,mwenehu,mwenehu,somo,somo,ndugu,ts'awe,mwana,mwana,ndugu,mwenehu,ndugu,ndugu,mwenehu,ts'awe,mwenehu,ts'awe,tsangazimi,tsangazimi,baba,ahu,ahu,hmam'hoho,hmam'hoho,ahu,hmam'zhere,ahu,baba,hmam'zhere,ahu,tsangazimi,bam'hoho,tsangazimi,hmama,bam'zhere,ahu,bam'zhere,hmama,tsangazimi,tsangazimi,bam'hoho
8,0.3439620996284829,1.7733996068580065,1.4294375072295236,mwana,mwana,ndugu,mwenehu,ts'awe,ndugu,mwana,mwenehu,ts'awe,ndugu,somo,somo,mwana,ndugu,somo,ndugu,mwenehu,ts'awe,ts'awe,ndugu,ts'awe,ndugu,mwana,somo,ndugu,mwenehu,ndugu,mwenehu,mukulu,mwenehu,mwenehu,ts'awe,mwana,muvwaha,somo,mwenehu,mwenehu,somo,mwenehu,mwenehu,somo,mwenehu,ndugu,ndugu,ts'awe,mwenehu,ndugu,ndugu,mwenehu,mwenehu,mwana,mwana,ndugu,somo,ndugu,ndugu,ndugu,ndugu,ndugu,somo,mwenehu,ndugu,mwana,mukulu,mwenehu,somo,ndugu,ndugu,ndugu,muvwaha,ts'awe,mwenehu,ts'awe,ndugu,ndugu,ndugu,ts'awe,mwenehu,ndugu,ndugu,ahu,bam'zhere,ahu,ahu,tsangazimi,baba,tsangazimi,ahu,hmam'hoho,bam'hoho,tsangazimi,tsangazimi,hmama,ahu,hmam'zhere,ahu,hmam'zhere,tsangazimi,bam'zhere,hmama,hmam'hoho,baba,tsangazimi,bam'hoho
9,0.35162859516509415,1.9088118317985348,1.5571832366334406,mwana,ndugu,ndugu,mwenehu,ndugu,ndugu,mwana,mwana,mukulu,ts'awe,ndugu,ndugu,mwenehu,ndugu,somo,ndugu,mwana,ndugu,ndugu,ts'awe,mwenehu,somo,ndugu,mwenehu,ndugu,somo,mwana,mwenehu,ts'awe,mwenehu,mwenehu,somo,mwenehu,ts'awe,somo,mwenehu,mwana,mwenehu,somo,ndugu,mwenehu,mwenehu,ts'awe,mwenehu,mwana,mwana,mwenehu,ndugu,mwenehu,ts'awe,ndugu,ndugu,ndugu,ndugu,ts'awe,ndugu,ndugu,mwenehu,somo,ndugu,ts'awe,mwana,somo,somo,mwenehu,ndugu,ndugu,ndugu,somo,ndugu,ndugu,ts'awe,muvwaha,mukulu,ndugu,ts'awe,mwenehu,mwenehu,ndugu,muvwaha,baba,hmam'hoho,bam'zhere,ahu,hmam'hoho,ahu,hmam'zhere,ahu,tsangazimi,hmam'zhere,hmama,ahu,bam'hoho,bam'hoho,ahu,tsangazimi,tsangazimi,hmama,ahu,tsangazimi,baba,tsangazimi,bam'zhere,tsangazimi
