simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFyBS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMyBS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMyBD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMeB,fMyB
0,0.07796261902576851,1.5152747334693286,1.43731211444356,tunane,tuehine,tunane,Tuaana,tunane,tuehine,tuehine,Tuaana,tuehine,tuehine,tunane,teina,teina,teina,tunane,teina,Tuaana,Tuaana,tunane,tuehine,tuehine,tuehine,tunane,Tuaana,tunane,tuehine,tunane,tuehine,tuehine,tunane,Tuaana,Tuaana,tunane,teina,tuehine,tuehine,Tuaana,Tuaana,Tuaana,tunane,tuehine,tunane,Tuaana,tunane,tuehine,tunane,teina,Tuaana,tuehine,tunane,tuehine,teina,Tuaana,tuehine,tuehine,tunane,tunane,tunane,tunane,teina,teina,teina,Tuaana,tunane,Tuaana,tuehine,tuehine,tuehine,Tuaana,Tuaana,tunane,motua,tuehine,tunane,Tu'ana kui,teina motua,motua,tuehine,motua,tuehine,tuehine,motua,tunane,tuehine,motua,teina motua,Tu'ana kui,tunane,tuehine,tunane,motua,tunane,tunane
1,0.10855915078000966,1.5388076784409057,1.430248527660896,tunane,tunane,tuehine,tunane,tuehine,Tuaana,tunane,tuehine,teina,teina,Tuaana,tuehine,tuehine,teina,Tuaana,Tuaana,tunane,tuehine,tunane,tuehine,tuehine,tunane,tuehine,teina,Tuaana,tunane,teina,teina,tuehine,tunane,tuehine,teina,tunane,Tuaana,Tuaana,tunane,teina,tunane,tuehine,tuehine,Tuaana,Tuaana,Tuaana,teina,Tuaana,tunane,tuehine,tuehine,tunane,tuehine,Tuaana,tunane,tuehine,tunane,tunane,tuehine,Tuaana,tunane,tunane,teina,tuehine,Tuaana,tuehine,tunane,Tuaana,tunane,Tuaana,tunane,tuehine,tuehine,Tuaana,tunane,Tu'ana kui,tunane,motua,tuehine,teina motua,tunane,motua,tuehine,Tu'ana kui,tunane,tuehine,motua,tuehine,teina motua,tuehine,tunane,motua,motua,tuehine,tunane,motua
2,0.16859816507297953,1.4322779748284251,1.2636798097554456,tunane,teina,tuehine,tunane,Tuaana,tuehine,tuehine,teina,tunane,tuehine,tuehine,teina,tuehine,teina,tunane,Tuaana,tunane,tuehine,tunane,tunane,tunane,tuehine,tuehine,tunane,Tuaana,tunane,Tuaana,Tuaana,Tuaana,Tuaana,tunane,tunane,tunane,Tuaana,Tuaana,teina,Tuaana,tunane,tunane,tunane,teina,tuehine,tunane,tuehine,tuehine,tuehine,tuehine,tuehine,tuehine,tunane,teina,tunane,Tuaana,teina,Tuaana,tuehine,tuehine,tuehine,teina,tuehine,Tuaana,tuehine,tunane,Tuaana,Tuaana,tunane,tuehine,teina,tunane,Tuaana,Tuaana,tunane,motua,tuehine,motua,motua,tuehine,teina motua,motua,Tu'ana kui,tunane,tunane,tunane,teina motua,motua,tuehine,tuehine,tuehine,Tu'ana kui,tunane,motua,tuehine,tunane
3,0.13693289173125356,1.437856548103389,1.3009236563721354,tunane,teina,teina,tuehine,Tuaana,tuehine,tunane,Tuaana,Tuaana,tunane,tunane,tunane,tunane,tunane,tunane,tuehine,teina,tuehine,teina,tuehine,teina,Tuaana,tunane,tuehine,Tuaana,tuehine,Tuaana,tuehine,tuehine,tuehine,Tuaana,Tuaana,teina,Tuaana,Tuaana,Tuaana,tunane,tuehine,tuehine,Tuaana,tuehine,tunane,tuehine,tunane,tuehine,Tuaana,tunane,tuehine,tuehine,Tuaana,Tuaana,tunane,tunane,Tuaana,Tuaana,teina,tunane,tunane,tuehine,tunane,tunane,tuehine,tunane,tuehine,teina,tunane,tuehine,teina,tunane,tuehine,teina,tuehine,motua,tunane,tunane,motua,teina motua,tuehine,motua,teina motua,Tu'ana kui,tunane,motua,tunane,tuehine,tunane,tuehine,tuehine,tuehine,tunane,motua,motua,Tu'ana kui
4,0.17641840420989285,1.496491827426705,1.320073423216812,tuehine,tunane,tunane,tuehine,Tuaana,tunane,Tuaana,teina,tuehine,Tuaana,tuehine,teina,tuehine,tuehine,teina,Tuaana,Tuaana,tunane,tuehine,tunane,Tuaana,teina,Tuaana,tuehine,tunane,tunane,tuehine,tunane,teina,Tuaana,tuehine,tunane,Tuaana,tunane,tuehine,teina,tuehine,tunane,tunane,tuehine,Tuaana,Tuaana,Tuaana,tunane,tuehine,tuehine,teina,tunane,tunane,teina,tuehine,tunane,tuehine,Tuaana,Tuaana,tuehine,Tuaana,Tuaana,teina,tuehine,teina,tunane,tunane,tuehine,tuehine,tunane,Tuaana,tuehine,tunane,tunane,tunane,motua,teina motua,tunane,tunane,motua,tuehine,tuehine,tuehine,motua,motua,Tu'ana kui,tuehine,tunane,tunane,tuehine,tuehine,tunane,teina motua,motua,tunane,motua,Tu'ana kui
5,0.2625371569053072,1.528240290378053,1.2657031334727458,tuehine,tunane,tuehine,tuehine,tuehine,Tuaana,tunane,teina,teina,tuehine,tuehine,Tuaana,teina,tuehine,Tuaana,teina,tunane,Tuaana,Tuaana,tuehine,tunane,tuehine,tunane,tuehine,tunane,Tuaana,tuehine,tunane,teina,tuehine,teina,tunane,tunane,tuehine,Tuaana,tuehine,tuehine,Tuaana,tunane,tunane,teina,tuehine,tunane,Tuaana,tuehine,teina,Tuaana,tunane,tuehine,tunane,tunane,teina,Tuaana,tuehine,Tuaana,Tuaana,Tuaana,tunane,tunane,Tuaana,tuehine,tuehine,tunane,tunane,tunane,tunane,teina,tuehine,Tuaana,Tuaana,tunane,tuehine,tunane,tuehine,teina motua,motua,motua,tuehine,tuehine,tunane,motua,tunane,motua,Tu'ana kui,tunane,teina motua,motua,tunane,tunane,tuehine,tuehine,Tu'ana kui,motua
6,0.09528177980446784,1.5313798832233676,1.4360981034188998,Tuaana,tuehine,tunane,tuehine,tunane,tunane,tuehine,tuehine,Tuaana,Tuaana,Tuaana,tuehine,tuehine,Tuaana,teina,tuehine,tuehine,tunane,Tuaana,tuehine,tuehine,tunane,tunane,teina,tunane,tuehine,tunane,tuehine,tuehine,teina,Tuaana,tunane,Tuaana,tunane,Tuaana,tunane,tunane,teina,teina,tunane,teina,tunane,Tuaana,teina,tunane,tunane,tunane,Tuaana,tuehine,teina,tunane,Tuaana,tuehine,tunane,tuehine,tunane,tuehine,tuehine,tunane,Tuaana,Tuaana,teina,tuehine,tuehine,Tuaana,Tuaana,Tuaana,teina,tunane,tuehine,tuehine,tunane,tunane,motua,teina motua,motua,tunane,tuehine,tuehine,teina motua,motua,tunane,tuehine,Tu'ana kui,tuehine,motua,tunane,tuehine,tunane,tuehine,motua,motua,Tu'ana kui
7,0.14284715170093887,1.4843013346982945,1.3414541829973556,tuehine,teina,Tuaana,Tuaana,tuehine,teina,Tuaana,teina,teina,tunane,tunane,tuehine,tuehine,Tuaana,tunane,tunane,tuehine,tuehine,Tuaana,tuehine,tuehine,tuehine,Tuaana,teina,tuehine,tunane,tuehine,teina,Tuaana,Tuaana,tunane,tuehine,Tuaana,tunane,Tuaana,tuehine,Tuaana,tuehine,tunane,Tuaana,tunane,tunane,tuehine,tunane,tunane,teina,tuehine,tunane,tunane,tuehine,tuehine,teina,tunane,Tuaana,tuehine,Tuaana,tunane,tunane,tuehine,tunane,tunane,tuehine,tunane,tuehine,Tuaana,teina,Tuaana,tunane,tunane,Tuaana,teina,motua,tunane,Tu'ana kui,motua,tuehine,tuehine,motua,Tu'ana kui,tunane,tunane,teina motua,motua,tunane,motua,motua,tuehine,tunane,tunane,teina motua,tuehine,tuehine,tuehine
8,0.13179532753711531,1.4552214511488573,1.323426123611742,tunane,tuehine,tunane,tuehine,teina,tuehine,tunane,Tuaana,teina,tuehine,Tuaana,Tuaana,teina,tunane,tunane,Tuaana,tunane,Tuaana,tunane,tunane,tuehine,tuehine,tunane,tunane,tuehine,Tuaana,Tuaana,Tuaana,tunane,tuehine,tunane,tuehine,tuehine,tuehine,teina,tunane,tuehine,tuehine,tuehine,tunane,tuehine,tunane,tunane,tunane,teina,tunane,tunane,tunane,tuehine,Tuaana,teina,teina,tuehine,teina,Tuaana,Tuaana,tuehine,Tuaana,tuehine,Tuaana,tuehine,Tuaana,tunane,teina,Tuaana,Tuaana,teina,tunane,Tuaana,tuehine,tuehine,Tu'ana kui,tunane,motua,tunane,tunane,teina motua,tuehine,tuehine,tuehine,tunane,tunane,motua,motua,tuehine,motua,tuehine,motua,teina motua,tuehine,motua,Tu'ana kui,tunane
9,0.08273115414790833,1.4209098451828328,1.3381786910349245,tunane,Tuaana,Tuaana,tunane,Tuaana,tuehine,tuehine,tuehine,Tuaana,tunane,Tuaana,tunane,teina,tuehine,Tuaana,tuehine,teina,tuehine,tuehine,tunane,Tuaana,tuehine,tuehine,tuehine,tuehine,tuehine,Tuaana,teina,tuehine,Tuaana,tunane,tunane,tuehine,tunane,Tuaana,tuehine,teina,Tuaana,tunane,Tuaana,Tuaana,Tuaana,tunane,tuehine,teina,teina,tunane,Tuaana,tunane,tunane,Tuaana,tuehine,tuehine,tuehine,Tuaana,tunane,teina,tuehine,tunane,tunane,tunane,teina,tunane,tuehine,tunane,tunane,teina,teina,tuehine,tunane,tunane,tuehine,tunane,tunane,tuehine,motua,tunane,motua,teina motua,motua,tuehine,tunane,motua,motua,tuehine,motua,Tu'ana kui,tuehine,tuehine,tunane,tunane,teina motua,Tu'ana kui
