simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.015772816394584277,0.6929877333097798,0.6772149169151955,taokete,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,tehina,mahakainaga,taokete,taokete,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,tehina,mahakainaga,taokete,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,taokete,tehina,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,tehina,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,tehina,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,taokete,mahakainaga,mahakainaga,tehina,matakainaga,matakainaga,taokete,mahakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,tehina,matakainaga,mahakainaga,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane
1,0.0074104011237067224,0.6905939864775922,0.6831835853538855,tehina,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,taokete,taokete,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,tehina,matakainaga,mahakainaga,matakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,taokete,mahakainaga,matakainaga,taokete,mahakainaga,tehina,tehina,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,matakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,tehina,tehina,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,tehina,matakainaga,taokete,matakainaga,mahakainaga,taokete,matakainaga,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine
2,0.014588521610302885,0.6917115444317026,0.6771230228213997,tehina,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,taokete,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,taokete,matakainaga,mahakainaga,tehina,tehina,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,taokete,mahakainaga,taokete,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,tehina,matakainaga,mahakainaga,matakainaga,mahakainaga,tehina,matakainaga,mahakainaga,matakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,matakainaga,matakainaga,matakainaga,tehina,matakainaga,tehina,mahakainaga,mahakainaga,taokete,tehina,mahakainaga,matakainaga,mahakainaga,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua fifine
3,0.03697642254117883,0.6931471805599453,0.6561707580187665,mahakainaga,mahakainaga,mahakainaga,tehina,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,matakainaga,mahakainaga,taokete,tehina,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,tehina,tehina,mahakainaga,taokete,mahakainaga,mahakainaga,matakainaga,tehina,matakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,taokete,mahakainaga,matakainaga,mahakainaga,matakainaga,tehina,matakainaga,mahakainaga,taokete,taokete,mahakainaga,mahakainaga,matakainaga,taokete,matakainaga,matakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane
4,0.017363435697019813,0.6917115444317026,0.6743481087346828,tehina,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,matakainaga,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,matakainaga,matakainaga,tehina,mahakainaga,matakainaga,taokete,matakainaga,matakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,matakainaga,tehina,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,matakainaga,matakainaga,mahakainaga,mahakainaga,tehina,matakainaga,mahakainaga,matakainaga,taokete,tehina,matakainaga,matakainaga,matakainaga,tehina,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,taokete,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua fifine
5,0.040172353062173594,0.6925092898114951,0.6523369367493215,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,taokete,matakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,taokete,matakainaga,mahakainaga,matakainaga,tehina,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,tehina,tehina,taokete,mahakainaga,matakainaga,tehina,mahakainaga,mahakainaga,tehina,taokete,matakainaga,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,taokete,tehina,matakainaga,mahakainaga,mahakainaga,tehina,matakainaga,taokete,tehina,mahakainaga,tehina,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,taokete,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine
6,0.07408188337372557,0.6925092898114951,0.6184274064377695,tehina,mahakainaga,matakainaga,taokete,matakainaga,tehina,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,matakainaga,mahakainaga,matakainaga,matakainaga,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,taokete,taokete,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,tehina,taokete,matakainaga,tehina,matakainaga,taokete,mahakainaga,matakainaga,matakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,matakainaga,matakainaga,taokete,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,mahakainaga,tehina,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane
7,0.04936167077660969,0.687396352150425,0.6380346813738154,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,taokete,taokete,mahakainaga,mahakainaga,matakainaga,mahakainaga,tehina,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,tehina,mahakainaga,matakainaga,tehina,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,taokete,matakainaga,taokete,matakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,tehina,tehina,taokete,taokete,tehina,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,tehina,matakainaga,matakainaga,mahakainaga,taokete,tehina,tehina,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine
8,0.021783469244799014,0.6891558982280177,0.6673724289832187,taokete,matakainaga,mahakainaga,taokete,matakainaga,taokete,mahakainaga,tehina,matakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,mahakainaga,tehina,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,matakainaga,matakainaga,taokete,tehina,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,taokete,matakainaga,mahakainaga,matakainaga,tehina,mahakainaga,matakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,tehina,tehina,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,taokete,mahakainaga,matakainaga,matakainaga,tehina,mahakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,matakainaga,mahakainaga,tehina,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane
9,0.035559584455709614,0.6929877333097798,0.6574281488540702,mahakainaga,mahakainaga,mahakainaga,matakainaga,taokete,mahakainaga,tehina,matakainaga,mahakainaga,mahakainaga,matakainaga,taokete,matakainaga,matakainaga,mahakainaga,matakainaga,taokete,taokete,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,taokete,matakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,matakainaga,mahakainaga,matakainaga,matakainaga,matakainaga,mahakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,mahakainaga,matakainaga,matakainaga,tehina,tehina,tehina,matakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,matakainaga,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,matakainaga,tehina,taokete,mahakainaga,mahakainaga,mahakainaga,mahakainaga,tehina,mahakainaga,mahakainaga,mahakainaga,mahakainaga,taokete,mahakainaga,matakainaga,mahakainaga,taokete,matakainaga,mahakainaga,matakainaga,matakainaga,tehina,matua fifine,matua tane,matua fifine,matua tane,matua fifine,matua tane,matua tane,matua tane,matua tane,matua tane,matua fifine,matua tane,matua tane,matua fifine,matua tane,matua fifine,matua fifine,matua tane,matua tane,matua fifine,matua fifine,matua fifine,matua fifine,matua tane,matua fifine,matua fifine,matua fifine,matua tane
