simulation_number,mutual_information,entropy,conditional_entropy,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,mFZeD,mFZyD,fFZyD,fFZeD,meB,feB,mFBeS,fFBeS,mMZeS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,fMBeD,fMByD,myZ,fyZ,mFByD,fFByD,mMZyD,fMZyD,mFZyS,mFZeS,mMBeS,mMByS,fMBeS,mMByD,fFZeS,fFZyS,fMByS,mMBeD,mF,fF,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ
0,0.5198603854199589,1.3862943611198906,0.8664339756999316,nis-kunʼ-ä,neese-säʼ,ne-sisʼ-sä,neʼ-tä-kame,nis-kunʼ-ä,neese-säʼ,n'-do-to-ke-manʼ,ne-sisʼ-sä,neʼ-tä-kame,ne-sisʼ-sä,ne-wäʼ-toase,neese-säʼ,n'-doʼ-to-ke-manʼ,nee-misʼ-tä,nee-misʼ-tä,n'-doʼ-to-ke-manʼ,nis-kunʼ-ä,n'-to-tes-tä-moʼ,n'-toʼ-tes-ta-mo,n'-do-to-ke-manʼ,neese-säʼ,neese-säʼ,neʼ-sisʼ-sä,ne-sisʼ-sä,nee-misʼ-tä,nee-misʼ-tä,ne-sisʼ-sä,neʼ-misʼ-tä,nis-kunʼ-ä,n'-to-tes-tä-moʼ,nis-kunʼ-ä,n'-to-tes-tä-mo,ne-sisʼ-sä,nee-misʼ-tä,n'-doʼ-te-ke-manʼ,ne-wäʼ-toase,nee-misʼ-tä,n'-do-to-ke-manʼ,nis-kunʼ-ä,ne-to-tahˑseʼ,ne-toʼ-to-mä,ne-to-tahˑseʼ,nin,ne-to-tahˑseʼ,ne-to-tahˑseʼ,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-tarse,n'-toʼ-tox-is,naʼ-nä,ne-toʼ-tarse,nin,naʼ-nä,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-to-mä,n'-toʼ-tox-is
1,0.5198603854199589,1.0397207708399179,0.5198603854199589,neese-säʼ,n'-to-tes-tä-moʼ,neʼ-tä-kame,neese-säʼ,n'-doʼ-to-ke-manʼ,nis-kunʼ-ä,n'-doʼ-te-ke-manʼ,ne-sisʼ-sä,neʼ-misʼ-tä,neʼ-sisʼ-sä,n'-doʼ-to-ke-manʼ,nee-misʼ-tä,nee-misʼ-tä,ne-sisʼ-sä,nis-kunʼ-ä,ne-wäʼ-toase,n'-toʼ-tes-ta-mo,nis-kunʼ-ä,nee-misʼ-tä,n'-do-to-ke-manʼ,neʼ-tä-kame,nis-kunʼ-ä,nis-kunʼ-ä,ne-sisʼ-sä,neese-säʼ,nis-kunʼ-ä,n'-do-to-ke-manʼ,ne-sisʼ-sä,ne-sisʼ-sä,neese-säʼ,n'-to-tes-tä-moʼ,neese-säʼ,nee-misʼ-tä,nee-misʼ-tä,ne-sisʼ-sä,nee-misʼ-tä,ne-wäʼ-toase,n'-do-to-ke-manʼ,n'-to-tes-tä-mo,naʼ-nä,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-tarse,n'-toʼ-tox-is,ne-toʼ-to-mä,nin,ne-to-tahˑseʼ,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-tarse,nin,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-toʼ-tarse,ne-to-tahˑseʼ,n'-toʼ-tox-is,naʼ-nä
2,0.2599301927099794,1.0397207708399179,0.7797905781299385,neʼ-sisʼ-sä,nee-misʼ-tä,ne-sisʼ-sä,ne-sisʼ-sä,neese-säʼ,n'-to-tes-tä-mo,n'-do-to-ke-manʼ,n'-doʼ-to-ke-manʼ,neʼ-tä-kame,n'-do-to-ke-manʼ,n'-to-tes-tä-moʼ,neʼ-tä-kame,nis-kunʼ-ä,ne-sisʼ-sä,n'-to-tes-tä-moʼ,ne-sisʼ-sä,n'-doʼ-te-ke-manʼ,ne-sisʼ-sä,ne-sisʼ-sä,nis-kunʼ-ä,n'-doʼ-to-ke-manʼ,nis-kunʼ-ä,nis-kunʼ-ä,nee-misʼ-tä,neese-säʼ,neese-säʼ,ne-wäʼ-toase,nis-kunʼ-ä,neʼ-misʼ-tä,nee-misʼ-tä,n'-do-to-ke-manʼ,nee-misʼ-tä,ne-wäʼ-toase,nee-misʼ-tä,n'-toʼ-tes-ta-mo,nee-misʼ-tä,neese-säʼ,neese-säʼ,nis-kunʼ-ä,naʼ-nä,ne-toʼ-tarse,ne-toʼ-tarse,ne-toʼ-to-mä,nin,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-toʼ-to-mä,nin,ne-toʼ-tarse,ne-toʼ-tarse,naʼ-nä,n'-toʼ-tox-is,ne-to-tahˑseʼ,n'-toʼ-tox-is,n'-toʼ-tox-is,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-to-tahˑseʼ,ne-to-tahˑseʼ
3,0.5198603854199589,1.3862943611198906,0.8664339756999316,nee-misʼ-tä,n'-to-tes-tä-moʼ,nis-kunʼ-ä,neʼ-misʼ-tä,n'-do-to-ke-manʼ,nee-misʼ-tä,ne-wäʼ-toase,nis-kunʼ-ä,nee-misʼ-tä,nee-misʼ-tä,nis-kunʼ-ä,nis-kunʼ-ä,ne-sisʼ-sä,neese-säʼ,n'-doʼ-to-ke-manʼ,n'-to-tes-tä-mo,ne-wäʼ-toase,ne-sisʼ-sä,ne-sisʼ-sä,nee-misʼ-tä,neese-säʼ,nis-kunʼ-ä,n'-doʼ-to-ke-manʼ,neese-säʼ,ne-sisʼ-sä,neʼ-sisʼ-sä,n'-toʼ-tes-ta-mo,neese-säʼ,n'-do-to-ke-manʼ,nee-misʼ-tä,neese-säʼ,nis-kunʼ-ä,n'-to-tes-tä-moʼ,n'-do-to-ke-manʼ,neʼ-tä-kame,ne-sisʼ-sä,neʼ-tä-kame,ne-sisʼ-sä,n'-doʼ-te-ke-manʼ,n'-toʼ-tox-is,ne-to-tahˑseʼ,ne-toʼ-tarse,naʼ-nä,ne-to-tahˑseʼ,ne-toʼ-to-mä,nin,n'-toʼ-tox-is,nin,ne-toʼ-tarse,ne-toʼ-to-mä,ne-to-tahˑseʼ,n'-toʼ-tox-is,n'-toʼ-tox-is,naʼ-nä,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-to-mä,ne-toʼ-tarse,ne-to-tahˑseʼ
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,neʼ-tä-kame,nee-misʼ-tä,n'-to-tes-tä-moʼ,neʼ-sisʼ-sä,neʼ-tä-kame,n'-do-to-ke-manʼ,n'-toʼ-tes-ta-mo,ne-sisʼ-sä,neese-säʼ,nis-kunʼ-ä,nis-kunʼ-ä,nee-misʼ-tä,ne-wäʼ-toase,ne-sisʼ-sä,nis-kunʼ-ä,neʼ-misʼ-tä,n'-doʼ-to-ke-manʼ,neese-säʼ,ne-sisʼ-sä,ne-sisʼ-sä,neese-säʼ,n'-to-tes-tä-mo,n'-doʼ-to-ke-manʼ,n'-to-tes-tä-moʼ,nee-misʼ-tä,n'-doʼ-te-ke-manʼ,ne-sisʼ-sä,nee-misʼ-tä,nis-kunʼ-ä,n'-do-to-ke-manʼ,ne-wäʼ-toase,nis-kunʼ-ä,neese-säʼ,neese-säʼ,nee-misʼ-tä,nee-misʼ-tä,n'-do-to-ke-manʼ,ne-sisʼ-sä,nis-kunʼ-ä,n'-toʼ-tox-is,nin,ne-to-tahˑseʼ,naʼ-nä,naʼ-nä,nin,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-tarse,n'-toʼ-tox-is,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-toʼ-tarse,ne-to-tahˑseʼ,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-toʼ-tarse,ne-toʼ-to-mä
5,0.6931471805599452,1.0397207708399179,0.34657359027997264,n'-toʼ-tes-ta-mo,ne-wäʼ-toase,n'-do-to-ke-manʼ,neese-säʼ,n'-do-to-ke-manʼ,neese-säʼ,n'-to-tes-tä-mo,nee-misʼ-tä,nis-kunʼ-ä,n'-doʼ-to-ke-manʼ,ne-sisʼ-sä,neʼ-sisʼ-sä,n'-doʼ-te-ke-manʼ,neʼ-misʼ-tä,neʼ-tä-kame,ne-sisʼ-sä,nis-kunʼ-ä,n'-doʼ-to-ke-manʼ,neʼ-tä-kame,nee-misʼ-tä,nee-misʼ-tä,nee-misʼ-tä,n'-to-tes-tä-moʼ,neese-säʼ,nis-kunʼ-ä,ne-sisʼ-sä,neese-säʼ,ne-sisʼ-sä,nee-misʼ-tä,n'-do-to-ke-manʼ,ne-sisʼ-sä,nis-kunʼ-ä,ne-wäʼ-toase,neese-säʼ,ne-sisʼ-sä,n'-to-tes-tä-moʼ,nis-kunʼ-ä,nee-misʼ-tä,nis-kunʼ-ä,ne-to-tahˑseʼ,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-toʼ-tarse,ne-to-tahˑseʼ,ne-toʼ-to-mä,n'-toʼ-tox-is,naʼ-nä,ne-toʼ-tarse,ne-toʼ-to-mä,nin,ne-to-tahˑseʼ,nin,n'-toʼ-tox-is,n'-toʼ-tox-is,naʼ-nä,ne-toʼ-tarse
6,0.3465735902799726,1.0397207708399179,0.6931471805599453,nis-kunʼ-ä,ne-sisʼ-sä,ne-sisʼ-sä,ne-sisʼ-sä,ne-wäʼ-toase,nis-kunʼ-ä,nee-misʼ-tä,n'-do-to-ke-manʼ,neese-säʼ,nee-misʼ-tä,ne-wäʼ-toase,n'-toʼ-tes-ta-mo,neʼ-sisʼ-sä,neʼ-tä-kame,n'-to-tes-tä-mo,nis-kunʼ-ä,ne-sisʼ-sä,nis-kunʼ-ä,ne-sisʼ-sä,n'-doʼ-to-ke-manʼ,nee-misʼ-tä,n'-do-to-ke-manʼ,nee-misʼ-tä,neese-säʼ,n'-do-to-ke-manʼ,nee-misʼ-tä,nis-kunʼ-ä,n'-doʼ-te-ke-manʼ,neese-säʼ,neʼ-misʼ-tä,neese-säʼ,n'-doʼ-to-ke-manʼ,n'-to-tes-tä-moʼ,n'-to-tes-tä-moʼ,neese-säʼ,nis-kunʼ-ä,ne-sisʼ-sä,nee-misʼ-tä,neʼ-tä-kame,ne-to-tahˑseʼ,ne-to-tahˑseʼ,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-tarse,ne-toʼ-tarse,n'-toʼ-tox-is,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-toʼ-tarse,naʼ-nä,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-toʼ-to-mä,nin,n'-toʼ-tox-is,nin,ne-to-tahˑseʼ,naʼ-nä
7,0.6931471805599452,1.0397207708399179,0.34657359027997264,ne-wäʼ-toase,ne-sisʼ-sä,ne-sisʼ-sä,neese-säʼ,nee-misʼ-tä,neʼ-sisʼ-sä,nis-kunʼ-ä,neese-säʼ,neese-säʼ,nee-misʼ-tä,nis-kunʼ-ä,ne-sisʼ-sä,n'-doʼ-te-ke-manʼ,neese-säʼ,nis-kunʼ-ä,n'-do-to-ke-manʼ,neese-säʼ,ne-sisʼ-sä,neʼ-tä-kame,ne-sisʼ-sä,nis-kunʼ-ä,ne-sisʼ-sä,n'-doʼ-to-ke-manʼ,n'-do-to-ke-manʼ,nee-misʼ-tä,nee-misʼ-tä,n'-doʼ-to-ke-manʼ,ne-wäʼ-toase,neʼ-misʼ-tä,neʼ-tä-kame,n'-to-tes-tä-moʼ,nee-misʼ-tä,nis-kunʼ-ä,nee-misʼ-tä,nis-kunʼ-ä,n'-to-tes-tä-mo,n'-do-to-ke-manʼ,n'-to-tes-tä-moʼ,n'-toʼ-tes-ta-mo,ne-toʼ-to-mä,ne-to-tahˑseʼ,naʼ-nä,n'-toʼ-tox-is,naʼ-nä,ne-to-tahˑseʼ,ne-to-tahˑseʼ,n'-toʼ-tox-is,nin,ne-to-tahˑseʼ,ne-toʼ-to-mä,nin,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-to-mä,ne-toʼ-tarse,n'-toʼ-tox-is,ne-toʼ-tarse,n'-toʼ-tox-is,ne-toʼ-tarse
8,0.5198603854199589,1.3862943611198906,0.8664339756999316,n'-do-to-ke-manʼ,nee-misʼ-tä,nee-misʼ-tä,n'-toʼ-tes-ta-mo,neese-säʼ,n'-do-to-ke-manʼ,neese-säʼ,ne-sisʼ-sä,neese-säʼ,ne-sisʼ-sä,nee-misʼ-tä,n'-doʼ-to-ke-manʼ,nee-misʼ-tä,ne-sisʼ-sä,n'-to-tes-tä-moʼ,nis-kunʼ-ä,neese-säʼ,nis-kunʼ-ä,neʼ-misʼ-tä,neʼ-sisʼ-sä,nis-kunʼ-ä,nis-kunʼ-ä,n'-doʼ-to-ke-manʼ,ne-sisʼ-sä,neʼ-tä-kame,nee-misʼ-tä,n'-doʼ-te-ke-manʼ,ne-sisʼ-sä,n'-do-to-ke-manʼ,ne-wäʼ-toase,neʼ-tä-kame,n'-to-tes-tä-mo,ne-wäʼ-toase,neese-säʼ,ne-sisʼ-sä,nis-kunʼ-ä,nis-kunʼ-ä,n'-to-tes-tä-moʼ,nee-misʼ-tä,nin,ne-toʼ-tarse,ne-toʼ-to-mä,n'-toʼ-tox-is,ne-to-tahˑseʼ,n'-toʼ-tox-is,n'-toʼ-tox-is,ne-to-tahˑseʼ,ne-toʼ-to-mä,ne-to-tahˑseʼ,ne-to-tahˑseʼ,n'-toʼ-tox-is,naʼ-nä,nin,naʼ-nä,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-to-mä,ne-toʼ-tarse,ne-toʼ-tarse
9,0.4544543674493904,1.0397207708399179,0.5852664033905275,nis-kunʼ-ä,ne-sisʼ-sä,n'-doʼ-te-ke-manʼ,ne-sisʼ-sä,n'-to-tes-tä-mo,nee-misʼ-tä,neʼ-misʼ-tä,nee-misʼ-tä,neese-säʼ,neese-säʼ,ne-wäʼ-toase,nis-kunʼ-ä,nee-misʼ-tä,neʼ-tä-kame,nis-kunʼ-ä,neese-säʼ,nis-kunʼ-ä,ne-sisʼ-sä,n'-do-to-ke-manʼ,nis-kunʼ-ä,nee-misʼ-tä,neese-säʼ,n'-to-tes-tä-moʼ,n'-toʼ-tes-ta-mo,n'-doʼ-to-ke-manʼ,n'-do-to-ke-manʼ,n'-do-to-ke-manʼ,ne-wäʼ-toase,neʼ-sisʼ-sä,neese-säʼ,ne-sisʼ-sä,nee-misʼ-tä,n'-to-tes-tä-moʼ,neʼ-tä-kame,ne-sisʼ-sä,ne-sisʼ-sä,n'-doʼ-to-ke-manʼ,nis-kunʼ-ä,nee-misʼ-tä,n'-toʼ-tox-is,nin,nin,ne-to-tahˑseʼ,ne-toʼ-tarse,n'-toʼ-tox-is,ne-toʼ-to-mä,ne-toʼ-to-mä,ne-toʼ-tarse,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-toʼ-tarse,ne-toʼ-to-mä,ne-to-tahˑseʼ,n'-toʼ-tox-is,ne-toʼ-to-mä,naʼ-nä,naʼ-nä,ne-to-tahˑseʼ,ne-toʼ-tarse
