simulation_number,mutual_information,entropy,conditional_entropy,meZ,fFBeD,fMZeD,mFBeD,mMZeD,mFZeS,mFZyS,fFZeS,fFZyS,fMBeS,fMByS,fMBeD,fMByD,fFZeD,fFZyD,mMBeS,mMByS,mFZeD,mFZyD,mMByD,mMBeD,feB,meB,mFBeS,fFBeS,mMZeS,fFByS,fMZyS,mFByS,mMZyS,fyB,myB,fFByD,fyZ,mFByD,myZ,fMZyD,mMZyD,mFeZ,fFeZ,fFyZ,mFyZ,fMeB,fMyB,mMeB,mMyB,fFeB,mFeB,fMeZ,mMeZ,fFyB,mFyB,fMyZ,mMyZ,fF,mF,fM,mM
0,0.08878194993480482,1.376055285260417,1.2872733353256123,en mǎittuni,"en akkärl, tǎmǎkay","en tangaichchi, tangay","en akkärl, tǎmǎkay","en tangǎichchi, tǎngay",en mǎchchǎn,en mǎittǔnǎn,en mǎchchǎn,"en akkärl, tǎmǎkay",en mǎittǔnǎn,"en tǎmaiyǎn, an̤n̤an","en tangǎichchi, tǎngay","en tangaichchi, tangay","en akkärl, tǎmǎkay",en mǎittuni,en mǎchchǎn,en tambí,"en akkärl, tǎmǎkay","en tǎmaiyǎn, an̤n̤ǎn",en tambi,"en attän, mǎittǔnǎn",en tambi,en tambi,en tambí,"en tǎmaiyan, an̤n̤ǎn",en tambi,en mǎittǔni,"en mǎchchi, machcharl",en mǎchchärl,en mǎchchǎn,en mǎittuni,"en tangaichchi, tangay","en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay","en tǎmaiyan, an̤n̤an","en attän, mǎittǔnǎn","en mǎchchi, mǎchchǎrl",en mǎchchärl,en tǎkkǎppǎn,en attai,en mǎmǎn,en pěriyǎ täy,en sěriyǎ täy,en mǎmǎn,en täy,en seriya tǎkkǎppǎn,en pěriyǎ täy,en mǎmǎn,en täy,en seriya tǎkkǎppǎn,en attai,en attai,en mǎmǎn,en periya tǎkkǎppǎn,en attai,en sěriyǎ täy,en periya tǎkkǎppǎn,en tǎkkǎppǎn
1,0.3414540523502362,1.0346012329101812,0.6931471805599451,"en attän, mǎittǔnǎn","en tǎmaiyan, an̤n̤ǎn",en tambi,en tambi,"en mǎchchi, mǎchchǎrl","en tangaichchi, tangay","en attän, mǎittǔnǎn","en akkärl, tǎmǎkay","en mǎchchi, machcharl",en mǎchchärl,en mǎittuni,en mǎchchǎn,"en tangaichchi, tangay",en mǎchchǎn,"en akkärl, tǎmǎkay",en mǎchchǎn,en mǎittuni,en mǎittǔnǎn,"en tangǎichchi, tǎngay",en tambí,en mǎittǔnǎn,"en akkärl, tǎmǎkay","en tangǎichchi, tǎngay",en tambi,"en akkärl, tǎmǎkay",en mǎittuni,en mǎchchǎn,"en tǎmaiyan, an̤n̤ǎn","en akkärl, tǎmǎkay","en tǎmaiyǎn, an̤n̤an",en tambi,en mǎchchärl,"en tǎmaiyan, an̤n̤an",en tambí,en mǎittǔni,"en tangaichchi, tangay","en tǎmaiyǎn, an̤n̤ǎn","en tangaichchi, tangay",en pěriyǎ täy,en attai,en sěriyǎ täy,en periya tǎkkǎppǎn,en attai,en attai,en attai,en periya tǎkkǎppǎn,en tǎkkǎppǎn,en täy,en mǎmǎn,en mǎmǎn,en sěriyǎ täy,en mǎmǎn,en pěriyǎ täy,en mǎmǎn,en seriya tǎkkǎppǎn,en seriya tǎkkǎppǎn,en täy,en tǎkkǎppǎn
2,0.6829081047004719,1.376055285260417,0.6931471805599452,en mǎittuni,en mǎchchǎn,en tambi,en mǎittǔnǎn,"en tǎmaiyǎn, an̤n̤ǎn",en mǎchchǎn,"en mǎchchi, mǎchchǎrl","en tǎmaiyan, an̤n̤ǎn",en mǎchchärl,"en tangaichchi, tangay","en tǎmaiyan, an̤n̤ǎn",en tambi,"en akkärl, tǎmǎkay","en tǎmaiyǎn, an̤n̤an","en tangaichchi, tangay","en akkärl, tǎmǎkay","en tangaichchi, tangay",en mǎittǔnǎn,"en tangǎichchi, tǎngay","en attän, mǎittǔnǎn",en tambí,"en mǎchchi, machcharl",en mǎchchǎn,en tambi,"en tǎmaiyan, an̤n̤an","en tangǎichchi, tǎngay",en mǎittuni,"en attän, mǎittǔnǎn","en tangaichchi, tangay","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay",en tambí,en mǎchchärl,"en akkärl, tǎmǎkay",en mǎittuni,en mǎchchǎn,en tambi,en mǎittǔni,en pěriyǎ täy,en attai,en täy,en attai,en mǎmǎn,en attai,en pěriyǎ täy,en mǎmǎn,en täy,en periya tǎkkǎppǎn,en seriya tǎkkǎppǎn,en tǎkkǎppǎn,en periya tǎkkǎppǎn,en seriya tǎkkǎppǎn,en sěriyǎ täy,en mǎmǎn,en sěriyǎ täy,en tǎkkǎppǎn,en attai,en mǎmǎn
3,0.24243302655595822,1.0346012329101812,0.792168206354223,en tambí,en mǎchchǎn,en mǎchchǎn,"en tǎmaiyǎn, an̤n̤ǎn","en attän, mǎittǔnǎn",en mǎchchǎn,en mǎchchärl,"en mǎchchi, machcharl","en akkärl, tǎmǎkay","en attän, mǎittǔnǎn",en tambi,en mǎchchǎn,"en tangǎichchi, tǎngay","en tangǎichchi, tǎngay",en tambi,"en tǎmaiyǎn, an̤n̤an","en tǎmaiyan, an̤n̤an","en tangaichchi, tangay",en mǎchchärl,en mǎittuni,"en tangaichchi, tangay","en akkärl, tǎmǎkay",en mǎittuni,"en mǎchchi, mǎchchǎrl",en mǎittuni,en mǎittǔni,en mǎittǔnǎn,"en tǎmaiyan, an̤n̤ǎn",en tambi,"en akkärl, tǎmǎkay",en mǎittǔnǎn,"en tǎmaiyan, an̤n̤ǎn",en tambi,en tambí,"en akkärl, tǎmǎkay","en tangaichchi, tangay","en tangaichchi, tangay","en akkärl, tǎmǎkay",en attai,en täy,en attai,en attai,en pěriyǎ täy,en tǎkkǎppǎn,en sěriyǎ täy,en periya tǎkkǎppǎn,en mǎmǎn,en mǎmǎn,en seriya tǎkkǎppǎn,en seriya tǎkkǎppǎn,en sěriyǎ täy,en periya tǎkkǎppǎn,en tǎkkǎppǎn,en attai,en pěriyǎ täy,en mǎmǎn,en mǎmǎn,en täy
4,0.41011631828840944,1.376055285260417,0.9659389669720077,en mǎchchǎn,en tambi,"en tangaichchi, tangay",en mǎittuni,en tambí,"en mǎchchi, mǎchchǎrl","en akkärl, tǎmǎkay",en mǎchchärl,en mǎittǔni,"en tǎmaiyǎn, an̤n̤an",en mǎittuni,"en tangǎichchi, tǎngay",en tambi,"en tangaichchi, tangay","en tǎmaiyan, an̤n̤an",en tambi,en mǎittǔnǎn,"en akkärl, tǎmǎkay",en mǎchchǎn,"en tǎmaiyǎn, an̤n̤ǎn","en attän, mǎittǔnǎn",en mǎittuni,en mǎchchǎn,"en akkärl, tǎmǎkay","en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay","en mǎchchi, machcharl","en attän, mǎittǔnǎn",en mǎchchärl,"en tǎmaiyan, an̤n̤ǎn","en akkärl, tǎmǎkay","en tangaichchi, tangay",en mǎittǔnǎn,en mǎchchǎn,"en tangǎichchi, tǎngay",en tambi,en tambí,"en akkärl, tǎmǎkay",en mǎmǎn,en sěriyǎ täy,en periya tǎkkǎppǎn,en täy,en attai,en pěriyǎ täy,en attai,en seriya tǎkkǎppǎn,en attai,en tǎkkǎppǎn,en mǎmǎn,en attai,en pěriyǎ täy,en periya tǎkkǎppǎn,en mǎmǎn,en tǎkkǎppǎn,en seriya tǎkkǎppǎn,en täy,en sěriyǎ täy,en mǎmǎn
5,0.41011631828840944,1.376055285260417,0.9659389669720077,"en akkärl, tǎmǎkay",en tambí,"en tangaichchi, tangay","en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay",en tambi,"en tǎmaiyǎn, an̤n̤an","en tǎmaiyan, an̤n̤ǎn",en tambi,"en mǎchchi, mǎchchǎrl","en akkärl, tǎmǎkay","en tangaichchi, tangay",en mǎchchǎn,"en mǎchchi, machcharl",en mǎittuni,en mǎittuni,en tambi,"en attän, mǎittǔnǎn","en attän, mǎittǔnǎn",en tambí,en tambi,en mǎchchǎn,"en akkärl, tǎmǎkay","en tangaichchi, tangay",en mǎittuni,en mǎittǔnǎn,"en akkärl, tǎmǎkay","en tangǎichchi, tǎngay","en tǎmaiyǎn, an̤n̤ǎn","en akkärl, tǎmǎkay",en mǎchchǎn,en mǎchchǎn,en mǎchchärl,en mǎittǔnǎn,en mǎittǔni,"en tǎmaiyan, an̤n̤an",en mǎchchärl,"en tangǎichchi, tǎngay",en mǎmǎn,en sěriyǎ täy,en täy,en tǎkkǎppǎn,en attai,en täy,en seriya tǎkkǎppǎn,en periya tǎkkǎppǎn,en mǎmǎn,en pěriyǎ täy,en sěriyǎ täy,en mǎmǎn,en pěriyǎ täy,en tǎkkǎppǎn,en attai,en attai,en periya tǎkkǎppǎn,en seriya tǎkkǎppǎn,en mǎmǎn,en attai
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,en tambi,en mǎittǔnǎn,en mǎittuni,en mǎchchǎn,"en tǎmaiyǎn, an̤n̤an",en mǎittǔni,"en tǎmaiyǎn, an̤n̤ǎn",en tambi,"en mǎchchi, machcharl","en tangaichchi, tangay",en mǎchchǎn,en mǎittuni,en mǎchchärl,en mǎchchǎn,en mǎchchärl,en tambi,en mǎittǔnǎn,en tambí,en tambí,"en tǎmaiyan, an̤n̤an","en attän, mǎittǔnǎn","en tangaichchi, tangay",en mǎittuni,"en tǎmaiyan, an̤n̤ǎn","en attän, mǎittǔnǎn","en tangǎichchi, tǎngay","en tangǎichchi, tǎngay","en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay",en mǎchchǎn,"en tangaichchi, tangay","en mǎchchi, mǎchchǎrl","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay",en tambi,"en akkärl, tǎmǎkay",en attai,en mǎmǎn,en periya tǎkkǎppǎn,en mǎmǎn,en täy,en pěriyǎ täy,en sěriyǎ täy,en attai,en seriya tǎkkǎppǎn,en periya tǎkkǎppǎn,en täy,en seriya tǎkkǎppǎn,en tǎkkǎppǎn,en tǎkkǎppǎn,en pěriyǎ täy,en sěriyǎ täy,en mǎmǎn,en mǎmǎn,en attai,en attai
7,0.4848660531119162,1.376055285260417,0.8911892321485009,"en akkärl, tǎmǎkay",en tambi,"en tangaichchi, tangay","en tǎmaiyǎn, an̤n̤an","en tangǎichchi, tǎngay","en tangaichchi, tangay",en mǎittuni,en tambí,en tambi,en tambí,"en tangaichchi, tangay","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay",en mǎittuni,en tambi,"en akkärl, tǎmǎkay",en mǎittuni,en mǎittǔnǎn,"en mǎchchi, machcharl",en mǎchchǎn,"en tangǎichchi, tǎngay",en mǎchchǎn,"en attän, mǎittǔnǎn",en mǎittǔni,"en tǎmaiyan, an̤n̤ǎn","en attän, mǎittǔnǎn","en tǎmaiyan, an̤n̤an","en akkärl, tǎmǎkay","en mǎchchi, mǎchchǎrl",en mǎchchǎn,en mǎchchärl,"en tǎmaiyǎn, an̤n̤ǎn","en tǎmaiyan, an̤n̤ǎn",en mǎchchärl,en tambi,en mǎchchǎn,"en tangaichchi, tangay",en mǎittǔnǎn,en pěriyǎ täy,en attai,en tǎkkǎppǎn,en pěriyǎ täy,en sěriyǎ täy,en mǎmǎn,en mǎmǎn,en mǎmǎn,en seriya tǎkkǎppǎn,en sěriyǎ täy,en periya tǎkkǎppǎn,en täy,en attai,en periya tǎkkǎppǎn,en attai,en attai,en tǎkkǎppǎn,en seriya tǎkkǎppǎn,en mǎmǎn,en täy
8,0.682908104700472,1.376055285260417,0.6931471805599451,"en attän, mǎittǔnǎn","en tǎmaiyan, an̤n̤ǎn",en mǎchchärl,"en mǎchchi, machcharl","en akkärl, tǎmǎkay",en tambi,en mǎchchǎn,en mǎittuni,en tambi,"en tǎmaiyan, an̤n̤an",en mǎittǔnǎn,en tambí,en tambi,"en tangǎichchi, tǎngay","en mǎchchi, mǎchchǎrl","en tǎmaiyǎn, an̤n̤ǎn","en tangǎichchi, tǎngay","en tangaichchi, tangay","en akkärl, tǎmǎkay","en akkärl, tǎmǎkay","en tangaichchi, tangay",en mǎchchärl,en mǎchchǎn,"en attän, mǎittǔnǎn",en mǎittǔnǎn,"en akkärl, tǎmǎkay","en tǎmaiyǎn, an̤n̤an",en mǎchchǎn,en mǎchchǎn,en mǎittuni,en tambi,"en tangaichchi, tangay",en mǎittǔni,"en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay","en akkärl, tǎmǎkay",en tambí,en mǎittuni,en periya tǎkkǎppǎn,en attai,en pěriyǎ täy,en attai,en attai,en tǎkkǎppǎn,en seriya tǎkkǎppǎn,en sěriyǎ täy,en täy,en mǎmǎn,en mǎmǎn,en mǎmǎn,en periya tǎkkǎppǎn,en mǎmǎn,en täy,en tǎkkǎppǎn,en pěriyǎ täy,en seriya tǎkkǎppǎn,en attai,en sěriyǎ täy
9,0.682908104700472,1.376055285260417,0.6931471805599451,en mǎchchärl,en tambí,en mǎchchǎn,en mǎchchǎn,"en mǎchchi, machcharl",en tambi,"en akkärl, tǎmǎkay","en tangaichchi, tangay",en tambi,"en tangaichchi, tangay","en attän, mǎittǔnǎn","en tǎmaiyan, an̤n̤an",en mǎchchǎn,en mǎittǔni,"en tǎmaiyǎn, an̤n̤ǎn",en mǎittuni,"en mǎchchi, mǎchchǎrl","en akkärl, tǎmǎkay","en tangǎichchi, tǎngay","en tangaichchi, tangay","en tǎmaiyǎn, an̤n̤an",en tambí,en mǎittuni,en mǎittǔnǎn,"en akkärl, tǎmǎkay",en mǎchchǎn,"en akkärl, tǎmǎkay","en tangǎichchi, tǎngay",en tambi,"en tǎmaiyan, an̤n̤ǎn","en tangaichchi, tangay","en akkärl, tǎmǎkay",en mǎittǔnǎn,en tambi,"en attän, mǎittǔnǎn",en mǎittuni,en mǎchchärl,"en tǎmaiyan, an̤n̤ǎn",en periya tǎkkǎppǎn,en mǎmǎn,en tǎkkǎppǎn,en pěriyǎ täy,en täy,en attai,en pěriyǎ täy,en tǎkkǎppǎn,en periya tǎkkǎppǎn,en mǎmǎn,en sěriyǎ täy,en täy,en attai,en mǎmǎn,en seriya tǎkkǎppǎn,en attai,en sěriyǎ täy,en attai,en seriya tǎkkǎppǎn,en mǎmǎn
