simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.41011631828840944,1.376055285260417,0.9659389669720077,aidagu,aidagu,"tobro, timla",aidagu,tobro,"lutno, timla","lutno, timla",aidagu,aidagu,lutno,lutno,aiber,lutno,"aiber, timla",lutno,aidagu,aidagu,aidagu,aidagu,lutno,"lutno, timla",aidagu,lutno,"tobro, timla",aidagu,aidagu,tobro,aidagu,aidagu,aidagu,"aiber, timla",tobro,aiber,"lutno, timla",lutno,aiber,aiber,aidagu,abo,"adou, gute, ŋoŋle, tumno",timla,"nina, tna","adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno",adou,timla,adou,timla,"nina, tna","adou, gute, ŋoŋle, tumno",timla,abo,adou,adou
1,0.4848660531119162,1.376055285260417,0.8911892321485009,lutno,aidagu,aidagu,aiber,lutno,tobro,aiber,aidagu,lutno,aiber,aidagu,aidagu,"tobro, timla",tobro,"lutno, timla",aidagu,"lutno, timla",lutno,lutno,aidagu,aidagu,"aiber, timla",aidagu,aidagu,aidagu,aidagu,lutno,tobro,aidagu,aiber,"lutno, timla","lutno, timla",aidagu,"tobro, timla",aidagu,"aiber, timla",lutno,aidagu,timla,"adou, gute, ŋoŋle, tumno","nina, tna",abo,"adou, gute, ŋoŋle, tumno","nina, tna",timla,timla,adou,"adou, gute, ŋoŋle, tumno",adou,"adou, gute, ŋoŋle, tumno",abo,timla,adou,adou
2,0.2050581591442049,1.0346012329101812,0.8295430737659764,lutno,aidagu,aiber,lutno,aidagu,aidagu,tobro,aidagu,aidagu,lutno,"lutno, timla",aidagu,tobro,"tobro, timla",aidagu,"aiber, timla",aiber,aidagu,aidagu,aidagu,lutno,aidagu,aidagu,aiber,"tobro, timla",lutno,tobro,aiber,lutno,aidagu,"aiber, timla",aidagu,aidagu,"lutno, timla","lutno, timla",aidagu,"lutno, timla",lutno,adou,"adou, gute, ŋoŋle, tumno",adou,timla,timla,abo,adou,"nina, tna",adou,"adou, gute, ŋoŋle, tumno",abo,timla,"adou, gute, ŋoŋle, tumno","nina, tna",timla,"adou, gute, ŋoŋle, tumno"
3,0.4101163182884091,1.0789922078775833,0.6688758895891742,lutno,"tobro, timla",aidagu,"aiber, timla",aidagu,aidagu,"lutno, timla",lutno,aidagu,aidagu,tobro,aidagu,aidagu,tobro,lutno,aidagu,aidagu,"lutno, timla",aidagu,aidagu,"tobro, timla",aidagu,aidagu,"lutno, timla",aidagu,aiber,aiber,lutno,aidagu,lutno,lutno,aiber,"aiber, timla",aidagu,tobro,lutno,aiber,"lutno, timla",timla,timla,"nina, tna",abo,"adou, gute, ŋoŋle, tumno",adou,adou,"adou, gute, ŋoŋle, tumno",timla,timla,adou,abo,adou,"nina, tna","adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno"
4,0.6829081047004717,0.6829081047004717,-0.0,"aiber, timla",lutno,aidagu,aiber,"lutno, timla",aidagu,aidagu,lutno,aidagu,aidagu,aiber,lutno,aidagu,aidagu,aidagu,aidagu,aidagu,"tobro, timla",tobro,aidagu,"aiber, timla","tobro, timla",aidagu,lutno,tobro,aidagu,"lutno, timla","lutno, timla",lutno,aidagu,aiber,aidagu,"lutno, timla",aiber,lutno,lutno,aidagu,tobro,adou,adou,timla,timla,"nina, tna","adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno",adou,"adou, gute, ŋoŋle, tumno",adou,"nina, tna",timla,abo,"adou, gute, ŋoŋle, tumno",abo,timla
5,0.14341200076168037,1.0346012329101812,0.8911892321485009,aidagu,aidagu,tobro,lutno,"tobro, timla",tobro,lutno,aiber,aidagu,aidagu,"tobro, timla","lutno, timla",aidagu,aidagu,"lutno, timla",aidagu,lutno,aidagu,aidagu,aiber,"lutno, timla",lutno,tobro,"aiber, timla",aidagu,aidagu,aidagu,lutno,aidagu,aiber,aidagu,lutno,aidagu,"aiber, timla",aiber,aidagu,"lutno, timla",lutno,abo,"adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno","nina, tna",timla,adou,adou,adou,adou,timla,abo,timla,"adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno",timla,"nina, tna"
6,0.0887819499348046,1.376055285260417,1.2872733353256125,aidagu,lutno,aidagu,"aiber, timla",aidagu,aidagu,"aiber, timla",lutno,lutno,aiber,aidagu,aiber,tobro,aidagu,aidagu,lutno,tobro,"tobro, timla",aidagu,aidagu,aidagu,"lutno, timla",aiber,"lutno, timla",aidagu,"lutno, timla","tobro, timla",lutno,aidagu,tobro,aidagu,aidagu,aidagu,lutno,"lutno, timla",aiber,aidagu,lutno,adou,"adou, gute, ŋoŋle, tumno","nina, tna",timla,"nina, tna","adou, gute, ŋoŋle, tumno",adou,abo,timla,timla,"adou, gute, ŋoŋle, tumno",adou,abo,adou,"adou, gute, ŋoŋle, tumno",timla
7,0.4101163182884092,1.3760552852604169,0.9659389669720077,"lutno, timla",aiber,lutno,aiber,aidagu,tobro,aiber,aiber,lutno,"lutno, timla",aidagu,aidagu,lutno,"lutno, timla",aidagu,aidagu,tobro,aidagu,tobro,aidagu,aidagu,aidagu,"lutno, timla","aiber, timla",aidagu,aidagu,"tobro, timla",aidagu,aidagu,"aiber, timla","tobro, timla",lutno,lutno,aidagu,aidagu,lutno,lutno,aidagu,abo,"nina, tna","adou, gute, ŋoŋle, tumno",adou,"adou, gute, ŋoŋle, tumno",adou,timla,adou,"adou, gute, ŋoŋle, tumno",adou,abo,"adou, gute, ŋoŋle, tumno",timla,timla,"nina, tna",timla
8,0.14341200076168026,1.0346012329101812,0.891189232148501,aidagu,lutno,lutno,aiber,aidagu,aidagu,aidagu,lutno,aiber,aidagu,aidagu,lutno,tobro,aiber,aidagu,tobro,aidagu,tobro,"aiber, timla",lutno,lutno,"lutno, timla",lutno,aidagu,aidagu,aidagu,"lutno, timla",aidagu,aidagu,"tobro, timla","tobro, timla",aidagu,"lutno, timla","lutno, timla",aidagu,aiber,aidagu,"aiber, timla","adou, gute, ŋoŋle, tumno","nina, tna",timla,"nina, tna",adou,"adou, gute, ŋoŋle, tumno",timla,adou,timla,abo,adou,"adou, gute, ŋoŋle, tumno",adou,timla,abo,"adou, gute, ŋoŋle, tumno"
9,0.20218548540814574,1.376055285260417,1.1738697998522714,aidagu,aidagu,"tobro, timla",aidagu,tobro,aidagu,aidagu,"lutno, timla","lutno, timla",aiber,lutno,aidagu,lutno,tobro,aidagu,lutno,"aiber, timla",aidagu,aidagu,aidagu,aidagu,tobro,"lutno, timla",lutno,aidagu,aiber,aidagu,lutno,"aiber, timla","lutno, timla",aiber,"tobro, timla",aidagu,lutno,aidagu,aidagu,lutno,aiber,abo,timla,"adou, gute, ŋoŋle, tumno",adou,"nina, tna",timla,"adou, gute, ŋoŋle, tumno","adou, gute, ŋoŋle, tumno",abo,adou,"adou, gute, ŋoŋle, tumno",timla,adou,adou,"nina, tna",timla
