simulation_number,mutual_information,entropy,conditional_entropy,feZ,meB,feB,myB,fyB,myZ,fyZ,mFyB,mMyB,fFyB,fMyB,mF,fF,mM,fM,mFeB,mMeB,fFeB,fMeB
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,ʔa.miəŋ,ʔa-mo̰ːʔ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔm.pɨːt,ʔa.ʔam,ʔm.pɨːt,ʔa.ɲiː,ʔa.ɲiː,ʔa.ʔiː,ʔa.ʔiː,ʔa.ɲiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ʔam,ʔm.pɨːt
1,0.2868240015233602,0.9799711820833055,0.6931471805599453,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.miəŋ,ʔm.pɨːt,ʔm.pɨːt,ʔa.ɲiː,ʔa.ɲiː,ʔa.ʔiː,ʔm.pɨːt,ʔa.ɲiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ʔam,ʔa.ʔam,ʔa.ʔiː
2,0.0887819499348046,1.376055285260417,1.2872733353256125,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔa-mo̰ːʔ,ʔa.ʔiː,ʔa.ɲiː,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt,ʔa.ʔiː,ʔa.ɲiː,ʔa.ʔam,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt,ʔa.ʔam
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,ʔa.miəŋ,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔiː,ʔm.pɨːt,ʔm.pɨːt,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt,ʔa.ɲiː,ʔa.ɲiː,ʔa.ʔiː,ʔa.ʔam,ʔa.ʔam,ʔa.ɲiː
4,0.044390974967402186,1.034601232910181,0.9902102579427788,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.miəŋ,ʔa.miəŋ,ʔa.ɲiː,ʔa.ɲiː,ʔa.ʔam,ʔa.ɲiː,ʔa.ʔiː,ʔm.pɨːt,ʔa.ʔam,ʔa.ʔiː,ʔm.pɨːt,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt
5,0.16353168475831126,0.9799711820833054,0.8164394973249941,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔm.pɨːt,ʔa.ʔam,ʔa.ʔiː,ʔa.ɲiː,ʔa.ʔiː,ʔa.ɲiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ʔam,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt
6,0.08878194993480448,1.0789922078775833,0.9902102579427788,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔm.pɨːt,ʔa.ʔiː,ʔa.ɲiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ʔiː,ʔa.ɲiː,ʔa.ʔam,ʔa.ɲiː,ʔm.pɨːt,ʔa.ʔam,ʔm.pɨːt
7,0.14341200076168026,1.0346012329101812,0.891189232148501,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔiː,ʔa.ʔiː,ʔm.pɨːt,ʔa.ʔam,ʔm.pɨːt,ʔm.pɨːt,ʔa.ʔam,ʔa.ɲiː,ʔa.ɲiː,ʔa.ɲiː,ʔa.ɲiː,ʔm.pɨːt
8,0.0443909749674023,1.0346012329101812,0.990210257942779,ʔa-mo̰ːʔ,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔm.pɨːt,ʔm.pɨːt,ʔa.ʔiː,ʔa.ʔam,ʔa.ɲiː,ʔa.ɲiː,ʔm.pɨːt,ʔa.ʔam,ʔa.ʔiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ɲiː
9,0.14341200076168026,1.0346012329101812,0.891189232148501,ʔa.ʔɛːm,ʔa-mo̰ːʔ,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.miəŋ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.ʔiː,ʔm.pɨːt,ʔa.ɲiː,ʔm.pɨːt,ʔm.pɨːt,ʔa.ʔam,ʔa.ɲiː,ʔa.ɲiː,ʔm.pɨːt,ʔa.ɲiː,ʔa.ʔam,ʔa.ʔiː
