simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10603713334992704,1.0346012329101812,0.9285640995602542,saghani,sagavane,sasiga,sagavane,sasiga,sasigi,sagavane,sasigi,saghani,sagavane,sasigi,sasigi,sasiga,sasigi,saghani,sasiga,saghani,sasigi,sagavane,sasiga,saghani,saghani,sagavane,sasiga,sasiga,sasigi,sasigi,sasigi,sagavane,saghani,sasiga,sasiga,sasiga,sasiga,sagavane,saghani,sasigi,sagavane,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' hani ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' hani ia,o' hani' ak ia,o' hani' ak ia
1,0.046462691877197204,0.5982695885852573,0.55180689670806,saghani,sasiga,sagavane,saghani,sagavane,saghani,sasigi,saghani,sagavane,sasiga,sasigi,sagavane,sasiga,saghani,saghani,sasiga,sasiga,saghani,sasigi,sasigi,sasigi,sasigi,sasiga,sasiga,sasiga,sagavane,sagavane,sagavane,sasigi,sasiga,saghani,sagavane,sasigi,sasigi,sagavane,sasiga,sasiga,sasigi,o' fa' ak ia,o' fa' ak ia,'oto o' i ia,o' fa' ak ia,'oto o' hani ia,'oto o' i ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' hani ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia
2,0.14053932702562122,0.5982695885852573,0.45773026155963603,sasigi,saghani,saghani,sagavane,sagavane,sasigi,sasiga,sasigi,sagavane,sasigi,sasiga,sasigi,sasigi,sasiga,saghani,sagavane,sasiga,sasiga,sasigi,sagavane,sasigi,sagavane,sasiga,sasigi,sasiga,sasigi,sasiga,sasiga,sasiga,saghani,sagavane,saghani,sasiga,sagavane,saghani,saghani,sagavane,saghani,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,'oto o' hani ia,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,'oto o' hani ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' i ia,o' fa' ak ia
3,0.14341200076168015,1.034601232910181,0.8911892321485009,sagavane,sasigi,sasiga,sasigi,saghani,sasiga,sagavane,sagavane,sasiga,sasigi,sasigi,sasiga,saghani,sagavane,sagavane,sagavane,sasigi,sasiga,sasigi,sasigi,sagavane,sasiga,saghani,sasiga,sagavane,saghani,sasiga,sasigi,sasiga,sasigi,saghani,saghani,saghani,saghani,sasiga,sagavane,sasigi,sasiga,'oto o' i ia,o' fa' ak ia,'oto o' hani ia,o' fa' ak ia,o' fa' ak ia,'oto o' hani ia,o' fa' ak ia,'oto o' i ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia
4,0.10810885025972161,0.5982695885852573,0.49016073832553564,sasigi,sasiga,sagavane,saghani,sasigi,sasigi,sasiga,saghani,sasigi,sasigi,sasigi,sasigi,sasiga,sasiga,saghani,sagavane,saghani,saghani,sasiga,sasigi,sagavane,sagavane,sasiga,sasiga,saghani,sagavane,saghani,saghani,sagavane,sasiga,sasiga,sagavane,sagavane,sasigi,sasiga,sagavane,sasigi,sasiga,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,'oto o' i ia,'oto o' hani ia,'oto o' hani ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia
5,0.10603713334992693,1.0346012329101812,0.9285640995602543,saghani,sasigi,sasigi,sasiga,sasiga,saghani,sasiga,sasiga,sagavane,sasiga,sasiga,saghani,sasigi,sagavane,sasiga,sasiga,sagavane,sasigi,sagavane,saghani,sasiga,sasigi,sagavane,saghani,saghani,sasigi,sasigi,sagavane,sagavane,sagavane,saghani,sasiga,sagavane,sasigi,sasiga,saghani,sasigi,sasigi,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' i ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,'oto o' hani ia,o' hani' ak ia,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,'oto o' hani ia,o' fa' ak ia
6,0.09922444498263283,0.5195798391305154,0.4203553941478826,sasiga,sasigi,saghani,sasigi,sagavane,sasiga,saghani,sasiga,saghani,saghani,saghani,sasiga,sagavane,sagavane,sagavane,sasigi,saghani,sagavane,sasigi,sasiga,sagavane,sagavane,sasigi,sasiga,sasiga,sasiga,saghani,sasigi,sasigi,sagavane,sasiga,sasigi,sasigi,sagavane,sasiga,saghani,sasiga,sasigi,'oto o' hani ia,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,'oto o' hani ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,'oto o' i ia,o' hani' ak ia,'oto o' i ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia
7,0.0788931686430967,0.5982695885852573,0.5193764199421605,saghani,sasigi,sagavane,sasigi,sagavane,sasiga,sasiga,sagavane,sagavane,sasigi,sasiga,sasigi,sasigi,sasigi,sasiga,saghani,sasiga,sasiga,saghani,sagavane,saghani,sasigi,sagavane,saghani,sasiga,sasigi,sasiga,saghani,sasigi,sasigi,sasiga,sasiga,saghani,sagavane,sagavane,sasiga,saghani,sagavane,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,'oto o' hani ia,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' hani ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,'oto o' i ia,o' fa' ak ia
8,0.06679396821673317,0.5195798391305154,0.45278587091378225,sasigi,saghani,sasiga,saghani,sasiga,saghani,sagavane,sasiga,sasigi,sasigi,sagavane,saghani,sasigi,sagavane,sasigi,sasiga,sasigi,sagavane,sasigi,sasiga,sagavane,sasigi,saghani,saghani,saghani,sagavane,sasigi,sasiga,sasiga,sasiga,sagavane,sagavane,sasiga,saghani,sagavane,sasiga,sasigi,sasiga,'oto o' i ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,'oto o' hani ia,'oto o' hani ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia
9,0.04439097496740241,1.0346012329101812,0.9902102579427788,sasigi,sasigi,saghani,sasiga,sasiga,sasiga,sasiga,saghani,sasigi,sasigi,sagavane,sasiga,sasiga,sasigi,sasiga,sagavane,sasigi,sasigi,sasiga,sagavane,sagavane,saghani,sasiga,sasigi,sasigi,sagavane,sagavane,sagavane,sasiga,sasigi,sasiga,saghani,saghani,saghani,sagavane,saghani,sagavane,saghani,o' fa' ak ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia,o' hani' ak ia,'oto o' i ia,o' hani' ak ia,o' fa' ak ia,o' fa' ak ia,o' fa' ak ia,o' hani' ak ia,o' fa' ak ia,'oto o' hani ia,o' fa' ak ia,o' hani' ak ia,o' hani' ak ia,o' hani' ak ia,'oto o' hani ia,o' fa' ak ia,o' hani' ak ia
