simulation_number,mutual_information,entropy,conditional_entropy,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,NA,NA,NA,tayi mughetu,katsi,nguyi,katsi,tayi mughetu,nguyi,nguyi,tayi,tayi,katsi,nguyi,tayi mughetu,tayi
1,NA,NA,NA,katsi,nguyi,tayi mughetu,tayi mughetu,nguyi,tayi mughetu,tayi,katsi,tayi,nguyi,katsi,tayi,nguyi
2,NA,NA,NA,katsi,nguyi,nguyi,katsi,nguyi,tayi mughetu,tayi,nguyi,tayi mughetu,tayi,tayi mughetu,tayi,katsi
3,NA,NA,NA,tayi,tayi,katsi,tayi mughetu,tayi mughetu,katsi,nguyi,nguyi,tayi mughetu,katsi,tayi,nguyi,nguyi
4,NA,NA,NA,tayi,nguyi,katsi,katsi,tayi mughetu,nguyi,tayi,nguyi,tayi mughetu,nguyi,tayi,tayi mughetu,katsi
5,NA,NA,NA,nguyi,tayi mughetu,katsi,nguyi,tayi,tayi,nguyi,katsi,katsi,tayi mughetu,nguyi,tayi,tayi mughetu
6,NA,NA,NA,tayi,nguyi,tayi mughetu,katsi,nguyi,katsi,katsi,nguyi,tayi,tayi mughetu,tayi mughetu,tayi,nguyi
7,NA,NA,NA,nguyi,nguyi,katsi,tayi mughetu,tayi,tayi mughetu,nguyi,tayi,katsi,nguyi,tayi,tayi mughetu,katsi
8,NA,NA,NA,nguyi,tayi mughetu,katsi,tayi mughetu,tayi,katsi,tayi,nguyi,nguyi,tayi,katsi,tayi mughetu,nguyi
9,NA,NA,NA,nguyi,katsi,tayi,nguyi,tayi mughetu,tayi mughetu,nguyi,tayi mughetu,katsi,tayi,nguyi,tayi,katsi
