simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mMBS,fMBS,mMeBS,mMyBS,mMBeS,mMByS,fMeBS,fMyBS,fMBeS,fMByS,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3617943994566255,1.644072795833167,1.2822783963765414,yumandanmi,yumandanmi,"gandan, gandanbiŋgan","gandan, gandanbiŋgan",djadji,yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,djadji,yumandanmi,"buyun, djadja, murin",yumandanmi,"buyun, djuwaŋ, gandanbiŋ","buyun, djuwaŋ, gandanbiŋ","buwaː, babu",ŋuweŋ,"dudu, maːm, dom",mamaː,mamaː,gami,ŋuweŋ,"dudu, maːm, dom",ŋuweŋ,babu,gami,babu,gami,"buwaː, babu",babu,mamaː,gami,mamaː,ŋuweŋ,babu
1,0.337301541234023,1.3784974217829835,1.0411958805489605,yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,"buyun, djadja, murin","buyun, djuwaŋ, gandanbiŋ","buyun, djuwaŋ, gandanbiŋ",djadji,yumandanmi,yumandanmi,yumandanmi,yumandanmi,djadji,"gandan, gandanbiŋgan",mamaː,babu,ŋuweŋ,mamaː,mamaː,"dudu, maːm, dom",gami,ŋuweŋ,ŋuweŋ,gami,babu,gami,babu,ŋuweŋ,"buwaː, babu",gami,babu,"dudu, maːm, dom","buwaː, babu",mamaː
2,0.3898164649996735,1.3343960468766842,0.9445795818770107,"buyun, djuwaŋ, gandanbiŋ",yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,djadji,"buyun, djuwaŋ, gandanbiŋ",yumandanmi,"buyun, djadja, murin",djadji,yumandanmi,yumandanmi,yumandanmi,ŋuweŋ,gami,mamaː,babu,babu,"buwaː, babu",babu,"buwaː, babu",mamaː,ŋuweŋ,ŋuweŋ,ŋuweŋ,gami,babu,"dudu, maːm, dom","dudu, maːm, dom",mamaː,mamaː,gami,gami
3,0.30287453547141663,1.505072122628115,1.2021975871566983,yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",djadji,yumandanmi,"buyun, djadja, murin",yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",djadji,"gandan, gandanbiŋgan",yumandanmi,mamaː,"buwaː, babu",gami,"dudu, maːm, dom",ŋuweŋ,babu,mamaː,ŋuweŋ,"buwaː, babu","dudu, maːm, dom",gami,gami,mamaː,babu,ŋuweŋ,babu,gami,ŋuweŋ,babu,mamaː
4,0.27566137961647974,1.350044689985175,1.0743833103686953,yumandanmi,yumandanmi,"gandan, gandanbiŋgan","gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ","buyun, djuwaŋ, gandanbiŋ","buyun, djadja, murin",djadji,yumandanmi,yumandanmi,djadji,mamaː,gami,"dudu, maːm, dom",gami,babu,"buwaː, babu",gami,ŋuweŋ,babu,ŋuweŋ,ŋuweŋ,ŋuweŋ,mamaː,babu,"buwaː, babu",mamaː,gami,mamaː,"dudu, maːm, dom",babu
5,0.17925641094235423,1.0139046609345654,0.8346482499922112,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",yumandanmi,"buyun, djadja, murin","gandan, gandanbiŋgan",djadji,yumandanmi,djadji,yumandanmi,yumandanmi,yumandanmi,yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",gami,gami,ŋuweŋ,gami,"dudu, maːm, dom",gami,babu,mamaː,"dudu, maːm, dom",ŋuweŋ,"buwaː, babu",mamaː,"buwaː, babu",babu,mamaː,ŋuweŋ,ŋuweŋ,mamaː,babu,babu
6,0.6719295430112765,1.2110440167801229,0.5391144737688464,yumandanmi,djadji,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ","buyun, djuwaŋ, gandanbiŋ",yumandanmi,yumandanmi,yumandanmi,"buyun, djadja, murin",yumandanmi,djadji,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,babu,ŋuweŋ,"buwaː, babu","buwaː, babu",babu,gami,"dudu, maːm, dom",ŋuweŋ,ŋuweŋ,ŋuweŋ,"dudu, maːm, dom",mamaː,mamaː,mamaː,gami,gami,babu,mamaː,babu,gami
7,0.31280011160412413,1.3532737176317284,1.0404736060276043,djadji,yumandanmi,yumandanmi,yumandanmi,djadji,"buyun, djuwaŋ, gandanbiŋ","buyun, djadja, murin",yumandanmi,yumandanmi,"gandan, gandanbiŋgan",yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",babu,ŋuweŋ,mamaː,babu,"dudu, maːm, dom",ŋuweŋ,gami,mamaː,mamaː,mamaː,ŋuweŋ,"dudu, maːm, dom",gami,babu,babu,gami,"buwaː, babu",gami,ŋuweŋ,"buwaː, babu"
8,0.23739509358285926,1.3005920075345052,1.063196913951646,"gandan, gandanbiŋgan",yumandanmi,"buyun, djadja, murin",yumandanmi,djadji,yumandanmi,"buyun, djuwaŋ, gandanbiŋ","gandan, gandanbiŋgan",djadji,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",yumandanmi,yumandanmi,yumandanmi,yumandanmi,yumandanmi,ŋuweŋ,"dudu, maːm, dom",ŋuweŋ,"buwaː, babu",mamaː,gami,mamaː,gami,gami,babu,babu,mamaː,babu,mamaː,"dudu, maːm, dom",babu,ŋuweŋ,ŋuweŋ,"buwaː, babu",gami
9,0.13765543226326837,1.1858203126288676,1.0481648803655992,"gandan, gandanbiŋgan",djadji,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ",yumandanmi,"gandan, gandanbiŋgan",yumandanmi,yumandanmi,yumandanmi,yumandanmi,"buyun, djuwaŋ, gandanbiŋ","buyun, djadja, murin",yumandanmi,yumandanmi,yumandanmi,djadji,babu,"dudu, maːm, dom",babu,gami,"dudu, maːm, dom",mamaː,mamaː,ŋuweŋ,babu,gami,mamaː,babu,"buwaː, babu",gami,"buwaː, babu",ŋuweŋ,mamaː,gami,ŋuweŋ,ŋuweŋ
