simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4101163182884091,1.3760552852604169,0.9659389669720078,tai ses,tet kpur,tai ses,tet ses,tai ses,"tai, tai kpur",tet kpur,tet ses,tai ses,tet kpur,"tai, tai kpur",tet ses,tet ses,tai ses,"tai, tai kpur",tet kpur,tai ses,tet ses,tet kpur,tai ses,"tai, tai kpur",tet ses,tet kpur,tet kpur,tet ses,"tai, tai kpur","tai, tai kpur",tet kpur,tet kpur,tet ses,tai ses,"tai, tai kpur",tet ses,tet kpur,"tai, tai kpur",tai ses,tai ses,tet ses,awo ses,iak ses,iak,apap ses,apap kpur,apap,apap ses,iak kpur,iak kpur,iak kpur,apap kpur,awo kpur,iak,awo ses,iak ses,awo kpur,iak ses,apap,iak ses,iak kpur
1,0.16353168475831126,1.3760552852604169,1.2125236005021056,tai ses,tet ses,tet kpur,tet kpur,tet ses,tet ses,tet ses,"tai, tai kpur",tet ses,tet kpur,tai ses,tai ses,tet kpur,tai ses,tet ses,tai ses,"tai, tai kpur",tet kpur,tai ses,"tai, tai kpur",tet ses,"tai, tai kpur",tet kpur,tai ses,tet ses,"tai, tai kpur","tai, tai kpur","tai, tai kpur",tai ses,tet kpur,tet kpur,tet kpur,tet ses,tai ses,tet kpur,tet ses,"tai, tai kpur",tai ses,iak ses,awo ses,awo kpur,iak,apap ses,iak kpur,iak kpur,iak ses,apap kpur,iak,apap kpur,iak kpur,apap,apap,apap ses,iak ses,awo kpur,awo ses,iak kpur,iak ses
2,0.4848660531119162,1.376055285260417,0.8911892321485009,tet ses,"tai, tai kpur","tai, tai kpur",tet ses,tet kpur,tet kpur,"tai, tai kpur",tet ses,"tai, tai kpur",tet ses,"tai, tai kpur",tai ses,tet kpur,tet ses,tet ses,"tai, tai kpur",tai ses,tet kpur,tet kpur,tai ses,tet kpur,tet ses,"tai, tai kpur",tai ses,tet kpur,tai ses,tai ses,tai ses,tet kpur,tet ses,tai ses,tet kpur,tet kpur,tai ses,tet ses,tet ses,"tai, tai kpur",tai ses,apap,apap kpur,iak ses,iak kpur,apap ses,iak ses,awo kpur,apap ses,awo ses,iak,apap,iak ses,iak kpur,iak ses,awo kpur,awo ses,iak kpur,apap kpur,iak kpur,iak
3,0.14341200076168004,1.034601232910181,0.891189232148501,tai ses,tet ses,tet ses,tet ses,tet ses,tet kpur,"tai, tai kpur",tet kpur,tai ses,tet kpur,"tai, tai kpur","tai, tai kpur",tai ses,tet kpur,tet ses,tai ses,"tai, tai kpur",tai ses,tai ses,tet kpur,"tai, tai kpur",tet ses,tet ses,tet ses,tet kpur,tet kpur,tet kpur,tai ses,tai ses,tet ses,"tai, tai kpur",tai ses,tet kpur,"tai, tai kpur",tet ses,tet kpur,"tai, tai kpur",tai ses,apap,iak kpur,iak kpur,apap ses,apap kpur,iak,iak ses,apap ses,iak ses,apap,iak ses,awo kpur,awo ses,iak ses,iak kpur,iak kpur,awo kpur,awo ses,iak,apap kpur
4,0.09922444498263283,0.5195798391305154,0.4203553941478826,"tai, tai kpur",tet kpur,tai ses,tai ses,tet ses,tet kpur,tet ses,tet ses,tai ses,tet kpur,tet kpur,"tai, tai kpur",tai ses,tet ses,"tai, tai kpur",tet ses,tet ses,tet kpur,tai ses,tai ses,"tai, tai kpur",tai ses,"tai, tai kpur",tai ses,tet ses,"tai, tai kpur","tai, tai kpur",tet kpur,tet kpur,tet kpur,tet kpur,tai ses,tet ses,"tai, tai kpur",tet ses,tai ses,tet ses,tet kpur,awo ses,iak kpur,iak kpur,iak kpur,iak,iak ses,awo ses,apap,iak ses,awo kpur,apap ses,iak kpur,iak ses,apap kpur,apap ses,apap kpur,apap,awo kpur,iak,iak ses
5,0.410116318288409,0.9799711820833054,0.5698548637948964,tet ses,tai ses,tai ses,"tai, tai kpur","tai, tai kpur","tai, tai kpur",tai ses,tet kpur,tet ses,tet kpur,tai ses,tet kpur,tet kpur,tet ses,tet ses,tai ses,tai ses,tet ses,tet kpur,tet ses,tet kpur,tai ses,tai ses,tet ses,tet kpur,tet ses,"tai, tai kpur",tet ses,tet kpur,tet ses,tet kpur,"tai, tai kpur",tai ses,"tai, tai kpur",tai ses,tet kpur,"tai, tai kpur","tai, tai kpur",awo ses,iak kpur,iak ses,iak ses,iak kpur,apap,apap ses,apap,iak kpur,awo kpur,iak ses,apap kpur,iak kpur,awo kpur,iak,awo ses,iak,apap ses,iak ses,apap kpur
6,0.0887819499348046,1.376055285260417,1.2872733353256125,tet ses,"tai, tai kpur",tet ses,tet ses,"tai, tai kpur",tet kpur,tet ses,tet ses,"tai, tai kpur",tet ses,tai ses,tai ses,tet ses,tai ses,tet kpur,"tai, tai kpur",tet ses,tet kpur,tet ses,tet kpur,tai ses,"tai, tai kpur",tet kpur,"tai, tai kpur",tai ses,tet ses,tai ses,tai ses,tai ses,tai ses,tet kpur,tet kpur,"tai, tai kpur",tai ses,tet kpur,"tai, tai kpur",tet kpur,tet kpur,apap ses,iak,awo kpur,apap,apap ses,iak kpur,awo ses,iak kpur,apap kpur,iak kpur,apap kpur,iak kpur,iak ses,apap,iak ses,iak,awo ses,awo kpur,iak ses,iak ses
7,0.014032215111297708,1.376055285260417,1.3620230701491194,tet kpur,tet kpur,tet ses,tet ses,tet kpur,tet kpur,tet ses,tet ses,tet kpur,tet ses,tet kpur,"tai, tai kpur",tai ses,tet ses,"tai, tai kpur","tai, tai kpur",tai ses,"tai, tai kpur",tai ses,tai ses,tai ses,tet ses,tet kpur,"tai, tai kpur",tet ses,tai ses,tet kpur,"tai, tai kpur",tai ses,"tai, tai kpur",tet kpur,tet ses,tai ses,tet kpur,"tai, tai kpur",tai ses,tai ses,tet ses,apap,awo kpur,awo ses,iak,iak kpur,apap kpur,iak ses,apap ses,iak kpur,apap kpur,apap,iak ses,awo ses,iak ses,apap ses,iak kpur,iak ses,iak,iak kpur,awo kpur
8,0.6829081047004719,1.376055285260417,0.6931471805599452,tet kpur,tai ses,"tai, tai kpur",tet ses,tet kpur,"tai, tai kpur",tai ses,tai ses,tai ses,tet ses,tet ses,"tai, tai kpur",tet kpur,tet kpur,"tai, tai kpur",tet kpur,tet kpur,tai ses,tet kpur,tet ses,tet ses,tet ses,tet ses,tai ses,tet ses,"tai, tai kpur",tet ses,"tai, tai kpur",tet kpur,tai ses,"tai, tai kpur",tai ses,"tai, tai kpur",tai ses,tet kpur,tet kpur,tet ses,tai ses,iak,awo ses,iak kpur,apap kpur,iak kpur,iak,apap ses,awo kpur,iak kpur,iak ses,iak kpur,awo ses,apap ses,awo kpur,apap kpur,iak ses,iak ses,apap,iak ses,apap
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tai ses,tet kpur,"tai, tai kpur",tai ses,tai ses,tai ses,tet ses,tet kpur,tai ses,tet kpur,tet ses,"tai, tai kpur",tet ses,tet kpur,tai ses,tet kpur,tet ses,"tai, tai kpur",tet kpur,tet kpur,tai ses,"tai, tai kpur",tai ses,"tai, tai kpur",tet ses,tet ses,tet kpur,tet kpur,tet ses,tai ses,"tai, tai kpur",tet ses,"tai, tai kpur","tai, tai kpur",tet ses,tai ses,tet ses,tet kpur,iak,iak ses,iak ses,iak,awo kpur,iak kpur,apap ses,awo ses,iak ses,iak kpur,iak kpur,iak kpur,awo kpur,apap,apap,awo ses,apap kpur,iak ses,apap kpur,apap ses
