simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.16353168475831126,0.9799711820833054,0.8164394973249941,kheni,hakini,khane,khane,hakini,khane,khane,àwane,antia,andia,andia,àwa,andia,àwane,àwa,arene,àwa,àwane,andia,àwa,àwane,antia,àwa,arene,àwa
1,0.0887819499348046,1.376055285260417,1.2872733353256125,khane,hakini,kheni,khane,hakini,khane,khane,àwa,arene,andia,àwane,andia,àwane,antia,àwane,andia,àwa,àwa,andia,àwa,antia,arene,àwane,àwa,àwa
2,0.3615737363468672,1.376055285260417,1.01448154891355,hakini,khane,khane,hakini,khane,kheni,khane,andia,arene,àwa,àwane,andia,àwane,andia,arene,àwa,andia,àwane,àwa,àwa,antia,àwane,antia,àwa,àwa
3,0.18078686817343337,1.034601232910181,0.8538143647367477,khane,kheni,hakini,khane,khane,hakini,khane,andia,àwa,àwa,antia,àwane,àwa,andia,antia,àwa,àwane,àwane,àwane,àwa,àwa,arene,andia,arene,andia
4,0.2868240015233601,1.3760552852604169,1.0892312837370568,khane,hakini,khane,kheni,khane,khane,hakini,àwa,andia,arene,àwane,àwa,andia,antia,arene,àwa,àwane,àwane,àwa,antia,àwa,andia,àwa,andia,àwane
5,0.36157373634686696,0.6829081047004717,0.32133436835360474,hakini,khane,khane,hakini,khane,kheni,khane,àwa,àwa,andia,andia,àwa,antia,àwa,àwa,àwane,àwane,arene,andia,àwa,arene,àwane,andia,àwane,antia
6,0.09922444498263283,0.5195798391305154,0.4203553941478826,khane,khane,hakini,kheni,khane,hakini,khane,àwa,arene,àwa,àwa,àwa,àwane,antia,arene,àwane,andia,àwane,antia,andia,àwa,andia,andia,àwa,àwane
7,0.16353168475831126,0.9799711820833054,0.8164394973249941,kheni,khane,khane,hakini,khane,hakini,khane,arene,andia,àwa,àwa,antia,andia,andia,àwane,àwane,àwa,àwa,àwa,àwane,àwa,àwane,andia,antia,arene
8,0.14341200076168026,1.0346012329101812,0.891189232148501,khane,hakini,hakini,khane,kheni,khane,khane,àwa,àwane,arene,àwa,andia,antia,àwane,andia,àwa,àwa,andia,andia,àwa,antia,àwane,arene,àwane,àwa
9,0.017247010260572293,0.5982695885852573,0.581022578324685,hakini,khane,kheni,khane,khane,hakini,khane,àwa,àwa,andia,àwa,àwa,arene,andia,andia,àwane,arene,àwane,àwa,àwane,antia,àwa,àwane,antia,andia
