simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,fZ,feZ,fyZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.13666070641142758,1.0608569471580214,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,mááwe,joomba,táta,joomba,iséénkázi,iséénkázi,mááwe,táta,joomba,iséénkázi,joomba,joomba,iséénkázi,iséénkázi,iséénkázi,joomba
1,0.13666070641142758,1.0608569471580214,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,iséénkázi,mááwe,joomba,iséénkázi,mááwe,iséénkázi,joomba,iséénkázi,joomba,joomba,joomba,joomba,táta,iséénkázi,táta,iséénkázi
2,0.13666070641142758,1.0608569471580214,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,táta,iséénkázi,mááwe,joomba,iséénkázi,mááwe,iséénkázi,iséénkázi,iséénkázi,joomba,joomba,joomba,joomba,táta,iséénkázi,joomba
3,0.13666070641142758,1.3689223607402192,1.2322616543287916,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,joomba,iséénkázi,iséénkázi,táta,joomba,mááwe,iséénkázi,iséénkázi,táta,mááwe,joomba,joomba,iséénkázi,joomba,joomba,iséénkázi
4,0.07083074943292744,0.9950269901795212,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,iséénkázi,joomba,joomba,mááwe,joomba,joomba,táta,iséénkázi,táta,iséénkázi,joomba,mááwe,joomba,iséénkázi,iséénkázi,iséénkázi
5,0.1366607064114278,1.3689223607402194,1.2322616543287916,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,mááwe,táta,iséénkázi,joomba,iséénkázi,iséénkázi,joomba,mááwe,joomba,iséénkázi,joomba,joomba,táta,iséénkázi,joomba,iséénkázi
6,0.07083074943292744,0.9950269901795212,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,joomba,iséénkázi,iséénkázi,joomba,táta,joomba,joomba,iséénkázi,joomba,mááwe,iséénkázi,joomba,táta,mááwe,iséénkázi,iséénkázi
7,0.13666070641142758,1.0608569471580214,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,mááwe,iséénkázi,joomba,iséénkázi,joomba,joomba,iséénkázi,iséénkázi,joomba,joomba,mááwe,táta,joomba,iséénkázi,táta,iséénkázi
8,0.13666070641142758,1.0608569471580214,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,táta,joomba,táta,iséénkázi,joomba,mááwe,joomba,iséénkázi,iséénkázi,joomba,iséénkázi,joomba,iséénkázi,iséénkázi,mááwe,joomba
9,0.07083074943292744,0.9950269901795212,0.9241962407465938,omu-hálá,omu-hálá,omu-hálá,omu-hálá,omu-hálá,táta,iséénkázi,iséénkázi,mááwe,joomba,joomba,joomba,joomba,táta,mááwe,joomba,iséénkázi,joomba,iséénkázi,iséénkázi,iséénkázi
