simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.14396506650685903,1.6952100340382144,1.5512449675313553,nissaye,,nishime,,,,,ninimoshe,nishime,nimisse,,nissaye,,,,,,,nishime,,nitawiss,,nitawiss,nishime,nitawiss,nimisse,ninimoshe,,nissaye,,,,nishime,nimisse,,,nissaye,,,,,,,nidangoshe,nishime,,nidangoshe,,,,,nishime,,,nitawiss,,,,,,nimisse,nimisse,,nitawiss,,,,,,,nishime,nitawiss,,,nishime,nishime,ninimoshe,,,,,,nishime,,,nissaye,,nishime,nimisse,ninimoshe,nisigoss,nimishome,nizhishe,nin dede,nisigoss,nimishome,nimama,nin dede,nisigoss,nimwishe,nimwishe,nimwishe,nimishome,nimwishe,nizhishe,nimishome,nimama,nimishome,nisigoss,nizhishe,nizhishe,nimwishe,nisigoss,nimwishe,nisigoss,nizhishe,nizhishe,nimishome
1,0.2158367522636344,1.726407274843761,1.5105705225801267,,,,,,nishime,,ninimoshe,,,,nitawiss,,nissaye,,,ninimoshe,,,,,nitawiss,,nissaye,nishime,,,,,,,nishime,,nimisse,nidangoshe,nissaye,,nissaye,,ninimoshe,,,,,,,nitawiss,nishime,nissaye,nimisse,nishime,nishime,,nishime,,,nishime,,nidangoshe,nishime,nishime,nitawiss,nimisse,,nimisse,nimisse,nitawiss,,,,nishime,,,,ninimoshe,nishime,,,,,,,nitawiss,,,nimisse,,,,,nin dede,nin dede,nizhishe,nimwishe,nimishome,nizhishe,nimwishe,nimwishe,nizhishe,nizhishe,nimama,nisigoss,nisigoss,nimishome,nimishome,nisigoss,nimishome,nimama,nimwishe,nimishome,nimwishe,nizhishe,nisigoss,nimwishe,nizhishe,nimishome,nisigoss,nisigoss
2,0.17600786195767126,1.6728534266191053,1.496845564661434,nishime,nishime,nissaye,,nitawiss,,,,,,nissaye,,nimisse,nidangoshe,nitawiss,,nitawiss,,,nitawiss,,,nissaye,,,,,,nishime,,,,nimisse,,nidangoshe,,nishime,,nimisse,,nimisse,ninimoshe,,nitawiss,,,nishime,,,nimisse,,,nishime,,nitawiss,,,nimisse,ninimoshe,,,,,,,nissaye,,ninimoshe,,,ninimoshe,,,,nishime,,,,,nishime,,nishime,,nishime,,nissaye,nishime,nishime,,,nisigoss,nisigoss,nizhishe,nisigoss,nimwishe,nimishome,nimwishe,nimishome,nin dede,nin dede,nisigoss,nizhishe,nisigoss,nimwishe,nizhishe,nimishome,nizhishe,nimama,nimwishe,nisigoss,nizhishe,nimishome,nimwishe,nimishome,nimama,nizhishe,nimwishe,nimishome
3,0.2074860590047911,1.6803459602415125,1.4728599012367214,,nishime,,,ninimoshe,nishime,nishime,nissaye,,nimisse,nissaye,nishime,,nimisse,,nimisse,nissaye,,,,,,,,nishime,,ninimoshe,,,,nitawiss,,,,,nishime,,,,,,,,,,,nimisse,,,,,ninimoshe,nimisse,nissaye,,,ninimoshe,,nishime,,,,nitawiss,nimisse,,nitawiss,nitawiss,,,nidangoshe,nishime,nishime,nishime,,,nidangoshe,nishime,nissaye,,,,nishime,,,nitawiss,,,,nitawiss,,nimishome,nin dede,nimwishe,nizhishe,nimwishe,nimishome,nisigoss,nizhishe,nimishome,nin dede,nisigoss,nimishome,nisigoss,nimishome,nimama,nizhishe,nimwishe,nimishome,nimwishe,nisigoss,nisigoss,nisigoss,nizhishe,nimwishe,nimama,nizhishe,nizhishe,nimwishe
4,0.18165686439319506,1.6609607007195542,1.479303836326359,,nitawiss,,nishime,nishime,,nitawiss,,,,,nishime,nishime,,,,,nitawiss,,,,nidangoshe,nishime,nishime,nishime,,,nimisse,,ninimoshe,,nissaye,nishime,nissaye,,,,nimisse,ninimoshe,nissaye,,nidangoshe,,,nitawiss,,,,nimisse,,nishime,,,,ninimoshe,,nitawiss,nissaye,,,nishime,,,,,,,,nimisse,ninimoshe,,,,,nissaye,nishime,,,,nitawiss,nimisse,,,,,,nimisse,,nishime,,nisigoss,nimwishe,nimishome,nimwishe,nizhishe,nimishome,nisigoss,nizhishe,nimwishe,nimishome,nimishome,nisigoss,nizhishe,nimwishe,nimwishe,nin dede,nizhishe,nisigoss,nimishome,nin dede,nimwishe,nimama,nizhishe,nimama,nimishome,nisigoss,nisigoss,nizhishe
5,0.1410740920001068,1.681884118705535,1.540810026705428,,,,,,nidangoshe,ninimoshe,,nimisse,,,,,,nitawiss,,nitawiss,nimisse,,,,nissaye,,,nitawiss,nitawiss,,nishime,,,ninimoshe,,,,nishime,ninimoshe,,nishime,nishime,nishime,,,nissaye,,nishime,,nissaye,nissaye,,,nimisse,,nimisse,,,,nishime,,,nishime,,,,ninimoshe,,,nishime,nimisse,nissaye,,nitawiss,,,nidangoshe,,,,,nishime,,,nishime,,,,nitawiss,nishime,,,nimisse,nizhishe,nin dede,nimishome,nimwishe,nisigoss,nisigoss,nizhishe,nimishome,nimwishe,nimishome,nimishome,nimishome,nizhishe,nimama,nimwishe,nimama,nimwishe,nisigoss,nisigoss,nisigoss,nimwishe,nisigoss,nimishome,nizhishe,nimwishe,nin dede,nizhishe,nizhishe
6,0.1317395926318361,1.6946096760535119,1.5628700834216758,nitawiss,,nidangoshe,nishime,nishime,nishime,,,,,,,,nitawiss,,nishime,,,,,ninimoshe,nitawiss,nimisse,ninimoshe,,,nissaye,,,nimisse,nishime,,,nissaye,nishime,,nishime,,nishime,nimisse,nitawiss,,,,,nishime,,,nishime,,,nitawiss,,,nitawiss,,,,,nimisse,,,,nidangoshe,nimisse,,ninimoshe,ninimoshe,,nishime,,nishime,nissaye,,,,,nissaye,,,,,,,,nissaye,,,,nimisse,nisigoss,nimwishe,nimama,nimwishe,nimwishe,nisigoss,nizhishe,nimama,nizhishe,nimwishe,nimwishe,nimishome,nimishome,nisigoss,nizhishe,nimishome,nin dede,nisigoss,nizhishe,nisigoss,nizhishe,nimishome,nimishome,nimwishe,nizhishe,nimishome,nin dede,nisigoss
7,0.23700229864230904,1.7097475594151992,1.4727452607728901,nishime,ninimoshe,,,nishime,nishime,nishime,,,,,,,,nishime,,nishime,nitawiss,,,nimisse,nimisse,nishime,,nitawiss,,,,ninimoshe,ninimoshe,,,nishime,nissaye,,nimisse,,,nissaye,,nitawiss,,,nishime,nimisse,,,,,,,,,,,nitawiss,,,,,nishime,nishime,nissaye,,ninimoshe,,nidangoshe,,nitawiss,,nitawiss,nishime,nissaye,,,nissaye,,,,,,,nimisse,,nimisse,,,,nidangoshe,,nin dede,nimishome,nizhishe,nimama,nisigoss,nizhishe,nimishome,nisigoss,nimishome,nin dede,nisigoss,nimwishe,nimwishe,nizhishe,nimwishe,nisigoss,nimishome,nimishome,nizhishe,nimwishe,nimwishe,nizhishe,nizhishe,nimishome,nisigoss,nimama,nisigoss,nimwishe
8,0.2082231743944818,1.6461522651195202,1.4379290907250384,nishime,,,nissaye,,nimisse,,,nitawiss,nissaye,,,,nimisse,,,,,,nishime,nimisse,nissaye,nishime,nissaye,ninimoshe,,,nishime,nimisse,,,,,ninimoshe,,ninimoshe,,,,ninimoshe,,,nishime,nissaye,,,,,nitawiss,nishime,,,,nishime,,,,,,nimisse,nitawiss,nishime,nishime,,,,,,,nidangoshe,nidangoshe,,,nishime,,nitawiss,,nitawiss,nishime,,,,,,,,,nitawiss,nishime,nimisse,nimishome,nizhishe,nisigoss,nimwishe,nimwishe,nimwishe,nisigoss,nimishome,nimishome,nimwishe,nimwishe,nizhishe,nimama,nin dede,nisigoss,nimwishe,nizhishe,nizhishe,nimishome,nisigoss,nizhishe,nimishome,nisigoss,nimishome,nin dede,nizhishe,nimama,nisigoss
9,0.16681419970671052,1.7282773197929555,1.561463120086245,,ninimoshe,nishime,,nissaye,,,nishime,,nimisse,,,,,nishime,,,nimisse,,,,,nitawiss,nidangoshe,,,ninimoshe,nishime,,nishime,,nimisse,,,nishime,,,nitawiss,,nissaye,,,nimisse,nitawiss,nishime,,,nitawiss,,,nitawiss,,,,,,,,nissaye,,,nissaye,,nishime,nishime,nidangoshe,ninimoshe,,,,nishime,,,nimisse,,,,,,nissaye,nitawiss,,nishime,ninimoshe,nishime,,nimisse,,,,nimwishe,nisigoss,nisigoss,nin dede,nimishome,nimishome,nimwishe,nizhishe,nimishome,nimishome,nimama,nimwishe,nimishome,nisigoss,nimwishe,nisigoss,nin dede,nimishome,nimama,nizhishe,nizhishe,nimwishe,nizhishe,nizhishe,nizhishe,nimwishe,nisigoss,nisigoss
