simulation_number,mutual_information,entropy,conditional_entropy,mB,fB,mZ,fZ,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.07791725220497225,1.467647209649871,1.3897299574448987,serkku,serkku,sisko,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,sisko,serkku,täti,eno,täti,setä,isä,eno,setä,setä,eno,setä,äiti,täti,eno,täti,täti,äiti,täti,isä,täti,täti
1,0.040996425959038296,1.4465193662252795,1.4055229402662412,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,veli,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,sisko,serkku,serkku,serkku,serkku,eno,täti,täti,isä,täti,täti,setä,täti,täti,täti,setä,setä,äiti,eno,täti,eno,setä,äiti,eno,isä
2,0.11240377848790839,1.4690315735974266,1.3566277951095183,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,sisko,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,veli,sisko,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,setä,täti,täti,äiti,eno,äiti,isä,setä,täti,isä,eno,setä,setä,täti,eno,täti,täti,täti,täti,eno
3,0.18645136722523503,1.423764926891692,1.237313559666457,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,veli,serkku,serkku,sisko,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,veli,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,veli,täti,täti,täti,täti,setä,setä,täti,täti,eno,isä,eno,äiti,eno,täti,täti,eno,isä,äiti,setä,setä
4,0.02977006227670209,1.467647209649871,1.4378771473731689,sisko,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,veli,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,täti,eno,täti,setä,äiti,setä,äiti,täti,täti,setä,täti,setä,täti,täti,isä,eno,isä,eno,eno,täti
5,0.05780467542416701,1.4586527362752004,1.4008480608510334,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,veli,serkku,serkku,serkku,serkku,sisko,serkku,serkku,sisko,sisko,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,täti,täti,eno,isä,isä,äiti,täti,eno,setä,setä,eno,täti,täti,täti,setä,setä,äiti,täti,täti,eno
6,0.06833073607243123,1.4777187115194879,1.4093879754470566,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,veli,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,täti,setä,äiti,täti,isä,eno,setä,eno,isä,täti,setä,täti,täti,täti,täti,eno,eno,äiti,täti,setä
7,0.18563019673479975,1.4777187115194879,1.2920885147846881,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,veli,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,veli,serkku,serkku,sisko,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,veli,veli,serkku,täti,eno,täti,äiti,täti,täti,eno,setä,eno,setä,setä,setä,isä,täti,täti,eno,isä,äiti,täti,täti
8,0.0985229932423406,1.5329954164354878,1.4344724231931472,veli,serkku,serkku,veli,serkku,sisko,serkku,veli,serkku,veli,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,eno,äiti,isä,setä,setä,täti,täti,täti,täti,eno,täti,setä,eno,täti,täti,täti,äiti,isä,setä,eno
9,0.08314724867727241,1.423764926891692,1.3406176782144197,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,sisko,serkku,serkku,serkku,veli,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,sisko,veli,serkku,serkku,serkku,serkku,serkku,sisko,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,serkku,veli,serkku,serkku,serkku,veli,setä,täti,täti,täti,eno,isä,täti,täti,äiti,täti,eno,äiti,täti,setä,eno,setä,isä,setä,täti,eno
