simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mB,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mM,fM
0,0.14555158301618454,1.0296530140645737,0.8841014310483891,waburdu,buwadha,buwadha,babaya,dhaguny,dhaguny,babaya,babaya,waburdu,papaya,babaya,papaya,yapurtu,yapu,yapurtu,yanga,yanga,yapu,gadhiya,yapu,yapurtu,yabu,gadhiya,gadhiya,yapu,yapurtu,yanga,yanga,yapu,gadhiya,yanga,gadhiya,gadhiya,yapu,yanga,yapurtu,yapurtu,yanga,yabu,yanga
1,0.209955025783225,1.0296530140645737,0.8196979882813487,babaya,babaya,dhaguny,dhaguny,waburdu,buwadha,papaya,babaya,buwadha,waburdu,papaya,babaya,gadhiya,yapurtu,yapu,yanga,yanga,yabu,yapu,gadhiya,yapurtu,yabu,gadhiya,yapurtu,yapurtu,yapu,yanga,yanga,yanga,yanga,yapurtu,gadhiya,yapurtu,yanga,gadhiya,yapu,yapu,gadhiya,yapu,yanga
2,0.19787639739263918,1.0296530140645737,0.8317766166719345,dhaguny,babaya,babaya,dhaguny,waburdu,papaya,papaya,buwadha,waburdu,babaya,buwadha,babaya,yabu,gadhiya,yapurtu,yanga,yapurtu,yapurtu,gadhiya,yanga,yanga,yapu,yapu,gadhiya,yapurtu,yanga,yapu,yanga,gadhiya,yabu,yanga,yapu,gadhiya,yapu,yanga,yanga,yapu,gadhiya,yapurtu,yapurtu
3,0.3526004839175112,0.9502705392332347,0.5976700553157235,buwadha,babaya,dhaguny,babaya,dhaguny,papaya,papaya,waburdu,waburdu,babaya,buwadha,babaya,gadhiya,gadhiya,yabu,gadhiya,yapurtu,yanga,yapu,yapu,yapurtu,yapu,yanga,yanga,yapurtu,yapu,yanga,yapurtu,gadhiya,yapu,yabu,yapurtu,yanga,yapurtu,yapu,gadhiya,yanga,yanga,gadhiya,yanga
4,0.17863613710860737,1.366158847569202,1.1875227104605945,buwadha,babaya,waburdu,dhaguny,babaya,babaya,waburdu,babaya,buwadha,dhaguny,papaya,papaya,yapu,yanga,yapurtu,yanga,gadhiya,yanga,yapu,yapu,yapu,gadhiya,gadhiya,yapurtu,yapu,yapurtu,yapurtu,yapurtu,gadhiya,yanga,yanga,yabu,yanga,yanga,yapurtu,gadhiya,yapu,gadhiya,yabu,yanga
5,0.364679112308097,1.0888999753452238,0.7242208630371267,babaya,waburdu,babaya,buwadha,babaya,papaya,dhaguny,buwadha,babaya,papaya,dhaguny,waburdu,yapurtu,yabu,yapurtu,gadhiya,gadhiya,yanga,yapu,yapu,yanga,yanga,yanga,yapurtu,gadhiya,gadhiya,yapurtu,yapurtu,yapu,yanga,yapurtu,yabu,gadhiya,yapu,yapu,yanga,yanga,yapu,yanga,gadhiya
6,0.11849392256130031,0.9502705392332347,0.8317766166719344,buwadha,babaya,papaya,dhaguny,babaya,buwadha,papaya,babaya,dhaguny,babaya,waburdu,waburdu,gadhiya,yapurtu,yapu,yapu,gadhiya,gadhiya,yanga,yanga,yapu,yabu,gadhiya,gadhiya,yabu,yapurtu,yapu,yapu,yapurtu,yanga,yanga,yapurtu,yanga,yapu,yapurtu,yanga,yanga,yapurtu,gadhiya,yanga
7,0.2114052276200814,1.0296530140645737,0.8182477864444923,babaya,waburdu,buwadha,dhaguny,buwadha,babaya,waburdu,babaya,papaya,papaya,dhaguny,babaya,yanga,yapurtu,yapu,yabu,gadhiya,yapu,yapurtu,yanga,yapu,yapurtu,yapurtu,yapurtu,yapu,gadhiya,yapu,yanga,yapu,gadhiya,gadhiya,yanga,yanga,yanga,gadhiya,yanga,yapurtu,gadhiya,yabu,yanga
8,0.24795085516460175,0.6730116670092565,0.4250608118446548,dhaguny,buwadha,waburdu,babaya,buwadha,papaya,babaya,waburdu,dhaguny,papaya,babaya,babaya,yapu,yapurtu,yanga,yabu,gadhiya,yapu,yanga,gadhiya,gadhiya,yapu,yabu,yanga,yanga,gadhiya,yanga,yapurtu,yapurtu,yapu,yapu,yanga,yanga,yapurtu,yapurtu,gadhiya,yapurtu,yanga,yapu,gadhiya
9,0.2841810191281736,1.0296530140645737,0.7454719949364,buwadha,waburdu,dhaguny,babaya,dhaguny,babaya,papaya,papaya,buwadha,babaya,babaya,waburdu,yanga,yapurtu,yapu,yanga,yanga,yabu,yapurtu,yapu,gadhiya,yapu,yapurtu,yapu,yanga,yapurtu,yanga,yapu,gadhiya,gadhiya,yanga,yabu,yanga,gadhiya,yapurtu,yanga,yapu,yapurtu,gadhiya,gadhiya
