simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.10603713334992693,1.0346012329101812,0.9285640995602543,kupaka,pilya,kupaka,pilya,withiwa,kupaka,kaku,kupaka,withiwa,kupaka,kupaka,kupaka,withiwa,kupaka,nhuthi,withiwa,pilya,kaku,withiwa,kaku,pilya,nhuthi,kaku,kupaka,kaku,kupaka,pilya,withiwa,pilya,withiwa,kaku,kupaka,pilya,nhuthi,nhuthi,kupaka,pilya,withiwa,ngawili,lhuka,lhuka,kakaka,apityi,kakaka,apityi,kakaka,ngawili,ngawili,kakaka,ngawili
1,0.20505815914420455,1.034601232910181,0.8295430737659765,withiwa,pilya,withiwa,kaku,withiwa,nhuthi,pilya,kupaka,withiwa,kupaka,withiwa,pilya,pilya,nhuthi,withiwa,pilya,nhuthi,kupaka,kaku,kupaka,kupaka,kaku,kupaka,kupaka,kupaka,withiwa,pilya,kaku,kupaka,kupaka,nhuthi,pilya,withiwa,kupaka,kupaka,kaku,kaku,pilya,ngawili,kakaka,apityi,kakaka,kakaka,lhuka,ngawili,lhuka,kakaka,ngawili,apityi,ngawili
2,0.2120742666998534,1.0789922078775833,0.8669179411777299,withiwa,kaku,withiwa,kaku,nhuthi,pilya,kaku,pilya,pilya,kupaka,kupaka,kupaka,kupaka,kaku,pilya,nhuthi,withiwa,withiwa,pilya,kupaka,kupaka,pilya,kupaka,kupaka,kaku,pilya,pilya,kupaka,kupaka,kaku,nhuthi,withiwa,withiwa,kupaka,kupaka,withiwa,withiwa,nhuthi,ngawili,ngawili,kakaka,lhuka,kakaka,kakaka,ngawili,apityi,ngawili,apityi,kakaka,lhuka
3,0.6829081047004719,1.376055285260417,0.6931471805599452,kaku,kupaka,withiwa,nhuthi,kaku,kupaka,kupaka,nhuthi,kupaka,pilya,nhuthi,pilya,kupaka,withiwa,kaku,withiwa,kupaka,pilya,pilya,kaku,pilya,kaku,kupaka,withiwa,kupaka,kupaka,nhuthi,kaku,withiwa,kupaka,kupaka,withiwa,pilya,pilya,withiwa,pilya,kupaka,withiwa,ngawili,apityi,lhuka,kakaka,ngawili,ngawili,kakaka,kakaka,apityi,kakaka,lhuka,ngawili
4,0.1608706033651573,0.5195798391305154,0.3587092357653581,nhuthi,pilya,withiwa,kaku,pilya,kupaka,withiwa,kaku,pilya,withiwa,withiwa,pilya,kupaka,kupaka,kupaka,pilya,nhuthi,kupaka,kaku,kupaka,withiwa,nhuthi,kupaka,withiwa,withiwa,pilya,kupaka,withiwa,kaku,kaku,pilya,kupaka,kupaka,kupaka,pilya,nhuthi,kupaka,kaku,ngawili,kakaka,kakaka,kakaka,apityi,ngawili,ngawili,kakaka,apityi,ngawili,lhuka,lhuka
5,0.1060371333499266,1.034601232910181,0.9285640995602544,kupaka,withiwa,nhuthi,nhuthi,kupaka,pilya,kupaka,withiwa,pilya,kupaka,pilya,kaku,kupaka,pilya,pilya,kupaka,nhuthi,withiwa,withiwa,withiwa,kupaka,kupaka,withiwa,kupaka,pilya,pilya,kupaka,withiwa,kupaka,kaku,kaku,pilya,kaku,nhuthi,kupaka,kaku,withiwa,kaku,ngawili,kakaka,kakaka,apityi,kakaka,lhuka,ngawili,apityi,ngawili,kakaka,ngawili,lhuka
6,0.1807868681734337,1.0346012329101812,0.8538143647367475,kaku,kaku,nhuthi,kaku,kaku,kupaka,nhuthi,withiwa,withiwa,pilya,pilya,withiwa,withiwa,withiwa,kaku,pilya,kupaka,nhuthi,pilya,kupaka,pilya,kaku,pilya,pilya,kupaka,kupaka,kupaka,withiwa,kupaka,kupaka,kupaka,withiwa,kupaka,kupaka,nhuthi,kupaka,withiwa,pilya,kakaka,ngawili,ngawili,lhuka,apityi,ngawili,kakaka,kakaka,kakaka,apityi,lhuka,ngawili
7,0.20505815914420478,1.0346012329101812,0.8295430737659765,pilya,nhuthi,withiwa,kupaka,pilya,pilya,kaku,kaku,kupaka,kupaka,withiwa,pilya,withiwa,kaku,nhuthi,kupaka,pilya,withiwa,withiwa,withiwa,kaku,kupaka,pilya,kupaka,kupaka,pilya,nhuthi,pilya,kupaka,kupaka,kaku,withiwa,kupaka,kupaka,kupaka,withiwa,kaku,nhuthi,ngawili,lhuka,lhuka,apityi,apityi,ngawili,kakaka,ngawili,kakaka,ngawili,kakaka,kakaka
8,0.14053932702562122,0.5982695885852573,0.45773026155963603,withiwa,kaku,nhuthi,withiwa,pilya,pilya,kupaka,kaku,withiwa,nhuthi,kupaka,pilya,kupaka,kupaka,kaku,nhuthi,withiwa,pilya,kaku,kupaka,kupaka,kupaka,kupaka,kupaka,kupaka,withiwa,nhuthi,kaku,kaku,withiwa,kupaka,pilya,kupaka,pilya,withiwa,pilya,withiwa,pilya,ngawili,ngawili,kakaka,ngawili,apityi,apityi,kakaka,lhuka,kakaka,ngawili,kakaka,lhuka
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,pilya,pilya,nhuthi,kaku,kaku,kupaka,pilya,kaku,withiwa,pilya,kupaka,nhuthi,kaku,kupaka,kaku,kupaka,kupaka,withiwa,withiwa,kaku,pilya,kupaka,withiwa,withiwa,nhuthi,kupaka,kupaka,withiwa,pilya,pilya,withiwa,kupaka,kupaka,pilya,kupaka,withiwa,kupaka,nhuthi,apityi,ngawili,ngawili,apityi,kakaka,kakaka,kakaka,kakaka,lhuka,ngawili,ngawili,lhuka
