simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFZ,mMB,mFeB,mFyB,mFeZ,mMeZ,mMyZ,fF,fM,fFZ,fMB,fFeB,fFyB,fFeZ,fMeZ,fMyZ,mFyZ,mMeB,mMyB,fFyZ,fMeB,fMyB
0,0.6578922352770706,1.3801087571572686,0.7222165218801979,cettan,oppol,anujan ambi,anujan ambi,oppol,āngal,aniyatti,0,pengaḷ,cettan,aniyatti,cittippan,peracci,ammāman-ammavaṉ,ammāman-ammavaṉ,appaṉ,peracci,ammāman-ammavaṉ,ammai,ammāman-ammavaṉ,accammā,accan pengal,accan pengal,accammā,cittippan,perappan,appaṉ,ammai,ammāman-ammavaṉ,cittacci,accan pengal,ammāman-ammavaṉ,accan pengal,cittacci,perappan
1,0.7349085886726203,1.3801087571572688,0.6452001684846485,aniyatti,anujan ambi,āngal,aniyatti,anujan ambi,oppol,oppol,cettan,pengaḷ,cettan,0,perappan,accan pengal,peracci,cittippan,ammāman-ammavaṉ,ammai,cittacci,accammā,ammāman-ammavaṉ,ammāman-ammavaṉ,ammai,cittippan,appaṉ,cittacci,accan pengal,perappan,appaṉ,accan pengal,ammāman-ammavaṉ,accammā,accan pengal,ammāman-ammavaṉ,peracci,ammāman-ammavaṉ
2,0.5808758818815212,0.9950269901795212,0.41415110829800006,cettan,pengaḷ,anujan ambi,0,anujan ambi,āngal,oppol,cettan,aniyatti,aniyatti,oppol,accan pengal,accan pengal,ammāman-ammavaṉ,accammā,cittippan,perappan,appaṉ,accan pengal,ammāman-ammavaṉ,cittippan,peracci,accan pengal,cittacci,ammai,perappan,ammāman-ammavaṉ,peracci,appaṉ,ammāman-ammavaṉ,ammāman-ammavaṉ,accammā,ammai,cittacci,ammāman-ammavaṉ
3,0.22164078547545657,0.5297061990576545,0.3080654135821979,oppol,aniyatti,pengaḷ,oppol,aniyatti,anujan ambi,cettan,anujan ambi,cettan,āngal,0,ammāman-ammavaṉ,ammāman-ammavaṉ,ammāman-ammavaṉ,ammai,accan pengal,accammā,accan pengal,accan pengal,appaṉ,ammāman-ammavaṉ,perappan,ammāman-ammavaṉ,cittacci,appaṉ,perappan,accan pengal,ammāman-ammavaṉ,cittippan,peracci,peracci,accammā,ammai,cittippan,cittacci
4,0.42049714169421104,1.0366279688586069,0.6161308271643958,pengaḷ,cettan,aniyatti,aniyatti,cettan,anujan ambi,0,āngal,oppol,oppol,anujan ambi,cittippan,ammāman-ammavaṉ,perappan,appaṉ,accan pengal,perappan,ammai,peracci,ammāman-ammavaṉ,ammāman-ammavaṉ,accammā,cittippan,accammā,ammāman-ammavaṉ,accan pengal,ammai,ammāman-ammavaṉ,cittacci,accan pengal,accan pengal,cittacci,peracci,ammāman-ammavaṉ,appaṉ
5,0.5329288698062244,0.9950269901795212,0.46209812037329684,0,aniyatti,anujan ambi,oppol,anujan ambi,oppol,āngal,cettan,aniyatti,pengaḷ,cettan,accan pengal,accan pengal,peracci,accammā,cittippan,ammāman-ammavaṉ,ammāman-ammavaṉ,ammāman-ammavaṉ,cittacci,ammāman-ammavaṉ,cittacci,appaṉ,ammai,accan pengal,perappan,peracci,ammāman-ammavaṉ,accammā,appaṉ,cittippan,ammāman-ammavaṉ,accan pengal,ammai,perappan
6,0.6869615765973234,0.9950269901795212,0.3080654135821979,pengaḷ,oppol,aniyatti,aniyatti,oppol,anujan ambi,cettan,cettan,0,āngal,anujan ambi,cittippan,cittippan,cittacci,peracci,perappan,cittacci,accan pengal,accammā,ammāman-ammavaṉ,peracci,accan pengal,ammāman-ammavaṉ,ammāman-ammavaṉ,accan pengal,ammāman-ammavaṉ,appaṉ,ammāman-ammavaṉ,appaṉ,ammai,ammai,ammāman-ammavaṉ,perappan,accammā,accan pengal
7,0.4559125164106751,1.3801087571572688,0.9241962407465937,pengaḷ,anujan ambi,cettan,0,oppol,anujan ambi,āngal,oppol,aniyatti,aniyatti,cettan,perappan,accan pengal,accan pengal,accan pengal,accan pengal,accammā,cittippan,appaṉ,ammāman-ammavaṉ,cittacci,appaṉ,ammāman-ammavaṉ,accammā,ammai,peracci,ammāman-ammavaṉ,peracci,ammāman-ammavaṉ,cittacci,cittippan,perappan,ammāman-ammavaṉ,ammai,ammāman-ammavaṉ
8,0.31441144697840895,1.0366279688586069,0.7222165218801979,aniyatti,anujan ambi,oppol,cettan,cettan,0,oppol,āngal,anujan ambi,aniyatti,pengaḷ,cittacci,ammāman-ammavaṉ,perappan,accan pengal,ammāman-ammavaṉ,accammā,ammāman-ammavaṉ,cittippan,cittippan,ammāman-ammavaṉ,ammai,cittacci,perappan,appaṉ,accan pengal,peracci,accan pengal,ammāman-ammavaṉ,ammai,ammāman-ammavaṉ,accammā,peracci,appaṉ,accan pengal
9,0.5808758818815214,1.3801087571572688,0.7992328752757474,oppol,0,aniyatti,oppol,anujan ambi,anujan ambi,āngal,cettan,aniyatti,pengaḷ,cettan,ammai,accan pengal,ammāman-ammavaṉ,accan pengal,cittacci,ammāman-ammavaṉ,cittippan,ammāman-ammavaṉ,ammai,ammāman-ammavaṉ,perappan,accammā,cittacci,accammā,ammāman-ammavaṉ,peracci,peracci,perappan,accan pengal,ammāman-ammavaṉ,cittippan,appaṉ,appaṉ,accan pengal
