simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.014032215111297708,1.376055285260417,1.3620230701491194,kitrum,kitrum,ini,ini,ini,kitrum,ini,kitrum,ifü,ifü,ini,kitrum,kitrum,kitrum,kitrum,ima / imong,kitrum,ifü,kitrum,ima / imong,kitrum,kitrum,kitrum,ifü,kitrum,ima / imong,kitrum,kitrum,ini,kitrum,kitrum,kitrum,kitrum,ini,kitrum,ini,kitrum,kitrum,au,itpah azitpüh / iya azitpüh,ikü azaba,itpa / iya,au aziba,itpah azitpüh / iya azitpüh,au aziba,itpa / iya,ikü aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,ikü azaba,ikü aziba
1,0.044390974967402186,1.034601232910181,0.9902102579427788,kitrum,kitrum,ini,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ima / imong,ini,ifü,kitrum,ifü,ifü,ini,kitrum,ifü,kitrum,kitrum,kitrum,kitrum,kitrum,ini,kitrum,ini,ima / imong,kitrum,kitrum,ini,kitrum,ini,kitrum,kitrum,ini,kitrum,ima / imong,kitrum,au,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,ikü azaba,ikü aziba,ikü aziba,ikü azaba,itpah azitpüh / iya azitpüh,itpa / iya,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,au aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,au aziba,itpa / iya
2,0.41011631828840933,1.376055285260417,0.9659389669720078,ima / imong,kitrum,ini,kitrum,kitrum,ifü,ini,ini,kitrum,ini,kitrum,ima / imong,ima / imong,kitrum,kitrum,ifü,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ifü,ini,ini,kitrum,kitrum,kitrum,ini,ini,ifü,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ikü aziba,itpah azitpüh / iya azitpüh,itpa / iya,au aziba,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,ikü aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au aziba,au azaba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,ikü azaba,ikü azaba,au,itpa / iya
3,0.08878194993480437,0.6829081047004717,0.5941261547656673,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ini,kitrum,ini,kitrum,kitrum,ini,kitrum,ima / imong,kitrum,ifü,ini,ini,ini,kitrum,kitrum,ima / imong,ini,ifü,kitrum,kitrum,ifü,kitrum,kitrum,ifü,kitrum,kitrum,kitrum,kitrum,kitrum,ini,ima / imong,kitrum,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,ikü aziba,ikü aziba,au,au aziba,au aziba,au azaba,ikü azaba,itpa / iya,au,au azaba,itpah azitpüh / iya azitpüh,ikü azaba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpa / iya,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh
4,0.3254778021731948,1.376055285260417,1.0505774830872223,ini,kitrum,kitrum,kitrum,ifü,kitrum,kitrum,kitrum,ini,ini,kitrum,kitrum,kitrum,ima / imong,kitrum,ini,ini,ifü,kitrum,kitrum,kitrum,kitrum,ini,ima / imong,kitrum,ima / imong,ini,kitrum,kitrum,kitrum,ifü,kitrum,ini,kitrum,ifü,kitrum,kitrum,kitrum,itpah azitpüh / iya azitpüh,ikü aziba,itpa / iya,au aziba,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpa / iya,au aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au,au,itpah azitpüh / iya azitpüh,au azaba,ikü azaba,ikü aziba,ikü azaba
5,0.0788931686430967,0.5982695885852573,0.5193764199421605,ifü,kitrum,kitrum,kitrum,kitrum,ini,ini,kitrum,ifü,ini,ini,ifü,kitrum,ini,ini,kitrum,kitrum,kitrum,kitrum,ini,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ini,kitrum,kitrum,ima / imong,ima / imong,ima / imong,kitrum,kitrum,ifü,kitrum,kitrum,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,ikü aziba,ikü aziba,au azaba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpa / iya,ikü azaba,ikü azaba,au azaba,itpa / iya,au aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au aziba,au
6,0.13732453187634652,1.376055285260417,1.2387307533840706,kitrum,kitrum,kitrum,ini,ini,ifü,ini,kitrum,kitrum,kitrum,ifü,ima / imong,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ima / imong,ifü,kitrum,kitrum,kitrum,kitrum,ini,ini,ifü,kitrum,ima / imong,kitrum,kitrum,kitrum,kitrum,ini,ini,ini,kitrum,kitrum,au azaba,ikü azaba,ikü aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au aziba,au aziba,ikü azaba,itpah azitpüh / iya azitpüh,itpa / iya,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,ikü aziba,itpa / iya,au azaba,au,au,itpah azitpüh / iya azitpüh
7,0.1373245318763464,1.0789922078775833,0.9416676760012369,kitrum,kitrum,kitrum,ini,kitrum,kitrum,kitrum,ini,kitrum,kitrum,ini,kitrum,kitrum,ini,kitrum,kitrum,kitrum,kitrum,kitrum,ifü,ini,ifü,ifü,kitrum,kitrum,ini,ifü,ima / imong,kitrum,kitrum,ima / imong,kitrum,kitrum,ini,ini,kitrum,ima / imong,kitrum,au azaba,au azaba,itpah azitpüh / iya azitpüh,au aziba,itpah azitpüh / iya azitpüh,itpa / iya,itpah azitpüh / iya azitpüh,au,au aziba,ikü aziba,itpah azitpüh / iya azitpüh,ikü azaba,itpa / iya,ikü aziba,ikü azaba,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh
8,0.20218548540814574,1.0789922078775833,0.8768067224694376,ifü,kitrum,ini,kitrum,kitrum,kitrum,kitrum,ifü,kitrum,kitrum,kitrum,kitrum,ini,kitrum,kitrum,kitrum,kitrum,ifü,ini,kitrum,kitrum,kitrum,kitrum,kitrum,ini,kitrum,kitrum,kitrum,ima / imong,ima / imong,ini,kitrum,ini,ima / imong,ifü,kitrum,ini,ini,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,ikü azaba,au aziba,au azaba,itpah azitpüh / iya azitpüh,ikü aziba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,ikü azaba,au aziba,au,au azaba,ikü aziba,itpa / iya,itpa / iya
9,0.14341200076168004,1.034601232910181,0.891189232148501,kitrum,ifü,kitrum,kitrum,ima / imong,ini,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,kitrum,ima / imong,kitrum,ini,ini,ini,ini,kitrum,ifü,kitrum,ini,kitrum,kitrum,kitrum,kitrum,kitrum,ima / imong,ini,kitrum,ifü,ifü,ini,au,ikü aziba,ikü azaba,ikü aziba,itpah azitpüh / iya azitpüh,ikü azaba,itpa / iya,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,itpa / iya,au,au aziba,itpah azitpüh / iya azitpüh,au azaba,itpah azitpüh / iya azitpüh,itpah azitpüh / iya azitpüh,au aziba
