simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFBD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,fFBD,fFBS,fFeBS,fFyBS,fFeBD,fFBeS,fFByS,fFBeD,fFByD,mMB,mMeB,mMyB,fMB,fMeB,fMyB,mF,mM,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.16904724797401371,1.3683855490829082,1.1993383011088945,broðor,suhterga,geswiria,suhterga,suhterga,broðor,sweostor,suhterga,sweostor,suhterga,suhterga,broðor,suhterga,geswiria,geswiria,suhterga,geswiria,sweostor,suhterga,geswiria,geswiria,geswiria,broðor,suhterga,suhterga,broðor,geswiria,suhterga,geswiria,suhterga,geswiria,suhterga,sweostor,sweostor,geswiria,suhterga,geswiria,sweostor,geswiria,suhterga,geswiria,suhterga,geswiria,suhterga,suhterga,broðor,faθu,mōdrige,ēam,faθu,ēam,fædera,mōdrige,mōdrige,mōdrige,faθu,faθu,ēam,mōdrige,fæder,mōdrige,faθu,ēam,fæder,fædera,ēam,mōdor,fædera,faθu,fædera,mōdor,fædera,fædera,ēam
1,0.2034352749792061,1.459435415588496,1.25600014060929,geswiria,suhterga,suhterga,broðor,suhterga,suhterga,geswiria,suhterga,geswiria,suhterga,broðor,suhterga,broðor,geswiria,suhterga,geswiria,broðor,suhterga,sweostor,geswiria,geswiria,sweostor,suhterga,suhterga,geswiria,geswiria,suhterga,sweostor,geswiria,geswiria,sweostor,suhterga,geswiria,suhterga,geswiria,broðor,suhterga,geswiria,suhterga,sweostor,geswiria,broðor,suhterga,sweostor,suhterga,suhterga,ēam,ēam,mōdrige,fæder,faθu,mōdrige,ēam,fædera,fædera,mōdrige,mōdrige,ēam,fædera,ēam,ēam,faθu,faθu,mōdor,fæder,mōdrige,faθu,faθu,fædera,fædera,fædera,mōdrige,mōdor,faθu
2,0.17960938926047465,1.4495639646725853,1.2699545754121107,broðor,sweostor,suhterga,sweostor,broðor,sweostor,suhterga,suhterga,suhterga,geswiria,sweostor,geswiria,geswiria,sweostor,suhterga,broðor,suhterga,geswiria,suhterga,broðor,suhterga,geswiria,geswiria,geswiria,geswiria,suhterga,broðor,broðor,suhterga,suhterga,suhterga,suhterga,suhterga,suhterga,suhterga,sweostor,geswiria,suhterga,geswiria,suhterga,suhterga,geswiria,geswiria,geswiria,geswiria,geswiria,ēam,faθu,ēam,faθu,mōdrige,fæder,fædera,mōdrige,fædera,mōdor,mōdrige,mōdrige,mōdrige,ēam,ēam,fædera,ēam,fædera,faθu,ēam,fædera,fæder,faθu,faθu,mōdrige,fædera,faθu,mōdor
3,0.17385210857273803,1.7340556759341097,1.5602035673613717,suhterga,geswiria,geswiria,geswiria,suhterga,geswiria,sweostor,suhterga,broðor,geswiria,suhterga,geswiria,geswiria,suhterga,suhterga,geswiria,suhterga,broðor,suhterga,suhterga,geswiria,sweostor,sweostor,suhterga,suhterga,suhterga,geswiria,broðor,suhterga,broðor,suhterga,sweostor,geswiria,geswiria,suhterga,geswiria,geswiria,broðor,sweostor,sweostor,suhterga,suhterga,suhterga,broðor,geswiria,suhterga,mōdrige,ēam,fædera,mōdrige,fædera,mōdrige,fæder,mōdor,ēam,faθu,fædera,mōdrige,fædera,fædera,mōdrige,faθu,ēam,mōdrige,ēam,fædera,ēam,ēam,fæder,faθu,faθu,faθu,mōdor,faθu
4,0.19047252344905563,1.700304328094197,1.5098318046451413,suhterga,sweostor,sweostor,geswiria,sweostor,sweostor,geswiria,broðor,broðor,geswiria,suhterga,suhterga,broðor,broðor,broðor,suhterga,broðor,suhterga,sweostor,suhterga,geswiria,sweostor,suhterga,suhterga,suhterga,geswiria,geswiria,suhterga,geswiria,geswiria,geswiria,suhterga,suhterga,suhterga,geswiria,suhterga,suhterga,geswiria,suhterga,suhterga,geswiria,geswiria,suhterga,suhterga,geswiria,geswiria,ēam,mōdrige,faθu,faθu,fæder,fædera,mōdrige,fædera,mōdor,faθu,ēam,mōdor,ēam,ēam,fædera,fæder,fædera,ēam,mōdrige,mōdrige,fædera,faθu,faθu,faθu,mōdrige,mōdrige,fædera,ēam
5,0.3112994087971537,1.7293137083374004,1.4180142995402467,suhterga,geswiria,suhterga,suhterga,suhterga,suhterga,sweostor,sweostor,suhterga,suhterga,suhterga,broðor,sweostor,geswiria,suhterga,suhterga,suhterga,geswiria,sweostor,geswiria,geswiria,geswiria,broðor,broðor,sweostor,suhterga,suhterga,geswiria,suhterga,geswiria,suhterga,geswiria,sweostor,geswiria,broðor,geswiria,geswiria,suhterga,geswiria,suhterga,suhterga,suhterga,geswiria,broðor,broðor,geswiria,ēam,mōdrige,ēam,ēam,fæder,mōdrige,faθu,fædera,ēam,fædera,faθu,mōdrige,faθu,faθu,mōdrige,fæder,mōdor,faθu,ēam,ēam,mōdrige,fædera,fædera,mōdor,mōdrige,fædera,faθu,fædera
6,0.15249016307577223,1.561244433809527,1.4087542707337548,suhterga,suhterga,suhterga,geswiria,suhterga,geswiria,broðor,sweostor,suhterga,suhterga,sweostor,suhterga,suhterga,sweostor,suhterga,geswiria,broðor,geswiria,suhterga,geswiria,broðor,suhterga,geswiria,suhterga,suhterga,suhterga,broðor,geswiria,suhterga,geswiria,geswiria,geswiria,geswiria,sweostor,geswiria,suhterga,suhterga,geswiria,geswiria,geswiria,sweostor,broðor,broðor,sweostor,suhterga,suhterga,ēam,mōdor,faθu,ēam,fæder,fædera,faθu,mōdrige,mōdrige,mōdrige,faθu,faθu,fædera,fædera,fæder,fædera,fædera,ēam,mōdrige,faθu,faθu,ēam,fædera,ēam,mōdor,mōdrige,mōdrige,ēam
7,0.187067522867842,1.6345011484014722,1.4474336255336302,broðor,broðor,geswiria,suhterga,geswiria,sweostor,suhterga,geswiria,suhterga,suhterga,suhterga,geswiria,sweostor,geswiria,geswiria,suhterga,broðor,suhterga,geswiria,suhterga,broðor,suhterga,suhterga,geswiria,geswiria,suhterga,sweostor,geswiria,suhterga,sweostor,geswiria,broðor,suhterga,broðor,suhterga,sweostor,suhterga,suhterga,suhterga,geswiria,geswiria,geswiria,geswiria,suhterga,sweostor,suhterga,faθu,mōdor,mōdrige,mōdrige,mōdrige,faθu,faθu,fæder,ēam,faθu,mōdrige,ēam,faθu,mōdrige,fædera,ēam,mōdrige,ēam,faθu,fædera,ēam,fæder,ēam,fædera,mōdor,fædera,fædera,fædera
8,0.23997413885052632,1.7218011723759985,1.4818270335254722,suhterga,suhterga,suhterga,suhterga,suhterga,geswiria,geswiria,geswiria,suhterga,suhterga,geswiria,sweostor,geswiria,broðor,broðor,broðor,suhterga,suhterga,suhterga,geswiria,broðor,sweostor,suhterga,geswiria,sweostor,geswiria,sweostor,geswiria,suhterga,geswiria,geswiria,broðor,suhterga,sweostor,suhterga,suhterga,suhterga,geswiria,broðor,geswiria,suhterga,suhterga,suhterga,geswiria,geswiria,sweostor,mōdrige,faθu,mōdor,fædera,ēam,mōdrige,fæder,ēam,fædera,mōdor,ēam,fædera,faθu,mōdrige,fæder,mōdrige,faθu,fædera,faθu,faθu,mōdrige,mōdrige,ēam,faθu,fædera,fædera,ēam,ēam
9,0.24999551075631654,1.515260738720284,1.2652652279639676,suhterga,suhterga,suhterga,geswiria,geswiria,geswiria,broðor,suhterga,geswiria,geswiria,suhterga,suhterga,sweostor,suhterga,suhterga,geswiria,broðor,suhterga,sweostor,suhterga,broðor,sweostor,broðor,geswiria,suhterga,broðor,geswiria,geswiria,sweostor,sweostor,suhterga,broðor,suhterga,geswiria,suhterga,suhterga,sweostor,geswiria,geswiria,geswiria,suhterga,geswiria,geswiria,suhterga,suhterga,suhterga,fædera,faθu,fædera,fædera,fædera,faθu,mōdrige,mōdrige,fædera,faθu,faθu,fæder,ēam,ēam,fæder,mōdrige,fædera,ēam,mōdrige,mōdor,faθu,ēam,ēam,faθu,mōdrige,mōdrige,mōdor,ēam
