simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,fB,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,fF,fM
0,0.07288151194970438,1.3968600078770883,1.323978495927384,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,yéy,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,yéy,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,târ,mâm,târ mↄkånd,lí:m,târ,lí:m,lí:m,mâm,lí:m,lí:m,mâm,lí:m,lí:m,mâm,lí:m,târ mↄkånd,târ mↄkånd,târ mↄkånd,mâm,lí:m,mâm,lí:m,mâm,lí:m,mâm,târ mↄkånd,lí:m,târ mↄkånd
1,0.09077732244571757,1.3976436854342604,1.3068663629885429,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mpeŋ,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lí:m,lí:m,lí:m,mâm,târ mↄkånd,târ mↄkånd,mâm,lí:m,mâm,târ mↄkånd,lí:m,mâm,lí:m,târ,lí:m,târ,târ mↄkånd,lí:m,târ mↄkånd,mâm,lí:m,lí:m,mâm,lí:m,lí:m,mâm,târ mↄkånd,mâm
2,0.10302129051386566,1.4464927888831633,1.3434714983692977,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,lék,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mâm,târ mↄkånd,târ mↄkånd,lí:m,lí:m,mâm,mâm,lí:m,lí:m,lí:m,mâm,lí:m,târ mↄkånd,mâm,târ mↄkånd,lí:m,lí:m,mâm,târ,târ mↄkånd,mâm,târ,lí:m,târ mↄkånd,lí:m,lí:m,mâm,lí:m
3,0.07061639595941838,1.3976436854342604,1.327027289474842,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,lék,mótil,yéy,mótil,mpeŋ,mótil,mótil,mótil,lék,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mâm,târ mↄkånd,lí:m,lí:m,lí:m,mâm,lí:m,târ,mâm,mâm,târ,târ mↄkånd,lí:m,lí:m,lí:m,mâm,lí:m,târ mↄkånd,lí:m,mâm,lí:m,târ mↄkånd,lí:m,mâm,lí:m,târ mↄkånd,mâm,târ mↄkånd
4,0.08316168745586316,1.4222070489725134,1.3390453615166502,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,lék,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lék,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mâm,târ mↄkånd,mâm,târ mↄkånd,lí:m,lí:m,târ mↄkånd,târ mↄkånd,lí:m,mâm,lí:m,lí:m,mâm,lí:m,lí:m,lí:m,târ,târ,lí:m,târ mↄkånd,lí:m,mâm,lí:m,lí:m,mâm,mâm,târ mↄkånd,mâm
5,0.06358901977053266,1.3968053848543456,1.333216365083813,mótil,mótil,lék,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,yéy,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,lí:m,mâm,mâm,târ mↄkånd,târ mↄkånd,mâm,mâm,mâm,lí:m,târ mↄkånd,lí:m,lí:m,lí:m,târ mↄkånd,lí:m,lí:m,lí:m,târ mↄkånd,lí:m,mâm,târ,târ mↄkånd,lí:m,mâm,lí:m,târ,mâm,lí:m
6,0.08841671614585866,1.4492219503394737,1.360805234193615,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,târ mↄkånd,mâm,lí:m,lí:m,mâm,târ mↄkånd,lí:m,târ mↄkånd,târ mↄkånd,lí:m,mâm,târ mↄkånd,mâm,mâm,târ mↄkånd,târ,lí:m,lí:m,mâm,lí:m,lí:m,lí:m,lí:m,lí:m,lí:m,mâm,mâm,târ
7,0.10645104140656425,1.3756960445691993,1.269245003162635,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,lék,mótil,mótil,lék,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,yéy,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lí:m,mâm,târ mↄkånd,târ mↄkånd,târ mↄkånd,lí:m,lí:m,mâm,târ mↄkånd,târ mↄkånd,târ,lí:m,lí:m,mâm,târ,mâm,lí:m,lí:m,mâm,mâm,lí:m,mâm,lí:m,lí:m,târ mↄkånd,lí:m,mâm,lí:m
8,0.06976684111634102,1.443788296898349,1.374021455782008,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,mótil,lék,mótil,lék,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mpeŋ,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lí:m,lí:m,târ,mâm,lí:m,mâm,mâm,mâm,lí:m,mâm,lí:m,târ mↄkånd,lí:m,mâm,mâm,lí:m,lí:m,târ mↄkånd,mâm,târ mↄkånd,lí:m,târ mↄkånd,lí:m,lí:m,târ mↄkånd,târ,lí:m,târ mↄkånd
9,0.064931609198148,1.3625344398974564,1.2976028306993084,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,yéy,mótil,yéy,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,mótil,mótil,yéy,mótil,mótil,yéy,mótil,mótil,mótil,mótil,lék,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mpeŋ,mótil,mótil,mótil,mótil,târ mↄkånd,lí:m,târ,mâm,mâm,lí:m,târ mↄkånd,lí:m,târ mↄkånd,mâm,mâm,târ mↄkånd,mâm,lí:m,lí:m,lí:m,lí:m,lí:m,târ mↄkånd,mâm,lí:m,târ,mâm,lí:m,târ mↄkånd,lí:m,mâm,lí:m
