simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.13553333229252518,1.4167511516146336,1.2812178193221084,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,abari,katha,bunkany,bunkany,bunkany,abari,bunkany,abari,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abu,imi,gawa,gawa,bulunggu,gawa,gayin,gawa,bulunggu,gayin,gayin,gawa,abu,gayin,gawa,gawa,gawa,gawa,bulunggu,imi,gayin,gawa,gawa,bulunggu,gayin,bulunggu,gawa,bulunggu
1,0.08058024545458631,1.4201055737683081,1.3395253283137218,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,abari,abari,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,abari,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gawa,imi,abu,gawa,gawa,gayin,bulunggu,gawa,bulunggu,gawa,bulunggu,bulunggu,gawa,bulunggu,bulunggu,gayin,gawa,abu,gayin,gayin,gayin,imi,gayin,gawa,gawa,gawa,gawa
2,0.10814050730448255,1.3902231802510827,1.2820826729466002,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,abari,talnpu,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,abari,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gayin,gawa,gawa,bulunggu,bulunggu,gayin,gawa,abu,bulunggu,imi,gawa,gayin,gawa,gayin,abu,bulunggu,gayin,gayin,bulunggu,gawa,gawa,imi,gawa,gawa,bulunggu,gawa,gawa
3,0.10249728814494352,1.3709620635838782,1.2684647754389347,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,abari,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gawa,bulunggu,gayin,gawa,bulunggu,gawa,gawa,bulunggu,bulunggu,gawa,gayin,gayin,imi,bulunggu,gayin,imi,gawa,gawa,gayin,abu,bulunggu,gawa,gawa,gayin,gawa,abu,gawa
4,0.05970491117214771,1.3346598399494112,1.2749549287772635,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,abari,bunkany,bunkany,bunkany,abari,abari,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,abari,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gayin,gayin,gawa,gawa,gayin,gayin,gawa,imi,gawa,bulunggu,bulunggu,bulunggu,gawa,gawa,bulunggu,gawa,abu,gawa,bulunggu,gawa,imi,gawa,abu,gayin,bulunggu,gawa,gayin
5,0.08416167738433789,1.351259979833653,1.2670983024493152,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gawa,gawa,abu,gawa,gayin,gawa,gayin,abu,gayin,bulunggu,gawa,gawa,gawa,gawa,gawa,bulunggu,bulunggu,gawa,bulunggu,imi,gayin,gawa,bulunggu,gayin,bulunggu,gayin,imi
6,0.07343938732977962,1.407887759221751,1.3344483718919713,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,abari,abari,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bulunggu,gawa,gawa,abu,gawa,gayin,gawa,abu,bulunggu,imi,bulunggu,gawa,bulunggu,gawa,gayin,gawa,imi,gawa,bulunggu,gawa,gayin,gawa,gayin,gawa,bulunggu,gayin,gayin,gawa
7,0.08775251220401903,1.3570118226761585,1.2692593104721395,bunkany,bunkany,talnpu,bunkany,dhambu,bunkany,bunkany,abari,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,abari,bunkany,talnpu,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,abu,bulunggu,gawa,gayin,gawa,gawa,imi,gawa,imi,gawa,bulunggu,bulunggu,gayin,gawa,gayin,gawa,gawa,bulunggu,gawa,bulunggu,gawa,gayin,bulunggu,abu,gayin,gawa,gayin
8,0.08784597067455868,1.3560594362617153,1.2682134655871566,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,abari,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,abari,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bulunggu,gawa,gawa,bulunggu,bulunggu,gawa,gawa,gayin,gawa,bulunggu,imi,gawa,gawa,gawa,gayin,abu,imi,gawa,gawa,gayin,gawa,abu,gawa,bulunggu,gayin,bulunggu,gayin,gayin
9,0.06320204369627924,1.3183513473469641,1.2551493036506849,bunkany,dhambu,bunkany,bunkany,bunkany,bunkany,bunkany,dhambu,abari,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,talnpu,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,talnpu,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,katha,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,abari,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,bunkany,gawa,gawa,gawa,gayin,gawa,gawa,imi,gayin,abu,gayin,bulunggu,gayin,gawa,gawa,imi,abu,gayin,bulunggu,gawa,gawa,bulunggu,gayin,gawa,bulunggu,gawa,bulunggu,bulunggu,gawa
