simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4074908977725653,2.0348465135809852,1.62735561580842,ʔa:kinʔ,k'unʔ,ʔa:kinʔ,k'unʔ,šomenʔ,dikinʔ,dikinʔ,k'unʔ,ʔa:kinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,k'unʔ,dikinʔ,dikinʔ,k'unʔ,k'unʔ,šomenʔ,šomenʔ,k'unʔ,k'unʔ,dikinʔ,k'unʔ,šomenʔ,šomenʔ,ʔa:kinʔ,dikinʔ,dikinʔ,ʔa:kinʔ,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:penʔ,cu:s'enʔ,ba:s'enʔ,mu:s'enʔ,cikinʔ,šikinʔ,ʔa:thenʔ,ba:s'enʔ,šikinʔ,šu:s'enʔ,mu:s'enʔ,cu:s'enʔ,ʔa:thenʔ,mu:s'enʔ,šu:s'enʔ,cu:s'enʔ,mu:s'enʔ,cikinʔ,cu:s'enʔ,ʔa:penʔ
1,0.2122948474243469,2.031938767269279,1.8196439198449321,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,dikinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,šomenʔ,dikinʔ,k'unʔ,ʔa:kinʔ,k'unʔ,dikinʔ,dikinʔ,dikinʔ,k'unʔ,k'unʔ,k'unʔ,šomenʔ,ʔa:kinʔ,ʔa:kinʔ,k'unʔ,dikinʔ,k'unʔ,k'unʔ,šomenʔ,dikinʔ,ʔa:kinʔ,k'unʔ,k'unʔ,dikinʔ,šomenʔ,ʔa:kinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,šomenʔ,dikinʔ,ba:s'enʔ,šu:s'enʔ,ʔa:thenʔ,cu:s'enʔ,mu:s'enʔ,cu:s'enʔ,ʔa:thenʔ,mu:s'enʔ,mu:s'enʔ,ʔa:penʔ,cu:s'enʔ,šu:s'enʔ,cikinʔ,mu:s'enʔ,cu:s'enʔ,šikinʔ,ʔa:penʔ,cikinʔ,ba:s'enʔ,šikinʔ
2,0.48935644614341456,2.0054779423255,1.5161214961820852,ʔa:kinʔ,dikinʔ,dikinʔ,ʔa:kinʔ,šomenʔ,dikinʔ,dikinʔ,ʔa:kinʔ,šomenʔ,dikinʔ,šomenʔ,ʔa:kinʔ,k'unʔ,k'unʔ,šomenʔ,dikinʔ,k'unʔ,dikinʔ,šomenʔ,k'unʔ,k'unʔ,k'unʔ,k'unʔ,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,dikinʔ,k'unʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,šomenʔ,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,dikinʔ,k'unʔ,šu:s'enʔ,ba:s'enʔ,cu:s'enʔ,šikinʔ,mu:s'enʔ,mu:s'enʔ,šikinʔ,šu:s'enʔ,ʔa:thenʔ,mu:s'enʔ,ba:s'enʔ,ʔa:penʔ,mu:s'enʔ,ʔa:thenʔ,cu:s'enʔ,cu:s'enʔ,cikinʔ,cu:s'enʔ,ʔa:penʔ,cikinʔ
3,0.314907028398256,2.0163887360175847,1.7014817076193287,dikinʔ,ʔa:kinʔ,dikinʔ,šomenʔ,šomenʔ,šomenʔ,ʔa:kinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,ʔa:kinʔ,ʔa:kinʔ,ʔa:kinʔ,k'unʔ,k'unʔ,dikinʔ,k'unʔ,k'unʔ,dikinʔ,dikinʔ,šomenʔ,šomenʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,ʔa:kinʔ,k'unʔ,šomenʔ,k'unʔ,k'unʔ,ʔa:kinʔ,dikinʔ,k'unʔ,šomenʔ,dikinʔ,mu:s'enʔ,ʔa:thenʔ,šu:s'enʔ,ʔa:thenʔ,ba:s'enʔ,cikinʔ,šu:s'enʔ,cu:s'enʔ,šikinʔ,cu:s'enʔ,ʔa:penʔ,mu:s'enʔ,cikinʔ,ba:s'enʔ,cu:s'enʔ,mu:s'enʔ,šikinʔ,mu:s'enʔ,cu:s'enʔ,ʔa:penʔ
4,0.21142523434384697,2.031938767269279,1.820513532925432,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,ʔa:kinʔ,k'unʔ,dikinʔ,ʔa:kinʔ,dikinʔ,dikinʔ,k'unʔ,ʔa:kinʔ,k'unʔ,k'unʔ,dikinʔ,k'unʔ,dikinʔ,šomenʔ,dikinʔ,k'unʔ,šomenʔ,k'unʔ,ʔa:kinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,dikinʔ,dikinʔ,dikinʔ,k'unʔ,šomenʔ,ʔa:kinʔ,šomenʔ,šomenʔ,šomenʔ,k'unʔ,ʔa:kinʔ,dikinʔ,k'unʔ,ʔa:penʔ,cu:s'enʔ,mu:s'enʔ,ʔa:thenʔ,ʔa:thenʔ,cu:s'enʔ,šikinʔ,mu:s'enʔ,cikinʔ,šu:s'enʔ,cikinʔ,ʔa:penʔ,ba:s'enʔ,cu:s'enʔ,šikinʔ,mu:s'enʔ,ba:s'enʔ,mu:s'enʔ,šu:s'enʔ,cu:s'enʔ
5,0.282345358225049,2.0054779423255,1.7231325841004508,k'unʔ,ʔa:kinʔ,k'unʔ,dikinʔ,k'unʔ,dikinʔ,dikinʔ,k'unʔ,dikinʔ,ʔa:kinʔ,dikinʔ,k'unʔ,šomenʔ,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,ʔa:kinʔ,dikinʔ,k'unʔ,šomenʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,k'unʔ,k'unʔ,dikinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,k'unʔ,šomenʔ,dikinʔ,ba:s'enʔ,ʔa:penʔ,cu:s'enʔ,šikinʔ,ʔa:penʔ,ʔa:thenʔ,cu:s'enʔ,šu:s'enʔ,ba:s'enʔ,mu:s'enʔ,cu:s'enʔ,šikinʔ,ʔa:thenʔ,šu:s'enʔ,cikinʔ,cikinʔ,cu:s'enʔ,mu:s'enʔ,mu:s'enʔ,mu:s'enʔ
6,0.313301858536186,2.0054779423254994,1.6921760837893134,dikinʔ,ʔa:kinʔ,k'unʔ,k'unʔ,ʔa:kinʔ,dikinʔ,dikinʔ,k'unʔ,šomenʔ,ʔa:kinʔ,šomenʔ,ʔa:kinʔ,šomenʔ,k'unʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,dikinʔ,k'unʔ,k'unʔ,ʔa:kinʔ,k'unʔ,k'unʔ,šomenʔ,šomenʔ,dikinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,šomenʔ,ʔa:kinʔ,ʔa:kinʔ,dikinʔ,k'unʔ,dikinʔ,dikinʔ,ba:s'enʔ,cikinʔ,šu:s'enʔ,cu:s'enʔ,ʔa:thenʔ,mu:s'enʔ,cikinʔ,ʔa:penʔ,mu:s'enʔ,šu:s'enʔ,cu:s'enʔ,ʔa:thenʔ,cu:s'enʔ,ʔa:penʔ,šikinʔ,ba:s'enʔ,šikinʔ,mu:s'enʔ,cu:s'enʔ,mu:s'enʔ
7,0.2775713021140618,2.031938767269279,1.7543674651552172,šomenʔ,ʔa:kinʔ,ʔa:kinʔ,k'unʔ,ʔa:kinʔ,ʔa:kinʔ,dikinʔ,šomenʔ,dikinʔ,ʔa:kinʔ,šomenʔ,k'unʔ,k'unʔ,ʔa:kinʔ,dikinʔ,dikinʔ,dikinʔ,k'unʔ,k'unʔ,šomenʔ,dikinʔ,ʔa:kinʔ,k'unʔ,šomenʔ,šomenʔ,dikinʔ,šomenʔ,ʔa:kinʔ,k'unʔ,dikinʔ,k'unʔ,k'unʔ,šomenʔ,ʔa:kinʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:penʔ,cu:s'enʔ,ba:s'enʔ,mu:s'enʔ,cikinʔ,cu:s'enʔ,cikinʔ,cu:s'enʔ,mu:s'enʔ,ʔa:penʔ,šikinʔ,šikinʔ,ʔa:thenʔ,cu:s'enʔ,šu:s'enʔ,šu:s'enʔ,mu:s'enʔ,ba:s'enʔ,mu:s'enʔ,ʔa:thenʔ
8,0.3296752412821129,2.031938767269279,1.7022635259871661,k'unʔ,ʔa:kinʔ,k'unʔ,šomenʔ,ʔa:kinʔ,ʔa:kinʔ,ʔa:kinʔ,k'unʔ,šomenʔ,dikinʔ,šomenʔ,šomenʔ,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,dikinʔ,dikinʔ,šomenʔ,ʔa:kinʔ,šomenʔ,šomenʔ,k'unʔ,šomenʔ,dikinʔ,k'unʔ,dikinʔ,dikinʔ,šomenʔ,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,dikinʔ,k'unʔ,k'unʔ,k'unʔ,dikinʔ,k'unʔ,k'unʔ,šu:s'enʔ,ʔa:thenʔ,ʔa:penʔ,cu:s'enʔ,mu:s'enʔ,ba:s'enʔ,ʔa:penʔ,ʔa:thenʔ,cu:s'enʔ,cu:s'enʔ,šikinʔ,cikinʔ,cikinʔ,mu:s'enʔ,mu:s'enʔ,cu:s'enʔ,ba:s'enʔ,šu:s'enʔ,mu:s'enʔ,šikinʔ
9,0.24192847489802816,2.0054779423254994,1.7635494674274712,k'unʔ,šomenʔ,šomenʔ,šomenʔ,dikinʔ,dikinʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,ʔa:kinʔ,dikinʔ,ʔa:kinʔ,ʔa:kinʔ,šomenʔ,ʔa:kinʔ,k'unʔ,dikinʔ,ʔa:kinʔ,k'unʔ,dikinʔ,dikinʔ,šomenʔ,k'unʔ,k'unʔ,ʔa:kinʔ,k'unʔ,ʔa:kinʔ,šomenʔ,šomenʔ,k'unʔ,k'unʔ,ʔa:kinʔ,dikinʔ,dikinʔ,k'unʔ,ʔa:kinʔ,šomenʔ,cu:s'enʔ,cu:s'enʔ,šu:s'enʔ,mu:s'enʔ,cikinʔ,cikinʔ,cu:s'enʔ,cu:s'enʔ,mu:s'enʔ,mu:s'enʔ,ʔa:penʔ,ʔa:penʔ,ba:s'enʔ,ʔa:thenʔ,šu:s'enʔ,ʔa:thenʔ,ba:s'enʔ,šikinʔ,mu:s'enʔ,šikinʔ
