simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.12213302338181631,1.283007250099128,1.1608742267173118,parnkurti,parnkurti,parnkurti,karlu,shoulder2,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,karlu,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,ngamirni,mukula,ngamirni,tyakarti,mukula,ngamirni,ngamirni,ngamirni,mukula,ngamirni,mukula,parnara,mukula,parnara,mukula,tyakarti
1,0.09082072671789798,1.283007250099128,1.19218652338123,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,thigh1,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,shoulder2,parnkurti,ngamirni,ngamirni,parnara,tyakarti,parnara,mukula,ngamirni,mukula,mukula,mukula,mukula,ngamirni,ngamirni,tyakarti,ngamirni,mukula
2,0.118452815603733,1.2491321962115005,1.1306793806077675,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,ngamirni,tyakarti,parnara,ngamirni,parnara,mukula,ngamirni,mukula,mukula,ngamirni,mukula,mukula,ngamirni,mukula,ngamirni,tyakarti
3,0.11735846250862791,1.1876199792074262,1.0702615166987983,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,shoulder2,parnkurti,shoulder2,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,mukula,tyakarti,mukula,mukula,tyakarti,mukula,mukula,ngamirni,ngamirni,ngamirni,mukula,ngamirni,parnara,ngamirni,parnara,ngamirni
4,0.14412899451583083,1.2563259056979172,1.1121969111820864,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,karlu,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnara,ngamirni,ngamirni,parnara,tyakarti,ngamirni,mukula,mukula,ngamirni,ngamirni,mukula,mukula,mukula,ngamirni,tyakarti,mukula
5,0.08239639902856766,1.3086769600946917,1.226280561066124,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,karlu,karlu,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnara,ngamirni,parnara,ngamirni,ngamirni,tyakarti,mukula,ngamirni,mukula,ngamirni,mukula,tyakarti,ngamirni,mukula,mukula,mukula
6,0.08582232616672414,1.1876199792074262,1.101797653040702,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,karlu,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,shoulder2,shoulder2,parnkurti,mukula,tyakarti,mukula,ngamirni,ngamirni,mukula,ngamirni,ngamirni,ngamirni,ngamirni,mukula,mukula,parnara,parnara,tyakarti,mukula
7,0.10333097716595852,1.266013943612371,1.1626829664464124,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,shoulder2,parnkurti,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,karlu,ngamirni,mukula,tyakarti,mukula,mukula,ngamirni,mukula,ngamirni,ngamirni,ngamirni,tyakarti,mukula,parnara,parnara,ngamirni,mukula
8,0.09154744747267651,1.1780718485112227,1.0865244010385462,parnkurti,shoulder2,parnkurti,parnkurti,karlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlu,shoulder2,thigh1,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,ngamirni,parnara,ngamirni,ngamirni,tyakarti,parnara,mukula,tyakarti,ngamirni,ngamirni,ngamirni,mukula,mukula,mukula,mukula,mukula
9,0.068318760447581,1.1905880995569922,1.1222693391094112,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,karlu,shoulder2,parnkurti,parnkurti,parnkurti,shoulder2,parnkurti,parnkurti,parnkurti,thigh1,parnkurti,thigh1,karlu,parnkurti,parnkurti,mukula,mukula,mukula,ngamirni,ngamirni,parnara,mukula,ngamirni,ngamirni,tyakarti,ngamirni,ngamirni,mukula,mukula,parnara,tyakarti
