simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.7737626647452573,2.031938767269279,1.2581761025240217,"-kak, -naut","-kak, -namuk","-kak, -naut","-naka, lammi","-naka, lammi","-naka, lammi","-kak, -namuk","-naka, -naut","-naka, -naut","-naka, -namuk","-naka, malemi","-kak, malemi","-kak, -naut","-naka, lammi","-kak, -namuk","-kak, lammi","-naka, malemi","-naka, -naut","-naka, -namuk","-kak, lammi","-kak, -namuk","-kak, -naut","-naka, -namuk","-kak, -naut","-naka, -namuk","-naka, malemi","-kak, lammi","-naka, -naut","-kak, malemi","-naka, malemi","-kak, naut","-naka, -naut","-kak, lammi","-kak, -namuk","-naka, -namuk","-kak, malemi","-naka, -naut","-kak, malemi",-auko ela,-paa ela,-auko,-auko ela,-paa idika,-auko idika,-paa idama,-auko ela,-auko,-paa idama,-paa ela,-auko idama,-auko idama,-paa ela,-auko idika,-paa,-auko ela,-paa idika,-paa,-paa ela
1,0.7459192298159656,2.0163887360175847,1.2704695062016191,"-kak, -naut","-kak, malemi","-kak, lammi","-naka, malemi","-kak, lammi","-naka, -namuk","-naka, -namuk","-naka, malemi","-naka, -naut","-naka, -naut","-kak, -namuk","-naka, lammi","-kak, malemi","-kak, -namuk","-naka, -namuk","-naka, lammi","-kak, -naut","-naka, -namuk","-kak, -namuk","-naka, lammi","-naka, -naut","-kak, lammi","-naka, lammi","-kak, -namuk","-kak, -naut","-kak, malemi","-naka, -namuk","-kak, naut","-naka, -naut","-naka, -naut","-kak, -namuk","-naka, malemi","-kak, -naut","-naka, -naut","-naka, malemi","-kak, malemi","-kak, -naut","-kak, lammi",-auko idama,-paa ela,-auko idika,-paa idama,-paa idika,-auko idika,-paa idama,-auko ela,-paa ela,-auko ela,-paa ela,-auko,-auko ela,-auko idama,-paa ela,-auko ela,-paa,-paa,-auko,-paa idika
2,0.8358244542890372,2.0239357198889,1.1881112655998627,"-kak, -naut","-naka, -naut","-kak, -namuk","-naka, -naut","-naka, malemi","-naka, -naut","-kak, lammi","-kak, -naut","-naka, lammi","-naka, lammi","-naka, -namuk","-kak, malemi","-kak, -namuk","-naka, malemi","-kak, malemi","-naka, -namuk","-naka, -naut","-kak, lammi","-naka, -namuk","-kak, -namuk","-naka, -naut","-naka, -namuk","-kak, malemi","-naka, -naut","-kak, lammi","-naka, malemi","-naka, lammi","-kak, naut","-naka, lammi","-kak, malemi","-kak, -namuk","-kak, -naut","-kak, lammi","-naka, malemi","-kak, -naut","-kak, -naut","-naka, -namuk","-kak, -namuk",-auko idama,-paa,-auko ela,-paa ela,-paa idama,-paa ela,-auko idika,-auko ela,-auko ela,-auko idika,-auko,-auko ela,-paa ela,-paa ela,-paa idika,-paa idika,-paa idama,-paa,-auko idama,-auko
3,0.6716554370499508,2.031938767269279,1.3602833302193282,"-naka, -naut","-naka, -naut","-kak, -naut","-kak, -namuk","-naka, malemi","-kak, -naut","-naka, lammi","-kak, -namuk","-kak, malemi","-kak, -naut","-naka, -naut","-naka, -naut","-kak, lammi","-naka, -namuk","-naka, malemi","-naka, lammi","-kak, malemi","-kak, lammi","-kak, -namuk","-naka, -namuk","-naka, lammi","-naka, -namuk","-naka, malemi","-kak, -namuk","-kak, -naut","-naka, -naut","-naka, malemi","-kak, malemi","-kak, naut","-naka, lammi","-kak, lammi","-naka, -namuk","-naka, -namuk","-naka, -naut","-kak, -namuk","-kak, -naut","-kak, lammi","-kak, malemi",-auko idika,-paa ela,-auko ela,-auko idama,-auko ela,-paa idika,-paa,-auko ela,-paa idika,-paa idama,-paa idama,-auko idama,-auko ela,-paa ela,-paa,-paa ela,-paa ela,-auko,-auko,-auko idika
4,0.6884145148252834,2.016388736017585,1.3279742211923018,"-naka, -namuk","-naka, -naut","-naka, lammi","-naka, malemi","-kak, malemi","-kak, -naut","-naka, -naut","-kak, -naut","-kak, lammi","-naka, -naut","-kak, naut","-kak, malemi","-kak, -naut","-kak, malemi","-kak, -namuk","-kak, -naut","-naka, malemi","-kak, lammi","-naka, -naut","-naka, malemi","-kak, lammi","-kak, -naut","-naka, lammi","-naka, lammi","-kak, malemi","-kak, lammi","-naka, -naut","-naka, -namuk","-kak, -namuk","-naka, -namuk","-naka, -namuk","-kak, -namuk","-naka, -naut","-naka, lammi","-naka, -namuk","-naka, malemi","-kak, -namuk","-kak, -namuk",-auko idama,-auko idika,-paa idama,-auko idika,-paa ela,-auko,-auko ela,-paa ela,-auko ela,-paa,-paa,-paa idama,-paa ela,-auko,-auko ela,-auko idama,-paa idika,-paa ela,-auko ela,-paa idika
5,0.5731884024875109,2.016388736017585,1.4432003335300743,"-kak, -naut","-kak, lammi","-naka, -naut","-kak, lammi","-kak, -namuk","-kak, -naut","-kak, naut","-naka, -namuk","-naka, malemi","-naka, lammi","-kak, -naut","-naka, -naut","-kak, -namuk","-kak, -naut","-kak, lammi","-kak, malemi","-naka, -namuk","-naka, -naut","-naka, malemi","-naka, -naut","-naka, lammi","-kak, -naut","-kak, -namuk","-kak, -namuk","-naka, -namuk","-naka, malemi","-kak, -namuk","-naka, lammi","-naka, -namuk","-kak, malemi","-kak, malemi","-naka, -naut","-naka, lammi","-kak, lammi","-naka, -namuk","-naka, malemi","-naka, -naut","-kak, malemi",-paa idama,-auko ela,-auko,-auko idama,-paa ela,-paa,-paa ela,-paa idika,-auko ela,-auko ela,-paa,-auko,-auko ela,-paa idama,-paa ela,-auko idama,-paa idika,-auko idika,-paa ela,-auko idika
6,0.6703026194947179,2.0428495609613644,1.3725469414666465,"-naka, malemi","-naka, -naut","-naka, -namuk","-naka, -namuk","-kak, -naut","-kak, lammi","-kak, lammi","-kak, malemi","-kak, -naut","-kak, -namuk","-naka, malemi","-naka, -namuk","-naka, -naut","-kak, lammi","-naka, -naut","-kak, -namuk","-naka, lammi","-kak, -namuk","-kak, lammi","-naka, -namuk","-naka, lammi","-naka, malemi","-naka, -naut","-kak, -namuk","-kak, naut","-naka, malemi","-kak, -naut","-naka, -naut","-naka, -naut","-kak, -naut","-naka, lammi","-kak, malemi","-naka, -namuk","-kak, -namuk","-naka, lammi","-kak, malemi","-kak, -naut","-kak, malemi",-paa,-auko idama,-auko idika,-auko idama,-auko ela,-paa idama,-paa ela,-auko,-paa idika,-auko ela,-paa ela,-paa ela,-paa,-auko ela,-paa idika,-auko,-paa idama,-auko idika,-paa ela,-auko ela
7,0.9529069121683897,2.0054779423255,1.05257103015711,"-naka, lammi","-naka, -naut","-naka, -naut","-naka, -namuk","-naka, lammi","-kak, -naut","-naka, lammi","-naka, -namuk","-naka, -namuk","-kak, lammi","-naka, malemi","-kak, -namuk","-naka, -namuk","-naka, -naut","-naka, -naut","-naka, -naut","-kak, -namuk","-kak, -naut","-naka, -naut","-kak, naut","-kak, lammi","-kak, malemi","-naka, lammi","-naka, -namuk","-kak, lammi","-kak, -namuk","-kak, malemi","-naka, malemi","-naka, malemi","-kak, -namuk","-kak, -naut","-kak, lammi","-kak, malemi","-kak, -namuk","-kak, -naut","-kak, -naut","-naka, malemi","-kak, malemi",-auko idika,-paa idama,-auko ela,-paa idika,-paa idama,-auko idama,-auko ela,-auko ela,-paa ela,-paa,-paa ela,-auko ela,-auko idika,-paa,-paa idika,-auko idama,-paa ela,-paa ela,-auko,-auko
8,0.7083744371944063,2.0404604432608204,1.3320860060664141,"-naka, -naut","-naka, malemi","-kak, lammi","-kak, malemi","-naka, lammi","-naka, lammi","-kak, lammi","-kak, malemi","-kak, -namuk","-naka, -naut","-naka, malemi","-kak, lammi","-naka, -naut","-naka, -namuk","-naka, -naut","-naka, -namuk","-naka, lammi","-naka, -namuk","-kak, -namuk","-kak, -namuk","-naka, malemi","-kak, -namuk","-kak, -naut","-kak, -naut","-kak, lammi","-kak, -namuk","-kak, -naut","-kak, -naut","-kak, naut","-naka, lammi","-kak, malemi","-kak, -naut","-kak, malemi","-naka, -namuk","-naka, malemi","-naka, -namuk","-naka, -naut","-naka, -naut",-paa idama,-paa ela,-paa idika,-paa idika,-paa ela,-paa ela,-auko,-auko idama,-paa,-auko ela,-paa idama,-auko ela,-auko idama,-auko ela,-auko ela,-auko idika,-paa,-paa ela,-auko,-auko idika
9,0.6972962165974603,2.0428495609613644,1.345553344363904,"-naka, -naut","-naka, -namuk","-kak, -naut","-kak, -namuk","-kak, lammi","-naka, -naut","-naka, -naut","-kak, -namuk","-naka, lammi","-kak, lammi","-kak, lammi","-kak, malemi","-naka, -naut","-kak, -namuk","-naka, lammi","-naka, lammi","-kak, -naut","-naka, -naut","-kak, malemi","-kak, -naut","-kak, -namuk","-naka, -naut","-naka, -namuk","-naka, malemi","-naka, lammi","-naka, -namuk","-kak, -naut","-naka, -namuk","-naka, -namuk","-kak, naut","-kak, -naut","-kak, lammi","-kak, malemi","-naka, malemi","-naka, malemi","-kak, -namuk","-kak, malemi","-naka, malemi",-paa,-paa idama,-auko,-paa,-auko,-auko ela,-paa idama,-auko idika,-paa idika,-auko idama,-paa ela,-auko ela,-paa idika,-paa ela,-paa ela,-auko idama,-paa ela,-auko ela,-auko idika,-auko ela
