simulation_number,mutual_information,entropy,conditional_entropy,fMZyD,mMZyD,fFByD,mFByD,feZ,meZ,fFBeD,fMZeD,mFBeD,mMZeD,feB,meB,fFBeS,mFBeS,mMZeS,mFZeD,fFZeD,fFZeS,fFZyS,fMBeS,fMByS,mFZeS,mFZyS,mMBeS,mMByS,fFZyD,fMBeD,fMByD,mFZyD,mMBeD,mMByD,fFByS,fMZyS,fyB,mFByS,mMZyS,myB,myZ,fyZ,fFeZ,fFyZ,mFeZ,mFyZ,fMyZ,mMyZ,fFyB,mFyB,fMeZ,mMeZ,fFeB,mFeB,fMeB,fMyB,mMeB,mMyB,fM,mM,fF,mF
0,0.2599301927099794,1.0397207708399179,0.7797905781299385,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnǎ tungi,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ attigï,nǎnnǎ ǎkkǎ,nǎnnǎ attige,nǎnnǎ ǎkkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnǎ tungi,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎngi,nǎnǎ tǎngi,nǎnnǎ chikkǎppǎ,nǎnnǎ täi,nǎnnǎ doddǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ täi,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ,nǎnnǎ mäva,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ,nǎnnǎ mäva
1,0.5198603854199589,1.3862943611198906,0.8664339756999316,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ nädini,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnnǎ attigï,nǎnnǎ ǎkkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnǎ tungi,nǎnǎ tungi,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ ǎkkǎ,nǎnnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ attige,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ doddǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ chickkǎmmǎ,nǎnnǎ täi,nǎnnǎ doddǎppǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎmmǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ täi,nǎnnǎ chikkǎppǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ
2,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ ǎkkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎnga,nǎnnǎ akkǎ,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ attigï,nǎnǎ tungi,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnnǎ ǎkkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ attige,nǎnnǎ tǎmmǎ,nǎnǎ tǎngi,nǎnnǎ mäva,nǎnnǎ doddǎmmǎ,nǎnnǎ mäva,nǎnnǎ chikkǎppǎ,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ tǎnde,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ tǎnde,nǎnnǎ täi,nǎnnǎ chickkǎmmǎ,nǎnnǎ täi,nǎnnǎ mäva,nǎnnǎ doddǎppǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ doddǎppǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ mäva
3,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǎnnǎ nädini,nǎnnǎ tǎngi,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ ǎkkǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnǎ tungi,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ attige,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ attigï,nǎnǎ tungi,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ ǎkkǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ täi,nǎnnǎ täi,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ mäva,nǎnnǎ chikkǎppǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ doddǎppǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎmmǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ mäva
4,0.2272271837246952,1.0397207708399179,0.8124935871152227,nǎnnǎ akkǎ,nǎnnǎ attige,nǎnnǎ ǎkkǎ,nǎnnǎ tǎmmǎ,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnǎ tungi,nǎnnǎ nädini,nǎnnǎ ǎkkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnǎ tǎngi,nǎnnǎ annǎ,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ attigï,nǎnnǎ tǎngi,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnnǎ täi,nǎnnǎ doddǎppǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ mäva,nǎnnǎ tǎnde,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ mäva,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ täi,nǎnnǎ tǎnde,nǎnnǎ chikkǎppǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ ǎtte
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,nǎnnǎ tǎmmǎ,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnnǎ tǎnga,nǎnnǎ attige,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ ǎkkǎ,nǎnnǎ ǎkkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ attigï,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnǎ tǎngi,nǎnnǎ täi,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ mäva,nǎnnǎ täi,nǎnnǎ chikkǎppǎ,nǎnnǎ doddǎppǎ,nǎnnǎ tǎnde,nǎnnǎ chikkǎppǎ,nǎnnǎ doddǎppǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ tǎnde,nǎnnǎ mäva,nǎnnǎ mäva
6,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ ǎkkǎ,nǎnnǎ akkǎ,nǎnnǎ annǎ,nǎnnǎ attigï,nǎnnǎ annǎ,nǎnnǎ attige,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnǎ tǎngi,nǎnnǎ akkǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnǎ tungi,nǎnnǎ tǎmmǎ,nǎnnǎ ǎkkǎ,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ annǎ,nǎnnǎ nädini,nǎnnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ täi,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ chikkǎppǎ,nǎnnǎ mäva,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ chikkǎppǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎppǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ täi,nǎnnǎ mäva
7,0.3465735902799726,1.0397207708399179,0.6931471805599453,nǎnnǎ nädini,nǎnǎ tǎngi,nǎnnǎ ǎkkǎ,nǎnnǎ tǎmmǎ,nǎnǎ tungi,nǎnnǎ ǎkkǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnǎ tungi,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎnga,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ attige,nǎnnǎ akkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ tǎngi,nǎnnǎ attigï,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnǎ tǎngi,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ mäva,nǎnnǎ chickkǎmmǎ,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ doddǎppǎ,nǎnnǎ mäva,nǎnnǎ ǎtte,nǎnnǎ chickkǎmmǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ tǎnde,nǎnnǎ doddǎmmǎ,nǎnnǎ tǎnde,nǎnnǎ täi,nǎnnǎ täi,nǎnnǎ ǎtte,nǎnnǎ chikkǎppǎ,nǎnnǎ chikkǎppǎ
8,0.4544543674493904,1.3862943611198906,0.9318399936705002,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnǎ tungi,nǎnnǎ akkǎ,nǎnǎ tungi,nǎnnǎ annǎ,nǎnnǎ akkǎ,nǎnnǎ ǎkkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ akkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ tǎmmǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ attige,nǎnnǎ annǎ,nǎnǎ tǎngi,nǎnnǎ tǎmmǎ,nǎnnǎ ǎkkǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnnǎ annǎ,nǎnnǎ attigï,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ nädini,nǎnnǎ tǎnga,nǎnnǎ nädini,nǎnnǎ täi,nǎnnǎ chikkǎppǎ,nǎnnǎ tǎnde,nǎnnǎ chickkǎmmǎ,nǎnnǎ mäva,nǎnnǎ doddǎmmǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ chikkǎppǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ mäva,nǎnnǎ täi,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ doddǎppǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ tǎnde,nǎnnǎ ǎtte,nǎnnǎ mäva
9,0.5198603854199589,1.0397207708399179,0.5198603854199589,nǎnnǎ bhävǎmeidǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ bhävǎmeidǎ,nǎnnǎ ǎkkǎ,nǎnnǎ annǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ attigï,nǎnnǎ akkǎ,nǎnǎ tungi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ akkǎ,nǎnnǎ ǎkkǎ,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ nädini,nǎnnǎ bhävǎmeidǎ,nǎnnǎ annǎ,nǎnnǎ tǎmmǎ,nǎnnǎ attige,nǎnnǎ nädini,nǎnnǎ tǎmmǎ,nǎnnǎ tǎnga,nǎnnǎ akkǎ,nǎnǎ tǎngi,nǎnnǎ bhävǎmeidǎ,nǎnnǎ tǎngi,nǎnnǎ nädini,nǎnǎ tungi,nǎnnǎ nädini,nǎnnǎ akkǎ,nǎnnǎ tǎmmǎ,nǎnnǎ tǎmmǎ,nǎnnǎ doddǎmmǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ chickkǎmmǎ,nǎnnǎ ǎtte,nǎnnǎ doddǎmmǎ,nǎnnǎ doddǎppǎ,nǎnnǎ ǎtte,nǎnnǎ ǎtte,nǎnnǎ täi,nǎnnǎ chikkǎppǎ,nǎnnǎ ǎtte,nǎnnǎ mäva,nǎnnǎ doddǎppǎ,nǎnnǎ mäva,nǎnnǎ tǎnde,nǎnnǎ tǎnde,nǎnnǎ mäva,nǎnnǎ täi,nǎnnǎ mäva,nǎnnǎ chikkǎppǎ
