simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,meZ,feB,feZ,fM,mF,mM,mFB,mFZ,mMB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mMZ,mFeB,mMeZ,mMyZ,fMZ,fFeB,fMeZ,fMyZ
0,0.4280325493764543,1.8704017411060265,1.4423691917295722,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bhāi,phoiyāt bhāi,masiyā bhāi,mauḷāi bhāi,mauḷāi bahan,phoiyāt bahan,phoiyāt bhāi,pitarāi bahan,masiyā bahan,bahan,masiyā bahan,masiyā bahan,mauḷāi bahan,bhāi,pitarāi bhāi,phoiyāt bahan,phoiyāt bahan,pitarāi bahan,mauḷāi bhāi,masiyā bahan,phoiyāt bhāi,mauḷāi bhāi,mauḷāi bahan,mauḷāi bahan,masiyā bhāi,mauḷāi bhāi,phoiyāt bhāi,mauḷāi bahan,mauḷāi bahan,phoiyāt bahan,phoiyāt bhāi,moṭi ben,pitarāi bhāi,masiyā bahan,pitarāi bahan,mauḷāi bhāi,phoiyāt bahan,bhāi,moṭā bhāi,mauḷāi bhāi,pitarāi bhāi,pitarāi bhāi,mauḷāi bahan,masiyā bahan,bhāi,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,bahan,masiyā bahan,masiyā bhāi,pitarāi bahan,mauḷāi bahan,pitarāi bahan,phoiyāt bhāi,mauḷāi bhāi,mauḷāi bahan,masiyā bhāi,masiyā bhāi,mauḷāi bhāi,moṭi ben,pitarāi bhāi,phoiyāt bhāi,masiyā bhāi,phoiyāt bahan,mauḷāi bhāi,pitarāi bahan,phoiyāt bahan,masiyā bhāi,bhāi,phoiyāt bhāi,bahan,masiyā bhāi,mauḷāi bhāi,phoiyāt bhāi,masiyā bhāi,masiyā bahan,phoiyāt bahan,bahan,phoiyāt bahan,masiyā bahan,masiyā bahan,phoiyāt bahan,mauḷāi bahan,pitarāi bahan,pitarāi bhāi,moṭā bhāi,kākā,kākā,bāp,phaī,mā,phaī,kākā,māsī,māsī,māsī,māsī,māmā,bāp,phaī,māmā,phaī,mā,māmā,māsī,māsī,mōṭā bāpu,phaī,māmā,kākā,māmā,mōṭā bāpu,māmā,phaī
1,0.3908467239592677,1.794766614072929,1.4039198901136614,pitarāi bahan,pitarāi bahan,phoiyāt bhāi,phoiyāt bhāi,bahan,bhāi,pitarāi bahan,masiyā bhāi,mauḷāi bhāi,pitarāi bhāi,phoiyāt bahan,masiyā bahan,phoiyāt bahan,masiyā bhāi,pitarāi bhāi,pitarāi bhāi,phoiyāt bahan,masiyā bahan,masiyā bahan,masiyā bhāi,masiyā bhāi,pitarāi bahan,masiyā bhāi,phoiyāt bahan,moṭi ben,mauḷāi bahan,bahan,phoiyāt bhāi,pitarāi bhāi,mauḷāi bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,pitarāi bhāi,pitarāi bahan,mauḷāi bahan,mauḷāi bahan,bahan,masiyā bahan,phoiyāt bhāi,mauḷāi bhāi,pitarāi bhāi,masiyā bhāi,phoiyāt bahan,mauḷāi bahan,pitarāi bhāi,phoiyāt bhāi,phoiyāt bhāi,phoiyāt bahan,mauḷāi bahan,mauḷāi bhāi,mauḷāi bhāi,masiyā bhāi,mauḷāi bhāi,moṭā bhāi,pitarāi bahan,phoiyāt bhāi,mauḷāi bhāi,pitarāi bhāi,mauḷāi bhāi,pitarāi bhāi,masiyā bahan,phoiyāt bhāi,mauḷāi bahan,phoiyāt bahan,masiyā bhāi,masiyā bahan,phoiyāt bahan,bahan,mauḷāi bahan,mauḷāi bahan,masiyā bahan,pitarāi bahan,moṭā bhāi,masiyā bahan,pitarāi bahan,phoiyāt bahan,bhāi,moṭi ben,phoiyāt bhāi,bhāi,pitarāi bahan,bhāi,phoiyāt bhāi,masiyā bahan,phoiyāt bahan,mauḷāi bhāi,masiyā bhāi,mauḷāi bhāi,bāp,māmā,phaī,māsī,māsī,māmā,mōṭā bāpu,mā,māsī,māmā,phaī,mōṭā bāpu,bāp,kākā,kākā,mā,māsī,māmā,phaī,māsī,māsī,māmā,phaī,māmā,kākā,phaī,phaī,kākā
2,0.41016700702590514,1.8304564183096081,1.420289411283703,bahan,bhāi,masiyā bhāi,masiyā bhāi,phoiyāt bahan,phoiyāt bahan,bahan,pitarāi bhāi,mauḷāi bhāi,mauḷāi bhāi,mauḷāi bahan,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,masiyā bhāi,pitarāi bhāi,moṭā bhāi,mauḷāi bahan,pitarāi bhāi,masiyā bahan,phoiyāt bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bahan,masiyā bhāi,phoiyāt bahan,pitarāi bahan,moṭi ben,phoiyāt bhāi,pitarāi bahan,phoiyāt bhāi,masiyā bahan,mauḷāi bhāi,pitarāi bahan,mauḷāi bahan,bahan,masiyā bhāi,pitarāi bahan,mauḷāi bahan,pitarāi bahan,pitarāi bhāi,pitarāi bahan,mauḷāi bahan,masiyā bhāi,mauḷāi bhāi,bhāi,mauḷāi bahan,pitarāi bhāi,mauḷāi bahan,pitarāi bahan,moṭi ben,mauḷāi bhāi,phoiyāt bahan,phoiyāt bahan,bhāi,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,phoiyāt bhāi,masiyā bhāi,pitarāi bahan,masiyā bahan,masiyā bahan,mauḷāi bhāi,mauḷāi bhāi,phoiyāt bahan,mauḷāi bahan,mauḷāi bahan,bahan,mauḷāi bhāi,phoiyāt bahan,masiyā bahan,pitarāi bhāi,phoiyāt bahan,masiyā bhāi,masiyā bahan,pitarāi bahan,moṭā bhāi,pitarāi bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,bhāi,pitarāi bhāi,mauḷāi bhāi,phoiyāt bhāi,masiyā bhāi,pitarāi bhāi,phoiyāt bhāi,phoiyāt bahan,phaī,māsī,māsī,phaī,mōṭā bāpu,mā,māsī,phaī,māsī,mōṭā bāpu,māmā,māmā,māsī,kākā,phaī,mā,māmā,phaī,kākā,kākā,bāp,māsī,māmā,bāp,māmā,phaī,māmā,kākā
3,0.4353963106336396,1.8071725408126942,1.3717762301790546,phoiyāt bhāi,pitarāi bahan,pitarāi bahan,mauḷāi bhāi,phoiyāt bahan,masiyā bahan,masiyā bahan,masiyā bhāi,pitarāi bahan,bahan,masiyā bhāi,pitarāi bahan,masiyā bahan,masiyā bhāi,mauḷāi bahan,bahan,moṭi ben,moṭā bhāi,pitarāi bhāi,mauḷāi bhāi,bhāi,phoiyāt bahan,phoiyāt bahan,mauḷāi bhāi,masiyā bahan,phoiyāt bahan,bhāi,mauḷāi bahan,masiyā bhāi,masiyā bahan,masiyā bahan,pitarāi bhāi,phoiyāt bahan,masiyā bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bhāi,mauḷāi bahan,masiyā bhāi,phoiyāt bhāi,phoiyāt bahan,mauḷāi bhāi,pitarāi bhāi,phoiyāt bhāi,phoiyāt bhāi,phoiyāt bhāi,pitarāi bhāi,phoiyāt bahan,phoiyāt bhāi,mauḷāi bahan,bahan,pitarāi bhāi,phoiyāt bhāi,mauḷāi bahan,mauḷāi bhāi,bhāi,mauḷāi bhāi,masiyā bhāi,phoiyāt bhāi,bahan,phoiyāt bahan,pitarāi bahan,pitarāi bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bhāi,pitarāi bhāi,masiyā bhāi,phoiyāt bahan,bhāi,mauḷāi bahan,moṭi ben,masiyā bahan,mauḷāi bhāi,masiyā bahan,mauḷāi bahan,pitarāi bahan,phoiyāt bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,pitarāi bhāi,mauḷāi bahan,pitarāi bahan,pitarāi bahan,moṭā bhāi,masiyā bhāi,masiyā bhāi,mauḷāi bhāi,māsī,kākā,mā,māmā,mōṭā bāpu,māsī,phaī,māsī,māmā,māmā,phaī,māmā,māsī,kākā,kākā,bāp,phaī,māmā,bāp,mā,māmā,phaī,mōṭā bāpu,māsī,phaī,kākā,phaī,māsī
4,0.36719925477690296,1.8271379815766018,1.4599387267996988,masiyā bahan,mauḷāi bhāi,moṭā bhāi,mauḷāi bhāi,masiyā bhāi,masiyā bhāi,moṭā bhāi,masiyā bahan,pitarāi bahan,mauḷāi bahan,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,masiyā bhāi,pitarāi bhāi,mauḷāi bahan,pitarāi bhāi,bahan,masiyā bhāi,masiyā bahan,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,pitarāi bhāi,mauḷāi bhāi,phoiyāt bhāi,pitarāi bahan,mauḷāi bahan,phoiyāt bahan,masiyā bahan,pitarāi bhāi,bahan,mauḷāi bhāi,phoiyāt bhāi,bhāi,phoiyāt bhāi,masiyā bhāi,phoiyāt bahan,masiyā bahan,masiyā bhāi,pitarāi bahan,phoiyāt bhāi,mauḷāi bahan,masiyā bahan,pitarāi bhāi,mauḷāi bhāi,pitarāi bahan,phoiyāt bhāi,bhāi,bahan,pitarāi bahan,mauḷāi bhāi,mauḷāi bahan,masiyā bhāi,phoiyāt bhāi,phoiyāt bahan,pitarāi bahan,pitarāi bahan,bahan,mauḷāi bahan,phoiyāt bhāi,pitarāi bahan,mauḷāi bahan,moṭi ben,phoiyāt bahan,phoiyāt bahan,bhāi,masiyā bhāi,phoiyāt bahan,phoiyāt bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bahan,phoiyāt bahan,phoiyāt bahan,bhāi,mauḷāi bhāi,pitarāi bhāi,mauḷāi bhāi,masiyā bahan,pitarāi bahan,masiyā bhāi,phoiyāt bahan,phoiyāt bhāi,pitarāi bhāi,moṭi ben,mauḷāi bhāi,pitarāi bhāi,pitarāi bhāi,masiyā bahan,mōṭā bāpu,mā,bāp,kākā,kākā,phaī,bāp,māsī,māmā,māmā,mōṭā bāpu,phaī,phaī,kākā,māsī,mā,māmā,māmā,phaī,phaī,māmā,phaī,kākā,māsī,māsī,māsī,māmā,māsī
5,0.44692618893017144,1.8314550692129883,1.3845288802828168,masiyā bhāi,pitarāi bhāi,mauḷāi bahan,phoiyāt bhāi,bhāi,phoiyāt bahan,phoiyāt bahan,mauḷāi bahan,masiyā bhāi,mauḷāi bahan,pitarāi bahan,pitarāi bahan,masiyā bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bhāi,masiyā bahan,phoiyāt bahan,masiyā bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bhāi,phoiyāt bhāi,phoiyāt bhāi,masiyā bahan,pitarāi bahan,mauḷāi bhāi,mauḷāi bahan,bahan,mauḷāi bhāi,phoiyāt bahan,phoiyāt bhāi,phoiyāt bhāi,masiyā bhāi,mauḷāi bhāi,mauḷāi bhāi,pitarāi bhāi,mauḷāi bahan,pitarāi bhāi,bhāi,masiyā bhāi,mauḷāi bhāi,moṭā bhāi,mauḷāi bhāi,masiyā bahan,masiyā bhāi,pitarāi bhāi,bhāi,phoiyāt bahan,mauḷāi bahan,pitarāi bahan,mauḷāi bahan,phoiyāt bahan,pitarāi bahan,phoiyāt bahan,phoiyāt bhāi,pitarāi bhāi,bahan,pitarāi bhāi,phoiyāt bahan,mauḷāi bhāi,mauḷāi bhāi,masiyā bahan,phoiyāt bhāi,mauḷāi bahan,mauḷāi bahan,masiyā bahan,moṭā bhāi,bahan,masiyā bahan,moṭi ben,bahan,mauḷāi bhāi,masiyā bahan,mauḷāi bahan,masiyā bahan,masiyā bahan,moṭi ben,pitarāi bahan,pitarāi bahan,bhāi,mauḷāi bhāi,phoiyāt bahan,pitarāi bhāi,phoiyāt bahan,māsī,māmā,kākā,māmā,phaī,māsī,māmā,mā,māsī,phaī,phaī,phaī,kākā,kākā,māmā,phaī,māsī,phaī,kākā,māsī,mōṭā bāpu,māsī,mōṭā bāpu,māmā,mā,bāp,māmā,bāp
6,0.4085350892057651,1.8446041457371076,1.4360690565313425,pitarāi bhāi,phoiyāt bhāi,mauḷāi bhāi,phoiyāt bahan,bhāi,masiyā bhāi,bhāi,pitarāi bahan,phoiyāt bahan,phoiyāt bhāi,phoiyāt bahan,bahan,pitarāi bahan,mauḷāi bahan,mauḷāi bhāi,bahan,moṭā bhāi,phoiyāt bhāi,masiyā bahan,pitarāi bahan,pitarāi bhāi,masiyā bhāi,moṭi ben,pitarāi bahan,mauḷāi bhāi,masiyā bahan,mauḷāi bhāi,phoiyāt bhāi,masiyā bhāi,mauḷāi bhāi,masiyā bahan,mauḷāi bahan,pitarāi bhāi,phoiyāt bhāi,mauḷāi bahan,pitarāi bhāi,masiyā bahan,phoiyāt bhāi,pitarāi bahan,masiyā bahan,bahan,mauḷāi bahan,masiyā bahan,bhāi,pitarāi bahan,phoiyāt bahan,mauḷāi bhāi,pitarāi bhāi,moṭā bhāi,phoiyāt bhāi,phoiyāt bahan,pitarāi bhāi,masiyā bhāi,pitarāi bahan,mauḷāi bhāi,masiyā bhāi,mauḷāi bahan,masiyā bhāi,pitarāi bahan,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,bhāi,masiyā bhāi,masiyā bahan,phoiyāt bahan,phoiyāt bahan,phoiyāt bahan,phoiyāt bahan,mauḷāi bahan,phoiyāt bahan,mauḷāi bahan,masiyā bhāi,masiyā bahan,pitarāi bahan,pitarāi bhāi,masiyā bahan,pitarāi bhāi,pitarāi bhāi,phoiyāt bhāi,moṭi ben,masiyā bahan,mauḷāi bhāi,mauḷāi bahan,bahan,pitarāi bhāi,phoiyāt bhāi,phoiyāt bhāi,masiyā bhāi,mauḷāi bahan,māsī,māsī,phaī,mōṭā bāpu,mōṭā bāpu,phaī,phaī,māmā,kākā,kākā,kākā,māmā,mā,māsī,bāp,māmā,bāp,māmā,kākā,mā,māsī,māsī,māmā,phaī,phaī,māsī,phaī,māmā
7,0.3075172673378326,1.8158089839523768,1.5082917166145442,pitarāi bahan,mauḷāi bahan,mauḷāi bahan,pitarāi bahan,masiyā bhāi,phoiyāt bhāi,masiyā bhāi,pitarāi bhāi,phoiyāt bhāi,mauḷāi bhāi,bahan,phoiyāt bahan,bhāi,bahan,phoiyāt bahan,mauḷāi bhāi,pitarāi bahan,phoiyāt bahan,pitarāi bhāi,masiyā bhāi,masiyā bahan,mauḷāi bahan,phoiyāt bhāi,pitarāi bahan,mauḷāi bahan,bahan,pitarāi bahan,mauḷāi bhāi,mauḷāi bhāi,bahan,mauḷāi bhāi,moṭā bhāi,phoiyāt bhāi,masiyā bahan,masiyā bahan,pitarāi bhāi,masiyā bhāi,mauḷāi bahan,mauḷāi bhāi,phoiyāt bhāi,mauḷāi bhāi,mauḷāi bahan,masiyā bahan,phoiyāt bhāi,masiyā bahan,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,phoiyāt bahan,pitarāi bhāi,phoiyāt bhāi,masiyā bhāi,masiyā bhāi,moṭi ben,bhāi,phoiyāt bahan,phoiyāt bahan,phoiyāt bahan,mauḷāi bhāi,pitarāi bahan,pitarāi bhāi,pitarāi bahan,bhāi,pitarāi bahan,moṭi ben,bhāi,pitarāi bhāi,phoiyāt bahan,pitarāi bahan,masiyā bhāi,phoiyāt bahan,pitarāi bhāi,masiyā bahan,phoiyāt bahan,pitarāi bhāi,masiyā bahan,pitarāi bhāi,mauḷāi bahan,masiyā bhāi,masiyā bahan,mauḷāi bahan,phoiyāt bhāi,pitarāi bhāi,phoiyāt bhāi,phoiyāt bhāi,masiyā bahan,mauḷāi bahan,masiyā bahan,masiyā bhāi,moṭā bhāi,bāp,mōṭā bāpu,phaī,phaī,phaī,māsī,māmā,māmā,mā,kākā,mōṭā bāpu,māmā,phaī,phaī,mā,kākā,māsī,phaī,māsī,māsī,bāp,māmā,kākā,māmā,māmā,kākā,māsī,māsī
8,0.47860481702754076,1.834753163227088,1.3561483461995472,phoiyāt bahan,phoiyāt bahan,mauḷāi bhāi,masiyā bahan,bahan,phoiyāt bhāi,masiyā bahan,bhāi,pitarāi bhāi,masiyā bahan,pitarāi bahan,masiyā bahan,phoiyāt bhāi,pitarāi bhāi,masiyā bahan,mauḷāi bahan,moṭi ben,phoiyāt bhāi,pitarāi bhāi,pitarāi bahan,pitarāi bahan,mauḷāi bahan,phoiyāt bahan,masiyā bhāi,pitarāi bhāi,moṭā bhāi,masiyā bhāi,pitarāi bahan,phoiyāt bhāi,mauḷāi bhāi,phoiyāt bahan,bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bahan,phoiyāt bahan,phoiyāt bahan,bhāi,moṭi ben,masiyā bahan,pitarāi bhāi,mauḷāi bhāi,pitarāi bhāi,masiyā bhāi,moṭā bhāi,phoiyāt bahan,masiyā bhāi,masiyā bahan,phoiyāt bahan,bhāi,mauḷāi bhāi,mauḷāi bhāi,pitarāi bahan,masiyā bahan,bahan,mauḷāi bahan,masiyā bahan,mauḷāi bhāi,mauḷāi bahan,phoiyāt bhāi,masiyā bhāi,phoiyāt bhāi,phoiyāt bhāi,phoiyāt bahan,masiyā bhāi,masiyā bhāi,pitarāi bahan,mauḷāi bahan,pitarāi bahan,phoiyāt bhāi,pitarāi bhāi,bhāi,bahan,mauḷāi bhāi,pitarāi bahan,phoiyāt bhāi,mauḷāi bahan,pitarāi bhāi,masiyā bahan,mauḷāi bhāi,masiyā bhāi,masiyā bhāi,mauḷāi bahan,mauḷāi bhāi,mauḷāi bahan,phoiyāt bhāi,pitarāi bhāi,mauḷāi bhāi,phoiyāt bahan,pitarāi bahan,phaī,māmā,mōṭā bāpu,kākā,māmā,kākā,māmā,māsī,phaī,mā,phaī,māsī,kākā,mā,māsī,māsī,bāp,māmā,phaī,phaī,phaī,bāp,mōṭā bāpu,māmā,kākā,māsī,māmā,māsī
9,0.45421249883839865,1.8353137608579169,1.3811012620195182,mauḷāi bhāi,phoiyāt bahan,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,moṭā bhāi,phoiyāt bahan,mauḷāi bhāi,pitarāi bhāi,pitarāi bhāi,masiyā bhāi,phoiyāt bhāi,pitarāi bhāi,pitarāi bhāi,phoiyāt bhāi,pitarāi bahan,mauḷāi bahan,pitarāi bhāi,mauḷāi bahan,mauḷāi bahan,phoiyāt bhāi,pitarāi bhāi,masiyā bhāi,pitarāi bahan,phoiyāt bhāi,masiyā bahan,mauḷāi bhāi,pitarāi bhāi,masiyā bhāi,phoiyāt bahan,mauḷāi bahan,phoiyāt bahan,bhāi,pitarāi bahan,masiyā bhāi,phoiyāt bhāi,masiyā bahan,phoiyāt bhāi,mauḷāi bhāi,masiyā bahan,mauḷāi bahan,mauḷāi bahan,phoiyāt bhāi,masiyā bhāi,pitarāi bhāi,pitarāi bahan,masiyā bhāi,phoiyāt bahan,mauḷāi bhāi,masiyā bhāi,mauḷāi bahan,masiyā bahan,masiyā bhāi,mauḷāi bhāi,bhāi,moṭā bhāi,pitarāi bahan,moṭi ben,moṭi ben,masiyā bahan,phoiyāt bahan,phoiyāt bahan,mauḷāi bhāi,pitarāi bahan,mauḷāi bhāi,bhāi,pitarāi bahan,pitarāi bhāi,bahan,mauḷāi bahan,phoiyāt bhāi,phoiyāt bahan,bahan,masiyā bhāi,masiyā bahan,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,phoiyāt bahan,mauḷāi bahan,bahan,masiyā bahan,mauḷāi bhāi,pitarāi bhāi,pitarāi bahan,masiyā bahan,bahan,bhāi,phoiyāt bahan,pitarāi bahan,māmā,phaī,phaī,kākā,mōṭā bāpu,māmā,kākā,bāp,māmā,māsī,māmā,bāp,māsī,māsī,māmā,mā,māsī,phaī,kākā,phaī,mā,māsī,phaī,māsī,mōṭā bāpu,phaī,kākā,māmā
