simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.38430735624364454,1.6243743072397518,1.2400669509961073,onupoeg,sətsetütar̃,tædipoeg,sətsepoeg,onupoeg,sətsetütar̃,onupoeg,lellepoeg,sətsepoeg,lellepoeg,sətsetütar̃,noor̃em wend,lelletütar̃,onupoeg,onupoeg,sətsetütar̃,lellepoeg,lelletütar̃,onutütar̃,wend,sətsepoeg,wend,onutütar̃,onutütar̃,sətsetütar̃,tæditütar̃,sətsepoeg,onutütar̃,onutütar̃,onupoeg,sətsepoeg,lellepoeg,lelletütar̃,lelletütar̃,sətsepoeg,onutütar̃,lellepoeg,sətsetütar̃,onupoeg,tæditütar̃,sətsepoeg,lelletütar̃,lelletütar̃,noor̃em əde,tæditütar̃,tæditütar̃,tædipoeg,lellepoeg,lellepoeg,noor̃em wend,sətsetütar̃,tæditütar̃,lellepoeg,onutütar̃,sətsetütar̃,sətsepoeg,tæditütar̃,onupoeg,tædipoeg,onupoeg,tæditütar̃,noor̃em əde,sətsetütar̃,onutütar̃,tædipoeg,tædipoeg,lelletütar̃,əde,tæditütar̃,onutütar̃,lellepoeg,əde,tædipoeg,onutütar̃,tæditütar̃,lelletütar̃,sətsepoeg,tæditütar̃,lelletütar̃,sətsetütar̃,sətsepoeg,tædipoeg,tædipoeg,onupoeg,tædipoeg,lellepoeg,sətse,sətse,lell,lell,onu,onu,sətse,sətse,sətse,tædi,lell,onu,tædi,isa,onu,onu,onu,lell,sətse,isa,lell,ema,tædi,tædi,lell,tædi,tædi,ema
1,0.4345499113282434,1.6600233756680323,1.2254734643397889,onupoeg,lellepoeg,noor̃em əde,tædipoeg,sətsepoeg,tæditütar̃,onupoeg,tæditütar̃,onupoeg,onupoeg,onupoeg,onupoeg,lellepoeg,lelletütar̃,tædipoeg,sətsetütar̃,tæditütar̃,lellepoeg,lelletütar̃,onutütar̃,sətsepoeg,sətsepoeg,sətsetütar̃,sətsepoeg,tæditütar̃,tæditütar̃,əde,tædipoeg,sətsetütar̃,sətsetütar̃,tæditütar̃,lellepoeg,sətsetütar̃,onutütar̃,sətsetütar̃,lelletütar̃,sətsetütar̃,sətsetütar̃,onutütar̃,sətsetütar̃,tædipoeg,wend,tæditütar̃,lellepoeg,onutütar̃,əde,lelletütar̃,lelletütar̃,onupoeg,lelletütar̃,tæditütar̃,lellepoeg,sətsepoeg,onupoeg,sətsepoeg,lellepoeg,lelletütar̃,tæditütar̃,sətsepoeg,noor̃em wend,onutütar̃,tædipoeg,noor̃em wend,tædipoeg,sətsepoeg,wend,onupoeg,onutütar̃,lellepoeg,onutütar̃,noor̃em əde,lellepoeg,tædipoeg,lellepoeg,onupoeg,sətsepoeg,onutütar̃,sətsetütar̃,onutütar̃,lelletütar̃,tædipoeg,tædipoeg,sətsepoeg,lelletütar̃,tæditütar̃,onutütar̃,lell,sətse,ema,tædi,tædi,sətse,sətse,onu,lell,onu,onu,tædi,onu,isa,tædi,sətse,lell,tædi,onu,sətse,tædi,isa,ema,lell,onu,sətse,lell,lell
2,0.3992826270686747,1.664813461663947,1.2655308345952723,tæditütar̃,əde,tæditütar̃,onutütar̃,onutütar̃,noor̃em əde,onutütar̃,sətsetütar̃,onutütar̃,tædipoeg,lelletütar̃,sətsetütar̃,sətsetütar̃,onutütar̃,onupoeg,tædipoeg,sətsetütar̃,tæditütar̃,onupoeg,sətsetütar̃,onupoeg,tæditütar̃,lellepoeg,onupoeg,tæditütar̃,onupoeg,lellepoeg,sətsepoeg,onupoeg,tædipoeg,sətsetütar̃,lelletütar̃,tædipoeg,lellepoeg,sətsetütar̃,lellepoeg,onutütar̃,wend,lellepoeg,tædipoeg,noor̃em əde,sətsetütar̃,lelletütar̃,tæditütar̃,əde,lelletütar̃,sətsepoeg,sətsepoeg,lellepoeg,onutütar̃,sətsepoeg,lellepoeg,lelletütar̃,lellepoeg,lelletütar̃,sətsetütar̃,sətsepoeg,tæditütar̃,onupoeg,onupoeg,onutütar̃,lelletütar̃,onutütar̃,tæditütar̃,tædipoeg,lelletütar̃,sətsetütar̃,sətsepoeg,lelletütar̃,sətsepoeg,tædipoeg,lellepoeg,noor̃em wend,sətsepoeg,onupoeg,wend,tædipoeg,sətsepoeg,sətsepoeg,onupoeg,tæditütar̃,tæditütar̃,lellepoeg,onutütar̃,tædipoeg,noor̃em wend,onu,isa,sətse,lell,lell,sətse,lell,onu,onu,onu,lell,onu,sətse,tædi,isa,tædi,tædi,ema,sətse,lell,ema,onu,lell,tædi,sətse,tædi,sətse,tædi
3,0.38365975164319943,1.6620989054585749,1.2784391538153754,lelletütar̃,tædipoeg,onutütar̃,onutütar̃,tædipoeg,onutütar̃,noor̃em wend,onupoeg,onupoeg,lelletütar̃,tædipoeg,tæditütar̃,onupoeg,sətsepoeg,lellepoeg,tæditütar̃,sətsepoeg,lellepoeg,lelletütar̃,onutütar̃,sətsepoeg,sətsetütar̃,onutütar̃,sətsetütar̃,onupoeg,onupoeg,sətsetütar̃,sətsepoeg,sətsepoeg,onutütar̃,onupoeg,noor̃em əde,onutütar̃,sətsetütar̃,lellepoeg,onutütar̃,lellepoeg,tædipoeg,tæditütar̃,lellepoeg,sətsetütar̃,tæditütar̃,lelletütar̃,tædipoeg,lelletütar̃,sətsetütar̃,wend,sətsetütar̃,sətsepoeg,lelletütar̃,lellepoeg,onupoeg,tæditütar̃,onutütar̃,sətsetütar̃,sətsepoeg,lellepoeg,lelletütar̃,onupoeg,tædipoeg,wend,tædipoeg,lellepoeg,tæditütar̃,tæditütar̃,tædipoeg,sətsepoeg,onupoeg,tædipoeg,tæditütar̃,lellepoeg,əde,tæditütar̃,sətsepoeg,onupoeg,onutütar̃,sətsepoeg,sətsetütar̃,noor̃em əde,lellepoeg,əde,sətsetütar̃,lelletütar̃,tæditütar̃,noor̃em wend,lelletütar̃,lell,onu,onu,lell,sətse,sətse,ema,tædi,onu,sətse,isa,sətse,sətse,tædi,lell,sətse,onu,lell,lell,tædi,onu,onu,ema,tædi,tædi,tædi,isa,lell
4,0.4012535368247623,1.700544733884369,1.2992911970596068,lelletütar̃,sətsepoeg,lellepoeg,onutütar̃,onupoeg,tædipoeg,tæditütar̃,lellepoeg,tæditütar̃,lelletütar̃,onupoeg,tædipoeg,sətsepoeg,sətsetütar̃,onupoeg,lelletütar̃,lellepoeg,tæditütar̃,onupoeg,tædipoeg,tæditütar̃,lellepoeg,sətsetütar̃,tædipoeg,tædipoeg,lellepoeg,lelletütar̃,lelletütar̃,əde,tæditütar̃,tæditütar̃,tædipoeg,lellepoeg,onupoeg,sətsetütar̃,sətsetütar̃,onupoeg,noor̃em əde,onupoeg,sətsepoeg,onutütar̃,wend,onutütar̃,onupoeg,tædipoeg,sətsepoeg,sətsetütar̃,onutütar̃,noor̃em wend,tæditütar̃,lelletütar̃,lelletütar̃,tædipoeg,wend,onutütar̃,sətsepoeg,onupoeg,lellepoeg,əde,sətsetütar̃,onutütar̃,noor̃em əde,onutütar̃,lellepoeg,lellepoeg,onutütar̃,onutütar̃,tæditütar̃,tæditütar̃,sətsepoeg,sətsetütar̃,sətsepoeg,sətsepoeg,lelletütar̃,sətsetütar̃,sətsepoeg,sətsepoeg,tædipoeg,tæditütar̃,sətsetütar̃,sətsetütar̃,onutütar̃,lelletütar̃,onupoeg,noor̃em wend,lellepoeg,sətse,tædi,ema,tædi,tædi,tædi,lell,onu,sətse,sətse,ema,lell,lell,lell,onu,tædi,lell,sətse,lell,onu,isa,sətse,sətse,onu,tædi,isa,onu,onu
5,0.3975880639879432,1.6912528133050426,1.2936647493170994,lelletütar̃,tæditütar̃,lellepoeg,sətsetütar̃,onutütar̃,tædipoeg,onutütar̃,sətsepoeg,wend,tædipoeg,sətsetütar̃,əde,onupoeg,noor̃em əde,onupoeg,sətsepoeg,tæditütar̃,onupoeg,lelletütar̃,lelletütar̃,onutütar̃,noor̃em wend,tæditütar̃,lellepoeg,onupoeg,tæditütar̃,sətsetütar̃,onupoeg,sətsetütar̃,tædipoeg,sətsetütar̃,lelletütar̃,noor̃em wend,onutütar̃,lelletütar̃,sətsetütar̃,sətsepoeg,sətsepoeg,onupoeg,tædipoeg,tædipoeg,lellepoeg,lelletütar̃,onupoeg,tæditütar̃,onutütar̃,lellepoeg,sətsepoeg,tædipoeg,tædipoeg,lellepoeg,sətsepoeg,tæditütar̃,onutütar̃,onutütar̃,sətsepoeg,tæditütar̃,tædipoeg,sətsepoeg,sətsetütar̃,lellepoeg,onupoeg,sətsepoeg,lellepoeg,onupoeg,onutütar̃,onupoeg,tæditütar̃,lellepoeg,tæditütar̃,onutütar̃,wend,tæditütar̃,noor̃em əde,sətsetütar̃,lelletütar̃,sətsepoeg,tædipoeg,sətsetütar̃,lellepoeg,əde,lelletütar̃,lelletütar̃,sətsetütar̃,onutütar̃,lellepoeg,lell,lell,tædi,lell,tædi,isa,sətse,lell,lell,onu,sətse,sətse,isa,onu,onu,sətse,sətse,ema,tædi,sətse,lell,tædi,tædi,ema,tædi,onu,onu,onu
6,0.40448106442304677,1.7432268971696616,1.3387458327466148,onupoeg,onupoeg,lellepoeg,sətsetütar̃,tæditütar̃,lellepoeg,onupoeg,lellepoeg,tæditütar̃,lelletütar̃,lelletütar̃,lelletütar̃,onutütar̃,sətsepoeg,sətsetütar̃,lelletütar̃,onupoeg,onutütar̃,onutütar̃,noor̃em wend,tædipoeg,lellepoeg,tæditütar̃,onupoeg,tæditütar̃,sətsepoeg,sətsetütar̃,onutütar̃,sətsepoeg,tædipoeg,sətsetütar̃,sətsetütar̃,sətsepoeg,lelletütar̃,tæditütar̃,noor̃em əde,onutütar̃,sətsetütar̃,tædipoeg,tædipoeg,lellepoeg,lellepoeg,onutütar̃,tæditütar̃,tædipoeg,onupoeg,sətsetütar̃,tædipoeg,sətsepoeg,tæditütar̃,sətsepoeg,sətsetütar̃,onupoeg,onupoeg,wend,lellepoeg,tæditütar̃,onutütar̃,tæditütar̃,lelletütar̃,noor̃em wend,onupoeg,tædipoeg,sətsetütar̃,onutütar̃,əde,noor̃em əde,onutütar̃,sətsepoeg,sətsepoeg,lelletütar̃,tædipoeg,onupoeg,lelletütar̃,lellepoeg,lellepoeg,əde,tædipoeg,lelletütar̃,sətsepoeg,sətsepoeg,tæditütar̃,sətsetütar̃,onutütar̃,lellepoeg,wend,sətse,lell,ema,tædi,sətse,isa,onu,tædi,tædi,ema,lell,onu,onu,sətse,tædi,isa,tædi,onu,onu,tædi,sətse,sətse,lell,sətse,lell,lell,lell,onu
7,0.39175081451624383,1.6722505509791599,1.280499736462916,lelletütar̃,lellepoeg,sətsetütar̃,sətsepoeg,onutütar̃,sətsepoeg,onutütar̃,sətsetütar̃,lellepoeg,onutütar̃,tædipoeg,tæditütar̃,onutütar̃,onutütar̃,lelletütar̃,onutütar̃,onupoeg,lelletütar̃,tæditütar̃,tædipoeg,lelletütar̃,lellepoeg,sətsepoeg,noor̃em əde,lelletütar̃,sətsetütar̃,sətsetütar̃,sətsepoeg,əde,onupoeg,sətsepoeg,onupoeg,onupoeg,sətsepoeg,onutütar̃,wend,lellepoeg,tædipoeg,tædipoeg,sətsetütar̃,sətsepoeg,lelletütar̃,onutütar̃,tæditütar̃,lellepoeg,sətsepoeg,onutütar̃,lellepoeg,onupoeg,sətsetütar̃,onutütar̃,lellepoeg,noor̃em wend,lelletütar̃,onupoeg,tæditütar̃,onupoeg,sətsetütar̃,onupoeg,tæditütar̃,sətsetütar̃,tædipoeg,sətsetütar̃,tæditütar̃,əde,tæditütar̃,sətsepoeg,sətsepoeg,noor̃em əde,sətsetütar̃,tæditütar̃,tæditütar̃,tædipoeg,lelletütar̃,lellepoeg,onupoeg,noor̃em wend,onupoeg,tædipoeg,wend,lellepoeg,lelletütar̃,tædipoeg,lellepoeg,tæditütar̃,tædipoeg,sətse,lell,onu,sətse,sətse,onu,lell,ema,tædi,isa,onu,tædi,lell,tædi,sətse,ema,tædi,lell,lell,tædi,sətse,onu,onu,onu,isa,lell,sətse,tædi
8,0.44889415083806683,1.7315399903784743,1.2826458395404075,sətsepoeg,onupoeg,sətsepoeg,əde,sətsepoeg,lelletütar̃,lellepoeg,tædipoeg,sətsetütar̃,əde,sətsetütar̃,lellepoeg,tædipoeg,noor̃em wend,lellepoeg,onutütar̃,tæditütar̃,onupoeg,onutütar̃,noor̃em əde,sətsetütar̃,sətsepoeg,lellepoeg,tædipoeg,sətsetütar̃,onupoeg,noor̃em əde,sətsepoeg,tæditütar̃,onutütar̃,sətsetütar̃,tædipoeg,onupoeg,lelletütar̃,sətsetütar̃,lellepoeg,tæditütar̃,onupoeg,wend,onupoeg,tæditütar̃,onutütar̃,onutütar̃,tæditütar̃,lelletütar̃,onupoeg,tædipoeg,lelletütar̃,tæditütar̃,onutütar̃,lellepoeg,onutütar̃,sətsetütar̃,lelletütar̃,lelletütar̃,sətsepoeg,tædipoeg,tæditütar̃,lellepoeg,tædipoeg,lellepoeg,sətsepoeg,sətsepoeg,onupoeg,tæditütar̃,lelletütar̃,onupoeg,onutütar̃,onutütar̃,onutütar̃,sətsetütar̃,sətsepoeg,tædipoeg,lelletütar̃,onupoeg,noor̃em wend,tæditütar̃,tædipoeg,sətsetütar̃,lellepoeg,tæditütar̃,lelletütar̃,sətsetütar̃,lellepoeg,wend,sətsepoeg,onu,sətse,sətse,ema,sətse,sətse,tædi,onu,lell,isa,tædi,isa,sətse,lell,tædi,tædi,ema,lell,lell,lell,onu,lell,onu,onu,tædi,sətse,onu,tædi
9,0.41081984252363424,1.6936539964097477,1.2828341538861134,sətsetütar̃,onupoeg,onutütar̃,tæditütar̃,sətsepoeg,onutütar̃,onupoeg,lellepoeg,sətsetütar̃,lellepoeg,sətsetütar̃,onutütar̃,onupoeg,lelletütar̃,lellepoeg,noor̃em əde,sətsetütar̃,tæditütar̃,onutütar̃,lelletütar̃,sətsetütar̃,sətsepoeg,tædipoeg,sətsepoeg,lelletütar̃,onutütar̃,sətsepoeg,lelletütar̃,lelletütar̃,onupoeg,onupoeg,lellepoeg,noor̃em əde,əde,lellepoeg,tæditütar̃,onupoeg,onutütar̃,tæditütar̃,onutütar̃,lellepoeg,onupoeg,tæditütar̃,sətsepoeg,sətsepoeg,sətsepoeg,onutütar̃,tæditütar̃,wend,lelletütar̃,tædipoeg,onupoeg,sətsetütar̃,tædipoeg,onupoeg,tæditütar̃,noor̃em wend,wend,lellepoeg,tædipoeg,lelletütar̃,sətsepoeg,əde,sətsetütar̃,onupoeg,tæditütar̃,sətsetütar̃,tædipoeg,tædipoeg,tædipoeg,lellepoeg,onutütar̃,noor̃em wend,lellepoeg,onutütar̃,sətsepoeg,lellepoeg,lelletütar̃,tædipoeg,tædipoeg,tæditütar̃,lelletütar̃,tæditütar̃,sətsepoeg,sətsetütar̃,sətsetütar̃,ema,onu,onu,lell,onu,lell,onu,tædi,onu,isa,lell,tædi,sətse,onu,isa,sətse,ema,sətse,sətse,lell,sətse,lell,tædi,lell,tædi,sətse,tædi,tædi
