simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.004143433819589926,0.5982695885852573,0.5941261547656673,andi,kaka,kaka,kaka,andi,andi,andi,lakine,lakine,uma,lakine,ine,lakine,lakiama,lakiama,lakiama,lakine,lakine,lakiama,lakine,lakiama,lakiama,lakiama,uma,ine,lakiama,lakine
1,0.004143433819589926,0.5982695885852573,0.5941261547656673,andi,andi,kaka,andi,kaka,kaka,andi,lakiama,lakiama,lakine,lakiama,lakine,lakine,lakiama,ine,lakine,lakiama,lakine,lakine,lakiama,uma,lakine,lakiama,uma,lakiama,ine,lakine
2,0.014032215111297486,1.0789922078775833,1.0649599927662858,andi,kaka,andi,andi,kaka,andi,kaka,lakiama,lakiama,ine,lakine,ine,lakine,lakiama,lakine,lakine,uma,lakiama,uma,lakiama,lakine,lakiama,lakiama,lakine,lakiama,lakine,lakine
3,0.005147809834208705,0.5195798391305154,0.5144320292963067,andi,andi,andi,andi,kaka,kaka,kaka,lakine,lakiama,lakiama,lakiama,lakine,lakine,lakine,lakine,ine,lakine,lakiama,lakiama,lakiama,lakine,ine,lakine,uma,uma,lakiama,lakiama
4,0.08878194993480448,1.0789922078775833,0.9902102579427788,andi,andi,kaka,kaka,kaka,andi,andi,lakiama,lakiama,ine,lakine,uma,lakiama,lakine,lakine,lakiama,lakiama,lakiama,lakiama,lakine,lakiama,lakine,lakine,uma,lakine,ine,lakine
5,0.027135791552279853,0.5982695885852573,0.5711337970329774,kaka,andi,andi,andi,kaka,kaka,andi,lakiama,lakiama,ine,lakiama,lakine,lakine,lakine,lakiama,lakiama,lakine,lakiama,lakine,uma,lakine,lakiama,lakine,lakine,lakiama,ine,uma
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,andi,kaka,andi,kaka,andi,andi,kaka,lakiama,lakine,lakine,lakiama,ine,lakiama,lakiama,ine,lakiama,lakiama,uma,lakine,lakine,lakine,lakiama,lakiama,lakine,lakine,lakine,uma
7,0.007016107555648743,1.0346012329101812,1.0275851253545325,andi,kaka,andi,andi,kaka,andi,kaka,lakiama,lakine,ine,lakiama,lakiama,lakiama,lakine,ine,lakiama,lakine,lakine,lakine,lakiama,lakiama,lakine,lakiama,uma,uma,lakine,lakine
8,0.03149081771477463,0.5195798391305154,0.4880890214157408,kaka,kaka,andi,kaka,andi,andi,andi,ine,lakine,lakine,lakine,uma,lakine,lakiama,uma,lakiama,lakiama,lakiama,ine,lakiama,lakiama,lakine,lakine,lakine,lakiama,lakine,lakiama
9,0.0887819499348046,0.9799711820833055,0.8911892321485009,kaka,kaka,andi,kaka,andi,andi,andi,uma,ine,lakiama,lakiama,lakiama,lakiama,lakiama,lakiama,lakine,ine,lakiama,lakine,lakine,lakine,lakine,uma,lakine,lakiama,lakine,lakine
