simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mMeB,mMyB
0,0.0443909749674023,1.034601232910181,0.9902102579427787,"matki, mat","matki, mat",liki,liki,bruder,"bruder, mat",bruder,nanēk,chau,nanēk,mamēk,mamēk,chau
1,0.28682400152336013,0.6829081047004717,0.39608410317711157,"bruder, mat",bruder,"matki, mat",liki,bruder,liki,"matki, mat",mamēk,mamēk,nanēk,nanēk,chau,chau
2,0.24243302655595822,1.0346012329101812,0.792168206354223,"matki, mat",bruder,liki,"matki, mat",bruder,"bruder, mat",liki,mamēk,nanēk,chau,nanēk,mamēk,chau
3,0.0887819499348046,0.9799711820833055,0.8911892321485009,bruder,"matki, mat",bruder,"matki, mat",liki,"bruder, mat",liki,chau,nanēk,mamēk,mamēk,chau,nanēk
4,0.24243302655595822,1.0346012329101812,0.792168206354223,"matki, mat",bruder,"bruder, mat","matki, mat",bruder,liki,liki,chau,mamēk,mamēk,nanēk,chau,nanēk
5,0.24243302655595822,1.0346012329101812,0.792168206354223,bruder,"matki, mat","matki, mat",bruder,liki,"bruder, mat",liki,chau,mamēk,nanēk,chau,nanēk,mamēk
6,0.14341200076168015,1.034601232910181,0.8911892321485009,liki,"matki, mat",bruder,bruder,"bruder, mat",liki,"matki, mat",chau,nanēk,chau,mamēk,nanēk,mamēk
7,0.34145405235023607,1.0346012329101812,0.6931471805599452,"bruder, mat","matki, mat","matki, mat",liki,liki,bruder,bruder,chau,mamēk,nanēk,chau,mamēk,nanēk
8,0.14341200076168015,1.034601232910181,0.8911892321485009,liki,liki,"matki, mat","bruder, mat",bruder,"matki, mat",bruder,nanēk,chau,nanēk,mamēk,mamēk,chau
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,liki,bruder,liki,"bruder, mat","matki, mat","matki, mat",bruder,chau,mamēk,chau,mamēk,nanēk,nanēk
