simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMB,fMZ,fMeZ,fMyZ,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.23135108624603706,1.7650985388505982,1.5337474526045611,wankili,wankili,wankili,wankili,wankili,wankili,ngawurru,wankili,wankili,murrkardi,wankili,yurnturru,wankili,wankili,murrkardi,wankili,wankili,murrkardi,murrkardi,gabidi,wankili,wankili,murrkardi,ngawurru,wankili,babali,ngawurru,wankili,murrkardi,wankili,murrkardi,wankili,murrkardi,wankili,ngawurru,wankili,wankili,wankili,wankili,ngawurru,yurnturru,wankili,wankili,wankili,wankili,babali,wankili,wankili,wankili,gabidi,wankili,gogono,wankili,wankili,wankili,murrkardi,murrkardi,murrkardi,wankili,ngawurru,wankili,wankili,wankili,murrkardi,wankili,ngawurru,ngawurru,murrkardi,ngawurru,wankili,murrkardi,wankili,wankili,wankili,wankili,wankili,ngawurru,murrkardi,wankili,wankili,ngawurru,murrkardi,murrkardi,murrkardi,wankili,gogono,yurnturru,murrkardi,wankili,ngamirni,ngamini,parnman,ngamirni,pimirdi,ngati,ngamirni,ngamirni,ngamirni,parnman,bimari,pimirdi,wapirra,ngamirni,bimari,parnman,pimirdi,ngati,ngamirni,ngamirni,parnman,ngamini,parnman,parnman,pimirdi,ngamirni,ngamirni,wapirra
1,0.16130115895773,1.75638875672494,1.59508759776721,wankili,wankili,wankili,wankili,wankili,murrkardi,gogono,wankili,wankili,ngawurru,wankili,wankili,yurnturru,murrkardi,murrkardi,wankili,babali,ngawurru,ngawurru,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,wankili,ngawurru,wankili,wankili,wankili,yurnturru,wankili,wankili,murrkardi,wankili,ngawurru,murrkardi,ngawurru,wankili,wankili,murrkardi,wankili,ngawurru,wankili,wankili,murrkardi,wankili,wankili,wankili,wankili,murrkardi,gabidi,wankili,wankili,wankili,murrkardi,murrkardi,murrkardi,wankili,wankili,murrkardi,wankili,wankili,babali,murrkardi,wankili,murrkardi,ngawurru,ngawurru,wankili,murrkardi,gogono,wankili,wankili,wankili,ngawurru,murrkardi,wankili,wankili,murrkardi,gabidi,wankili,wankili,yurnturru,ngawurru,wankili,murrkardi,wankili,ngati,wapirra,parnman,pimirdi,ngamirni,bimari,parnman,ngamini,parnman,parnman,parnman,ngamirni,ngamini,ngamirni,ngamirni,pimirdi,ngamirni,wapirra,pimirdi,ngamirni,bimari,ngamirni,ngamirni,ngamirni,pimirdi,ngamirni,parnman,ngati
2,0.21760111694971407,1.7202872115313035,1.5026860945815894,wankili,wankili,wankili,murrkardi,ngawurru,murrkardi,murrkardi,murrkardi,ngawurru,gogono,wankili,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,ngawurru,wankili,gabidi,wankili,wankili,wankili,wankili,wankili,ngawurru,wankili,wankili,murrkardi,wankili,gabidi,wankili,wankili,wankili,wankili,wankili,ngawurru,ngawurru,ngawurru,babali,babali,ngawurru,wankili,murrkardi,murrkardi,wankili,murrkardi,murrkardi,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,yurnturru,yurnturru,wankili,wankili,gogono,wankili,murrkardi,wankili,murrkardi,wankili,wankili,wankili,yurnturru,ngawurru,wankili,murrkardi,wankili,murrkardi,murrkardi,wankili,ngawurru,ngawurru,wankili,murrkardi,murrkardi,ngati,wapirra,ngamirni,ngamini,parnman,ngamirni,pimirdi,bimari,ngamini,pimirdi,ngati,ngamirni,ngamirni,ngamirni,parnman,parnman,parnman,pimirdi,parnman,bimari,pimirdi,ngamirni,ngamirni,ngamirni,parnman,ngamirni,wapirra,ngamirni
3,0.2617008770973852,1.6445069637566745,1.3828060866592893,wankili,wankili,wankili,murrkardi,wankili,wankili,wankili,gogono,wankili,murrkardi,ngawurru,wankili,wankili,murrkardi,wankili,wankili,ngawurru,wankili,murrkardi,wankili,yurnturru,ngawurru,murrkardi,wankili,murrkardi,ngawurru,wankili,murrkardi,wankili,wankili,ngawurru,wankili,ngawurru,wankili,murrkardi,murrkardi,wankili,ngawurru,wankili,wankili,murrkardi,wankili,wankili,wankili,yurnturru,ngawurru,wankili,wankili,ngawurru,babali,murrkardi,wankili,ngawurru,wankili,wankili,wankili,murrkardi,murrkardi,murrkardi,wankili,wankili,gabidi,gabidi,murrkardi,wankili,wankili,wankili,wankili,wankili,ngawurru,wankili,wankili,yurnturru,murrkardi,wankili,babali,wankili,wankili,wankili,wankili,wankili,murrkardi,murrkardi,wankili,wankili,wankili,murrkardi,wankili,gogono,pimirdi,wapirra,ngamirni,ngamirni,parnman,ngamirni,ngati,bimari,parnman,parnman,ngamini,pimirdi,ngamirni,ngamirni,wapirra,parnman,ngamirni,ngati,pimirdi,ngamirni,ngamini,pimirdi,parnman,bimari,ngamirni,parnman,ngamirni,ngamirni
4,0.15111603136778573,1.7340065976403332,1.5828905662725474,murrkardi,murrkardi,wankili,wankili,gabidi,murrkardi,wankili,ngawurru,wankili,murrkardi,wankili,wankili,ngawurru,murrkardi,wankili,yurnturru,wankili,ngawurru,wankili,ngawurru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,gabidi,ngawurru,wankili,wankili,murrkardi,wankili,murrkardi,murrkardi,wankili,wankili,ngawurru,wankili,wankili,ngawurru,wankili,yurnturru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,gogono,murrkardi,wankili,ngawurru,wankili,wankili,wankili,murrkardi,murrkardi,wankili,wankili,wankili,murrkardi,wankili,ngawurru,murrkardi,ngawurru,gogono,murrkardi,wankili,wankili,wankili,babali,wankili,wankili,wankili,ngawurru,murrkardi,wankili,wankili,murrkardi,babali,murrkardi,yurnturru,ngamirni,parnman,bimari,ngati,ngamirni,ngamirni,wapirra,ngamirni,ngamini,ngamirni,parnman,pimirdi,parnman,pimirdi,parnman,ngamirni,bimari,parnman,ngamini,pimirdi,parnman,ngamirni,ngati,ngamirni,wapirra,ngamirni,ngamirni,pimirdi
5,0.17224127748571538,1.7636632974726427,1.5914220199869273,ngawurru,wankili,gabidi,wankili,murrkardi,wankili,wankili,murrkardi,wankili,wankili,murrkardi,wankili,wankili,wankili,wankili,wankili,wankili,yurnturru,murrkardi,gabidi,wankili,murrkardi,wankili,wankili,wankili,wankili,wankili,yurnturru,ngawurru,murrkardi,wankili,murrkardi,ngawurru,wankili,murrkardi,murrkardi,yurnturru,ngawurru,wankili,wankili,ngawurru,wankili,murrkardi,wankili,ngawurru,wankili,wankili,babali,murrkardi,murrkardi,wankili,wankili,wankili,wankili,gogono,ngawurru,wankili,murrkardi,ngawurru,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,ngawurru,ngawurru,murrkardi,wankili,wankili,wankili,wankili,ngawurru,wankili,murrkardi,wankili,wankili,babali,wankili,wankili,gogono,wankili,murrkardi,murrkardi,wankili,murrkardi,wankili,wankili,ngamirni,parnman,wapirra,wapirra,ngati,ngamirni,parnman,ngamirni,bimari,parnman,ngati,parnman,ngamirni,bimari,parnman,ngamirni,ngamirni,ngamirni,ngamini,ngamirni,ngamirni,ngamirni,pimirdi,pimirdi,pimirdi,ngamini,pimirdi,parnman
6,0.1959059838019983,1.6849712417859628,1.4890652579839645,wankili,wankili,ngawurru,wankili,gabidi,wankili,murrkardi,wankili,murrkardi,wankili,yurnturru,ngawurru,babali,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,murrkardi,wankili,wankili,wankili,ngawurru,wankili,wankili,wankili,wankili,ngawurru,murrkardi,wankili,wankili,murrkardi,wankili,wankili,wankili,ngawurru,wankili,wankili,murrkardi,wankili,murrkardi,wankili,wankili,wankili,gogono,murrkardi,ngawurru,murrkardi,murrkardi,wankili,ngawurru,babali,wankili,wankili,murrkardi,wankili,wankili,wankili,ngawurru,wankili,murrkardi,wankili,wankili,wankili,wankili,murrkardi,wankili,ngawurru,wankili,murrkardi,yurnturru,wankili,wankili,wankili,murrkardi,wankili,wankili,gogono,wankili,gabidi,ngawurru,yurnturru,murrkardi,murrkardi,wankili,ngawurru,murrkardi,parnman,bimari,ngati,ngamini,ngamirni,parnman,parnman,ngamirni,ngamirni,pimirdi,parnman,ngamirni,ngamirni,ngamirni,ngamirni,parnman,ngati,pimirdi,wapirra,ngamirni,parnman,ngamirni,wapirra,pimirdi,ngamini,bimari,pimirdi,ngamirni
7,0.21570750612634892,1.750066488827633,1.534358982701284,wankili,wankili,yurnturru,murrkardi,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,ngawurru,murrkardi,wankili,murrkardi,wankili,wankili,wankili,wankili,ngawurru,wankili,gogono,murrkardi,murrkardi,murrkardi,wankili,wankili,ngawurru,gabidi,murrkardi,gogono,wankili,ngawurru,yurnturru,wankili,murrkardi,wankili,murrkardi,babali,wankili,wankili,wankili,ngawurru,wankili,wankili,murrkardi,wankili,wankili,murrkardi,wankili,ngawurru,wankili,wankili,murrkardi,murrkardi,ngawurru,murrkardi,wankili,babali,wankili,wankili,wankili,ngawurru,wankili,wankili,ngawurru,wankili,wankili,wankili,wankili,ngawurru,murrkardi,wankili,ngawurru,wankili,wankili,wankili,wankili,gabidi,murrkardi,wankili,wankili,wankili,wankili,yurnturru,murrkardi,murrkardi,wankili,wankili,bimari,parnman,ngamirni,ngati,bimari,ngamirni,parnman,wapirra,parnman,pimirdi,pimirdi,ngati,ngamirni,pimirdi,ngamirni,ngamirni,ngamirni,ngamirni,ngamirni,wapirra,parnman,pimirdi,ngamirni,parnman,parnman,ngamini,ngamini,ngamirni
8,0.19716504101504873,1.625221105543692,1.4280560645286433,wankili,murrkardi,wankili,wankili,ngawurru,wankili,ngawurru,murrkardi,wankili,wankili,ngawurru,murrkardi,wankili,murrkardi,wankili,murrkardi,wankili,wankili,wankili,wankili,babali,wankili,wankili,gabidi,wankili,gogono,wankili,wankili,wankili,wankili,gogono,ngawurru,murrkardi,murrkardi,yurnturru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,murrkardi,murrkardi,ngawurru,yurnturru,ngawurru,wankili,wankili,murrkardi,wankili,ngawurru,ngawurru,wankili,ngawurru,murrkardi,wankili,murrkardi,murrkardi,yurnturru,ngawurru,wankili,wankili,wankili,wankili,wankili,wankili,wankili,wankili,murrkardi,murrkardi,babali,wankili,murrkardi,wankili,wankili,ngawurru,murrkardi,gabidi,murrkardi,wankili,wankili,wankili,wankili,wankili,wankili,wankili,ngamirni,pimirdi,parnman,parnman,parnman,ngamirni,wapirra,ngamini,parnman,ngamirni,ngamirni,ngamirni,ngamirni,bimari,ngamirni,ngati,ngamirni,ngamirni,parnman,wapirra,parnman,bimari,ngati,pimirdi,pimirdi,pimirdi,ngamirni,ngamini
9,0.17147712654752478,1.763246048289668,1.5917689217421431,wankili,wankili,wankili,ngawurru,murrkardi,murrkardi,wankili,murrkardi,murrkardi,wankili,murrkardi,wankili,wankili,gogono,ngawurru,wankili,yurnturru,wankili,wankili,wankili,wankili,wankili,murrkardi,wankili,wankili,murrkardi,wankili,wankili,wankili,wankili,murrkardi,ngawurru,wankili,wankili,murrkardi,ngawurru,wankili,wankili,wankili,wankili,wankili,gabidi,murrkardi,wankili,wankili,babali,wankili,murrkardi,wankili,ngawurru,ngawurru,wankili,murrkardi,murrkardi,gogono,wankili,ngawurru,wankili,wankili,murrkardi,ngawurru,wankili,wankili,gabidi,wankili,wankili,wankili,murrkardi,wankili,murrkardi,murrkardi,wankili,wankili,yurnturru,ngawurru,ngawurru,ngawurru,wankili,wankili,babali,murrkardi,wankili,yurnturru,wankili,wankili,murrkardi,wankili,wankili,wankili,ngamirni,pimirdi,ngamini,parnman,ngati,ngamirni,pimirdi,parnman,ngamirni,bimari,pimirdi,ngamirni,parnman,wapirra,parnman,ngamirni,ngamirni,parnman,wapirra,parnman,bimari,ngamirni,ngamirni,ngamirni,ngati,pimirdi,ngamini,ngamirni
