simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.8152705678706262,1.5043033272880177,0.6890327594173915,Nemere Ini,ini,Bole karyndas,aga,Bole aga,apke,Nemere Karyndas,Nemere Aga,Bole ini,aga,Nagashy ini,Nemere Sinli,Bole ini,apke,Nagashy aga,Zhien Singli,apke,Zhien Aga,Nagashy singli,apke,Nagashi karyndas,apke,Zhien Ini,Nagashy ini,apke,Bole singli,apke,singli,Nemere Ini,Nemere Aga,Bole apa,Zhien Aga,karyndas,Bole apa,Zhien Ini,ini,Nagashy aga,apke,ake,Nahashy apke,Nagashy,Nahashy apke,apke,ata,nagashy,Nagashy,ata,Nagashy,apke,ata,nagashy,ata,Nagashy,ata,apke,Nahashy apke,Nahashy apke,ake,ata,apke,Nahashy apke,apke,sheshe,sheshe,Nahashy apke
1,1.019281057888246,1.7124282384481913,0.6931471805599451,Nagashy singli,Zhien Ini,Nemere Aga,karyndas,Zhien Aga,aga,Nagashy ini,Bole apa,apke,apke,apke,Bole aga,Bole karyndas,Bole ini,aga,apke,Nagashy aga,Nemere Karyndas,apke,Bole singli,Nagashi karyndas,Nemere Aga,Nemere Sinli,singli,Zhien Aga,Bole apa,Bole ini,Zhien Singli,apke,ini,apke,Nemere Ini,Zhien Ini,Nagashy ini,Nemere Ini,Nagashy aga,ini,ata,apke,Nahashy apke,apke,Nahashy apke,ata,apke,ata,ata,nagashy,ata,Nahashy apke,ake,apke,sheshe,ata,Nagashy,ake,Nagashy,sheshe,Nahashy apke,apke,Nagashy,nagashy,apke,Nagashy,Nahashy apke,Nahashy apke
2,1.244818892254958,1.8716524627353222,0.6268335704803643,Nemere Ini,Zhien Ini,Zhien Ini,ini,Nemere Ini,aga,apke,Nemere Sinli,Nagashy aga,apke,apke,karyndas,Nemere Karyndas,Bole ini,Bole karyndas,Nagashy ini,Nagashy singli,Bole apa,Zhien Aga,aga,Nagashi karyndas,Bole singli,Nagashy ini,ini,Nemere Aga,apke,Bole apa,Nagashy aga,apke,Zhien Aga,apke,Bole aga,apke,Nemere Aga,singli,Bole ini,Zhien Singli,Nagashy,sheshe,apke,nagashy,ake,ata,Nahashy apke,Nahashy apke,ata,nagashy,ata,ake,ata,ata,Nahashy apke,apke,sheshe,apke,ata,Nahashy apke,Nahashy apke,Nagashy,Nagashy,apke,apke,apke,Nagashy,Nahashy apke
3,1.266129102320707,1.7589850209653617,0.4928559186446546,Nagashy singli,Zhien Ini,Zhien Ini,Bole karyndas,apke,apke,apke,aga,Nemere Karyndas,apke,Bole apa,apke,Bole singli,ini,Nagashy ini,Nagashy aga,apke,ini,Nemere Aga,Nemere Sinli,apke,aga,Bole ini,Zhien Aga,Nemere Ini,Nagashy ini,Bole apa,Nagashy aga,karyndas,singli,Nemere Ini,Zhien Aga,Bole ini,Bole aga,Nemere Aga,Nagashi karyndas,Zhien Singli,Nahashy apke,Nahashy apke,ata,sheshe,ake,nagashy,Nagashy,Nagashy,Nahashy apke,apke,apke,apke,apke,Nahashy apke,apke,Nahashy apke,ata,Nagashy,nagashy,ata,ake,ata,Nahashy apke,sheshe,Nagashy,ata,ata,apke
4,1.1277449511476019,1.7162754734658123,0.5885305223182106,singli,Zhien Aga,Bole apa,Nagashy aga,Bole aga,Nagashi karyndas,apke,Zhien Ini,Zhien Ini,ini,apke,apke,Bole ini,Nagashy aga,Bole singli,apke,Nemere Aga,Nemere Sinli,ini,Nemere Ini,Nemere Aga,Zhien Aga,karyndas,apke,Nagashy ini,aga,Nagashy ini,Zhien Singli,Nemere Karyndas,apke,Bole apa,Nemere Ini,Bole ini,aga,Bole karyndas,apke,Nagashy singli,Nagashy,Nagashy,nagashy,apke,Nahashy apke,ake,ata,ata,Nahashy apke,Nagashy,Nahashy apke,apke,Nahashy apke,ata,Nagashy,apke,Nahashy apke,ata,nagashy,ata,apke,apke,sheshe,apke,ata,sheshe,Nahashy apke,ake
5,0.8687130564585097,1.4434738907829163,0.5747608343244066,Zhien Aga,karyndas,apke,Nagashy ini,aga,Bole apa,Nagashy aga,apke,Nemere Ini,ini,Nagashy ini,apke,apke,apke,Zhien Singli,Bole aga,Nagashy singli,singli,Bole ini,ini,Zhien Ini,apke,Nemere Sinli,Nemere Aga,Nemere Karyndas,Nemere Aga,aga,Zhien Ini,Nemere Ini,Bole apa,Nagashy aga,Zhien Aga,Bole karyndas,Bole ini,Bole singli,apke,Nagashi karyndas,ake,Nahashy apke,ake,Nahashy apke,ata,apke,ata,Nagashy,ata,Nagashy,apke,Nahashy apke,nagashy,Nahashy apke,sheshe,ata,Nahashy apke,ata,Nahashy apke,ata,apke,apke,Nagashy,apke,nagashy,sheshe,apke,Nagashy
6,1.2105012093419707,1.8444552167841464,0.6339540074421758,Nagashy ini,Nagashy singli,Bole ini,apke,Nagashy ini,apke,Zhien Singli,apke,Nemere Aga,Bole apa,Nagashy aga,Nagashi karyndas,apke,aga,Bole karyndas,ini,Nemere Ini,apke,Zhien Ini,Bole ini,Bole singli,Nemere Aga,Bole apa,karyndas,Nagashy aga,apke,apke,singli,Nemere Karyndas,Zhien Ini,Zhien Aga,Bole aga,ini,Zhien Aga,Nemere Ini,aga,Nemere Sinli,nagashy,ata,Nagashy,apke,ata,Nagashy,Nahashy apke,apke,ata,apke,Nagashy,Nahashy apke,apke,Nahashy apke,Nagashy,sheshe,ake,nagashy,Nahashy apke,ake,ata,ata,Nahashy apke,apke,ata,Nahashy apke,apke,sheshe
7,1.009700734948495,1.6395403212481172,0.6298395862996221,Nagashy ini,Nagashi karyndas,Bole karyndas,apke,Zhien Aga,Nemere Aga,Bole aga,apke,Zhien Ini,ini,apke,Zhien Singli,aga,Nemere Ini,Nemere Aga,apke,Bole ini,Bole apa,Nagashy aga,Nagashy aga,Zhien Ini,karyndas,apke,aga,apke,Zhien Aga,Nagashy ini,Nagashy singli,Nemere Ini,apke,Bole apa,Nemere Sinli,ini,singli,Nemere Karyndas,Bole ini,Bole singli,apke,apke,Nagashy,ata,Nahashy apke,ata,Nagashy,apke,Nahashy apke,ata,apke,ake,apke,Nahashy apke,Nahashy apke,sheshe,nagashy,apke,Nahashy apke,ata,Nagashy,Nahashy apke,Nagashy,ake,ata,ata,sheshe,nagashy
8,0.9573932679014391,1.6140590179055976,0.6566657500041585,Nemere Sinli,Zhien Aga,Bole singli,Nemere Karyndas,Bole apa,Bole ini,Bole ini,ini,Nagashy ini,aga,Bole apa,Zhien Ini,ini,apke,apke,Nemere Aga,apke,apke,apke,Nagashy aga,karyndas,apke,apke,Bole aga,singli,Nagashy singli,Bole karyndas,Nemere Aga,Nagashy aga,Nagashi karyndas,Zhien Ini,Zhien Singli,Zhien Aga,Nemere Ini,aga,Nagashy ini,Nemere Ini,ake,Nahashy apke,Nahashy apke,ata,sheshe,Nahashy apke,apke,ata,ata,Nahashy apke,Nagashy,ata,ake,Nahashy apke,apke,Nagashy,Nahashy apke,Nagashy,apke,apke,sheshe,apke,apke,ata,nagashy,nagashy,ata,Nagashy
9,1.0233954790307997,1.687473744191612,0.664078265160812,Nagashy aga,Nagashy ini,karyndas,Nemere Sinli,singli,ini,Bole ini,Zhien Aga,Bole singli,Nagashy aga,apke,Nemere Aga,Bole karyndas,Nemere Ini,Bole apa,Zhien Ini,Nagashi karyndas,apke,Zhien Aga,Nemere Aga,Nemere Ini,apke,Bole ini,apke,aga,Bole aga,Zhien Singli,apke,Nagashy singli,aga,ini,Bole apa,Zhien Ini,apke,Nagashy ini,apke,Nemere Karyndas,sheshe,apke,ata,nagashy,Nahashy apke,Nagashy,ata,nagashy,apke,ake,ata,Nahashy apke,apke,apke,ata,Nagashy,ata,apke,apke,Nahashy apke,Nahashy apke,Nagashy,Nahashy apke,ake,sheshe,Nagashy,ata,Nahashy apke
