simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ
0,0.14394186696845135,1.7973345871687145,1.6533927202002632,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,shakˀikˀi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,kˀanwa,ìnnā,Bappā,baba,baffa,kawu,gwaggo,mahaifi,ìnnā,baba,gwaggo,ìnnā,ìnnā,baffa,kawu,baffa,kawu,kawu,kawu,ìnnā,baba,baba,mahaifi,ìnnā,Bappā,ìnnā,baffa,ìnnā,kawu
1,0.16604788014747385,1.849420697003923,1.6833728168564492,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,kˀanwa,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,kˀanwa,gwaggo,kawu,ìnnā,Bappā,gwaggo,mahaifi,baffa,kawu,mahaifi,ìnnā,ìnnā,baffa,Bappā,kawu,kawu,baffa,baba,ìnnā,ìnnā,baba,kawu,ìnnā,ìnnā,ìnnā,baba,baba,baffa,kawu
2,0.19755310388987102,1.8274444548583482,1.6298913509684771,taubashi,shakˀikˀiya (?),taubashi,shakˀikˀi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kawu,Bappā,kawu,baffa,gwaggo,ìnnā,kawu,baffa,baffa,ìnnā,baba,kawu,ìnnā,mahaifi,gwaggo,Bappā,ìnnā,ìnnā,ìnnā,kawu,baba,kawu,ìnnā,mahaifi,ìnnā,baba,baba,baffa
3,0.1507237116163258,1.7840078928033478,1.633284181187022,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,shakˀikˀi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,ìnnā,kawu,Bappā,baba,kawu,kawu,ìnnā,ìnnā,ìnnā,baffa,mahaifi,kawu,mahaifi,kawu,baba,ìnnā,baffa,ìnnā,baffa,ìnnā,gwaggo,Bappā,baba,baba,baffa,ìnnā,kawu,gwaggo
4,0.12604036852483524,1.7287386897287103,1.602698321203875,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,kˀanwa,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,ìnnā,kawu,Bappā,ìnnā,ìnnā,kawu,ìnnā,kawu,baffa,ìnnā,baba,baba,baffa,baffa,baffa,baba,kawu,ìnnā,Bappā,gwaggo,kawu,baba,ìnnā,mahaifi,mahaifi,ìnnā,kawu,gwaggo
5,0.1604420555073529,1.7008982909867814,1.5404562354794284,taubashi,taubashi,shakˀikˀiya (?),shakˀikˀiya (?),taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,shakˀikˀiya (?),kˀanwa,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,baffa,baba,ìnnā,ìnnā,kawu,ìnnā,baffa,kawu,ìnnā,gwaggo,mahaifi,ìnnā,ìnnā,Bappā,ìnnā,kawu,baffa,ìnnā,baffa,Bappā,gwaggo,baba,mahaifi,kawu,kawu,baba,baba,kawu
6,0.18759339371255468,1.789257128673014,1.6016637349604592,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,shakˀikˀi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,mahaifi,baba,baba,gwaggo,ìnnā,kawu,gwaggo,baffa,ìnnā,ìnnā,Bappā,ìnnā,ìnnā,baffa,mahaifi,ìnnā,kawu,kawu,ìnnā,Bappā,baba,kawu,baffa,baffa,ìnnā,baba,kawu,kawu
7,0.13900083546310427,1.7682873604259435,1.6292865249628392,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,ìnnā,baba,baffa,baba,baffa,baffa,kawu,Bappā,ìnnā,ìnnā,baba,mahaifi,baffa,kawu,kawu,ìnnā,kawu,baba,ìnnā,kawu,mahaifi,gwaggo,ìnnā,ìnnā,Bappā,kawu,gwaggo,ìnnā
8,0.1524171503913545,1.8007518184713807,1.6483346680800262,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,shakˀikˀi,taubashi,taubashi,Bappā,baba,baffa,kawu,baffa,baffa,ìnnā,mahaifi,ìnnā,baba,mahaifi,kawu,kawu,Bappā,baba,ìnnā,kawu,ìnnā,ìnnā,kawu,ìnnā,kawu,gwaggo,ìnnā,gwaggo,ìnnā,baffa,baba
9,0.1508788095964313,1.7862791433450977,1.6354003337486664,taubashi,shakˀikˀi,taubashi,shakˀikˀiya (?),taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,kˀanwa,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀanwa,taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,shakˀikˀiya (?),taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kˀane,taubashi,taubashi,taubashi,shakˀikˀi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,baba,mahaifi,ìnnā,ìnnā,Bappā,baffa,ìnnā,baba,mahaifi,kawu,baffa,baba,baba,ìnnā,kawu,ìnnā,kawu,Bappā,gwaggo,gwaggo,kawu,ìnnā,ìnnā,ìnnā,kawu,baffa,baffa,kawu
