simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meB,myB,meZ,myZ,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08855031881794129,1.2260301436614602,1.137479824843519,kizein,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizeinn,sour,kizein,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizein,sour,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizein,sour,kizein,kizeinn,kizein,kizeinn,kizein,frè,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,frè,frè,frè,kizein,kizeinn,kizein,frè,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,sour,sour,kizeinn,kizein,kizein,kizeinn,sour,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizein,mônok,mônonk,matantt,mônonk,matantt,matantt,mér,matantt,matantt,matantt,mônonk,pér,matantt,mônonk,matantt,mônonk,matantt,mônonk,matantt,mônonk,mônonk,mônonk,mônonk,pér,mônok,matantt,matantt,mér
1,0.059242289991582764,1.2861808209862329,1.2269385309946501,kizein,kizein,kizeinn,sour,kizein,sour,kizeinn,kizein,kizeinn,kizeinn,sour,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,frè,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizein,frè,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizeinn,sour,kizein,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,frè,frè,kizein,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizein,kizein,frè,kizeinn,sour,kizeinn,kizeinn,kizein,kizein,sour,kizein,kizein,kizeinn,kizein,kizein,kizeinn,matantt,matantt,mônonk,mônonk,mônonk,pér,matantt,mônok,mér,matantt,mér,mônonk,matantt,mônok,matantt,matantt,matantt,pér,matantt,mônonk,mônonk,matantt,matantt,matantt,mônonk,mônonk,mônonk,mônonk
2,0.07158793728956159,1.3350692679217206,1.263481330632159,kizein,kizeinn,kizein,kizein,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,sour,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizeinn,sour,sour,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizeinn,frè,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,sour,kizeinn,sour,kizeinn,kizein,kizeinn,frè,frè,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizein,kizein,kizeinn,kizein,frè,kizein,kizeinn,kizeinn,frè,sour,kizein,kizeinn,kizein,matantt,mônonk,matantt,matantt,mônok,mér,matantt,mônonk,pér,matantt,matantt,mônonk,mônonk,mônonk,mônok,matantt,matantt,matantt,matantt,pér,mônonk,matantt,mônonk,mônonk,mônonk,mônonk,matantt,mér
3,0.1188793270274533,1.2654044683119672,1.1465251412845139,frè,kizein,kizein,kizeinn,kizeinn,frè,kizeinn,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,sour,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizeinn,sour,frè,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizein,sour,kizein,kizeinn,kizeinn,frè,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizein,sour,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,sour,kizein,sour,kizein,frè,kizein,mônonk,mônonk,mônonk,mônonk,matantt,matantt,mônok,matantt,mér,matantt,matantt,mônonk,matantt,mônok,pér,mônonk,mônonk,mônonk,matantt,mér,matantt,mônonk,matantt,pér,matantt,matantt,matantt,mônonk
4,0.09280881400617247,1.2958915835994889,1.2030827695933164,kizein,kizein,sour,kizeinn,sour,kizeinn,kizeinn,kizeinn,kizein,frè,kizein,kizeinn,kizeinn,frè,kizeinn,kizein,kizeinn,kizeinn,kizein,frè,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,frè,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,sour,kizein,kizein,kizeinn,kizein,kizein,sour,kizeinn,sour,kizein,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizein,frè,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,sour,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,mônonk,matantt,mônonk,mônonk,mônonk,mônonk,mônonk,mônok,matantt,matantt,matantt,matantt,mônonk,mônonk,matantt,mônonk,matantt,mér,pér,matantt,mônonk,matantt,matantt,mér,pér,matantt,matantt,mônok
5,0.0936338685622502,1.312665394125407,1.2190315255631567,kizein,kizeinn,kizeinn,kizein,sour,kizein,kizein,sour,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,frè,kizein,kizeinn,kizeinn,sour,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,kizein,sour,sour,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,frè,frè,kizeinn,kizeinn,kizein,frè,kizeinn,kizein,kizeinn,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,frè,kizein,kizeinn,kizein,sour,kizein,kizein,kizein,kizeinn,kizein,kizein,kizein,kizein,kizein,kizeinn,mônonk,mônonk,mônonk,mônonk,mér,matantt,mér,mônonk,matantt,matantt,matantt,mônok,matantt,matantt,mônonk,mônok,mônonk,matantt,matantt,pér,matantt,mônonk,matantt,matantt,mônonk,mônonk,matantt,pér
6,0.12381837674237306,1.3313256926199633,1.2075073158775902,kizeinn,kizein,kizein,kizein,kizeinn,kizein,sour,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,frè,kizein,kizein,sour,kizeinn,kizeinn,kizeinn,kizein,sour,kizeinn,kizeinn,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizein,kizein,kizein,frè,kizein,kizein,kizeinn,kizeinn,kizein,kizein,kizein,sour,kizein,frè,kizeinn,sour,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,frè,kizeinn,kizein,kizeinn,frè,kizeinn,kizeinn,sour,kizeinn,kizeinn,kizeinn,kizeinn,mônonk,matantt,matantt,matantt,pér,mér,mônonk,mônonk,mônonk,mônok,mônonk,matantt,matantt,matantt,mônonk,mônonk,mônonk,mônok,matantt,matantt,matantt,mônonk,mônonk,pér,matantt,matantt,matantt,mér
7,0.07475487604421116,1.2819087620569731,1.207153886012762,kizeinn,kizein,kizeinn,kizein,kizein,kizeinn,sour,kizeinn,frè,kizein,kizeinn,kizein,kizein,kizein,kizein,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,sour,kizeinn,sour,kizein,kizeinn,kizein,frè,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizein,kizeinn,sour,kizeinn,sour,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizein,frè,kizein,kizein,kizeinn,kizein,kizeinn,frè,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizein,kizein,kizein,kizein,frè,kizeinn,kizein,kizeinn,kizein,kizein,sour,kizeinn,matantt,matantt,pér,pér,matantt,matantt,mônonk,mônonk,matantt,mônonk,mônonk,matantt,mônonk,matantt,matantt,matantt,mônonk,mônonk,mônonk,matantt,mér,matantt,matantt,mônok,mônonk,mônok,mônonk,mér
8,0.11165037466562211,1.2582402951988596,1.1465899205332375,kizein,kizein,kizein,kizein,kizein,kizeinn,kizein,kizein,sour,kizeinn,kizeinn,kizeinn,kizein,sour,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,frè,kizein,sour,kizeinn,sour,kizein,frè,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,frè,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,kizeinn,sour,kizein,sour,kizeinn,kizein,kizein,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,frè,kizein,kizein,kizeinn,kizein,kizein,kizeinn,kizein,frè,kizein,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizein,matantt,matantt,matantt,mônonk,mônonk,matantt,matantt,mônonk,mér,mônonk,matantt,matantt,matantt,mônok,mér,matantt,pér,mônonk,matantt,matantt,mônonk,matantt,mônok,mônonk,mônonk,mônonk,mônonk,pér
9,0.05710872246172327,1.3427322443722551,1.2856235219105319,kizein,kizeinn,kizein,sour,kizein,kizeinn,sour,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,kizein,sour,kizeinn,kizeinn,kizein,kizein,kizein,kizeinn,kizeinn,kizein,kizeinn,kizein,kizeinn,kizeinn,kizeinn,kizeinn,kizeinn,kizein,kizein,kizein,kizein,kizein,kizeinn,kizeinn,frè,kizein,kizeinn,kizeinn,kizein,kizein,kizeinn,kizeinn,frè,kizein,kizeinn,frè,kizeinn,kizeinn,kizein,kizeinn,kizein,kizein,kizein,kizein,kizeinn,kizeinn,kizein,frè,kizein,kizeinn,kizeinn,kizeinn,kizein,kizeinn,kizein,frè,kizeinn,kizein,kizein,sour,kizein,kizeinn,kizein,kizein,kizein,kizeinn,kizein,kizeinn,kizeinn,kizein,kizeinn,sour,kizein,kizeinn,kizein,sour,mônonk,mônonk,matantt,mônonk,matantt,mônonk,mônonk,pér,mônonk,matantt,matantt,matantt,mér,mônonk,matantt,mônonk,mér,matantt,pér,mônok,mônonk,matantt,matantt,mônok,mônonk,matantt,matantt,matantt
