simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0443909749674023,1.034601232910181,0.9902102579427787,tua'ana,tuehine,teina,tua'ana,teina,tua'ana,tua'ana,tuehine,teina,tunane,tua'ana,tunane,tuehine,tuehine,tunane,tunane,tunane,teina,tunane,tuehine,tua'ana,teina,tuehine,teina,teina,tua'ana,tuehine,teina,tunane,tua'ana,tua'ana,tuehine,tuehine,teina,tunane,tuehine,teina,tunane,kui,teina motua,kui,mootua,tua'ana kui,pahupahu,pahupahu,pahupahu,teina motua,pahupahu,pahupahu,pahupahu,tua'ana kui,teina motua,pahupahu,teina motua,tua'ana kui,tua'ana kui,mootua,pahupahu
1,0.34145405235023607,1.0346012329101812,0.6931471805599452,tunane,tuehine,tua'ana,tunane,tunane,teina,tuehine,teina,teina,tuehine,tua'ana,teina,tunane,tua'ana,tuehine,tua'ana,tua'ana,tua'ana,teina,teina,tua'ana,tua'ana,tunane,tuehine,tunane,tuehine,tuehine,tunane,tuehine,tuehine,teina,tuehine,teina,teina,tunane,tua'ana,teina,tunane,teina motua,tua'ana kui,tua'ana kui,pahupahu,teina motua,mootua,pahupahu,pahupahu,teina motua,pahupahu,tua'ana kui,kui,teina motua,pahupahu,pahupahu,pahupahu,mootua,kui,pahupahu,tua'ana kui
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tua'ana,tua'ana,teina,tua'ana,tuehine,tuehine,teina,tunane,tuehine,teina,tunane,tua'ana,teina,teina,teina,tunane,tua'ana,tuehine,tuehine,tunane,teina,tuehine,teina,teina,tua'ana,teina,tunane,tua'ana,tua'ana,tuehine,tunane,tuehine,tuehine,tunane,tunane,tuehine,tua'ana,tunane,teina motua,pahupahu,pahupahu,teina motua,kui,tua'ana kui,pahupahu,pahupahu,mootua,pahupahu,pahupahu,tua'ana kui,tua'ana kui,teina motua,pahupahu,kui,pahupahu,teina motua,tua'ana kui,mootua
3,0.09922444498263283,0.5195798391305154,0.4203553941478826,tuehine,teina,tua'ana,tua'ana,tunane,teina,tuehine,tuehine,tua'ana,teina,tua'ana,tuehine,tunane,tua'ana,tunane,teina,tuehine,tua'ana,tuehine,tunane,tua'ana,tunane,tuehine,teina,teina,teina,tuehine,tuehine,tua'ana,tua'ana,tunane,teina,teina,teina,tuehine,tunane,tunane,tunane,pahupahu,teina motua,pahupahu,pahupahu,kui,mootua,mootua,pahupahu,teina motua,tua'ana kui,pahupahu,kui,pahupahu,teina motua,tua'ana kui,pahupahu,pahupahu,tua'ana kui,teina motua,tua'ana kui
4,0.04439097496740252,1.0346012329101812,0.9902102579427787,tuehine,tuehine,tua'ana,tua'ana,teina,teina,tunane,tuehine,tua'ana,teina,tuehine,tuehine,tua'ana,tua'ana,teina,teina,tunane,tua'ana,tua'ana,tuehine,tuehine,tunane,tunane,tunane,teina,tuehine,teina,teina,tua'ana,tunane,tuehine,tuehine,tunane,teina,tunane,teina,tunane,tua'ana,pahupahu,mootua,kui,pahupahu,pahupahu,teina motua,tua'ana kui,kui,pahupahu,teina motua,tua'ana kui,pahupahu,pahupahu,tua'ana kui,teina motua,mootua,pahupahu,tua'ana kui,teina motua,pahupahu
5,0.007016107555648743,1.034601232910181,1.0275851253545323,tuehine,teina,tuehine,tua'ana,teina,teina,tua'ana,tua'ana,tunane,tua'ana,tua'ana,teina,tunane,tunane,tuehine,tua'ana,tuehine,tunane,tunane,teina,tunane,tuehine,tunane,teina,tua'ana,tua'ana,tuehine,teina,teina,tuehine,tuehine,tunane,tunane,teina,teina,tuehine,tuehine,tua'ana,teina motua,pahupahu,teina motua,tua'ana kui,pahupahu,pahupahu,pahupahu,pahupahu,tua'ana kui,pahupahu,kui,tua'ana kui,tua'ana kui,pahupahu,mootua,mootua,teina motua,teina motua,kui,pahupahu
6,0.10603713334992682,1.0346012329101812,0.9285640995602544,tuehine,tua'ana,tuehine,teina,tunane,tunane,tunane,tua'ana,tua'ana,teina,tuehine,teina,tua'ana,tunane,tua'ana,tuehine,teina,teina,tuehine,teina,teina,tuehine,tuehine,tua'ana,teina,tuehine,tua'ana,tunane,tunane,tuehine,tua'ana,teina,tuehine,tunane,tua'ana,teina,tunane,tunane,tua'ana kui,teina motua,tua'ana kui,pahupahu,tua'ana kui,tua'ana kui,pahupahu,teina motua,kui,mootua,mootua,pahupahu,pahupahu,pahupahu,pahupahu,pahupahu,teina motua,kui,pahupahu,teina motua
7,0.08878194993480482,1.376055285260417,1.2872733353256123,tua'ana,tunane,tua'ana,tuehine,tunane,teina,tuehine,tua'ana,tuehine,tunane,tunane,tuehine,tuehine,tunane,tunane,teina,teina,tuehine,tunane,tua'ana,tuehine,teina,tua'ana,tunane,teina,tuehine,teina,tua'ana,tunane,teina,tua'ana,tuehine,tua'ana,teina,teina,teina,tuehine,tua'ana,kui,tua'ana kui,teina motua,mootua,teina motua,tua'ana kui,pahupahu,pahupahu,teina motua,tua'ana kui,pahupahu,tua'ana kui,pahupahu,pahupahu,pahupahu,mootua,teina motua,kui,pahupahu,pahupahu
8,0.04439097496740241,1.0346012329101812,0.9902102579427788,teina,teina,teina,tua'ana,tua'ana,teina,tua'ana,teina,tuehine,tuehine,tua'ana,tuehine,teina,tuehine,tuehine,tua'ana,tunane,tunane,tunane,tua'ana,tunane,tuehine,tuehine,tua'ana,tuehine,tuehine,tua'ana,tunane,tua'ana,tuehine,teina,tunane,teina,tunane,tunane,teina,tunane,teina,teina motua,pahupahu,teina motua,mootua,tua'ana kui,pahupahu,teina motua,pahupahu,pahupahu,kui,mootua,tua'ana kui,pahupahu,tua'ana kui,pahupahu,teina motua,tua'ana kui,pahupahu,pahupahu,kui
9,0.08590927619874544,0.5982695885852573,0.5123603123865118,tunane,tua'ana,tua'ana,tunane,tunane,tua'ana,tunane,teina,tunane,tua'ana,teina,tuehine,tua'ana,tuehine,tua'ana,tuehine,tua'ana,tuehine,teina,teina,teina,tuehine,teina,teina,teina,tunane,tuehine,tunane,tuehine,tuehine,tuehine,tuehine,tunane,tua'ana,teina,teina,tua'ana,tunane,pahupahu,pahupahu,teina motua,pahupahu,teina motua,kui,pahupahu,tua'ana kui,pahupahu,tua'ana kui,pahupahu,pahupahu,mootua,tua'ana kui,kui,pahupahu,teina motua,mootua,teina motua,tua'ana kui
