simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.28682400152336013,0.6829081047004717,0.39608410317711157,kupaka,withiwa,kupaka,apirla,withiwa,kaku,nhuthi,kaku,kupaka,apirla,kupaka,kupaka,apirla,apirla,apirla,kupaka,withiwa,kupaka,withiwa,kaku,kupaka,kaku,withiwa,nhuthi,withiwa,withiwa,kupaka,apirla,withiwa,apirla,kaku,nhuthi,nhuthi,kupaka,apirla,kaku,kupaka,kupaka,payayi,payayi,kaga,kaga,ama,payayi,ama,payayi,anya,kaga,kaga,anya
1,0.08878194993480482,1.376055285260417,1.2872733353256123,apirla,withiwa,kupaka,kupaka,withiwa,apirla,nhuthi,kupaka,kaku,withiwa,withiwa,kupaka,apirla,kaku,kupaka,kupaka,kupaka,kaku,withiwa,withiwa,withiwa,kupaka,kaku,kupaka,kupaka,nhuthi,apirla,nhuthi,kaku,apirla,kaku,apirla,nhuthi,apirla,apirla,kupaka,kupaka,withiwa,payayi,kaga,anya,ama,kaga,payayi,payayi,ama,payayi,anya,kaga,kaga
2,0.07889316864309681,0.5982695885852573,0.5193764199421604,nhuthi,kupaka,apirla,apirla,kaku,withiwa,kaku,kupaka,apirla,withiwa,kupaka,apirla,withiwa,kaku,withiwa,kupaka,kaku,withiwa,nhuthi,kupaka,kupaka,kupaka,kaku,kupaka,withiwa,nhuthi,apirla,kaku,kupaka,apirla,apirla,apirla,kupaka,kupaka,kupaka,nhuthi,withiwa,withiwa,kaga,kaga,ama,kaga,kaga,payayi,payayi,anya,payayi,anya,payayi,ama
3,0.20218548540814568,0.6829081047004717,0.480722619292326,apirla,apirla,nhuthi,kupaka,apirla,apirla,apirla,withiwa,kupaka,withiwa,kupaka,kupaka,withiwa,withiwa,kupaka,kaku,kaku,kupaka,kupaka,kupaka,kupaka,apirla,nhuthi,nhuthi,kaku,apirla,kupaka,withiwa,withiwa,kaku,withiwa,nhuthi,withiwa,kaku,apirla,kaku,kupaka,kupaka,payayi,payayi,kaga,kaga,kaga,ama,anya,kaga,anya,payayi,payayi,ama
4,0.06866226593817348,1.0346012329101812,0.9659389669720078,apirla,kupaka,withiwa,withiwa,apirla,withiwa,apirla,withiwa,withiwa,kupaka,nhuthi,withiwa,kaku,kupaka,kupaka,nhuthi,kupaka,withiwa,apirla,kaku,kupaka,kaku,apirla,apirla,kupaka,kaku,apirla,kupaka,kaku,nhuthi,kaku,kupaka,kupaka,apirla,withiwa,kupaka,nhuthi,kupaka,kaga,ama,kaga,payayi,ama,kaga,payayi,payayi,kaga,payayi,anya,anya
5,0.4101163182884091,1.3760552852604169,0.9659389669720078,kupaka,kupaka,withiwa,kupaka,kaku,withiwa,apirla,kupaka,kaku,apirla,apirla,kupaka,withiwa,kupaka,kupaka,withiwa,nhuthi,kupaka,kupaka,nhuthi,apirla,kaku,kaku,withiwa,withiwa,kaku,kupaka,withiwa,withiwa,kupaka,nhuthi,apirla,kupaka,kaku,apirla,apirla,nhuthi,apirla,kaga,anya,ama,payayi,payayi,kaga,ama,anya,payayi,payayi,kaga,kaga
6,0.24243302655595822,1.0346012329101812,0.792168206354223,apirla,kupaka,withiwa,apirla,nhuthi,nhuthi,kaku,kupaka,withiwa,apirla,kupaka,kupaka,apirla,apirla,withiwa,withiwa,nhuthi,nhuthi,kupaka,kaku,kupaka,withiwa,kupaka,kaku,apirla,kaku,apirla,kupaka,withiwa,kaku,withiwa,kupaka,kupaka,withiwa,kupaka,kupaka,kaku,apirla,ama,payayi,anya,payayi,kaga,ama,kaga,kaga,kaga,payayi,anya,payayi
7,0.20505815914420478,1.0346012329101812,0.8295430737659765,kupaka,withiwa,withiwa,kaku,kupaka,apirla,kupaka,kaku,apirla,withiwa,kupaka,apirla,apirla,withiwa,apirla,kupaka,kupaka,apirla,kupaka,nhuthi,nhuthi,kupaka,nhuthi,kaku,kupaka,kaku,apirla,kaku,withiwa,kupaka,nhuthi,kaku,withiwa,apirla,withiwa,kupaka,withiwa,kupaka,payayi,ama,kaga,payayi,kaga,anya,payayi,anya,kaga,kaga,payayi,ama
8,0.10603713334992704,1.0346012329101812,0.9285640995602542,apirla,kupaka,kupaka,nhuthi,kupaka,kaku,apirla,withiwa,withiwa,kupaka,kupaka,apirla,kupaka,nhuthi,kaku,kupaka,apirla,withiwa,apirla,kupaka,kaku,kupaka,withiwa,apirla,nhuthi,withiwa,withiwa,kupaka,kupaka,kaku,withiwa,apirla,kaku,kaku,nhuthi,kupaka,apirla,withiwa,ama,payayi,payayi,kaga,ama,anya,kaga,anya,kaga,payayi,kaga,payayi
9,0.34145405235023574,1.034601232910181,0.6931471805599453,kaku,withiwa,withiwa,nhuthi,kupaka,withiwa,withiwa,apirla,kaku,kaku,apirla,apirla,kupaka,kupaka,kaku,apirla,kupaka,apirla,apirla,withiwa,kupaka,nhuthi,nhuthi,kupaka,withiwa,kupaka,kaku,withiwa,kupaka,kaku,withiwa,apirla,kupaka,kupaka,kupaka,kupaka,apirla,nhuthi,anya,payayi,ama,anya,kaga,kaga,payayi,payayi,payayi,ama,kaga,kaga
