simulation_number,mutual_information,entropy,conditional_entropy,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD
0,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
1,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
2,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
3,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
4,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
5,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
6,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
7,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
8,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
9,NA,NA,NA,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan,(sanak) amisan
