simulation_number,mutual_information,entropy,conditional_entropy,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meB,myB,fB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,feB,fyB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07950854465069002,1.3634308351236848,1.2839222904729948,antxala,antxala,antxala,antxala,antxala,antxasa,antxasa,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,uluida,antxala,antxala,antxala,uluida,himolla,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,mutala,magola,mutala,mutala,uluida,magola,cido,uluida,cido,magola,magola,magola,magola,uluida,itcila,magola,mutala,magola,uluida,magola,uluida,uluida,magola,mutala,magola,mutala,magola,itcila
1,0.048775701606831756,1.315974446335888,1.2671987447290562,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,uluida,uluida,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,himolla,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,magola,magola,magola,uluida,magola,magola,mutala,mutala,mutala,magola,magola,uluida,itcila,mutala,itcila,uluida,uluida,magola,mutala,magola,cido,mutala,magola,magola,uluida,cido,uluida,magola
2,0.0861611677651497,1.4088315228523984,1.3226703550872487,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,himolla,antxala,antxala,antxala,antxala,antxala,uluida,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,mutala,uluida,uluida,magola,magola,itcila,magola,magola,cido,magola,mutala,magola,itcila,magola,magola,uluida,mutala,uluida,uluida,magola,cido,magola,magola,mutala,mutala,uluida,mutala,magola
3,0.10935008767936405,1.4087799360158093,1.2994298483364453,antxala,uluida,himolla,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,itcila,magola,mutala,cido,magola,mutala,magola,mutala,cido,uluida,magola,uluida,mutala,mutala,mutala,uluida,itcila,magola,magola,magola,magola,uluida,uluida,magola,uluida,magola,magola,magola
4,0.13935459375344128,1.3469450664807587,1.2075904727273175,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,uluida,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxasa,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,mutala,uluida,magola,magola,magola,magola,magola,magola,itcila,uluida,magola,uluida,cido,uluida,mutala,magola,itcila,uluida,magola,magola,mutala,magola,cido,mutala,mutala,magola,mutala,uluida
5,0.10625460403306208,1.4581728786649975,1.3519182746319354,antxala,antxala,antxala,himolla,himolla,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,uluida,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,magola,magola,cido,cido,uluida,magola,uluida,mutala,itcila,uluida,mutala,magola,mutala,mutala,magola,magola,mutala,itcila,magola,magola,uluida,magola,magola,mutala,uluida,magola,uluida,magola
6,0.05669069263524262,1.4272022585201265,1.3705115658848839,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxasa,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,himolla,antxala,uluida,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxasa,magola,uluida,magola,magola,magola,mutala,magola,uluida,cido,magola,mutala,magola,cido,magola,mutala,magola,uluida,itcila,mutala,itcila,uluida,magola,magola,uluida,mutala,magola,mutala,uluida
7,0.06462154963572231,1.4952600416704454,1.430638492034723,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,itcila,mutala,mutala,uluida,cido,itcila,magola,uluida,magola,mutala,mutala,magola,magola,magola,uluida,magola,cido,uluida,mutala,magola,magola,uluida,magola,uluida,mutala,magola,magola,magola
8,0.12781342807141116,1.4022448299936205,1.2744314019222094,antxasa,antxala,antxala,antxala,antxala,antxasa,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,himolla,antxala,antxala,magola,magola,magola,magola,uluida,uluida,magola,magola,magola,mutala,uluida,magola,itcila,itcila,mutala,mutala,uluida,mutala,magola,cido,uluida,magola,magola,mutala,magola,uluida,mutala,cido
9,0.09204710275639583,1.3412724406264762,1.2492253378700804,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,himolla,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,himolla,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxasa,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,uluida,antxala,antxala,antxala,himolla,himolla,antxala,antxala,antxala,uluida,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,antxala,mutala,uluida,magola,magola,magola,uluida,magola,mutala,magola,itcila,mutala,itcila,uluida,cido,mutala,mutala,uluida,magola,mutala,magola,cido,magola,uluida,magola,magola,magola,uluida,magola
