simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mMZ,mFeB,mFyB,mMeB,mMyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,fMeB,fMyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.1983291474672444,1.6690571010315536,1.4707279535643092,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyakaka,kartirti,winya,paRaTa,winya,paRaTa,paRaTa,kartirti,paRaTa,nana,nana,winya,winya,paRaTa,paRaTa,winya,tyakaka,winya,nana,tyatiya,nana,nana,tyatiya,paRaTa,paRaTa,nana
1,0.10991429231623773,1.1998592807269817,1.089944988410744,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,papa,paRaTa,paRaTa,paRaTa,winya,nana,tyakaka,nana,paRaTa,nana,winya,nana,tyatiya,kartirti,tyatiya,winya,winya,nana,kartirti,nana,winya,paRaTa,paRaTa,paRaTa,paRaTa,winya,tyakaka
2,0.2011373530563012,1.5068131825539668,1.3056758294976656,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,paRaTa,nana,paRaTa,winya,winya,tyakaka,nana,paRaTa,tyakaka,paRaTa,nana,tyatiya,nana,kartirti,paRaTa,nana,winya,paRaTa,winya,winya,nana,winya,tyatiya,paRaTa,kartirti,paRaTa
3,0.1215998459229195,1.3455693002010953,1.2239694542781758,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,wunhaka,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,paRaTa,winya,winya,winya,winya,nana,tyakaka,paRaTa,kartirti,paRaTa,paRaTa,tyakaka,paRaTa,tyatiya,winya,paRaTa,paRaTa,tyatiya,nana,nana,nana,winya,nana,kartirti,nana,paRaTa
4,0.12715594222480697,1.6105318358433012,1.4833758936184942,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,wunhaka,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,papa,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,paRaTa,nana,tyatiya,nana,paRaTa,tyatiya,nana,paRaTa,paRaTa,tyakaka,winya,paRaTa,nana,kartirti,nana,paRaTa,nana,kartirti,winya,paRaTa,paRaTa,winya,tyakaka,winya,winya,winya
5,0.10873656577697965,1.5024190800482777,1.393682514271298,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,tyapapa,muntyumuntyu,nana,winya,nana,tyakaka,paRaTa,kartirti,winya,paRaTa,nana,nana,paRaTa,kartirti,paRaTa,tyatiya,nana,paRaTa,winya,winya,paRaTa,nana,paRaTa,winya,tyatiya,paRaTa,winya,tyakaka
6,0.1786850406536591,1.4291959029229744,1.2505108622693153,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,winya,paRaTa,winya,nana,tyakaka,winya,winya,nana,paRaTa,paRaTa,paRaTa,tyakaka,kartirti,winya,nana,tyatiya,paRaTa,tyatiya,nana,nana,nana,winya,kartirti,paRaTa,paRaTa,paRaTa
7,0.18763803103214638,1.6231848571802865,1.43554682614814,wunhaka,muntyumuntyu,muntyumuntyu,wunhaka,wunhaka,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,winya,winya,paRaTa,paRaTa,tyatiya,winya,nana,winya,tyakaka,paRaTa,paRaTa,kartirti,winya,kartirti,tyakaka,tyatiya,nana,winya,paRaTa,nana,paRaTa,paRaTa,nana,nana,nana,paRaTa
8,0.08634103843259511,1.364019884881374,1.277678846448779,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,wunhaka,muntyumuntyu,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,nana,winya,winya,nana,kartirti,tyakaka,winya,paRaTa,paRaTa,tyatiya,paRaTa,winya,paRaTa,paRaTa,winya,nana,paRaTa,paRaTa,nana,tyatiya,winya,tyakaka,paRaTa,nana,nana,kartirti
9,0.0978849898755163,1.365588853737657,1.2677038638621407,muntyumuntyu,muntyumuntyu,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,wunhaka,papa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,wunhaka,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,tyapapa,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,muntyumuntyu,papa,muntyumuntyu,wunhaka,muntyumuntyu,nana,tyatiya,nana,nana,tyakaka,winya,tyatiya,paRaTa,nana,kartirti,paRaTa,nana,winya,paRaTa,winya,winya,paRaTa,nana,tyakaka,winya,winya,paRaTa,paRaTa,paRaTa,kartirti,paRaTa
